emsie em	This squad's making their own name through their talent and passion (all over the world). I mean, who wouldn't want to have this kind of relationship? They're pulling each other up, heading into their goals together without letting one down. They are #SQUADGOALS
Kedebon Colim	James Reid is legendary in the making
L Mija	Come to Oakland!
Dolly Acut	❤❤❤👍👍
Haide Aris	Love love 💋
Klein Cabilla	♥♥♥♥
yu Yu	5:04 butta b goin mainstream
Tummie Delos Santos	Can't wait na makilala na ang mga artist ng CMM sa international😍💕
archelyn	Yazzzzzz
Jnnyna Lcp	I love CMM! Myghaddd!😍😍😍
ready2run2006	👏👏👏
Donamil Dumasis	Im happy for james!!! He deserved all the blessings because his hard working and humble.. thank you for always inspiring me always.. that is true your my inspiration.. You and Nadine... im 28 yrs old now but i want to do more  and there is nothing impossible.. yeah..
kinda soft	Okkk this is so fucking lit
Cha Rose	Englisk paka man sila oy . 😭😂
Sofia Balaqui	Sino yung DJ? Bat ang cutee
Mayvelyn Saquiton	Wow!
Pinkeu Peach	JAMES: WHERE'S MY BABY?  NASA SINAPUPUNAN NI NADINE, HEHEH
Lyn San Joaquin	ang likot mo tlga sa stage bretito !! napaka cute mo hahahha
Geneveve Baguio	More power MMC JADINE LUVLOTS
James Tahil	👏👏👏👏😉
Reign Gutierrez	Damnnn!!!💕
Darrie Queen	I jsut discover this channel! May i know the tittle of the 1st song?
marié kaye	💯💯❌
Kate Kristine Costañas	Wait where's my baby? Hahaha gaon u James ha
Yu Zu	Yo Congrats CMM 🎊🎊
Cinderella Candaza	😍💙
Bb. Buhangin	This is Lit! 🔥🔥🔥 Please upload more! Love the Careless Squad! 🖤
Nathan Hawkins	i-release nyo na kase yung On Top
zacrtzy	This song is so lit
Iloilo’s Best: Original Biscocho Haus	.
Lanie Grace Carpentero	Kakilig
Rima Andriana	James has everything... That's why haters hate him because they're jealous...
Shamine Antoni	love you!
Jaded Mars	YOU DA BEST JAMES! I loveyouuu❣️❣️❣️
mychell malupa	❤❤❤
Christina Aninayon	So lit CMM!!!! 💖💖💖🔥
Mixxie Rams	CMM😍💞never been this attentive, this mixtape is amazingly cool and I never knew that I will actually love this genre💞❤
asyh mstf	Really love this! Editing is ✔️💯 Keep making this kind of video please. And to the Mr CEO, Congrats❤️ we are so proud of u! Lots of love from Malaysia🇲🇾
lorjean iza foronda	i see my baby right there😍💜
Elaine Bueno	I soooo love the vibe of this vid! If possible, I do hope na sana more vids like this pa on every gigs/ any ganaps pa from CMM! Any how, kudos to Team CMM!!! More international gigs to come!!!
my president is nadine lustre ***	We need more of this CMM.. And may I suggest you make studio versions of all the songs from the mixtape? Yung parang chill chill lang na jamming session with all the cmm artists. And Tagalog songs is a MUST I mean you're trying to reach out the international market but in order to do that you should be able to cater the Filipino masses first of course without losing the cmm formula/beat/vibe whatever you call that. Fly high cmm 🙌
van Alex	More videos pa careless plss.
Christine Teves	Way to gooo Team Careless! ❤👏🔥
Ailyeen Auxillo	THE BEST..
Babydoll Rivera	😍😍😍
Kimberly Estrada	👏👍🤩
Jasmin Lustria	🔥✨
Eyababeee Erbin	We Careless! We Careless! GREAT VIDEO!!! Please watch everyone and let people know to watch it right here on the CMM YT channel.
Nanatruce	Love this vid Careless!!! Keep it coming!
MC Gatmen	I want that careless shirt huhuhu
camille libres	Y’all deserve thaaat❤️❤️❤️❤️
Van Buenaventura	aHhhhh this is soooo lit!!! CMM team!!!!
Arlene Dela Cruz	Congrats to the creative and hardworking peeps behind #CMM here's wishing you more success and local and international engagements
Jackline Palas	praying for CMM's success cuz they indeed deserve that 😭🙏🏻💛
Mister Gabbywaps	❤️🌹🥀💥✨⚡️🌙
siti anisa syakira	😍😍😍😍😍😍
Louella Anne Gonzaga	AaaAaaaaaaaAaaAAAAAaaaA!!! 😍😍💖💯
미레스	*BIG THUMBS UP FOR CMM*
niko reyes	congratulations CMM 🤟👌🤘
Kate Hyacinth	PROUD OF YOU GUYS!! CONGRATS!! ❤❤
MAMA MIA	James Reid = Yang Hyun Suk (YG ENT.) both are talented CEOs
Ana Marie Maghanoy	pang international ang mga talento...love u sam c...
gine deukkie	congratulations careless!
Phia Bautista	Congrats! God Bless to the team!😇😇
sxzy __	u make us happy too,so thank you so much!♥♥♥
hallowrela	Congratulations CMM!💕🤘
Allaisyaa Balqis	C CA CAR CARE CAREL CARELE CARELES CARELESS CARELESS M CARELESS MU CARELESS MUS CARELESS MUSI CARELESS MUSIC CARELESS MUSIC M CARELESS MUSIC MA CARELESS MUSIC MAN CARELESS MUSIC MANI CARELESS MUSIC MANIL CARELESS MUSIC MANILA CARELESS MUSIC MANIL CARELESS MUSIC MANI CARELESS MUSIC MAN CARELESS MUSIC MA CARELESS MUSIC M CARELESS MUSIC CARELESS MUSI CARELESS MUS CARELESS MU CARELESS M CARELESS CARELES CARELE CAREL CARE CAR CA C  🔥🔥🔥
just shar	Upload also your performances at different places also how do you make songs and behind the scenes
empress royalty	They always made Filipinos proud! #JaDine
Jen Carino	Swabe
Mitzi Chicano	💜💜💜😍💜💜💜
jelly ace	thank you guys for sharing this 💕
Angel Lynn Ylaya	Keep rising up, Idols!! 😘😘😘
peachesncream	CONGRATS CMM! AAAAHHH 💜
Samantha Kusain	Upload more videos, please. Specially Mr. CEO's videos 😍😂 we wish for the success of CMM and its team and again, especially the CEO ❤😂
yhanna_ xD	congrats team CMM😊😊
Conner Navarro	Here before 1M views
Jeah Carmela Caasi	Congratulations Careless especially to you Kuya James♥ Yiieee. Waiting for more of your work😍💓 Lovelots
Cole Sprouse Army	Congrats JaDine & Team CMM. ❤️   #JadineSince2014
Cams Cabanayan	This video givin' me life 🔥 more of these pls!!! 💕
Allison Tran	Waiting for the day Careless Manila holds a world tour and comes to the USA. By the way, I'm not Pinay but Vietnamese American. Been a fan of JaDine since OTWOL days. Much love!
My Melodss	💜💜💜
Donna Rio	Solid edit damnnnnnn💕
Megumi Nikifrov PTBFUJOSHI	Stay Careless
Sarah Ekawati	congratulation james,sam, and kingwaw  I like your music🖒
Danny Cajes	More vids like this pleaseee!!
Haney Mae	Congratulations everyone ! Yow nailed it ❤️
BumBum Reideu	Goosebumps the whole time! Proud of the success of CMM!♡
minSWEAG	I ENJOYED WATCHING THIS😎 CAN'T WAIT FOR A BIG CONCERT HERE IN PHILIPPINES!!!!! CMM WOOOH!
Tina Banque	now this is content💜
Jo bell	CMM IN NEW YORK!!!
Ciarra Ebesate	Team CMM conquers the world 🙌 this is just the start ✊
arienne mesina	You guys are amazing! 😍💕
Matt Almine	this is so lit <3 thank you CMM
Abby Maisog	4:42 😭💜💜
Rio Rose	♥️♥️♥️
Marie David	Graveee super kilig kayo 😍
Jenny Balo	Great video editing. 👌
Jerose Dalisay	Congratulations guuuuuys!!! ❤️❤️
Saawiyah Maruhom	Nice and more videos of CMM please!
Rookie Manalo	CARELESS MUSIC MANILA                       IN                  MILAN!!
milarose bechaida	Wow! Vocals! It was nice to see how they enjoy what they're doing. Lovely Naddie is soo pretty inlove ♥ oh well careless team is totally amazing!
My Wyunwoo	The squad that all talented..Sam voice nakaka inlove..
perlene enero	Congratulations to the squad 😘
Rai Ragas	Congrats Team CMM. 🔥🔥 💕💕
Andrea Kristel Abuyo	😍😍😍
Nadya Valdez	😍😍😍
Mico Josh Rejuso	Tagal Kong nag abang Nito,congrats careless..james and squad...
Rio Nietes	I love you so much james and nadine..congats team CMM👏👏👏
Malou Manalo	😍😍😍😍💑💪💪❤❤❤❤❤
Immafe Decena	The world will soon know your music, but as of now kami kami muna 😍
Myrna Hader	Thank you for sharing, I had fun watching it.
Ubeng Cmon	I love you all big time
