Patrick Wanis	Superb video Kevens! Well done. Stirring, introspective and inspirational!
Bih Akuma	I needed this today... the eve of the mid terms
Susan Snyder	This is so inspiring and a great reminder of what is special about our country. Beautiful!
Cathy Hrusa	Love this my friend! ✌🏳️‍🌈🇺🇸
Sideways Kim Jong Un	0:05 The simulation is broken!!!!
Meagan Levitt	I loved this song very much
Sentimental Lady	Kevens, you wrote one of the most phenomenal love songs to America. The images in your video tugged at my heart and brought tears to my eyes. We believe in America that we hope and pray for. Thank you for sharing it with me and the World. And by the way I did share it on Twitter and on Facebook. Bravo Sir, what a phenomenal fantastic, amazing awesome job you did with the lyrics and the visual art you made! #Love AKA Squirrel Girl
sarah ogden	Love this song! I saw it on Twitter and gave it a listen. I've listened to it at least 15 times in the last hour and a half. Total steal at $1.29 on Amazon
Paulette Spigiel	Beautiful song kevens.💙Your voice , the music and the video touched my hearth.Im an immigrant, a proud and thankful American. Land that opened its doors, give us opportunities and protect us with love.Tears of joy for what this country is and has to keep being. We will not anyone destroy it. Having the privilege and honor to vote, I will color democracy with blue to save it. I 💙 America too.
Tina Marie F	This is the real America, there is more good than evil, more kindness, and love than hate.  WE MUST SEND A CLEAR MESSAGE  TO THE RACIST IN THE WH, WE DO NOT ACCEPT BIGOTRY, YOUR TIME IS FINISHED.  VOTE BLUE TO SAVE AMERICA!! THANK YOU KEVENS!! I LOVE THIS VIDEO, IT'S BEAUTIFUL, YOU HAVE GIVEN ME HOPE, WE ALL NEED HOPE AND PRAYERS
Patrick Marshall	Love this video and song, brought me to tears,
Rhonnie Originals	BEAUTIFUL. My heart needed this Kevens
Melissa H	Powerful, Inspiring music/video that focuses on what makes our Country so great..... it's diverse, compassionate people. We are in dark times now, but we will prevail, and the light will shine from Sweet Lady Liberty again.
Kristi Lalan	Absolutely Beautiful!! This is the America we love. And we have to fight to get back!! Thank you Kevens!!
Skip Acuff	Kēvens has applied his gift to the question whether Blue Wave voters are patriots.  I submit that Kēvens’ video, music, and lyrics says YES!  It’s a shot in the arm for you, and a head exploder to every soul and spirit who has been irredeemably lost to Trumpism and its enablers and allies here and abroad.  For those who ask, “irredeemably lost” = those who still identify their personal interests with Trump and the GOP, despite (or because of) the events and disclosures of the Kavanaugh nomination hearings led by the oldest hardline misogynists outside of Saudi Arabia, Trump’s relentlessly cruel persecution of folks seeking asylum from unspeakable horrors in their native lands, the Khashoggi murder and Trump’s handling of the aftermath, and the GOP’s unprecedented, still ongoing avalanche of lie-soaked propaganda during the campaign for the November 6, 2018 midterm elections.   Friends, unless we prevail and preserve the patriotism depicted in Kēvens video, America will for the foreseeable future lose its pre-Trump reputation, still not fully earned, as the land of the free, home of the brave, of truth, justice, and the American Dream. The WH’s recent statement that the Saudis’ version of the Khashoggi murder, i.e., that he brought fists to a bone saw fight, is credible, has earned us the contempt of rational, democracy-minded people throughout the world.  Let’s show the world that the Trump fiasco is a fluke, that we’re so much better than that, and that the majority of us want preserve the uniquely American aspirations displayed in Kēvens’ song and poignant imagery.  PLEASE send “Sweet Lady Liberty” to everyone in your social network and urge them to do the same ad infinitum. Believe a veteran protester of the Viet Nam war during the late 60s and early 70s, protest music does reach and motivate people to act. This, too, is part of our American heritage.
Lloyd Brodnax	Very inspirational and uplifting song about what has made our Nation so enduring and welcoming!
Paul Bray	This sets up why we are who we are. We are all part of the human experience. Love your neighbors. No one hates until their shown hate.
Laura Hickey	Beautiful. Very powerful.
Paula Pollock	This song really warmed my heart and took me back to a happier time in our country. It was a bright star in a dark night.
Kathy Rangel	I'm so inspired by @kevens beautiful video and the words, perfect timing in these days. Loving the reggae vibe too! ❤
Citizens Fed Up	I really like this & shared it on Twitter... https://twitter.com/CitizensFedUp/status/1051856934301765634
Jenny Ross	Beautiful
bonnie werth	Very powerful-especially now. Thanks for sharing to me on Twitter :)
Sherri Benn	Love this song. It's truly inspiring!! Patriotic and inclusive.
K D	This is heartbreaking, inspiring, frightening, and lovely. Thanks you, Kevens <3
Jessica AKA Ciquah	This is so well done - it made me tear up because of how sad I feel about the state of America right now. THIS is what our country is supposed to be about!
Shelli RK	This! This is the America I love. We've gone down a dark path and we need our great hearted, loving brothers and sisters who understand the values that bring neighbors and strangers together to be better people to vote! We may not always see who will be best to lead us, but when we glaringly see who is definitely wrong for us, we have to take action to keep them out of Office. Red and blue alike!
Jasmine Mayo	Nice song!
Tabatha Hagan	Beautiful song.... Speaks volumes...
Charlene Elizabeth Jones	Thank you for a fantastic song about our country the way I want it to be and pray it will be again some day!
Linnie Lou  Heretoo	Beautiful song, thanks!
JoAnne Weiss	Powerful. Every resident of these united states should listen to this and think upon it❤️❤️
Audley Harrison MBE	Wicked tune Kevens - big up - very important message for the times we’re are living in 🙌🏾
Joyce Brownell	“Sweet Lady Liberty”  is absolutely beautiful! The video is amazing. WOW!
dodsonk2	I absolutely love this song! So beautiful & powerful. We need to come together all the time not just during a disaster.
Barbara Smyth	This is the most heart wrenching, beautiful video I’ve seen in a very long time. Substance and feelings it provokes are amazing. Wish everyone would watch it. #LadyLiberty
M C	This song and the images together are a beautiful, poignant testament to both the beauty and ugliness of what America idealism is.
Carol Brucker	Just what I needed today. This made my whole day much better. Looking forward to hearing more if your work
SmithSharon Smith	Wonderful, inspiring song. It's what we need right now to remind us "We Are One!" Thank you, Kevens! Love & Light & Peace to you!
A Ree	Absolutely gorgeous! Thank you for pouring out your emotion!
Huw Sayer	This is a beautiful song - we need this spirit of humanity more now than ever. Not just for the USA but for everyone around the world.
Saga K	Such an inspiring and beautifully done video and song! This touched my soul in a moment when I was feeling down about where my country is heading. A simple twitter link to this song reminded me why I love the US and why we need to stop, listen to each other and fight the virus of division festering even more these days. Positivity is the key. Thank you Kevens!
Kenneth Fax	It's nice to listen to this song for a hope of a restored humanity in America.   It was a surprisingly nice tune, in a time of Trump making America Miserable Again.    The song seems as a praise and prayer.  Interesting.  Well done, Kevens.
John Butler	Strong message revealing productive and destructive behavior and the belief in being able to triumph over obstacles. Plenty of hurdles still, sure. But success is a viable option. Kevens, no bias in the production just reality. Needed. Thank u for writing, sharing.
Rosie Cruz	We need more reminders like this one that we are all one. ✊🏼✌🏼
Lisa Niven	Powerful song and video my friend.  Thank you for saying all the things that need to be said, the TRUTH!  I stand with you #Acceptance4All #AcceptanceForAll #PLUR Peace, Love, Unity and Respect till the day I die.
Yolanda Sandoval	Wow!! This was so beautiful it gave me the chills!! Your voice brings out the message and  touches the heart!
Ivan Browner	Thank you brother Kevens for these words of blessing.  America is a beautiful country with strong inspiring people.  Only if we can rise above our dogmatic differences and see the humanity in each other again.  Positivity is a necessity!
Philippe Boisson	Les larmes de liberté me coulent à cette écoute! La liberté est un sacré parcours, il ne sera jamais vraiment atteint selon chaque vision, chaque coeur et chaque attente , mais  il peut devenir plus évident avec plus de douceur, de compréhension et d'unité. Merci L'artiste, la puissance de cette chanson, rentre dans la peau! I have the american dream for ever, et il ne m a pas laissé libre...But I will be back <3
Lincoln Smith	Beautiful lyrics of Love and  "what it should be" with the music make this song soothing and reflective1 Well done!!
Mardianita	🙌✨✨✨✨ Deep and Heartfelt!!!!
Katia Bordy	Congratulations on making such a powerful song at such a troublesome moment. I pray your message will touch a lot of hearts and will bring sanity back to this beautiful country. One Love
The Energy Blueprint	Beautiful and powerful song!
ALEADA RECORDS	This is such a powerful Record. 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 lalalalala lalalalalala ⚡️
Hernando Gomez	Beautiful artistry and message, special for the current moment. Deserves sharing as much as possible. Congrats Kevens, you are touching the country that we love with your work. keep it flowing
Jean-Christophe Fouquet	Respect brother. Beautiful song and lyrics. LOVE and respect for all is transcendent and will always prevail. Thank you for sharing.
Alex   W Stokes	What a powerful message as to what we've been truly seeking all along. I had chills throughout the whole video, Kevens. Love thy neighbor as thyself.
David Canter	My brother bringing the beautiful visuals along with such a great meaningful song.  We all love America.  Let’s hope we can unite her in this trying time of division and hate
Celia Mendoza	We need more music like this 💪💪💪
Morgan Thompson	I'm actually crying, and I never cry. Beautiful and powerful, just like you. Can you believe we starred in a Checkers commercial 20 years ago!?! So proud to watch you change the world through your beautiful music
andrea leblanc	This video is truly incredible, voice is to perfection, I absolutely love it! ❤
Amelia Hamilton	Whooooooooooa.   That was absolutely beautiful, Kevens. Thank you for this 💗
Jahn-Paul Mazotas	Absolutely beautiful song and video... We are one, united through freedom. I agree perfect timing for the 4th of July!!!!
amberlinnz	Beautiful. The people, united, can never be defeated! <3 <3
Camcon	The timing of the song is amazing.  Thank you kevens for making this track.
Toxic Gaming	Amazing Music
