سوما الحربي	💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜 💜
Jin Jin	Like father like son
한도로테아	Jin💜
Keyza Simmer Simmer	Salanghaeyo BTS!!!!
Jessa De Jose	I seoul u💜 Jin💜💜
Alice	Jiiiiiiiiiiiin😍😭💝💝
Tae 1jimin	김석진 💜
Percy Jackson	I really want to study Korean history and try all of this, but I'm afraid people are gonna call me a koreaboo😂😤😭
Rouse Ramos	fantastic ♥♥♥♥ i love you kim seokjin!!!💕💜💜
Cecil Lim	Good one.
mimi dore	Worldwide Handsome Jin ♥
ljoivne nijkoes	my Jin's VOICE king seok jin💖 I Seoul u love😍😍😍
jsrjvjj b	💜 World Wide Handsome💜 Jin 💜
sunny j	My lovely world wide handsome Jin💜
치명치명한검	석진이 진짜 잘생겼다. 한복이랑 찰떡임💜
Hanny Merciani	Jin you smart i love you
지유정	Everyday  Saranghaeyo💜 석진 💞💞💞
ここぴよぴよ	Jin is so beautiful
yooshin kim	Seokjin👍👍👍👍👍
Only Jin	김석진 김석진 😍
YS L	I love jin~♡
Betta Ds	that's Kim Seokjin!
ѕмol вeαɴ	AS A JIN STAN AND A HISTORY MAJOR WITH A MINOR IN ART HISTORY IM QUAKING
ggcd	Jin is so beautiful. If Seoul is as beautiful and amazing as Jin is I want to visit it TODAY
Simone Kao	Jin is soo beautiful
Jarukan Rassiri	Which museum is that? I wanna visit seoul and live seoul again after watching this video!
이미옥	7 member 중에서 발성이 가장 좋은 사람이 jin과 rm입니다.  ‘historic Seoul’이란 주제와 jin은 그야말로 ‘찰떡’입니다.  jin하면 “Eat Jin"인데 영상 주제와 멤버의 매칭이 잘못되었다고 아쉬움을 토로한 글을 보았습니다.  그러한 전략은 기존의 특정 이미지를 고착화시킬 위험이 있습니다. 예를 들어, 진의 경우 “이 친구는 먹는 것 밖에 모르네!”가 되어버린다는 거죠.  멤버마다 아직 덜 보여준 잠재된 재능들이 많기도 하지만 가능하면 다양한 모습들을 보여주는 것이 바람직하다고 봅니다.   jin은 노래를 부를 때의 발성도 발성이지만, 나레이션 발성 능력도 매우 탁월합니다. 이미 뮤직비디오 속 ‘석진’의 나레이션을 통해 능력의 일단을 보여주었죠. 하지만 지금 그의 발성은 지난날에 비할 바가 아니게 발전했어요.  또한 진의 음색은 향수나  어떤 그리움의 정서 같은 것을 자극하는 아주 독특한 매력을 지니고 있습니다.    많은 이들이 그의 목소리를 사랑하지만,  그 목소리가 가진 재능은 그의 뛰어난 비주얼로 인해 오히려  충분히 조명 받지 못하고 있다는 생각을 해요.   jin은 미디어 시대에 훌륭한 storyteller가 될 수 있는 좋은 목소리를 가졌습니다.  언제고 작품성 있는 Documentary에서 narration으로 참여하는 그의 목소리를 만날 수 있기를 희망합니다.
Lilboy Me	I Seoul u too
a mom of 7 babies	Our worldwide handsome💜
sejun P	I love jin💕
sarang Jin hae	I  Seoul  U 💜💜💜Jin is gorgeous
BANGTAN TUBE	HIS VOICE IS SO CUTE
Veronica	얼굴 목소리 너무 완벽하네요^^ 진 최고
rania kn	석진이는  외모만큼이나 목소리도 넘 좋은듯 진짜 간만에 서울 가고싶어지네😍🤩
플루토	도련님 진~ 한복도 참 잘 어울려요
Michelle Ng	Historic Seoul def suits him most!!! What a sweetheart!!! 🙈😍
yoongs_oppar_bts	yes jin represent seoul
Rosmery Navarro	SEOUL 💜💜
day love	멋지다. 고풍스럽고 아름다운 분위기가 진이랑 잘 어울리네.😍💜
유다니	The intro reminds me of RJ calmly sipping his tea amidst the chaos around him 😂
Khaleeza Khalid	Wow.. that's art right there
BTS	💜💜💜😍
Saranghoe_	YES I WANNA LISTEN TO YOUR SOUL JIN
xxjinn	My seokjinieeee❤️❤️❤️
Nurul Anggreini	Kiyoooo😍
uyen nguyen	♥️♥️♥️♥️ It's so great
Jenni Zhao	jin jin jin
Shilaxem _	So handsome
Scarlet ARMY	my jin
fofo kookie	Arab army love you jin 😭😍😍😍💜
