Mandakini Kasar	Ram youare looking superb so cute. Love you Ram and Anupama 😘😍
ram ka	very good movie with sensible comedy, situational songs , no unnesessary fights and  lastly very good screenplay
AK CREATIVE WORKS	https://youtu.be/y74mXXSMGno
Anukul barman	Nice
Shraddha Singh	Nice 😍 Ram is superb 😍
Babu Chandrahas	tammineni pradeep kumar
Ravalika Chitukula	Sssc
Jiya Chalky	Hindi dubbed karo movie plz
SHIFAT SHEIKH	Anybody need this movie i have a link.....
SK Tech Creations	Love you ram
i love pspk Kumaar	Ram.super.unnav.lam.big.fan.of.u.ram.lam.waiting.for.the.movie.paka.hit.kavali.movie
GJ CREATION	Nyc And Osm Trailer.... Plz Quick Dubbed To Hindi....
Pavithra Prabhakar	I love this movie
dhana laxmi	what a comedy film
druva sweet	Anupama banda moham vesukoni chi.. I don't like her..I don't know how could people accept her. We have better Telugu heroins than this Malayali girl
Siddhi Kadam	his oops was too cute ......😘😘 luv u ram
laughing Town	Rajnikanth Movie breakdance Scene 👉👉https://youtu.be/Yc2rLjcJNCI
pranith	YAY another generic Telugu movie with pretty much the same plot we've been seeing from the last 10 years. Guy likes girl and girl hate guy but oh no how ever will the hero get the girl now? i know i'll just harass my way into her heart creating never ending love. i mean it's not like these have to mean anything right? just stuff happening and some songs and teaching young kids that treating your elders and parents like shit is just normal right? so exited to watch this movie :)
karma	The trailer looked like a routine movie,      Any one that watched the movie let us know if its worth watching..
Joji Joji	Wow
prakashsannidhiTiuuu	# what is data base
Funny Video Clubs	https://youtu.be/vofPn4HnAjI full movie power unlimited 2robiteza
Neha Garg	Song full  videos kab aagi
meghana potti	Super
Babu Raza izz back	Kya Ram ji Vikram kaa son hai??
Sai Krishna	What is data base ?? Oops...
Anil Kumar	MArchipovaali marchipovaali ani anukune ammayi ni matram....deenamma jeevitham...chachhedaaka marchipomu
Mamata samal	Plzz dub this movie in hindi
Sai 818	Superb
Kalyan G V Subba	Excellent and hilarious comic movie. Really enjoyed it!!
vijay k	Nice movie  Anu acting so cute Ram acting so nice Fabulous movie Heart touching movie Already I have seen movie  three times
Multi-tasker channel	I loved this movie trailer and also I definitely watch this movie. and (in my channel having how to download movies) if u want to see it u can check my multi tasker channel I like the trailer
kolloju suresh	Full comedy spr...👌👌
Śąì *Kìřâñ*	super excited
Rajesh Kiccha	Lovely move im telaghu hero ram sir. Big fan kiccha and ram sir may favorite hero in film 1day 1 show  2 member film Lovely star ram sir styles star kiccha sudeep ❤💓💪💪🦁🦁🦁🦁
Pedditi Udayreddy	Super .....
Sahanalovesyou	this hero is so handsome
Harish Nandamuri	Super
Rathod Naeem	Plz upload in hindi langauge .
Shoaib Bhai	very nice movie
V. Studios	Super and Watch also Saaho Trailer : https://youtu.be/CgmRQ-DzKkM
The Final Script	I'm going to watch this film only for Prakash Raj sir.
suresh babu	ooooppssss.......
Sattibabu Margana	add. video
