Saida Mohmad	Omg amen god blees you insha allah mgkatulyan kayo sa panahon hehehr
rose gainsan	I love you Edward for may2
Zabeth Abgelo	Thank you twba,titoBhoy & abscbn na vngyan nio ng chance c edward na mainterview kgabi sbrang pinasaya nio kmi.😊😄😉👍WeLoveyouMayward.💑💑💑💑😍😍😍😍💙💘💙💘
Christine Nivera	My god kinikilig ako yes talaga Wala na paligoy ligoy my god swerte ni maymay 😍
gedz Mustapha	Grabi 😗😗😗😗😗😗😂😂😂😂💋💋
Joselyn Pao	Wla.na finish na tlga road to forever n tlga.  Cla
Grace Perez	Sabi ko na nga ba... pag nag18 itong batang ito saka sya aarangkada. He he he...
Jubelyn Mata	haha teaser palang may dislikes na alam na  haha
cresilda labolera	UWOIAN NA MAY NANALO NA MAYMAY HEHEHE😍😍😍😍KAKAADIK PORAS NG PAGTULOG PUUATAN KAKAHANAP NG BAGONG UPDATE SA MAYWARD PA SHOUT OUT NMN KAMI DI TO SA #DHAHRAN,SAUDI ARAMCO KSA LOVE YOU MAYWARD SAMA MAGKATULUYAN KAYO❤❤❤
Obaida Taher	Oh my goooddddddddd😲😲😲😲😲I can't sleep because of waiting for TWBA😂
ruchi ms	YONG YES ANG NAGDALA ,SKRENGGE MAY NANALO NAH MAYWARD HABANG BUHAY😍😍🤗🤗
Cha Gomugda	Omg!! Kiligness overload! A Big Yes n no hesitation talaga c baby boy edong  about marrying may2x question! Teaser p lang to!
Helen Cantila	HA HA HA GRAVE BAI URA MISMO INAMIN NIYA WOW ..GOD BLESS BOTH OF U MAYWARD..
Ruby Abalayan	Subrang,bilib,@,happy,ako,para ky Edward,,, subrang totoo lng sya ,kong ano yong nasa isip at puso nya,,,isa to sa mga winiwish ko for maymay ,na makatagpo sya ng mamahalin nya na makakasama nya pang habang buhay,,,at sana c Edward na nga ito,,,,kasi for me distiny talaga cla ,ilang ulit ,bisis nato nangyari sa kanila sa pbb house. Piro. Nagpatuloy yong journey nila dito sa labas,,,ganun pa din,,kaya i wish u all the best maywards,,stay strong lang no matter what happened and dito lng kaming mga tagahanga nyo to guide @ support u,,,luv u. Luv u ,,god bless to all of us,
beth Catid	kasalan na yan
Vian Batan complete episode please	Sa manunuod Vedio nio nmn please...wla kme t.v sa Lebanon 😍 😘😂
Singwe Mangansakan	Kahawid cla ne enrique per0 mas gwap0 cya😍😍😍
Everette Verano	Ngayon na ba to ipapalabas
MikLot More	its a BIG YES!
Leonor Samaniego	bonggang #maymay😍😍😍😍😄😄😄panalong panalo na! uuwi nko😂😂😂
Elaiza Ortiz	Tapos as usapannn MAraming salamat TWBA 👏👏👏🙏🙏🙏🙏😍😍😍💘💘💘💗💗💗💓💓💓🇵🇭🇵🇭✈️✈️🇩🇪🇩🇪🇩🇪🇩🇪
Yam Magtanggol	exciting! #MayWard😍
Cxiejhay Rosales	omg dodong s sagot  mo plng n yes patay n lhat ang mga isda s dagat naglutangan n dahil s kilig😅😅
carina gonzales	Pastilan ka doooooong😭😭😭 kilig na kilig ako...woooooh😍😍😍😍😍😍 ambot nalng gid😂
Lizel Lamera	Nang Dahil kay Maymay at Edward kaya Nag Subscribe kaming magka barkada sa ABS CBN...kasi masaya kami sa Mayward
ASMAIRA Ali	Patay na yesssss
Erin Alley	How adorable!
Rheagrace sumaya	ayyyy aabangan ko to
Ana Soriano	You're the man edward barber !!!
Nancy Yousef	Ang big yes ni dodong hay hindi ako maka hinga dong😍😍😍
