Reece Mcfarlane	Your packs are unreal
Evaniscool - Great Videos	Chico blanco
PandaGaming Pascal	Mega Packs actually are shiet for me too
NORWICH TILL I DIE	Someone was bidding 200k on pepe ;)
Fresh Flame	Fred
Connor Sumner	Fred
Andrea Cillo	Fred all way
Ljbert1231	Your whole front line is under 5 foot 10. You have to be able to win headers
adem sulemani	I think the most expensive board is naingolan
Liam Whitehead	van jdic
Kyle Paffey	Chris you don’t have prime maldini
Miyagi l l	Scream cards stats change over the weeks
Cian Joness	Alli’s the best player ive used this year, ive got players like Mane, Hazard, Van Dijk in my team and he’s the one that stands out most
Davorin Raspudic	i think van dijk is the best board
Tom Tilbury	Matt maybe instead of spending a fortune on Fifa points spend some time learning how to actually play the game with a god squad I don’t know how bad you must be to only get 9 wins out of 20 with a 4 mil team
Official Umar	Get fred in cm he's so good
Alexander Murphy	van dijk is most expensive board I think
Mark Higson	451 with Jesus in cam and aguero in st
MysTiC iiNinja	Pls do not swear
NoodleKazoo	Make your tactics so that when you go attacking it changes to 4231. Play Gerrard behind Jesus, hazard and Willian LAM & RAM. Pogba and a new defensive CM in CDM. I play Fred in CDM
ItzJw	Most expensive board is the 85 icons 450k+ like so chris can see
Jordan Booth	Your back line is insane don’t go for an icon fullback you don’t need to look at attackers
Steve Williamson	Get prime henry
Hoger Vani	Inform Lacazette is better then Gabriel Jesus!!!
Cian Gilmore	Fred any day
Alek Kostovski	Where’s the pranks. Bring them back
MJ STARS	Do a hybrid with blue naingolan hazard and mousa dembele then Miranda and a any left back like sandro!! Chris needs to see this
Tyson Orr	My best selling players have been from 5 k packs both dembele and matudi
OCgaming H3AT	Son
TBK_Gaming	Kyle walkers an expensive board
Regal Private	Walker is expensive
Stijn Schunck	Use custom tactics and set it to switch formation when you switch to attacking/defending, it is a game changer.
Teckerzz	Matt or Chris?
AdzyVass56	i packed Niangollan 85 rated and he sold for 150k on ps4
Teddy Bj	Why de bruyne 😣😣😣
Harrison Starkie	Dele he has shot on him.
Shae Delnon	Davison Sanchez
Rayzor240	i reckon its thierry henry
EM12	Get champions league Jesus
Majeed Butt	Keep hold and wait till the end
Elliot Roper	Matt I was 7-3 like u and shat the bed only got 11 wins I can’t play fut champs again jesus gd vids lads
Juan Brown	Harry Kane is absolute quality
Mohammed Hasnain	Matt plz save for Cruyff
Phoeniixx	Van dijk and nianggolan
I_MOD_CUZ-_-	Nainggolan
Frailhealer 23	Id put in dele
andy nhu	Someone get George best!!
TB Smeri	Matt save up for kruyf
Sneebzz	I would get alli
HJEAZY	Chris is better at FIFA
PuRe OxYgEn	Naingolan 100k
XCIMC	Van Dijk is the best board pack, then Nainggolan then Fabinho 👍
Gurkeiret Gill	Please stop swearing my parents keep telling me off
Axronnn18_	Yeah Jesus is doing good 7 in 10 but an icon could do better maybe 10-10 or if not better
Nawwy Ali	if you want pace strength passing and shot take Oxlade-Chamberlain over fred hes much better
Idward Squidward	I think nainngolan is the most expensive board
Akys Gaming	Dele alii is a cracking player absolutely amazing
Sebastian Amaya	Most expensive player boards-van dijk
Chris Ewart	Chris get salah rw
Jake Hurae	Naingollan is an absolute banger of a board
The Everton Man	Why do you ignore the criticism you get? We want to see different content not just games and pack openings every single day. Bring back the mini games and pranks!!!
We53 D	I got both Fred and dele in the mid and Fred’s far better
Vinny Thomas	Got an inform Lukaku out of a mega pack with coins
Fearful TSA	Luis Figo in right wing would be a good upgrade, still love the vids and got my brew
Miguel CG	Chris how often do you play
Hayden Carney	Upgrade Maldini to his prime, prime or nothing right?
Raft Og survival	Chris try Keita
Alex Simmons	Reus goes for like 70-90K and he’s a board
Joshua Dransfield	I packed Pogba in a 45k pack and then aguero in a 35k in the space of 24hrs
Dunnion	I got the first pack luck today and packed 87 Alexis Sanchez not much but cracking plur
B2174	Play casimero at lcm and gerrard at rcm 👌🏽
Kody Murphy	Naingolan board 130k i packed him
Alexandra TV	I packed messi yesterday
Worst day Ever	Dele Alli is good at long shots
Ltmanbonzo	Im the 13 thousand'th like!!!!
Kieran Byrne	Chris your right jesus is a cracking plur
British Spooderman	Whats your favourite fifa of all time
Marcus Pannunzio	Do u guys recommend Jesus , im thinking of trying him out your thoughts?   REPLY Do u guys recommend Jesus , im thinking of trying him out your thoughts?   REPLY
XX PRimalz	If u think getting 7 goals in 10 games is good for a striker then u have no Brain
Gerald Don	Son
Scorpio200	Van dijk is an expensive board
Joseph Townsend	Naingolan is 150k
LegitFifa	Chris move gerrard to the central cm, put pogba right cm, put ucl nainggolan left cm and replace Marcelo with Alex sandro
SnR Realms	Dele is horrible
Owen James	I feel the same I play against people I know I can beat but lose but I win against really good players but lost 3 times to penalties and people scored in plus 2 mins every time
Jacob Hastie	Van Djik is an expensive board
John Boyne	Nainggolan, Walker, Fabinho are the most expensive I think.
Jai Balestra	Kyle walker is expensive board
RunescapeGuidesTeam	Using the work Wi-Fi at dominos pizza to watch you guys :)
Ben Howley	Son
Default God	I had a fucking horrible Saturday started with 8-2 then I lost 10 on the bounce. Still got gold 3 though
Filip123 3	Fifa sucks
Lewys Price	Got 30mins of free WiFi using it best watching this
Baz	Should try inform Mitrovic some time.. his 65 pace makes no difference in the game. He's great.
Harry Clark	Try R9 up top. I played against him and he scored 6! Not even a one-sided game
Rob Truelove	Try prime okocha at ST
RaZe KiLZ	Watching aa9skilz, he said Gerard isn’t amazing cause of his agility thought I’d let u know.   Keep up the good vids tho
M L T	Did everyone else see the 2nd scream Pepe on the market selling for 200k
Dominic McAuley	Van Dijk most expensive board
Logan Lowe	Get inform gundo back
alan croke	Got Nainngolan yesterday hes a board and hes worth 150k
Joshs Backflipz	Dele alli
GamingAccess	I packed pele 95 rated card in a mega pack and plus I enjoy your guys vids cris get champions league merteins and out champions league naingolan
Dan Fleming	Chris use inform gundogan
Kiran James	Matt keep your Pepe until he gets a boost for his pace cause he’ll go up quite alot
Mohammed Ammar	Alli 100% over fred, ALLIS long shots r flipping insane legit can score from miles away, his finesse are next level way better then fred 🔥🔥🔥🔥
Gianni Lendino	Fabinho Son Jesus are best 3 I think for non walkouts. Also goretzka
Finlay Lyon	Did SBCs Earlier And got aubamyang so just bought 45K Packs With Coins And Packed Messi
lynsey keeble	Cruyf isn’t that good cause he doesn’t have the finesse shot trait
REE	Get butragueno I have played 32 fut champs and division rivals matches and he has scored 73
Rory Medlock	naingolan is the best board
Will D	Never sell Stevie
Adicd	Chris buy Messi next
Spencer Candlin	swap the two centre backs around as they’re both on their weaker side. This will allow passes across the back much more easier and less mistakes bound to be made ! Love the content keep it up 👑
Cam No	Absolute crackin vids keep up the amazing work love u guys don’t stop enjoying yourself making the vids 👍
RT Ryan Turner	Bet this comment won’t get featured, best vids on yt by far keep up the good work crackin plurrrrr
Jack stamford	fabinhio is the most expensive board the runners up are son jesus martial and alaba
NickLikes FIFA	Mega Packs are the most underwhelming packs for me
BB HD	Matt the bang same happens with me bro
Aqil Iqbal	Chris if you need help with your midfield why don’t you try Casemiro and swap him into lcm and put Gerard in RCM love the vids
Willsgamez	Matt get rivaldo as striker
Sebastian Ellis	Matt I have prime Larsson and he is actually insane, 8 goals in 4 games so far!
Ant 154	Chris get inform gundogan
Ruben Michaelsen	i did
Unsuboi	why did that 'greeat' at 4:18 sound so weird and special hahah
John Dowle	put fred LCM then put gezza in the middle
Dig D	Matt get baby Cruyff he’s still sick
AbsoluteShadow	Dele Ali is sick
Reece Cressy134	Chris - I would 100% take Fred he’s a cracking plur and he wins a lot of balls and bangs in laods if goals, dele alli loses the ball to easy and his work rate his shambolical 💯
