CLQUDLESS	Am I the only one who doesn’t like Varane? I think Ramos is so much better
Jasper Wesseling	Looking for i icon who is worth around 1 million(Max 1.3 million). Suggestions?
Michael Cook	Anyone know if Aguero is good
c f	Mane or sane?
Noah Wessels	How is umtiti?
Joe Walker	Opinions on erikson
MADiR FC	If you do another one of these ...AZPILICUETA !.. I would like your opinion
Omar Chihani	What about lala in rb?
Klaus Hermann	guys, i need your help! how would you enhance that team: lloris - walker, vandijk, sanchez, mendy - lucas, kante, pogba, hazard - aguero - lukaku. its a 4-4-1-1 atm but that could be changed obviously... i thought about swap mbappe in for lucas.. but i'd prefer a left footed player on the right wing.. so mybe salah, but i'm not too convinced by him. bale would be perfect, but its impossible to include him chemistry wise...
ER7Sport	Would matuidi naingolan and modric on a midfield be good for futchamps got gold 3 so I want to get gold 2 this week and if everything goes well gold 1
fabian röhhsner	what do you think about inform Suarez with a hunter?
Aidan Bouah	Try petit at lb he has everything
Flow	Pogba ?
jamie hughes	Wow.... yawnnnnnnn
Richard Squire	Had dybala... hes too weak. Gets pushed off the ball too easily
Diice	Marquinos is fucking amazing he is perfect with his pace and defending and inform Stark is a beast as well to
Mirko Šaš	What about modric, matuidi, if lala, hazard, potm lucas😁
Rahul Gudka	85 baby icon gattuso
Caio Cartaxo	Dybala is TRASH man, I used him and he is so so so so bad.
Daniel Mainero	Neuer is incredible
Mrviqqo Valdes	please pronounce the name of the players correct....
F. TeeKay	Why put cat on DDG?
womp womp	Get those likes in boys
Matt Smith	Gorilla... Why are you commenting on and recommending players you haven't used or only used in drafts? As you know it's a totally different gameplay. Just stick to your lan tourneys and fut champs mate
Craig Hawes	Wish you went through a few more baby legend or striker legends that you’ve come up against an thought was good
Faaris Rowbotham	First
Connor Jones	Is nesta any good? Like at all?
BounceHub	go out and see sunlight nerd
arglc	Alex Telles at LB. Easy to link too.
