fatimah A	yahooo kaka exited ito panuoren 😁😁
fatima jannah	Ang gaganda talag ng drama ng ABC walang ikot ikot 😍😍😍
Crestianne Karl Rodrigo	I'm so excited for this episode tonight 😱😱😱😱
Heavenly Saha Nhoor Mantugan	....Eva & INNO.. FIGHT FOR THE TRUTH...🙂
Arah Maldita	Grabi ang ganda
I am Teddie	May mapapahiya wahaha. Nakakaawa ka Stella!
Ronaldo Gallo	Ganda ni Rebecca promises
Rhian Julian	suspense
Xien Dema-ala	Mababaliw na stella  😂😂😂😂😂😂
Maridel Enclunar	Full episode
Rasmina Adon	Goo Inno Ipag patuloy mo lng wag kang Susuko 👍👍👍
Stone Heart Fernandez	Yes maganda itp sa lunes
Jean Cho	Na stressfull me kai Stella ah😡🔥    Ang tanong un bag ni Eva saan itinago ni Stella?
fritzie capinpin	san na ang buong kuento ng oct.19 pls...hehe
Vicky Duran	Buti naalala na yung bag ni eva yahoo exciting sa monday same as Halik bukingan na🤗🤗🤗
Angelica Tusoy	Sana naman mas sobrang kahihiyan maramdaman ni stella dito.
Aayin Yin	ito ung inaantay ko na dahil sa nagkapalit na bag malalaman ang katotohanan.
Saguiara U Landap	ito na ang pinaka aabangan ko. go inno itama mo ang panluluko ng ina inahan mu.. !!!
SylDai Kings	Very nice episode...
citrine sue	Akala ko aabot pa ng ilang episodes saka malaman ang totoo. Salamat derik😁
Rose Uy	Aabsngan koto =)
krizzhna mehra	stella maghanda kn dhil mallaman na ni Inno n ikaw ang magnanakaw ng design at hnd si va
Camille Cruzat	InnoVa will definitely win against Stella..but I don't think n mganda pang idea n magtrabaho si Eva sa mga Cortez after what happened..pag-iinitan lng siya dun..but on the other hand, kilig factor din un lalo n kung ipagtatanggol siya ni Inno each time..😄
1michelle mendoza	j o a o
macy macy	Hay salamat...kaso sinunog na nya huh...
Anne Doc	Hinda ako fan ng joshlia pero pinapanood ko ang #NAK kasi maganda hindi paligoy ligoy ang kwento.
The Norms of Life	Karma ni Stella is coming soon 😃
Cathymae gomez	Wag kng Umaangkin d mo pinaghirapan...kapal mokss mo nmn..
sboudreaux27	Go Rebecca Go!
mama mo to	ano kba cassanra hnde nia sasabihin un kc ayaw nga ni eva ng mg ligaw c inno sa kanya kc work muna pg ok na pwede na cla love...love...love
Princess Geenalee	Excited ako sa mga ep...Na mpahiya c stella laks ng loob kc mkabaliktad ng usapan ee bussit
cassandra 50 santamaria	Inno dapat ang sinaabi mo...... eva hindi tayo maghihiwalay .....eva at bakit.....inno.... dahil MAHAL kita😂 akala ko yun yung sasabihin mo
Jonalyn Pepito	Hayyy salamat😍
jhoy Domz	Grabe ang Ganda ni Rebicca at estella. Pero mas bet ko si Rebicca kasi sa totoong buhay mabait siya at namamansin sa mga fan niya. Ganun din si estella sa totoong buhay. Pero sa pinikula mas magaling acting si Revicca. Super ganda pang beauty queen. Morena pinay na pinay ung beauty niya.
Michelle Ramos	Selemet nemen alam na nila na nagkapalit sila ng bag 😩😩😬 Estella! Magtago kna 😂
vilma norcio	Manluluko ka Estella mapapahiya ka hinde sayo yan ikaw nag nakaw sa gamit ni eva lagot kana mapapahiya ka ngayon bruhang Estella
yasmen. Adra	patay kna stella mapapahiya kana😂😂😂
muslima 32	😍😍😍
Jennifer Salway	Go Inno and Eva!
Max and Daisy	Daisy: MORE VIOLENCE!!!  Max: MORE PERVASIVE LANGUAGE!!!!
