Louis Frost	Merkel...what is it about German leaders destroying Europe
Leo Dlva	We the people need to protect our country  These pests want to invade our country and destroy our society just like they have done in their shit holes.  We need to go down to the border and help our military and the border patrol to stop them. Is now or never. We can not let these savages become another problem for us.
Luis P	I don't think people understand how important president Donald Trump is for America. I trust that in the near future we all learn and fully understand of the so needed miracle we know as Donald Trump not only for America but to the whole world also.
bashpr0mpt	So those words are on a plaque and for some reason no one has taken a photo of that plaque? >_> Could it be that it's not a plaque at all? And it's some shitty art exhibit that's in the art gallery section? Because according to photos I've seen of those words on a wall it's an art installation quoting some book by some guy and not a statement by the EU at all. Don't get me wrong, I loath the EU as much as I loath communists, but fuck you for lying to me.
Pastor Paul D	They are replacing the American people. They claim white men are the biggest terrorist threat to America just like Obama said about our troops returning from Iraq . They see humanity as another commodity to be bought and sold as they deem necessary . They want EVERYTHING of yours even your organs . We are dealing with Satan’s very own worshipers themselves. Be prepared to fight for your lives because that’s what they want YOUR LIFE.
colby turner	There goes are grand childerns jobs.TAKEN BY FREE LOADING BORDER BUMS.
Dot to Dot	The new (or should I say, the emerging social) phase of politics. Nationalist vs Globalist.
Ishmahin Bøhn	-At the entrance of the Visitor Center of the European Parlament, there is a plaque with these words:   "National soverignty is the root cause of the most crying evil of our times..  The only final remedy for this evis is the Federal Union of the peoples."
WJ F	let this be known Donald Trump is full of s*** we still don't have a border wall
freedom fox	PUT RED LIGHTS UP FOR THE RED WAVE
Luther Bryson	Build the wall now
Meaghan Galvin	Doitq! Dark 2 light ♡ Potus wwg1wga!♡!
Ante Kate	Pray to JESUS CHRIST for "our" country America, and pray that HE guides our President Donald Trump, to wrest control from all the minions of Satan., who want us dead "and" in Hell
Lockdown420	Throw all Democrats in jail
Gertrude Tarpeh	EEE...
Blau BayouTM	Free helicopter rides for lefties
Genus Musa	Another left wing MOB heading for America.  The left are a violent, fascist mob. The left are trying to kill freedom.
Beverly Drew	Guess what, all you America-hating, communist Leftists and you so-called world "elitists"?  You, like us, are ALL GOING TO DIE SOMEDAY.  YOU WILL NOT BE ABLE TO TAKE YOUR MILLIONS WITH YOU, AND  YOU MOST CERTAINLY WILL FACE GOD ALMIGHTY.  DON'T BELIEVE IN HIM?  WELL, HE DOESN'T BELIEVE IN YOU AND WILL RIGHTLY CONSIGN YOU TO HELL FOR AN ETERNITY WITH YOUR GOD, LUCIFER.  So, so HAPPY to not be one of you!!!
EvaLolaCookie Arellano	#SorosVanArmy https://youtu.be/pTfwSbctNTg
Must be Trippin	I love this channel.
