Candela Gonzalez	Hay una chica en el medio que solo está moviendo sus brazos 🤔😂
thảo nguyễn	Wow so cool
Choco xxxi	쩐다 !! Dope !!
charlie	my inner marching band nerd jumped out and noticed first that there's no pit, or my section from this season. That's also tho like a pretty aight drumline, gotta say. Decent drill, but could have A LOT more variety in it, too, especially considering that these players are most likely experienced in marching. Anywho, that doesn't matter because it's a WHOLE BOP SMH.
ting got7 BTS BNK48 &black pink	ดังระดับโลกเเล้วนะคะ
Mayeesha Maleeha Sneha	S i think errbody noticed but when the groups come together from both sides ,  its the bangtan logo like fidget fudge ? !
Niki Kiki	wow
Moodie Chik	This is dopeee😭🤝‼️
Yoongi yull	Daebak😍
Taecup.Icxns	Yasssssss
Nina Maria Melo	Wow!!!!!!!
Sandra Manies	Very amazing and beautiful. I like
Valbina Roldan	Woauuuuuuu
ItsAlyssa XDDD	Amazing!!  BTS SHOULD SEE DIS!!😍😍
avni zaveri	BTS is taking over the world
Charmmy 5/1	WoW
유딩구이삐	와... 살다살다 미국 응원곡으로 한국 노래가 쓰이는걸 다 보다니... 나는 어릴때 맨날 미국노래로 헤이미키로 응원했는데... 대박이다 진짜...
Jeon JungKook	Perfets ❤ I Like it ❤ Love
Trang Nguyễn Thị Minh	Is that real?
Dung Phạm	👍👍👍👏
Phương Thảo Nguyễn	Wow wow wow wow!!!!!!!!
I'm	Chino music 🎶💜🎶💜
A.R.M.Y minyoogi	❤
ネムネム	ダッサ…………
lad Jaden	Lol
Ntt 1430	I still think about this
Magda Aloush	Omg this is amazing i wanna cry 😭😭
BTS Freak	OMG SOO COOL!!!!!!!!!!!!!!!!
Kimin ARMY, iKONIC	Wow.....😃😃😃😃
NCT Trash	This is amazing!!💜💜 I am so proud of Bts,their hard work and effort really put off! Army forever😂❤️
فضائية ارنوبية BTS	Owo I really bts becom  famous around the dreamer lam proad to be  throwing arme❤💋👍
Mornez Zuwela	Kk
Vy Phạm	What!!!😂😂
Mariaestella Silva	Lindoooos i love bts♥♥♥
IturgirlOrdo	**clapping the hell out of me**
V. I. P NUBER1	Nhạc đám ma
KIM WIAM	Hurray💘BTS💘is an eternational Boy Band👑A.R.M.Y👑for ever💞
overly soft	*This right here makes me so proud that I'm in band.*
Alicia Moua	OMGGG 4 REALLLLL😰😰😰
Trang Bùi	Wao love BTS
Família Bangtan 0.2	Karaleo❤🇧🇷
Linh Nguyễn	Amazing. I proud of you, love you so much
where is jimin's jams ?	Omg bts need to see this , imagine their faces while seeing this 😢😢 I'm so proud of them     *whipping nose while crying*
Cúc Bành Thị	Ối zồi ôi 😂😂😂 hoành tráng vch 😂
DENDI Pratama	Thanks 😘😘
spring daffodils	its so beautiful pround to be an army
Hằng Ami	Wow 😮😮😮😮😮
Jhoseline Bustamante Quispe	I love you
Sky	Incredible! This makes me miss being in a marching band. I didn't know Temp Uni was this cool though. damn!
ARMY BTS	Year BTS IDOL
Le Hang	Bangtan
Kajiini Kriina	amazing!!!!!! so good
oppa Jin Jin	good
Duyên Đỗ	What is event??
JK Golden Maknae _01	Amazing 👏👏👏
อาทิตยา ยอดรองเมือง	Omg  I  Love bts
BTS ARMY	OMG THIS IS SO *AMAZING* I LOVE THIS 😍😍😍💜
Suga	they so lucky ;-;
d Abukhanov	Its fantastic
kim momo	😄😲😍😍
Thorn Naisim	DMV
Lindy Quach	OMG I LOVE THIS!
Adrielf Martinez	Ah nmms que asco 😷😷
Blink Once And Then I Got Bangchan Sonyeondan	The fact that towards the end they dance the actual choreo
GreenN1ghtMare	No way...
Gacha A. R. M. Y	Meu deus BTS!♥♥♥♥♥♥♥♥♥
rindayoongi Hanyi	😘😘😘😍
Monica Alexa Vargas Palacios	Recuerdo cuando BTS era mi secreto y ahora medio mundo los conoce no sé si reír o llorar
Tropical-Llama xox	K this took time and dedication
홍길동	한국인으로써 너무 자랑스럽다
bagus adi wicaksono	gilaa
Caprina Buttram	Oh my god............That is so not fair that they get to play that in their marching band
ARMY - IKUN biệt đội	Wa
N. Aqilah Balqis M. Lokman	BTS are famous <3
DuuH	yassssssssss
