atube4view	HILLARY CRASHED HER BROOM THERE!
Viktor Kulasenkov	Believers, go to Revelacionesmarianas.com and click English. You'll find a lot of answers on your questions.
Martin Mulherin	The funny thing about this... I live 30 min away from this facility, and there has been little to no mention locally about the incident.
Running from Chaos	So this and Hanford in WA stare just after DJT announced end to nuclear treaty with the Ruskies. Hmmm.  Just a thought...
Thomas Shook	Hey dahboo77 Where do you get your information I live 60 miles south of Amarillo and we have heard nothing of this year in taxes so stop being a fear monger
peter Eat-her	I live in Amarillo Texas we had an earthquake about a week ago.. I missed it. "now this" I miss this too !!.. I need to lay off the weed... just a little.. lol
Damien Lusk	I've been subbed for a long time and I stopped getting notifications until the notification I got for this video. I thought Dahboo77 took a break until clicked on the home page and realized there are videos almost daily. Wonder why I stopped getting notifications?
Harrybigballz1 2suckitbitch	Is it a leak ...they need to warn people or they can be and should be criminally charged if indeed that's the case hope not though .
summerlamkin truthseeker	Many thanks shared👍⏩🌠
Brent Key	Not a big deal. Have family who works there and all is good.
Amber Rose	Amarillo is where Obama dumped off a whole lot of Muslims, just saying...
SwirlsDancing	Have you got an update on this please?
Nanci Stark	drudge reported residents smelling gas
Jesse Guerra	Just a day before we had a 4.0 earthquake ...very weird!?!?
D J	The will of the gods is at hand. Their will is our extinction.
TimedPiecesTN	Looks like they're screwing around with us pretty bad. Soros had a "bomb  found" at his house yesterday. Apparenlty Obama, Clintons, & white house today.... They're gonna do something *HORRIBLE* and we ALL know it'll be the "Trump following deplorables" to get the blame!
hidden4est	This is the place nuclear tipped Davie Crockett's were going out the back door, a few yrs. ago...One may have in West, Texas fertilizer plant.
nan mae	Who tried to steal a Nuke?
Wandering Warrior	Totally saw this coming from the Simpsons
sheep dog	may be setting up for anougther land grab...?
Jf WHataHWHat	IF you clicked ok on that O@TH agreement on yahoo then they can legally read all incoming/outgoing E-Mails and record who and where and when and sell any and all information contained within those emails!!!!!!!!!  I read the agreement(ALL of IT) because the name was so strange, I have shifted all but one or two things away from yahoo and click "I'll do it later" until I close the account.   DAHBOO change your E-Mail.
mary s	Oh man...not good !!
Jord Flor	An unverified Twitter account appearing to belong to the Pantex Plant in Amarillo, Texas—a nuclear weapons facility—tweeted that a "security event" on Tuesday has "ended without incident." -newsweek
Misty Moss	I live in Amarillo and have heard nothing on this incident!
Adam Burnett	Jesus Christ is the only way to get to heaven
UltraMonkeySapien	There was a 4.0 earthquake in the same are just a few days ago. I wonder if they are related
Joan Ramsey	Off topic. MIMIC anomoly.
Texas Warrior	i was called up for active duty in south Texas.  something is going down
Brownie Wiseman	They was searching a suspicious car which was cleared. Nothing found. Emgency over
TimothyJames Malseed	block cc.com.us or cccc.com.us
William	What's new ?   🕶                            👅
Don Francisco	Amarillo is an ugly nasty city, I guess all cities are like that.
LegaliseIntellect LegaliseIntellect	FUKUSHIMA!!! Its on and can't be stopped!!!
April D.	In Amarillo now. Havent seen a peep about this until someone tagged me in this video and posted it to my Facebook wall.
billy the dead	Yay fallout
ms furball	yours is the only channel I rely on anymore - you cover so many occurrences that we would never have heard of if not for you - thank you for all your reporting -
803 Mastiff	This is another strange facility. Whenever.you get.inthe area of a facility like this you get.the creeps even when your not aware a place as such.
atanacio villegas	suspicions were raised about a vehicle in the parking lot of the administration building.  The security event at Pantex has ended without incident," the agency said in a tweet which thanked law enforcement for their assistance.
Larry Doss	Pantex came under heavy criticism  in 1985  in a Documentary movie called "The Plutonium Express". Good luck finding that movie  now.....It was full of interviews of Pantex employees who were fearful of a terror attack and theft of plutonium triggers ( "PITS") that were stored there in Amarillo.
Debbie S.	Apparently no big deal. Plant is always under upmost security. Go here: http://www.newschannel10.com/2018/10/23/pantex-declares-unexpected-security-event-ends-without-incident/
Erika Gehm	Can't afford to start a panic now can we, or gosh darn it our elustrious Deep State 🐎hole overlords massive red flag event/massive sacrifice ritual just got stopped? I can't choose.
chase folis	Must be zombies
Sherri Hillstead	Thank U Dahboo 77 for bringing this too all of our attention nuclear components hmmm? There is never a coincidence praying for God protection n safety God bless too everyone n Ur family's ♡
Sherrie Abril	What is the signals group and who can join the group? Thank you. God bless you.
B Brunson	Past inspections of this plant has been dismal.  The past inspectors have stated that they don’t know why the plant has not exploded yet.  Please move this ... plant to a lonely Pacific island.  Right?
Lone Villain	new vid check it !!!  https://www.youtube.com/watch?v=Mux2ZgWhx3M
sj sharksfan	Thanks for the report Dahboo, eyes open!
Android Orangutan	I hope all nuclear sites have those emergency procedures in place an ready at moments notice, especially with the earthquakes going on now.
jacob Schock	DAHBOO77 can you find out anything on the fair fax shooting that took place this tuesday evening? I have no other way to get ahold of tou
Cuttingthruthefog	Pantex has a great ERO...the town and the plant are very well coordinated, because Pantex decomissions nuclear bombs. An operational emergency is one of 3 levels...and they aren't required to notify the public unless there is a threat outside of the plant boundaries. So they DID notify the public, but since they are a major terrorist target zone, they probably have to lock it all down in order to know if it's accidental or intentional. The best guess? A theft of high level nuclear material salvaged from the bombs or the triggers.
dexterdave54	I live in Amarillo, Dahboo, and I hadn't heard a thing. Can't imagine what's going on.
donald duck	Had that quake there 4 pointer other day
Bad Dog	Texas has had several fertilizer plants explode of the last few years
Devonne Clinton Amos	was there an earth quake?
Janet Wilham	DAHBOO PLEASE PLEASE CHECK THIS OUT===USA NET4TRUTH CALL FOR BOOTS TO US BORDER,   OH WOW!!! ITS BEGUN!
Cheeto Bandido	👀 open
Suzanne	Maybe Caravan related......
Tom Tapp	Amarillo by morning ....up from San Antone!  It’s not the same now!
Jeff Klein	It's always Texas lately
Ed Cronin	Thank you for news I cannot get
jmsep84	Oh they're operating it alright....
masterjdogg6	mob of 12k heading to tx.
Bill Lowe	One thing's for sure the government won't tell you the truth. Or anything at all for that matter unless you're trying to mislead you.
Carbon Lux	They practicing for when the Russians come.
bob burl	On it.
Anne Bradley	10/23/2018 10/23/2018 : Planned iCann purge which may cause the internet to go down in the next 48 hrs. See JonXArmy YouTube channel.  https://youtu.be/2CNBkUY
Adventure Diva	Martial law is coming to America. And that's exactly what they want.  Don't fear immigrants. Fear your government. They are Satanists
Revtune	Could be a simple accident like a forklift or some other nonnuclear issue.
Aleene Simpson	THANKS DAHBOO77 FOR THE INFO.. PRAYERS UP... MAY GOD BLESS YOU
El Sea	Trucking through Waco Texas today seeing very heavy chemtrails over that city
Tim Bourque	What's funny is that they will wait till it blow's or leaks before  a evacuation they have to do that instead of scarying the crap out of people... Nuclear power plants are WEAPONS !!!!
chuck c	What stock or digital stock was in the chart at the end of the Video that was way up
Out About	This came to mind: https://youtu.be/Ajhoq8RFuGw
mike schoolcraft	Security measures due to Mexico border and mass flow of who knows.
Mike Kensington	Wow.
kuzunkinuts	Nothing to see here, move along.......   the suits running this place are alyways deceitful. Like the USGS, smoke, mirrors, and no statements, until national guard rip people from their homes to inappropriate  mysterious camps, depends what the truth is  we find recently that 3 reactors blown at Fukushima.  Truth is the 1st casualty, silence is planned while theynempty their desks!!!
Andy M	Democrats using their inside knowledge to possibly destabilize the country and create  problems...... they know how to bring this country down they been planning  for years 20 at least.... if not more... if things don't go their way they will burn the house down .. civility will be restore only if the Democrats win ..... anybody remembers who said that??.....be ready....things are about to get ugly after election days. GOD BLESS.
Byron Maltimore	Dahboo, I'm wondering if you could do a video and breakdown Revelation 6:8, "So I looked, and behold, a pale horse (Could this be Comet 46P/Wirtanen that is coming this December?). And the name of him who sat on it was Death, and Hades followed with him. And power was given to them over a fourth of the earth (NATO allies?), to kill with sword, with hunger, with death, and by the beasts of the earth."  Thanks!
Diane Whitlock	Thanks for this important update!
dantuy ghte	Whaaaaaaaaaaaaaaaaaat!  Are you serious?  Whaaaaaaaaaaaaaaaaaaaaaaaaat!  Are you seriously serious?  Oh my fucking shity God
Ben Ferraiuolo	Amarillo? I just recently talked about the 4.0 quake that hit near there. People said they heard a boom first and then the quake happened, which is quite odd. Now this? What the hell is going on?
Bob Lewicki	This isn't good but I think it's another false flag but you have to consider the people we are up against. Peace stay visual. May God keep us safe.
J.e Woodard	Do you think it's wise to name the location of our facilities with so many TERRORIST on this country?
covenant58	News does not even report these situations. Shame !!
Jackie Welsh	My daughter lives there
Dallas Kennedy	I feel so bad for homeless people and as they continue to destroy this planet, Earth, our home I began to understand more that homelessness is an issue that affects us all... This is our home and we need to protect it and stop acting like guests..
Kathleen Sisco	I would consider this in the same catagory as the astronomy telescope situation as I believe we are experiencing more cosmic rays and UV with perhaps increasing the radioactivity of existing earth gases.
Truth seeker	What's really going on?
Paul M	just reported here in the uk
Mark and Pam Angelo	Trump probably borrowed a bomb to stop the "caravan".
Macrov Endure	Maybe we shouldn’t publish about this location to the world.
Andrew Gohring	Response to invader caravan.
deathmarch5	Trump declared an emergency on migrants headed for the border. Texas is a border state. Nothing sinister here persay.
Ripley LB426	(((WTF)))
