Michael Athanasakis	Big Love from your friend Michael from pefkos! <3
Justin de Guzman	overcompressed
YJ Beatz	Too much reverb but aightttt
Hassan Ali	This is a banger
Touro Beats	This beat is a mazza
Jack Sparrow	Auto tune.com
Prince Samateh	No lie some fire 🔥
Acesiz Official	🌊
sara Nahar	🔥🔥
Predator // Road to 1k	2+2=5
HAMZ_69_X #GANGSHIT	HE'S WEARING ASCO'S GLASSES
Riaz Bawa	BIG TUNE WAVEY MESSY FIRE
TheRicksta89	🔥🔥🔥🔥🔥 big tune !!!!!
Khaled salehimajd	Cringe ?
OutGunnd	Forest gump btec edition
Leon Sesay	This is the lick 🔥🔥🔥🔥 jheeeezze
Reah Mckenzie	SO PROUD OF YOU!! KEEP doing your thing little bro 💃👏💣
Erick Patrick	This is a banger love this song bro do your thing head high and keep going soon blow 🔊🔊soon blow❤️❤️❤️
mohamed aden	mad ting if you like this song put a like
Queen. KJ	Ummmm good
Nouh Abidar	❤❤❤❤👌
Guleid Ali	🙆❤👅
Co Hort	baby can I get your i.g 🙄. Why not ask for her phone number🤔it's quicker than getting replies from your D.ms😁
Shaya Warren	so good
TjFerroVEVO	50 views 🏝🌎💕
Agartha Frimpong	Here b4 all the snapchat hoes put this on thier snaps
500 Subscribers without A video Challenge?	banger
yusuf abdi	Okok
SpartanBeatz	YouTube’s broken again... 35 likes 23 views
Nona Nena	نجب
Music 2018	Here before 1M views
Rana Uarbe	Frist
Nicole Frederick	Ay this is lit 😍
GewAway Playz	First to like
Harvey Dierden	Tune
Smallz DRudeBwoiOfSoca	Second
Eesa Gaming	First  So sub to me  If I sub to me you’ll be very rich soon
rui Andrade	Number 1 my g make me famous
Luke Shh	First to    Day how your day was
Jennahhh Ayy	💗☁️⚡️
young warren	Love this song 10th
Demi Jade	First comment xx
Queen Selma	🤩🤩
Mickz.2bunny	First
Shot_dem_down Fortnite	First
shinya the ninja	Second
XLewis Matthews	Lit
Harri Hanley	First
Zain Faisal	First
