100 M	Thanks°!°
rafael alejandro bravo cadena	Damn lots of negative people around here... if you think you can’t or you can either way you’re right
Dan wood	Bill, your bloody right will start to follow you!!
abdul sijad	punu23 best thing to do is have warm glass of milk put dovet over your head and cuddle up and go to sleep...dream about great adventures and create a world in your head where everybody loves u and u are all powerful just pretend the world dosent matter and dosent realy exist...when u wake up just repeat the process until one day u will get old and nearing death wondering what happened and where did it all go...remember a glass of milk and a duvet and a fantasy is all u need and oh this guy old school bs
FpvExmouth	50 hours a week for 20 years. What if your 67 years old ?  in uk you cant retire until your 67. And most cant retire because in uk the wages are so shit, after you pay your bills and food your broke. A 67 year old man working 50 hours a week would die in the first few months of 50 hours a week labour.
PUNU 23	what do you do when you have a child, no money, no car, no job, living with family who gets mad everytime you ask to go job searching/get dropped off at the library?
GXSRpreper1	oh yea....what do you do with a suspended license no car no job no money.....what do you do??????????
doc breaknik	if you think about it, nothing is everything.
Dibiase	Boo Hoo
thriveni saidam	Great Video!  Success i think is determined by many factors, not just hardwork etc  Recently, I stumbed upon this FREE Android mobile app "21 Pathetic Habits of Losers" by lokesh which explains the habits followed by people who have failed. This was really eye openeer , because we need to understand what we are, then what we need.  Now, I am making some changes to improve myself.  Cheers!
Djako Van Tilburg	Hi people, ive been bussy with a company that made me €700.- in my first weekend. I am not going to talk to much here. Just e mail me or find me on facebook Djako van Tilburg (gwn_djako @ Live.nl) I promise it is going to be worth it.
brave nimz	    Really easy way to earn money within 10 mntz   ....................... http://ThePayBird.com/?id=animanth
jack frost	THAT SHALL NOT KILL ME ONLY MAKES ME STORNGER
THE East Show	i like your video so much . and i am really hard worker i didn't graduate yet but i did a lot of thing and i travel around the world and that was my gr8 success but because i want to be more successful i quit my job to finish my collage but i have problem i want to ask you about it can you send me ur email thanks :)
TabuuAlchemist	thats not that much -_- a lot of ppl make that easily xD
lade sale	I watched this video clip because I  am  looking a lot Online earning method Than I found PanXCash. Cash  do not issue to me I am having more than 3000$ in a 30 days. PanXCash one and only superb method to earn online. I must suggest you PanXCash.
Mike Smith	I spent my last $40 on this program, MCA. It provided me with great benefits and the opportunity to make some serious income. If you want to learn more, you should message me! Anybody can do this.
Paris Fabienne	I am a business student in the UK who hates the idea of having an employer dictate my position in employment and my ability for the rest of my life. I believe that I am more than capable of being my own boss. I have a issue with mathematics which many people say will hold me back and is a barrier for me to get into university. My dream is get into property development and im only 20 and I was wondering if you have any advice if there is anything else I could do to start. Thnk you
Oscar Truest	Thank you sir!
ImFiRiN wItThAtIrOn	This guy is mocking clinical depression. Pure ignorance, how can anyone take you serious if you do not do your research on something you are going to criticize...not to mention their is no credentials behind this con artist. Another low budget motivational speaker trying to make money off of desperate sorry people. 
Miister00	you like dicks? GAAAAYYY
Michael Westlund	im also trying to succeed plz check my channel
Stelian Dimitrov	It would be a shame for you not to make more cash when normal people earn more income  easily using Pudgy Paycheck Secret (Google it).
thaaffguy	If you want free money easily everyday without selling anything then go to my? page RIGHT NOW! 
Lucius Dark	Get a job making $80 a week at Walmart then buy six houses - duh! 
Florencia Aminao	Thank you so much for these teaching videos...i learned a lot...yes a lot...
Kanyinsola O	scaam 
kaxitaksi	If u start with 2 empty hands u will end up with 2 empty hands.. ever heard the sound from clapping one hand?
Phil Tilly	this dudes a dick. i like him.
Oliver Hooper	If anyone has actual Interest with Binary Options, and would like an honest opinion about Strategies then email me at my personal email address, 11hoopeo@bscmail.org .I am a professional Binary Trader making £10,000 a week. In truth Binary Options can be very successful but at the same time you can lose your money as it is high risk and if you don’t have any discipline (which I feel is the most important factor!) Look forward to offering free advice to fellow traders!
jacobmufasa	what do i get if i donate
UnreaL FL	BO HO!
Jamie	The saddest thing about this video is that he didn't know he was being filmed.
Baseer Afridi	Heya, once I told my girlfriend that I was going to go earn cash online, they teased me. But after that I showed them my profits. Go and Google Rapid Cash Fortune to discover the best ways to make money online.
ajbaker7	521?  
Erin Parker	Want to know how to become more successful? John David will guide you in every step you make, check out Proper Income Dot Com, he is a great mentor, he changed my life.
MrPuddinJones	DONATE: 5$ 10$ 20$ 50$ 285$------? why?
jamma bamma	Haha you losers.Be like me.Help me get rich.Now conform.boo who.Work hard for the man.I can't stand this rubbish con man.
AnnexGroup	I like this guy!
MultiTempist	Rather watch will smith... 
John David	You want to succeed starting from nothing. You need to get in on the latest booming industry. Making money online. There were 8 thousand new internet millionaires alone last year. More than any other industry. I'll get you started and youll be making money today. Go to Proper Income dot com
highonbetter	What if you have no car and no money ? and no bike ? 
Job4govdotcom	Find jobs at job4gov.com
space(the final frontier)	yes WH I HAVE NOTHING! how am i going to get something from nothing? h ha helping others? who's helping me? i got shit i gotta pay. i need to make money
Sacred Society	Nice video. I can't hit the donation button though because I have nothing. haha
xram	buhu lol :)
ross williamson	When will your site be fixed? also i dont like average people
A Closer Look	Thank you! Thank you! Thank you!
Khánh Nhật Nguyễn	Post more videos!!! Please! 
Paul Ghergut	You deserve to be famous, keep up the immense work! 
GameFreakPS1	I learned alot watching this. 
Phú Hải Nguyễn	Hey what did u render the video with? looks really good. 
Shadowblade	Brilliant, thankyou!? 
Troy Doughty	Post more videos!!! Please! 
Minh Hoàng	thank youuuuuu :D 
Linh Hoang	omg that was soo fucking crazy. 
Kamarul Hisham Yahya	Boo hoo i got nothing :'( haha... No way im gonna be a loser (
Bigtombowski	Boo hoo!
