Yerin my Sun Youtube my sunshine	Every second are perfect😍😍😍
MultifanDan	This boi knows how to use his hair
kpop love	that’s my son right there
Sharper Mind	Love your work, style and your evolution. KEEP GOING ON, HANG ON, we support you and trust in you !
Mind Prapaporn	💗💗💗💗💗💗💗💗💗💗🐶
Mayela Gilbuela	great dancer amazing singer Mesmerizing Visual Uwu king Aegyo machine One and Only Kim Jungwoo(Junguwu)
Thuỳ Trang	This hairstyle and color really fit him ❤️ 너무 멋있습니다 정우님 👍
Everyone Is So Weird Today	Am I wrong or he lipsync the "dinero, peso, yen, yo quiero, I want it"??   aLSO I LOVE YOU SO MUCH, HONEY 😭✊💗
Anna Caesaria	Oh our precious Jungwoo..
Michelle Latina	Él realmente baila muy bien, OMG, esto es mucho para mis ojos, se ve muy sexy, a veces siento que me encanta verlo bailar.... :)
Maggie Perry	BOI STEALING ALL MY UWUS
Wyz Zsanhel S. Bayo-ang	My boy😂😍😍
gabi ocampos	His fluffy hair though brings me back from death
Blinkie Popie	Jungwoo isnt UWU anymore:(
엔시티 항상윈윈해	그냥 할말이 없다.김정우사랑해 진짜.
blink in your area BUT MULTIFANDOM	Jungwoo in 127? How can?
Irene Wormald	💕💕💕
HotNamjoon 99	I think he's perfect ✔ and he dance skill is power too (broken English) 😂
taehyungs hand on jungkooks waist	YES JUNGWOO HONEY YESSSSSSSSSSSS
Humaira Rahman	This my first time seeing him dancing cause I always see him being all cute and when I saw this vid I was like .... HOLD UP!! So ur telling they where the same person ?!
enryuuu kaizaen	He's so lanky omg
Neinne NK	2:33 jungwoo breaking out of character
Saruhiko Ayame	Jungwoo tienes mucho talento bebe estaré apoyándote siempre
quỳnh như bùi	JungWoo is good!
Valeria Batista Rojas	My baby 😢👏💚 you're so talented, capable and beautiful!! I'm crying, I'm so proud of you! You're doing amazing in this cb, your debut with 127, and here we can see how hard you work you deserve the whole world, ily! 💚💚
Wiktoria Ś.	OMG *MY MAN IS HERE TO KILL ME* I REPEAT *K I L L  M E* ❤❤❤😍
DENNISE ANDREA CRISPIN GREGORIO	Alguien sabe como se llama la aplicación par enfoque de un integrante como ejemplo jungwoo y no en todo el video?
K0 K0	THOSE STARES OH DEAR HOLY COW
Marsha Q	Damn...you killed this performance!! I am loving how you dance...very confident & sexy!!!!! You already have an amazing voice...you are killing it fam!!
parkchanyurl	the fact that someone could even call him a weak dancer has me wanting to pop them upside their head,, try again because eRRoR
Sassy Wonho	Okay Jungwoo I SEE YOU 😝😏
jaehyuns milk	no one is allowed to call jungwoos dancing bad or weak after this
Kittiwara Kitiwan	I was like OMG why he got that beautiful
Juwoos	💛💛💛
R Rodrigues	enterrada
Sofia lol	A classy hoe
Widya _	😍😍😍😵
SAFIRA FIRA	uwuuuu
kpopmultifan	Anyone also notice how bouncy his hair is?!
i ship lisa to all blackpink members	Cam somebody make 2:30 - 2:33 a  gif? I need it for research.
Reva Hasna Nur Faza	1:24 JUNGUWUUUU
azza A	You did well 🧡☹️
balqismark	junguwu? this is junguwoah!
Srishti Maitra	yes baby work it!!!!!!
Jimin Lord of the Jams	As a dancer myself I see that Jungwoo works hard to come to where he's at right now with his dance. His movement is inherently tight but he executes motions with precision. I don't see a huge amount of "swag" as everything is so tense. I do admire the train ethic of SM entertainment tho. His style is interesting too. I don't think he is where he is at because of talent though. Gotta admire him still
Dana Hugel	THIS WAS SO GOOD BRUH THE BEST IHMYFOS JUNGWOWOSO
karla seasonie orbit	JUNGWOO KING!!
Kim Réka	My UWU heart is die
Mindy Minho	Our uwu boy is so different when he's performing 😭😭😭
Diana Zharkynbek kyzy	Jungwoo is super handsome and super talented
함필규	정우야 열심히 해서 너무 보기좋다ㅠㅠㅠ 다들 엔시티 파세요
A K A R I A	We love a cutie
Haha Hope	Cute orange 🍊
NCT TRASH	junguwu sliding his fingers through his hair is my life
moon child	I can't stop uwu-ing over him even though he's serious but damn his movess are great !!
Hera Kharisma Suandi	Jungwoo jungwoo jungwoo
Princess. E	Junguwu has left the chat
love nct	HE IS A BABY AHHHHH
멜Kara	I don’t know how some “NCTzens” say that he can’t dance. MFG ¿don’t you see? ¿Are you blind?  Cause Jungwoo has a lot of talent. He is so fluid. I think every dancer has his own style, and I think Jungwoo style is AMAZING. (ignoring the fact that he is very adorable)  I’m proud of my baby boy. He was so nervious in his debut and now💕
Santi Rosmaria	jungwoo 😘😍
My Mochi	*UWU*
_호랼랼랼	정우 이번에 너무잘생기건아니냐..어디 고친줄알았자나...개잘생겨졋어
xingsweakness	BAD SQUISHY BAD SQUISHY
Hao Hao	Jungwoo is honestly an amazing dancer but he is SO underrated. I think it’s the same situation as Renjun, both of them have really good dance skills but they don’t have the recognition they deserve cause they are known for their vocal habilities, that are incredible too.  JUNGWOO YOU ARE DOING GREAT SWEETIE
Reina de Guzman	he’s improved so much i’m sobbing
JB Earl Tan	0:57
Imani Rachal	Why does jungwoo look and give off the same vibes as taemin from shinee
Exol Nctzen Reveluv SMSTAN	HOI DI AKO NAGSASAWANG PANOORIN SI JUNGWOO JUSQ MAHAL NA MAHAL Q TO
akeyt elo	ILY JUNGUWU
Divetri Riyadi	2:34 Taemin joins NCT now
denisse chuco	He is really a good dancer <3
Daniela DTM	UwU ♥♥♥♥so cute ♥♥♥
jungwoo skAret	Junguwu
Alison Anthony	2:35 Jungwoo's inner Taemin just came out
Rechil Abenir	He really looks like taemin 😍😍
mariana.	he has _the stuff_
Asem Azat	❤❤❤❤❤
II ZALIM II	😻😻😻😻
shaavehlovely Clarke	I'm trying to find ten
정우의 전용통장	진짜 정우를 알아서 세상 다행이다.  정우야 이제 계좌번호 부르기만 하면 돼.
oxehans oxehans	SO happy he was added to the 127 lineup, he is such a talented boy!!!
Gem	Jungwoo more like JungWOW
EXO L	So NCT 127 have Triple J too
Rose Yoo	Put him beside Jaehyun he will still looked posh 💋
yoonmins	SM YOU KNOW WHAT I WANTED THANK YOU.
devinah malu	DAAAAYYYYANNG hes an amazing dancer yooo!!! Not only he a vocal king but a dancing king too! 🔥🔥😍
Bad boy Reveluv	so hott
K-Pop INDIA	*Jungwoo is life goals HE CAN LITERALLY DO ANYTHING from being super cute to being super sexy* Edit: At 2:34 he looks like a freaking god
Temple Bennett-Robinson	when ur this close to ulting jungwoo
belu tamara montoya cadillo	I love it
Primadonna Girl	Love you my sweet sunshine
Berliana Budi Putri	Sasssyyy
Jay Taduyo	I can honestly see why he's been added to the group. He's so freaking TALENTED! 🔥
Jud1	doesnt jungwoo look like ariana grande ? 3:36
love myself love yourself	How many times did they dance? Try comparing HAECHAN in his focus n in Jungwoo focus. It's different
virtual character	Is jungwu rose's blackpink male ver??? I love the way his hair moveeeeee~
sis wyd? im watching nct videos go away	*"Rudewoo is so underrated"* *Intensifies*
Abeera khan	JUNGWOO is cute my god they are all so talented wallah! 🔥🔥🔥 #nct4life
BABABA BABABANA	ไม่ใช่ยัยน้อนอีกต่อไปㅠㅡㅠ
-intricake	1:55 SIR ARE THOSE _GANG SIGNS_
Ju Dy	let's be real he's so hot, like the way he dances !!!
insta musiclover69	Are they gon make 15 more of these?
fauzia azka	Sponsord by coca cola
r e	2.34 sexy 😳😍
Jungtea Bts	I love u jungwoo
Mishaaa Ongsshii	Hair color ❤
crusty toes	jungwoo oppar pls eat my ass
yulinda senisa	Great baby you've worked hard and you deserve anything in the future. I love you💙
du light	Junguwu
امجاد	SWEET POTATO 🍠 ♥️♥️
Ba by	미쳐따
발닦개	정우야 2:00 내가 감히 2:24 이 영상을 2:33 무료료 봐도 2:55 되는 걸까
hellevators	"IT WAS SO EASY"
Oli Via	my little heart
Shellynda 123678	Thanks SM for making my life complete with this video!
Harriet Joy Grava	Uri bb Jungwoo!!!!!!!!!!! You're beyond perfect!!!!! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
Brindis Ahgase	HELL YEAH JUNGWOO BBY UR KILLING IT
BTS iKON SVT	That ending tho!
Tamir Onon	jungwoo is nct’s taemin
Kryzel Liza Vaay	mom, I'll marry this man,, (even in my dreams) sizzling dance skills,,, even good at singing and visuals? waw...
Tae bae	*JUNGWOOOOOOOOOO*
Sela Alison	Hopping up my bias list faster than a plane takes off.
박성지이이이	T-that’s my baby b-boy 💖💞💕💝💓✨💕💖💝💝✨💫💝💞
Shania Rosslyn	Is it weird that i'm in love with his body/how his body moves?  He's such an amazing dancer and no one talks about it??? I really hope jungwoo gets more recognition cause he's really talented!
gae nctstan	2:26 over here we get a glance of Taeyongs booty
Chloe Benton	JUNGUWUUUU
Sweetcel Centino	Jungwoo love youuu❤️😻💕💕💕
ddd	2:33 hotttttt
cuddlymoontaeil	why tf is he so hot
Heyitslori	Ever since i discovered jungwoo's upper and lower body are literally divided 50/50 I get so distracted bij his dancing I can't unsee it
Prdsdef.taeil	“Jungwoo is the best of all 3 worlds.. he can sing, dance, and is handsome” - Doyoung aka me also
wheaty yeety	brUh mY bAby s n A p p ed
harrylieber	jungwoo is a walking uwu
부엉이성열	비율 대박
The Overlord Bear's Den	2:33 When uwu transforms into OWO
BLACKINK BTS	น่ารัก
iqmal zamri	2:33 that is so taemin! He will shine someday....
Sema Nur	damn boi okay i see u 🤡
mark’s seagull eyebrows	*cries in tangerine*
Lea Nicolasora	He looks so soft but he is a damn good dancer and singer!! <3
seul0gi soft	jungwoo's face reminds me of this japanese actor. they really do alike
SPREAD LOVE N LOVE NCT	Wait so the solo shots are not from the same dance practice??? Now it makes sense.....
Maia Devina	JUNGWOO YOURE SUPPOSED TO BE ALL CUTE CUTIE NOT SEXY
aliya s	DANCER JUNGWOO
MONEYMXKER	2:34 FUCK IT HONEY! GIVE IT TO ‘EM
Rizky Puteri	My babe
Cindy Adjei	Jungwoo snapped and there's no going back
Kris Taylor	@ Jungwoo, why are you loud hot? I'm not used to this, pls relax thank you 🙈
Vaisravana Prajnadhira Ahimsa	hoodies and trainers are 99999999 times hotter on him tf
Isabel Poot	i dropped all my òwós
Zena Cheong	JUNGUWU!!!!!!!!!
Ryanne Montero	junguwu who? I only know JUNGWOO skarut *-*
jaehyun's milk	Boy, what shamppo are you using?
Hail Storm	Jungwoo is the love of my life 🧡
Chaitrali Patne	Not only Jungwoo dances but his hair too dances
oof paci	as a jungwoo i can say that i approve.
최하원	2:33 2:33 2:33🙊🙊👍👍
Damien Maia	OMG! Sucha a dancer! And there's no need to make me hold my breath with that glare... But thank you
Jasef Valenzuela	2:33 POSE DIVAAAA🔥🔥🔥🔥
intaellectual	he got them smooth moves
Rujeeiice -/\-	jungwoo ;---;
xuximytuxi UwU	1:11 did the cameraman lose him😂
Richa Srivastava	Istg I need Junwoo's shampoo.. his hair. So FLUFFY. ❤️
Ciara Forever	Goodness.. So hard to choose a bias of nct everyone's so amazing, handsome and talented
dream tofu	2:33-2:36 YESSS  jungwoo i love you so much you are amazing
Too multifandom to pick a name :/	not to be tHAT PERSON but ;;;; poor boy he has no butt 😔
Christina 2222	SO GOOOD!
