TRUMP 2020	RETWEET so Trump and others will see http twitter com JFord1984 status 1053801611514892288
Ideologically Controversial	This ad show age discrimination How dare this ad mock old people The republican ha sunk to a new low Sarcasm
Awkward History	Remember this is all for nothing if you dont actually go to the poll and vote GO VOTE YOU FUCKERS
Sergeant Major Gross	The GOP should hire you
Info Hub	So good May God have mercy on u and our country NeedGod Com
Sigman Floyd	That s just it the Left doesn t care about the economy 🙄 🇨🇦
Venom	The filthy scum bag communist mob along with the caravan should be launched into deep space
Julia Gunnells	Simply AWESOME Well done
Casa Grande	It ’ s almost a good a the original MAGA http youtu be r496UPraKvk
patricia thomas	This absolutely need to run on every station non stop until Nov 6th
YuToob7	Use the leftist s social medium against them especially Twitter to post this on their lefTARD activist member s latest tweet who have mega follower i e obama hillary oprah d rep and senator up for re election leftist hollyweirdos and music performer Save Our Country and have some fun at the same time
Frank Muniz	Get out and vote Red November 6🇺🇸
Rob G	70 YouTube employee down voted this
Mark Proffitt	NOT SURE about the structure of the ad Music feel the same for GOP good portion a the Democrat bad portion The phrase that s when civility can start again requires the listener to do a negative conversion in their head You want to clearly link positive emotion to one action negative emotion to the other action The imagery is good The music structure seems off
Don .P	Just say no to Democrat Cultural Marxism
Akeem Simon	Great ad
Diogo Bragança	Why isn ’ t this trending It ’ s so awesome
Ronie Zocchio	As long a million dollar electoral campaign are allowed there will be corruption in the government because someone will have to pay the campaign bill right No one donates so much money to an election campaign idly There is no such idealism in this world or humanity would not suffer from so many evil
William	He actually posted this on instagram http www instagram com p Bpm zHPA7nj utm source ig share sheet igshid 4drer68s4u0i
nothing to see here move along	plz someone tell me what song is that
Live	search job not mob default order relevance can t find this video then change ordering to view this video is on the top where it should be Not quite shadow banning but got ta give Google prop for really putting their head together to come up with a new way of censoring
Борил Радев	White people built up modern civilization laying the foundation of Christian value Now the Muslim barbarian detonate themselves in the name of Allah while Negros and other colored commit 90 of the crime with the powerful support of neo Bolsheviks the left and the liberal
swimkin	I am voting all Republican this time No DEMS have my vote
Forjo Atinxan	Congrats and thank you The President just tweeted your ad
xaderp	Congrats
Mykill Myers	you made it
thynderhead99	Congratulations You now get a cut of every profit from the salt this video ha generated from the Left
Genesis Maldonado	HE JUST TWEETED THIS
Skating4LIFe117	Only 643 sub and you got acknowledged by senpai Congrats
Joakim	Fucking legendary Trump tweeted it http twitter com realDonaldTrump status 1057715198684000258
DarkVageta	He fucking used it Dude you re famous
A Canadian in Europe	Great ad oh and Trump just tweeted it reddit BTFO
BCrow	Brilliant
Oliver Cromwell Did Nothing Wrong	Good job bro
Tom Jensen	Dude kino Trump just posted this to his Twitter and the leftist are absolutely fucking seething Congrats This is fucking great — the Pres just used your OC to trigger a salt avalanche and embolden encourage voter participation Wow jobsnotmobs maga
Matt	CONGRATS MAN
StormyPatriot21 Joe	Trump sent me
The Supreme	Trump retweeted it
Tarek Reykjavik	AHHHHH HE SHARED THIS
yoshigotgun	THE PRESIDENT RETWEETED THIS SHIT MY NIGGA YOU JUST SAVED AMERICA
Decoded illusioN	Oh snap HE DID IT
Martin Page	BOOM
Terry Wrist	PoL WORLDWIDE MAGA
Tobi Csatorna	TRUMP JUST TWEETED THIS ANTIFA BTFO
CANDYtime94	The president just tweeted this video
Favs forme	Powerful Voted Red All the Way God Bless the USA
V J	Impeachment Hague tribunal
Jason C	Propaganda
Jason Buckwheat	LISTEN TO THIS IDIOT OBAMA TRYING TO LAY CLAIM TO WHAT OUT PRESIDENT TRUMP HAS DONE THE ONLY THING THIS JACKASS OBAMA WANT FOR FOR AMERICA COLAPS OF OUR ECONOMY
lawg nell	This is awesome And there ’ s so much truth to it There ’ s absolutely no propaganda happening here whatsoever No siree And I know that because I am a typical trump supporter with a high school education at best who is not the least bit gullible or susceptible to half truth lie and twisted logic I ’ m a patriot And Jesus is on MY side YAY ME MAGA baby
EMMO box	I need your opinion and evaluation http www amazon com dp B07JQZ6DRB
Junkman2000	Meanwhile a TRUMP supporter wa just arrested for sending bomb to democrat Nice mob move Trumpanzee
Mark Henderson	Persuasive to a dipshit Anyone could make a cherry picked pile of garbage and portray the GOP that way
Blade Raid	KILLERY need to be in PRISON
VinnieLepore	This is so brutally honest This just shortcircuits the NPCs
Vanessa T	Brilliant applause
reem ali	Jobs not Mobs tee support Republicans in the midterm election 2018 http www amazon com Jobs not Mobs Vote T shirt dp B07JMLN83B ref sr 1 3 s apparel ie UTF8 qid 1540483635 sr 1 3 nodeID 7141123011 psd 1
Margaret Harkins	MAGA Trump 2020🇺🇸🇺🇸🇺🇸
Sandy C	This is the best ad ever I just posted it to my Facebook You deserve a medal for making this video
o Wendel	Fuck cnn
