Mojgan 2015	🔴بعد ازتابیدن خورشید ری‌استارت وآشکار شدنِ همه چیز ازنورِآفتاب حقیقت،شاید روزی نیاز باشد که شیرِ روی پرچم ایران دست به شمشیر شده و چیزی اتفاق بیفتدکه لیدر ری‌استارت و ری‌استارتی‌ها دوسال است باجان و دل،اشک و التماس استدلال و منطق تلاش می‌کنندکه کار به آنجا نرسد RestartMIGA
Baron Restart	Restart make Iran great again restart miga You the Brest Greg infowars 👍👍🙏🙏🙏🇺🇸🇺🇸🇺🇸✅✅✅✌️✌️✌️❤️❤️❤️🌹🌹🌹
Mojib Nurbakhsh	Ilove American ilove restart ❤️😍🌷😘👏🙏
Mahdi Gx	restart miga روز کوروش کبیر مبارک 🌹
jack london	You re the best of the best Iranians love USA Israel Saudi Arabia MBS we can create a new alliance with together in Cyrus Empire era in future of Iran with Restart movement
mohammad ramezani	restart
kashlij b	روز کوروش بزرگ مبارک
korosh karami	Greetings to President Tramp and the popular leader of million of resetters Long live the Restart Opposition the only way to save the Iranian nation
Asra Asma	restart
savior 14	restart ❤❤❤ seyed mohamad hosseini
Sara Shahriyari	VIVA RESTART THANK YOU
Restart Opposition	Thank you Greg for breaking the censorship of the Restart opposition Restart is LOVE
Pedro Pirzad	Restart is the reality of life
Sogand Moshtaghi	Perfect 👌 💖
Hamid 6music6	Restart make Iran great again
U.S. Constitution	The people of every country need to take control of there evil government That why I pray to GOD to destroy our evil anti GOD government here a well evil anti GOD government around the world
farshad soroush nia	Restart is LOVE
Tia TN	Restart will make Iran great again ❤
Gяαƴ VısıØn	The leader of Restart ha explained some of the rule of this kind of government in his radio program called Cyrus Empire In this type of government people and society will progress rapidly and thought and wisdom will replace superstition The proposed government of RestartOpposition s leader which is a type of ruling by the wise and elite based on the thought and idea of Plato Sa ’ di Rumi and the mystic and important philosopher of the world would replace the Islamic Republic of Iran
مهیار ازنو	Thank you very much for your support We are grateful and waiting for your other video about Restart thought and Restart Opposition challenge and action We need your help
Ali D. Sarabi	Restart make Iran great again
Navid Sn	Tnx 👌👌👌👏👏 restart 💪💪❤💙
Sia LawLess	Come on you Restart guy made a huge movement Thank you guy seriously you did something great Also would appreciate AlexJones for such support 🙏
Erfan Erfan	thank you so much for supporting the most popular and powerful iranian opposition🌷♥️ restart Restartwillmakeirangreatagain
RESTART only way	Thank you so much for supporting Restart Opposition God bless you 🙏🙏🙏❤🌷🌷
Farzaneh 7	Alex Jones and Greg Resse are our hero We Iranians are proud of you 🌹🌹🌹🌹
JA NAK	thank u mr alex jones and greg ❤❤❤🌷🌷 restart opposition restartwillmakeirangreateagain
myselftsunami h	thank you for your support 🌹😘❤✌ Restart will make iran great again MIGA زنده باد ری استارت زنده باد سید محمد حسینی
nefertiti tanri	Tnx tnx restart😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
BN 1Restart.a.f	Mr Jones and Mr Reese Thank you for support restart opposition I will never forget it President Trump is making America great again we will make Iran great again We love USA
Rollin Shultz	How hard would it be to confiscate his passport This should be a no brainer Edit In this case it should be no trouble getting a valid FISA warrant to surveil his as
Mohammad Forsati	Thank you Mr Jones
Niloofar nkpsh	thank you for supporting restart opposition Mahatma Gandhi is back to change the world starting from Iran he life in California and he need to be heard his name is Seyed Mohammad Hosseini who is supported by million of Persians Please hear him out and interview him
arash tiami	love Restart only Restart can change the iran regime to good thank for your sopport
صوفی صوفیان	Thank you mr greg for support restart
Whose Law	Long Live Restart Don t let Rothschild print your money Print your own money and stay free
A D	Excellent run down
antiDemocrat patriot	John Kerry only prof how much the DNC and the Deep State can not be trusted with internal or foreign affair Thank God my country finally ha a president to take a stand against criminal scum such a the Khamenei John Kerry and the the Deep State
Mustafa Rahmani	Thanks for supporting you from the restart opposition ❤❤
Shaz Oldman	Thank you for support restart opposition we ll make iran great and free again
The impeccable speculator 45	Do more video Greg I love them you do them so well
Hamed	Restart is the only opposition that can set Iran free from terrorism
arsin mrz	Thank you alex jones for support restart opposition and telling the truth
Saeed R.S	Love Restart Opposition👍⚘❤
Fox Mulder	THAT wa an AWESOME piece Good primer Greg Though the fact that Khoumeni wa installed by MI5 6 wa missing o Think Alex ha also mentioned this fact in the past http larouchepub com eiw public 1979 eirv06n27 19790710 eirv06n27 19790710 039 the ayatollah khomeini is a sava pdf http www discoveringislam org Khomeini british agent htm with Murica CIA s help of course http www theguardian com world 2016 jun 10 ayatollah khomeini jimmy carter administration iran revolution http www bbc com news world u canada 36431160
