Hajira Ibraheem	buray ko chorna kia piar hai mere Sarkar nibhao mujh ko mere aib ko mere Dildar 🙏
abdul haee abdul haee	subhan Allah
IMRAN MANIYAR	RA RIAZ GOHAR SHAHI MARHABA YA SAYYEDI JI APKI NAZARE KARAM HUM SAB PE BAANEY RAKHNE MALIK
iffat Gohar	Jee sayyidi jee hum mazloomon ko aap hi Karen Sahara hai rishte sab zaroorat k hai Gohar Shahi ki mai bhee kutya hoon jabai mayoos hotee hoon to parhti hoon NA HO MAYOOSE PUR UMEED REH GOHAR KO AANA HAI
Rana Sahab	aap ka hukam sar aankhon par
Aref khan	Gohar shahi marhaba ya shanshaye ishq
Syed Javeed	Gohar shahi marhaba Beshak Hum kisi ko bazi marne nahi denge agar koi gohar shahi ke gulam ethne bhi kamzor nahi hai hum koshish karenge ke gohar shahi ke hum khuttay bhi sher ke barabar hai agar muj nacheez se koi kustagi hogai ho tho maff kardena
Jasmin Amjad	گوہر شاہی مرحبا اے شہنشاہ عشق
Sabirqureshy Sabir	syydna imam mehdi Gohr shahimrhba
asif gohar	subhan rariaz
Erfaan Khan	Aap na roein duniya kamzor samajh kar jine nahi degi
Amira Khusbu	Phli bar apko itna emotional hote dekha sach bolo to hmien bhi takleef hui dekh ke
