Wwe Jay	Hero face aavathu kattirukalam
rock andy	Part 1 e podhum part 2 vendam please
Encounter Productions	Parotta soori 2
Rahul Rahul	Supper Supper
Harijazz Creation	tiz is d Real Kabaddi I love Kabaddi this is my GamE
faizU vidS	Love u my KABADDI
Syd Stm	Kabaddi fan like here
Jaya Raj	Vishnu iruntha tan Padam oodum Ilana mokka 😂
Surya Nellai	முதல் படம் மிக எதார்த்த கதை மற்றும் தத்ரூபம் ஆன கபடி களத்தை கொண்டது தயவு செய்து அதை சிறிதும் மாறாமல் கதையை அமைக்கவும்
Dinesh Kumar	வாழ்த்துக்கள் கிடைக்கிற வாய்ப்பை பயன்படுத்துங்கள் விக்ராந்த்
balakumar9	Soori idhula perform panma dhan undu
saranviknesh Viswanathan	hope this movie be the career break hit for vikranth
Mohammed Ashik	Hero Yaru
GREEN tech -க்ரீன் டெக்	vishnukaga pakalam
karthick swaminathan	only for vishnu vishnu illana padam waste
Gowtham Dion	🙄🙄Frst part laye hero sethu poitaru Aavuna second part nu kelambiranga😒
Diwa Kar	Part 2 nalla edunga erkanave saamy2 sanda kozhi 2 pochi neengalum poidadhinaga blue sattai parattanum one time watching nu sollanum pathukonga
pachis m	Waiting bro
Muthu Lakshmi	Ground a kamichi mudichiteenga Ithaan unga teaser uh😏
KING MAKER	We are will be waiting
Palani Vellavan	All the sequel are flop I hope this one will not be in that series
Safi Ahmed	Super waiting
Rajesh R	I am waiting
Thiru Manickam	2 3 nu etutthu enta kevalapadutthiringa
Thangesh Waran	vikranth anna
Nary Vip	Vishnu vishal illaya Appa flop thaan 😡
selvanayaki ram	Wow vikranth
ARJUN KRISHNA	Itaiyu viddu vekkalaiyada neenga orupadave mattingada
Harsha	We all r waiting
Sweety karuna	I love part 1 so much Elathukumey part 2 eduka start pannitanga😢 96 mathri epomey 1st love thaan best Nothing can replace it😊😋😉😇
nirojan antony	Waiting
Mohammed Ajmal	ennappa ellarum ippo part 2 edukka aarambichitteenga
RAJA RAJA	Diwali ku realase aguma iam waiting congrats vkk2 team
Shahitheen Shahith	Soori waste kandippa disaster thaan mokka comedy pannuvan
arun p	Not a teaser time waste
Tamil Whatsapp Status தமிழ்	Ilayathalapathy Vijay Ghilli Vijay brother Vikranth VKK2
Samuga Nalan Karudhi	I am waiting
#WHISTLE ARMY	vazhthukkal
Rabin Mohamed	Come back hit movie
Tamil Thendral	vip 2 ko 2 singam 2 3 saamy 2 sandakoli 2 pizza 2 billa 2 ellame first part uh kola panna film antha list la than ithuvum vara pothu
20 20	Nalla illa pa
sarkar news	I am waiting
Pradeep Sankaran	Waiting
Akbar Hussain	All the best
Grpravind Ravi	Mokkkkkkaaaaa
Ram Boxer	Music yaru
Krishna prasath	part 2 season pola
Sam A	I am waiting
Ramya Kannan	Part 1 maathiri irukanum pl kevala padathidathinga please
sathya solai	Mass thala
karthik kinng	Otha ground Katrathukku than intha video va
Vimal Vikranth	Vikranth anna fan da 🤙 Verithanam
Vivek divya	Wow super movie
MAKE IT SIMPLE S I V A	Ground than first look ahh😔😖😌😭
Sarvesh Sarvesh	Came here after seeing AR Muragadoss s tweet
Sivaa Prasath	nala iruku🐴🐴🐴🐴🐴
The Top Dog	Waiting to see Arthana Binu 😍💝
Whatsapp status tamil	Happy
Crazy Creations	Confirm flop dhaan
gurumurthy m	My Best Movie
Bharathi Ganesan	Bro movie ah naalla edunga ippolaam part 2 part 2 nu solli part 1 ah aasinga paduthiduranga be careful
jegan m	Vikranth ennaku romba pidikum avar nala varanum
Sony music Tamil	Massssßss
roy kk	Only for Vikranth
Shankar M	Im waiting
The PARTY	purpose iruntha mattum part 2 edunga makkal ku pudicha movie ellam part 2 dra per la kedukathinga anyhow congrats
Angelin jeba	Best wish from NGK team
Karthik Kumar	But first part hero Dead than
Sarkar Orton	Enda nalla padatha ellam Part 2 nu solli athoda pera kedukkiringa Kandippa ithuvum flop than
KANOJ KUMAR	All the best 👍👍👍💪💪💪
Mirchi Dhilip	vishnu vishal ah semmaya pannuvar bro
Hariprasanth Hariprasanth	Happy
Harrys Hari	இந்த பார்ட்லயாவது ஹீரோ சாகாம இருக்கனும்😰
E4 Entertainment	24×7 live live music station engapoyi kittunilla
Anantha Krishnan Radhakrishnan	Kabadi like hit like
Surya Mani	Part 1 pera keduthuradhinga pa
CHIYAAN MRG	I am waiting 😟
emy emy	onney enaku pudikadhu 😂😂😂😂2 vera
Navaneeth Krish	வாழ்த்துக்கள்
suganya vijayan	Plz Pothum part two eallam film
Strbalan Strbalan	Wow super
Naughtyrascal tk	Waiting see our place in this film 💝 this movie shooted in virudhunagar side💪👌👌👌
AJAY YADAV	Vikranth sirrr waiting
Nkg Prakash	Not teaser this is motion poster
PITS status creation	Best wish from vadachennai team👍
Aj 4 media tech	👍
Roman Empire	Nyc
franko stark franko	Vazhthukal padam Uruvagi vetri adaiya
Venky Venky	This is poster
Arun Chandran	All the best
Izzz Creation	First
