game freak	Why are you screaming Stop it
Michael Halbrook	Do you know how not to yell the whole fuckin time
xD	Gaya is hella gay
Luke Williams	Offline is just so boring playing 40 game of that is just dead to me if it wa just 4 game a day I ’ d do it but with fur champ division a well it ’ s too many game
Antonio Soares	Não sejas assim AA9skillz Sabrina não é mau de todo xD
Fruzzy T	Why is he buying point on a RTG
Wob Wob Ninja	You just special man That s why
Michael Quinn	Wjnaldum Wanyama
PiggyGamer	I dont play it too much because i think it more boring then rival so i use the time i have to do rival
BOMBMAN323 OW	I played fit champ and it didn ’ t give me any rewards😪
Prince Eton	Why doe everyone have these crazy team then bronze player on the bench Am I missing something
LMA GAMING	sell henry
Ethan Irwin	Please don t get Best because then you will say good thing about him and his price will go up coz I m saving up for him
BEAST x G0Lden	Squad battle is time consuming
Kevin Owens	Dashie fan came here
Louie Jakes	14 win 14 loss
Dylzeo Playz	Get bale instead of neymar
Aaron Hammond	I ’ m a Leicester fan so thanks for the love Skillz
Psycho XIIX	Have no time and i think ronald give me more w9th al the oppertunities i can play do ye keep on the doen
Masqerader	Offline beat playing against nothing but people who spends 1000 to win a game of finesse kick
Cody White	I ’ ve watched you for a long time now Wanted to say the reason I watch your video besides the content the high reward and how good of a player you are You are pure at heart and you absolutely love your job and truly appreciate your support For most content creator I can ’ t feel even close to the love and appreciation like you put through your work Keep up the good video man Never give up God bless you Btw would keep Henry and sell blanc and save up a bit longer for gullit
orifah28	I don ’ t play squad battle cu it ’ s not a fun a rival
Will Watson	Quit flexin you know you like Sabrina Skillz
Classic Xi	I need help tell me a squad to buy with 200k
GTA Fox	Fair play to you bro mentioning the Leicester incident it wa a nice touch
Angel Garcia	I play squad battle because it free reward when I put youtube video on in the backround
oscar molina	Fifa 19 The Stupidest Game Ever made
crazyfullife	Packed 89 Klose out of my elite1 sb reward yesterday
DHS D	PLEASE GETTTTT GULLIY
Jac Ankers	Got Kevin de Bruyne and van dyke from silver 1 reward
Liam Mcbride	I use to love squad battle I can easily get elite 1 every week but I can never get anywhere near the top 100 despite watching your video on how to so I tend not to play it no more 😞
_ _	I spend around 1 2 hour a day on average on FIFA during the week day when i only have that little amount of time on the game i prefer playing online and doing SBC s and such If i had the time like you do i d 100 also do Squad Battles no doubt Ppl got ta remember the time you got on your hand compared to u regular fifa player Oh btw don t get rid of Henry
LGR Games	Sell them and try and get gullet and inform mbpape
George Rowe	🦊💙🙏🏻
Kyriakos Christoforou	Blanc of course
Reece Goatley	Mbappe
JohnBvoN	i got pogba for gold 2 squad battle lol
Donald duck	Nice
Vpg / Vpgw Royals	29 1 cuz of your record 😂😂🔥🔥👊🏿
Aslan B	Squad battle is the pnly thing i play that s where i at least skip playing against kid who dab and sweat all the time
NIjah Reid	my friend played 8 game and got dybala i got to elite 1 and got no board
Dean Karas	Sabrina is a banger
Karel Stroeykens	Play the pro tournament
banjo ranvir	Yes giullet
xD VINNY	Insane
StQu The StarQuest	I don t have time to play squad battle and even fut champ because of university who else
Evan Rogers	Absolutely top class guy keep up the good work 😎
Ben Evans	I got gold 2 cause I didn ’ t really play but packed Sergio Ramos out of a mixed player pack
Nicole Allouche	I actually love this guy
Sam Moss	No keep Henry
Paul Geldenhuis	I like how fifa is important to you and you play everyday but you still know that some thing are more important and you don t mind skipping a set of squad battle to spend time with your girlfriend 👍👍
Jabu Deng	1030
timothie goodshaw	You would make more fan from Being in the pro scene
Levi0113	Love your video bro being watching since Fifa 12 booyah team
Kristina Baidakova	I play squad battle beacause i cant get playstation plus
adioz1337	what is the fun in getting the same player he had in fifa 18 why not try out some of the new cool icon like Ballack Eusebio Cruyff Butragueño Figo and such
Pedro Henrique	u just really sold your first owner Alex Sandro or the one in your club is untradable
Conall Dejene	Get icon George best for RW
Ligma Balls	I went 13 17 in weekend league And I don ’ t play squad battle because I don ’ t have time because of school
D4 Damage x	I got silver 2 in my second ever weekend league and I got gold 3 in squad battle co I only played 2 set
Niall Jordan	Skillz I finished 17 13 in the weekend league and I only played squad battle game and finished gold
R2 Bazz	Plz do a pro tournament some time
Nic Mat	Skillz bro absolutely love your vids man did the koke scream sbc today and packed your man henry wa so hyped Keep doing what your doing brother
C Smith	Sell blanc for gullit
Foxdog778	Gullit 3
Jack Clark	I love you
TommyPlaysFortnite	I don t like playing against the computer it s boring af
LeBarack James	Sabrina the Teenage Cat leeel
Finn B	What will happen to icon will they stay at 620k due to prime sbc ’ s always being there or will they drop back soon
XMS5 -	My man stop shouting 🙄
Daniel Culverwell	Skillz if it ain t broke Don t fix it
Snake Sorcerer	Skillz you could watch Prison Break in Netflix
Ryan Palmer	A9skillz this week got 28wins 1 draw and 1 lose
Bobby Cukaleski	Bro you are just real and many people see that real recognize real and you are the realeat And you got a DMX voice It s tooooo dope to not listen too
Harry Toogood	I only get gold 2 any tip
Karim OLeary	I packed 91 modric in my pre order pack
Mistrial Econ	do it get hullit and mbappe
Amzu	Bowser looking as im dead
LUKE.	love your vids man
Stuart Vinyard	Was it 100 a win lol
Willwolves Gaming	Henry for gullit
Callum Watson	Yes
Scottch24	Elite 1 squad battle and weekend league only 17 win this week
castillovictor88	Are we even getting monthly reward Because i haven t been playing all my game
blakem speechley	Aa9 I love to watch your video because they give me hope in the game and your gracious from whatever you pack Your content is so interesting to watch and it make me happy to know there is a YouTuber out there so pls continue the great work you put into your video Best fifa YouTuber next to nep
kilpo kilpo	nah not hrnry
Pro65gamer	Where is the free rtg
Callum Prout	I don ’ t play squad battle because I don ’ t have Time and it ’ s real boring sometimes
I am the Best	I just find offline really boring
Sammy Foo7ball	I had silver 1 and 3 game left and won the last three to get gold 3 and i made the last 2 people rage quit
Thomas Munthe	He got 29 1
Zaid The Gamer	I reached gold 2
Ramy Jr	YES FINALY BABY GULITT CAN T WAIT TO SEE ROCK THE SHITT OUT OF HIM
martin bitkeland	I got Modric in Squad B reward
Nert	still waiting on a skill and ray porno on pornhub
Danny Habetyes	I m just tryna see Skillz get prime Pele
LT Sports	AA9skillz man someone tell me this guy aint the most humble and likeable guy on youtube cmon Keep doing your thing my guy
Kakashi Hatake	You re getting 30 0 and you re getting awesome reward I m telling you Believe it
Tim Neumann	Get Messi now
Tom Games	I wish I had skillz team
Mahmoud Idris	I got de bruyne for silver one reward
Saki 209	gold 2 i wa 10pts short to gold 1 PepeHands
Henry Mazariegos	I got gold 3 and got lloris and aczpelqueta lol
Rashwin Sandhu	Don t buy mbappe try different player
CA Gaming	2 28
Harko And co	I ve gone through 2 100k pack 2 50k pack 4 35k pack 2 45k pack and havent gotten 1 single 86 rated card Aa9skillz please talk to the person you talk to about getting better pack for me please
Miner 69er	Anyone else say A ’ s intro with him😂
Yaseen Flipper	Get an icon GK Yashin
That Gingerguy	Im predicting 29 1
Ryan Goncalves	14 win and just never played squad battle
Poison Leo clan	In weekend league I only got 8 win
Kade Phillips	Instead of selling blanc and Henry sell matthaus
CB3	sell blanc for gulit and sell neymar and get bale
RI SE	Hey skill for squad battle I got elite three and for the weekend league I got silver one keep it going good content love you skill no Homo
Gareth Clements	16 win in WL Gold 1 each week for squad battle Best pack pull icon baresi Best WL reward pick Lukaku mahrez
DesignerSharp	Teach me your skill
Batderp	Instead of a poor man to glory do a Pack do glory You end up using player that you never would of tried before
muhammed taha	Your an inspiration
vinto LFC	I got sliver 1 in squad battle and packed james Rodriquez
BNSF220	14 27 I DON T KNOW WHY EITHER Read more
J7 Baker	Skillz i dont even think getting top 100 is worth it bro i finished 87th in the world and i shafted
Erica Magana	How ha he already played 590 game
CoreyMx20	Deffo get mbappe back he ’ s so good on this game
The G.O.A.T	Don ’ t have time
John Konkack	Love the vids But switch it up make new lineup with player you haven ’ t used yet
Lawrie	Skillz plz explain monthly ’ s because it say I have a rank but apparently there no monthly ’ s
Jonathan	Love U fam
Elliott Kob	14 16 WL
Ruben Pinto	We will have monthly reward in fut champ I want
Filthy Anemal	Skills bouta Pack 3 Ronaldo ’ s lol
Claudiu Niga	Great move change blanc and henry for gullit and mbappe
Ameer Saleh	bestcontentcreator 💯👑
Jesus Gonzalez	Blanc
Kyle_scifo13	I Found Bale Out Of 25K pack and Ericksen Out Of 50k
Kiwi 101	Get gullit and keep henry
Official_nine ortiz	Blanc
Rodrigo De La Torre	I ’ m so happy man just pulled my first icon 89 rated Ryan giggs off a draft reward pack Should I keep or sell
Karim Saad	How about Varane for ramos
Negster	You actually might be the most sexy motherfucker this world ha ever seen
The Gamer Cal	8 55 Wanyama XD Wijnaldum
The Homie	I went 15 15 in the weekend league with my 50k squad My very first fut champion ever Hope to get something usable in the reward
Polelek Games	Packed lukacu in preorder pack
ClashWithSticky 881	I ’ ve had enough point for a few week but I couldn ’ t play a I had a lot on but imma play this one so is FUT champ an absolute sweat fest or is it like div rival keep in mind I ’ m only a Div 6 player thanks
sshk1234	Why is mbappe so shit for me
J O	Only reason I don ’ t play is because I really couldn ’ t be bothered
Joshua Casarrubias	You ’ re the goat skillz
Jaii Shrimpton	Blanc for Paul pogba
HaZzA G 123	I don ’ t play squad battle because I can ’ t beat semi pro yet I still get gold 1 fit champ
ASKDEM	You da goat 🐐❤️
Champ At Soccer	I ’ d love to play a game against you you seem such a fun person to talk to a well Love the video bruv
Jordan Iz here	Get Bergkamp for Viera
Juan Carlos Ramirez	Bro Who is better Mbappe oh bale To gite for my squad
Enrico Martinelli	Bro don ’ t even stress if you missed 4 game cause you spent time with your gf it ’ s wa probably the right choice 😂
Manu Branc	Sell both blanc and henry and buy gullit and regular mbappe Mbappe is one of the best card rn There wa no need to sell him for henry
Brodie Dowling	sell blanc before black friday
LGTRIXTER GAMER	Does anybody know if there is going to be monthly reward for fut champ in this fifa
DAFFA RAYZA PRATAMA SETYAWAN	Sell neymar and blanc for gullit and mbappe
James Irving	Squad battle is the only game mode I play
Mazen Elaraby	29 1
saad juma	17 win and 13 remaining couldn t continue cuz i got buzy with family 😡😡
THE TOTAL GAMERR	PLEASE GO HELP THIS GUY http youtu be 2ge6 3SIG0w
Arsenal fan	Get the Asian legend nakata he is a beast
No20	Post some squad battle gameplay so we get some tip to beat CPU on legendary
michael van der linden	Reached gold 1 for the first time🤪
ziad torres	it is so cheeseroniiiiii homiee and it boring
Defend	finished 25 5
Daniel 67	Skillz I ’ m going through a very hard time and trust me when you say in you ’ re video that you always try to make u happy for at least 15 minute everyday to forget all the bad shit that happens the world every minute You succeed with that in every video You always make me and the booyagang entertained in every video Thank you Skillz
Venatiano	Sabrina while playing squad battle in Legendary Show off lol
Gael Grateraux	I got inform lewandowski from gold 1 reward
This is Adam	Where is the poor man rtg😭😭
Ben Preston	Blanc
ZaddyWill	I play squad battle but only to gold 1
Adrian Neblett	Bro get Gullit and Mbappe
hello everyone	I packed Alex Sandro and sold him for 110K
Bryan Monroy	Get best back
Joe Jackson	Yo skillz nice reward bro I played 1 squad battle game and got silver 3 and in the 7 5k pack I got courtois somehow which wa a nice 95k
DFF 763	Racist bitch How ’ s he gunna call Gini Wanyama🙄🤣🤦🏻‍♂️
Batester	I ’ m a new subscriber and I love your energy dude
SId Mehra	Sall Blanc and Henry and get the Ruud Gullit
Carter DUNN	Get if Sandro
Genko Junior	why not prime Best
ChickenNugg Life	My highest is Gold one I ’ ve gotten elite but then down graded because you have to be consistent so the amount of point needed I didn ’ t get
Origin X Swift	Gg skillz 29 win this week well played
EarlVentRR	Skills you said real job im one of those that ha a real job and i can tell you you are an entertainer people feel you and people respond with love you my brother have a real job too
Jay Jay	Yo I got a ter stegen crap inform and Thiago Silva in the same pack then next one I got ederson I got silver 1 O wait looking back on it might b from my preorder
Omar Gonzalez	Dont sell henry
Finlay Carnegie	Yh offline bore me to death man so I cba🤷🏼‍♂️😂
Daniel Solis	My record for the weekend league wa 15 15😅
Raphael Barbier	10 29 lol 69 transfer
William Large	You should get hullit 😉
Haris 2791	Skillz you ain ’ t ugly man chill bruh and you are good at Fifa I would love to play you
Ewan Peek	I play squad battle too skillz i get elite 1 every week but never get anything good
MrRavingSheep	Get Balack
Paulod1110 HD	I don ’ t do squad battle because I ’ m in school most of the time or else I ’ m asleep
Muhammad R	Save money sell blanc for gullit but keep henry
Daanmuis Daan	Skillz we now you want to be a creator on YouTube and not a pro but it would be very entertaining if you would go to an event for entertainment Love form holland
KarlBraySmith	I went 16 14 is that good
SeveN GG	Stop yelling
ACMChino	No time bro wish I could but just not possible anymore I play like 4 match every other day of that I qualified for the weekend league and missed if I finally qualified but I wa busy all weekend and couldnt even play one match
Joe Mohamed	💜💜💜💜💜💜💜
Jonathan Basso	the problem i have with squad battle is that once i play it alot the moment i got to online i try finesse shot WAY too much
zorgfortnight	I packed salah earlyier
jose Linares	Shout out to AA9SKILLZ 23 in the world
Louis Page	I got baby pires and IF ilicic in the same preorder pack today first icon ever and sold at an inflated 609k thanks to the icon SBC s 😀
Liam McGirr	Did someone do the math
GTAvaddazockt	You are always too harsh to yourself
Ksaver Tomasic Srdar	are u dating a 9 yr old
hayden black	What formation doe he run in game
Marko Stojanović	Spoiler alert
hoboman2277	If it aint broke also why you bronze benching brother isnt it skill rating not team now Much love from wale
omar hisham	Skills can you give advice on beating legendary squad battle
Itz_Sitrex	My record in Fut Champs is ehhhh I won 12 and lost 18 but I play casually
Bryan Zacarias	I don ’ t play squad battle anymore cuz I literally fall asleep I ’ m not even playing
ItalianRfLx	Get Gullit
Kyle Brown	Squad battle is just so boring to play so it not worth it for me
Balaal Kayhan	We watching uhhh sabrina pls don ’ t make fun of me 😂😂
MrPerkaholic HD	favourite youtuber man your so humble
Cristiano Ronaldo	U not ugly
Stattix - Fifa 19 Content	Someday the poor man to glory will return Hopefully
Marc Crossan	I got 6 win 4 loses
Anthony Castellanos	Gold 3
K N	Dirty fuckin egg head
Jon Moniz	Yo skillz why haven t you considered eusebio yet Really benfica fan n not looking into eusebio
FIFA MASTERS	You are probably going to get an upgrade on Ronaldo to 95 this week
Diego Swinkels	Weekend league 11 out of 13
freddybobo2	Skills when you have a discussion about how you may or may not have made top 100 but then put it in the title
Bas -	17 13 Im sooo happy with it
Big Fatty	Squad battle top 100 is the same pack a gold 3 fut champ
Yaasir Ugaas	Henry for gullit
Johan Karlsson	Dude i click your vids becasue of you If you say you are not the best content creator out there but you are a super nice chill guy who love what he doe and put and really fun informative video everyday Keep up the good work man Love ya from Sweden
Brorsornamalberg	I played 2 game in squad battle this week and packed 90 Rivaldo from a 7 5 k pack
Craig Jeffery	Got 8 win in 16 game First fut champ so happy with that Shame I couldn ’ t do all the match
just me	The reason why i dont do squad battle is because i almost loose everytime
Samer M.Masrouaa	I have no idea how you enjoy offline mode squad battle career
Game B632	It ’ s because I don ’ t have fifa 19
Alex Davis	He got 29 1
Luke  Collins	Where ’ s the actual rtg
James Scott	Just got goosebump skillz
Unknownlmao	Mate is there Any chance To see You without the hat
Caine Sheehy	Elite 1 SB 17 11 WL
Abdullah Ahmad	Would love to see you at FIFA esports event You could do a vlog or highlight etc etc etc for that time period It would be a waste of your ability to not go to an event despite qualifying 4 it Even if you get destroyed there we your community will feel being represented at esports event
xDeamZz	Imagine if there were 1 7 mil people in the top 100 it would be the top 1 7 million
chipi escobar	I don t have fifa 19
Miguel rios	Try messi
Revzy TV	i want to be a content creator because i make more money and it ’ s le stressful lmao
Inferno Dragon	Blanc tbh
Rich127 G	Keep doing what you ’ re doing We gotchu
Aryan Vasani	appreciate the condolence cmon Leicester
Rodrigo Valenzuela	Im fake😣 i quit watching for all summer then came back
Villads Jensen	I dont have time so i chose to play division rival
Idek	Skillz I just got baby Nesta out of silver 1 reward
Andre ferreira	Buy roberto carlos
Ole Petter	Gullit and mbappe in
Dylan Sousa	good video
Vinte Um	wtf wa that 3 minute NO SKIPPABLE ADD
D C	I m taking a dump right now
Hyper_ King	Big boy Suarez smacking Real
Daniel Anaya	add me on ps4 Lucas0313 for a coin dupe glitch
Isaac Eckermann	Your second channel is called AA9skillz VLOGS You haven ’ t done a Vlog in like 3 month man Name change
Vincent Miller	Aa9 is 29 1 and this weekend later
Tollef Vikerødegaården	My weekend League record wa 14 win and 26 loss but that wa my first weekend league
Eyþór Andri Arnarsson	I got Neuer from the pre order pack
Sam #15	I don ’ t have time to do squad battle and I think it ’ s really boring
Dmast 911	Sell blanc and courtois get gullit and get ter stegen
Shock Tipsyy	10 5
Abdullah Boraie	S B boring and no time
Anne Wøldike Kilsdal	Yesterday i played 8 squadbattle game cuz i did not have time the Day before and that wa Hella boring but im useally af elite 1 top 100 in it so im grinding to get middle blanc
Daniel Šimek	i packed aguero in preorder pack
Damian Mangold	squad battle is super boring Rewards were great but it s too time consuming
tomas antunes	8 56 wanyama😂
Iniesta G	Was I the only one who noticed that 69 under the transfer page in 0 0069 second
Shane Bermingham	I got toni Kroos in gold ll 😂😂😂
danny 1o3	Rid of henry and blanc for mbappe and gullit
Cheeky NiNjA	Blanc for gullit
Hugo	I ’ m a Leicester fan 😪
hdkaanozan hd	Ronaldo cm ha
Paul Gallagher	Bruh u aint ugly
حاتم الغامدي	17 13
