Tom Thomas	When you were counting wa that a time from Sesame Street It sounded just like it
mhgvjhgvkhyvghkvkhjkugukv ngtcfmhfmyythfymhhmymhgf	1 17 or one oportunity
jackson delmar	Your one of the best player in the world You need more view
Lohiau	My record now
Goatdk1234 -	Pause at 01 16
Daniel Grundig	Hi lazerbeam
Valo Infinity	65 004 100 x7 455 028 700 is your actual score
Justin Gomm	music is even better at 2x speed
XxkingoffornitexX	I wa in the stream
GraFikki!	damn only have been op up 27 D 65 damn
Overstrand	Have a great day anyone scrolling through the comment You all are awesome 3
Kai Chesworth	my brother want to 1v1 you
Amos Niculita	Lol 1479 second in the air
Luke Moir	F in chat for lazer beam
Allan Li	Sick
Chepe Cheapy	U should have made it 10 minute so u can get more ad
RMEZ	Check out my new fit bit blaze giveaway I am choosing the winner in three day
Fortnight Battl	Sorry laysrbem
Shayneel Roberts	DR LUPO SAY GOODBYE TO THE FACTORY ITS GON NA GO
Mark Difort	Weird flex but ok
Wolf Agar	When Charlie siad just build forehead on stream I wa dead
Augustine Wells	who is watching this 18 hour after this vid came out
Dark Shadow19	Who ’ s better like Ninja reply Dr Loupo
Dark Senastion	I m not trying to sound gay or anything but your the only guy I would hug
Mitchell Meier	Lupo you re lacking 4 more second and you have a full revenue video
Ninga Jr	Oh my goodness
Rian Stalnaker	Rip Lazarbeam
PLAY4TVGAME	nice work
Diesellab67	Quadcrussers and Playground Mode Settings have temporarily been removed from the game while we investigate
Zachary Mortimer	👏👏👏👏👏👏👏👏👏
CurvedRex	RIP LazarBeam
Isaiah Wells	Try not to go to far up cu I tried it and I died
Louie Mather	cool
Chase Blackwell	You can t do that to Lazabum Its like taking candy from a baby
Giga Beast	I remember watching this live
Hunter Young	I watched the first one where he broke the record but god damn 65 mill
OMITS CROPMITS	You live in Louisville
David Thompson	How many viewer did he lose while doing this
Bollywood gyan	Fortnite funny http youtu be bwv6oEWlxTE
Varpovo herni Parby	9 min 56 second n i like that
SLX	Was watching the stream yesterday and stopped at 11 Guess you really put some effort in here Grats on getting the 65mil in the end
Amadeus Cannon	Lupos pp 1 15
Beno Rojht	incredible
Karim	Love LazarBeam
Ethan Guardado	Rip lazarbeam
Ethan Murray	LazarBeam is PISSED i guarentee it
Cara Winkler	I can ’ t stop laughing That wa so close to the house at the end Just barely missed it out of pure skill DrLupo
AcTiv R3KL4W	Like for a lazarbeam drlupo dis track lol
Tom Sedgwick	Quality content
MARSHALLAW mn	Daaaaaaamn
Dean Wayne Villenas (dv4944)	BRUH THE VOICE SOUNDS LIKE A BLOB LMAO
YeBoi J	Lazarbeam uninstalled the game because his friend jumped in the way It took him 8 hour to set it up
Damien BERTHON	C est ennuyeux
plusMYLES	This is the content we crave
FORTNITE_the_CHAMP 1	Oooo cool
Night Shadow	Is the time lapse cooking mana tf 😂
Mason Draper	I witnessed this live
John Chambers	Now THIS is content
MasterSniper 24/7	Hey LUPO
Gamer boy	Best buy link of read dead redemption 2 http amzn to 2S6xsoS
Ducknado_07	I wa there pog
ItzHeliofreeze	This is the content we sub for
Mark De Leon	Whheeen iis THIS GOING To END
MrDurrBurger	I can ’ t believe people sat here for an hour watching your stream do this lol
Aariz Mujeeb	Hi
Daniel  Guru	Gross rich kid
Aiden	R i p
Savage Irony	Lazar beam will be triggered and will make a new video about new trick point record
Dabomb 1357	Who dislike this amazing content
Brandon Vera	The previous world record wa 45mil now it 49 mil
Murtaza Khan	I feel bad for Lazarbeam
IronForge Gaming	And then beat it ’ s again with 65
Orange Froggo	Fortnite is just Rocket League with gun Change my mind
slyfox	What s the thing he wanted is to do if he hit this high score Tks
BurningFlag	im still a sleap so many hour
vicTorey	oh I probably just woke my wife up How I feel EVERY night lmao
Jace White	I love just watching the arrow spin around on the mini map
MiGamer 16	User ha disconnected
Chris Chan	That consistent viewership watching you bounce around to do virtually nothing for 3 hour for 4 minute of buttclench wa clutch
