SATHISH KUMAR	Semma mass
Sasi Kumar	Vjs and Karthicl subburaj fan hit likw
Murali John	I got goosebump from 0 44 to 1 00
raja M	Sema bgm
AHAMED SHAAHID	Anirudh BGM Vera level
Abhiman Gopi	Any one after 4m view and 2 0 trailer
jarina lav	Thalaiver is mass
P.NIRMALA Pradeep	Any petta liker
iAmUsingGoogle	Rajini should stay outside or they should have shown the door opening from inside It s not 100 logic but it look AMAAAAZING I got the same feeling like when i wa child watching a rajini movie with my family Super bgm Super look
dhanush kamal dhanush kamal	super star mass
Dangerous Machenism	Mass BGM start 0 45
Kalai Selvem	பேட்டயோட வேட்ட star 👍👍👍👍👍
Karthi Keyan	சர்க்கார் சர்க்கார் we need சர்க்கார் update only
ALL ABOUT BAYBLAD	0 49 semma
kirthi sukesh	thalaivar masss😀😀
mohammed imaam	Superstar on fire 🔥🔥🔥🔥🔥🔥
Kishor Kishor	Anirudh is back
Tvkathir Tvkathir	World super star rajini only mass
SARAVANA KUMAR	Super
Tamil Arasan	I m lot of expect vijay sethupathi S role in PETTA
Shriram Alagarasan	Anyone here after 2 0 trailer
Akash S	Bgm vera level
Thaneshvaran Thanesh	Marana mass
NK Creations	We want vijay sethupathi motion poster
NAVEEN S	talaiva super
maheswaran thanasekaran	R Ra Raj Raji Rajin Rajini Rajinik Rajinika Rajinikan Rajinikant Rajinikanth Rajinikanth r Rajinikanth ro Rajinikanth roc Rajinikanth rock Rajinikanth rock Rajinikanth rock Rajinikanth rock Rajinikanth roc Rajinikanth ro Rajinikanth r Rajinikanth Rajinikant Rajinikan Rajinika Rajinik Rajini Rajin Raji Raj Ra R 😘😘😘😘😘🤩🤩 Apdiya pokula oru like mattum pa 😊😊😊
Divya shine	Hard core fan from kerala Love you sir No one can replace you sir Whatever happened you are the one and only super star
H2J	Ani 😂
Life Lessons	Waiting
Shadow Walker	Whistle podu machi
Mohd Michu Michu	😘😘😘💙💙💙🔥🔥waiting
Sheik Imran Mohamed	Bgm Pakka Extreme Level
Sam Jegatheesan	Y should it be in church It heart to see that people are making move with Violence and fight happening inside Chirch Chirch is a godly place
V. Thirupathi	Thalaivar vera level
thala pathy	Can flop
Sachin kumar p	Thalaivar always🔥🔥🔥🔥
Bala Thàla	Mass Vera Level 🤘 🤘 🤘
Tamil Chelvan	🙏Rajini sir oru nalla manithar he inspired million of people❤️🌏
Dhasna Dhasna	vera level bgm score bacha 2 come back to the theatre in pongal Time so waiting thalaivaa🔥🔥😘😘
SANGHAR GANESH	Marana mass marana mass thalaivaaaaaaaa
siddharth kumar	Mass BGM for thalaivar in theatre sound kadhu kizhiyapodhu💪💪👏👏👍
mohammad rafi	
Karthikeyan Musical	Anirudh Rasigana Iruntha Like Podu BGM puduchirunthalum Like Podu
Jawa	4 Million for motion poster😍😍😍
Parthiban Arjuna	Ithu rajini Petta
Theeejay Germany	Das Video hat jetzt vier Millionen Aufrufe
Movies Now	I am waiting for kalanithi maaran movie 😍😍😍
vignesh raju	51th like
S KARTHIKEYAN	music vera level
Aravinth Arunachalam	4 million view
Ram Thamil	Mass star
Logesh waran	Vera level vjs villain
thaliva thalaiva	Enan thevaila tha velai athan ilya thalapathe sarkar thann gethu
Saheb Pradhan	Love from West Bengal Wish Rajni sir rock once more
Arvinth	Close one eye and watch experience the VFX
VIGNESH VICKY	Thalaivaaaaaaaa
Divakar VEVO	Jack Sparrow theme
Chandrashekar D R	Ennada per idu petta thota nu sollikutu
style ji	http youtu be FcWUMk3n1MU
Srikanth Dharavath	I love you Rajini sir fan Ekkada Blockbuster movie fetta
Superstar Rajinikanth Fan	Views frozen at 484K view Why
Deenus Cd	Awesome
Rakesh Rakesh	Thalaiva engal thalaiva engal thalaiva engal Thalai
Bangalore Central	kindly watch YouTube channel Agni sreedhar for rajnikanth Sir s childhood Story by his http www youtube com watch v hmhzdMbwSoo list PLFmKExRw0KTUB0LIwEHSp bp BFGOa2H index 31
reman kumar	Mass in 3d
ravindran s	superstarrr😎👌👌
Raja Sajin	Super thalaivaaaaa
Phoenix Guru	Bgm and thalaivar 👌🏻👌🏻😍
Preethy Krish	Semma Waiting for this movie😍
NOW ONE NOTICED	Awesome thalaiva
Venotte Kumar	Yengeee pettaa daaaa idhuuu inimehhhhhhh vaaaa thalaivaaaaa 🔥
garnepudi praveen	Super star Rajini kanth Style nd Perform Superb👌 Iam big fan of rajini sir👍 Iam from Andhra Pradesh👍👍
raja mani	Petta parack
Arun Kumar	Kushelan 2 vaa 🤣🤣
RAJINI ARMY	1990 rajinikanth look after many year 😎💪
Jishnu Dude	pwollik thalivara
Anantha Krishnan	Thalaivaaaa
Mohan Babu	80 s 90 s 2k s kid Rajini fan hit like here Superstar 😍😍😍😘😘😘❤❤❤❤
peermohamed.k kadarmohideen	Waiting for thalaivar bgm
Karthik Periyakaruppiah	பேட்ட பராக் 🔥🔥
mx 3.0	Semma mass
Infaz Ariff	BGM engayo ketta maadiri irukkey OH Pirates of the Caribbean Music naduvula naduvula dapaanguthu music JACKSPARROW But Motion poster look great THALAIVAR
Prabhu Senthil	Background score I think Ani is came back 😍😘🔥😍🔥🔥
Uppara Badesab Rajinikanth fans	Jai super star Rajinikanth
selvam selvam	Supper
Raenuga Parvathy	Vereh mari nambe thalaivar
Theeejay	Idhu Enga PETTA Enga Area Nikkal Nikkal
KRISHNAN super and very thanks	super star rajini kanth sir😘😘😘😘😘😘😘😘😍😍😍😍😍😍😍pette 2 0super😘😘😘😍😍😍😍
Mahi 96	Anirudh musical awsm👌
Lappin Christy	Waiting karthick subburaj sir super star makkal selvan
Raja sajin	Super thalaivaaaa
Legendary Gaming Studios	Watch this with one eye closed Thank me later 🙏🙃
sreegar santa	Bgm bangam
Danesh Studios	It s also a 3D close one of your eye and watch with 1080p you will experience a 3D Video petta thalaivarforever
nllokeeswaran lokeeswaran	En petta la na thanda rajaaaa thalaivar fan hit like
Basyir Boy	Nothing exciting about this BGM Very common tune used Hopefully will have a better one in the movie
Sogaina Anvari	Any 2 0 Lovers
P L	please retire sahikkala
Manu manikya	Hello sun TV Sarkar teaser in telugu When wa coming
kumar Vel	Super star rajani sir stop acting in sun picture they are our enemy
Mr. Mohan	Thirumba 90 look la Thalaivar ah parkka romba santhoshama irukku ❤️💕😍 Vayasanalum unga style um alagum innum ungala vittu pogala Pogathu 😉
Tamil Marvel Lover	Next We Are Dam Wait For Thala Ajith Viswasam Motion Poster Any Thala Fans Here ❤
Social News	Rockstar music rocking gaaaaaaaaa
t pradeep t pradeep	Nice va talaiva
Praveen Sundar	Waiting for Makkal selvan VIJAY SETHUPATHI look 🙇
Thiruvaran Panchalingam	I have already watched countless time 🔥👌🏻🔥🔥🔥 pakka mass
kabilkalan k	BGM semma semma semma Again again kettute irukean
Undertaker The dead man	thalaivaaaaaaaa
Manikandan Muniraj	Single track yeppo ani
A.K GUYS	Thalaivaaaaa😎😎😎😎
Avvai AKH	Anirudh kaaga intha padam paapen
RAMA CHANDRAN	super star mass da
bala kumaran	thalaiva idhe style maintain pannunga
krishnan balaji	http www youtube com watch v Xg55iih1mDQ 96
Kjr 00	Best ever motion poster 😍🔥
Faizan Pasha	2 0 Vs sarkar Thalapathy Vs Thalaivaaa Who will be the best guy
Vinoth Kanna	Super super star that smile 😀 made my day
RJ jaiwin	always Thalaivaa Fans 3 3 3
Appa Amma	Vera level
Golden Cat Studios Ltd.	I seriously miss Santhosh Narayanan s bgm But kudoos good bgm still
Shriram S Nair	Expecting a cracking album for Thalaivar Bring it on 😎
Prabakaran Prabakaran	Wowwwwwwwwwww
Zahuruddin Sheik	Who is here in 2018 Sorry ella video layum type panni palakam aaiduchu
ananth rangesh	Even it s a copy like somebody s saying the BGM level is at it s peak
TIMEX BABU	WORLD SUPERSTAR
Prabhu Ram	Thalaivar sema mass
Francis Xavier	Hw many of u watching this only for bgm
Raj Rocker Star T	❤❤❤❤❤❤
Ashik Arafath	Vera level Bgm
RAJINISTS	BGM is too good
Shaniz Deen	Thalsvar rock always
Kailash Aravind	Vera level thalaivaaa😍
Vijay Venkatesh	Like me if u watched this more than 5 time
Anandhan Anandh	supar star nale mastana bros
Venu Gopal	Thaliva ne than yapppavum mass🕺🤘
Dhawood sheriff	sema mass
RIO RAAM	Aniruth music super like arr sema
John	Viswasathuku govinda govinda 👍👌👌👌
TECHNICAL TIMES	Thalaiva you are great Mass Local Action Style Etc Thalaiva great Endrum RAJINIKANTH FAN
harish eng	No word to explain this feeling thalaiverna mass massna thalaiver👍
Sathish Kumar Rathinaswamy	Not impressed
Jensila Sharon	Terrific music by Rock Star 💥💥💥💥💥💥💥
Nava Krish	Anirudh Sir Music Very Super
Tirupati pardhiv	In any playback it is super especially at scene of superstar rajanikanth name
haja moideen	I miss AR MUSIC THALIVAR LU LLAM MUSIC NA AR RAHUMAN SIR THAN
YouTube Sign	http www youtube com watch v eTPzYxY Gv0 t 7
star85 san	Marana mass thalaivaaaaaa we r waiting for the movie
cinema babu	😍😍
Nagaraj R	mass thalivaa nee super star eppavum nee oruthar mattum than thaliva
Ryan T	retire already grandpa rajini you just ruining your name fuk
Karthik K	Supper star
R Kamarajan	Thalaivaaaaa
Deepan facts	THALAIVAAA vera level wth Ani bgm mass 💪💪💪💪💪💪💪💪💪💪💪💪💪💪
welcome things	Rajini this is not a word Ithu manthiram One and only The legend icon of indian cinema Emperor of Indian cinema Ini oruvan piranthu Vanthal than Undu Thalaivaa Mara Mass
Crazy Gamer	Title cleara puriyala Petti or petai 🙄
RDM	like up view up
Raja Rao	Thaivaaaaa mass forever 😘
Vikas Srivastava	Mene Rajnikanth se aaj handshake Kiya Chunar me
T,V.MEENAKSHI T.V.MEENAKSHI	Mass bgm
Raja Raja	சூப்பர் தலைவா
NA H	Mass music
Jerry Antony	Who is watching this video after seeing the second look poster
News Malayalam	http youtu be UxkNb8qwim0 petta 2nd look motion poster
Janaki Raman	Thayavu senju sun picture la mattum vendaam thalaiva
Now shad	Super
Prakash Prakash	Sema petta thalaiver
ram kumar	Thalaivar ku pothurukra theme sumara than iruku we want more anirudh
kanthan k	How many of you here after second look thalaivaa 😍
Ombudsman -	Donu donu madiri irruku bgm
Niyon John	Thalaiva can ’ t wait super look
palani vel	Paa
kushal kool	Hope this is not like kabali and kaala it should be better
Mohamed Imran	Who else today watched this after 2nd look hit like
Pride of chozhas	Who is watch after 2nd look
Pratheep Paul Durai	Verithanam🔥🔥
Madhan Kumar	Petta
John Brittovit	Pirates of the Caribbean theame music light modyfying
JAGENDRAN RAVINDRAN	43rd second onwards just magic
Rupak Ravi	Today Vijay is in his mid 40 s and looking fit and swag But when he come to 60 s i bet he would be left alone He would lose his fan base then No one can survive in tamil cinema for more than four decade unlike Rajini And people are saying Rajini ha lost his stardom Fools
Viji M S	Anirudh fanzzz SMASH》LIKE BUTTON
P.danielraj Raj	Ithula rajini varave illa ellamey CG work than bro
Rahul Balamurugan	Thalaiva Mass😎😎😎
Vallipuram Thillaiyampalam	Super
Mohamed Asief	Aniruth rocks🔥🔥🔥🔥🔥
hari krishnan	BGM SUPERB
Jaya prakash Prakash	Kevalama irukku
Naveen Karthikeyan	Views romba hang aavudhu Huge number awaits 🔥 One and Only Thalaivar Superstar 🙏🙏🙏🙏🙏💥💥💥💥💥💥
Adhi Alex	Thalaiva sema
Mohamed Thariq	Hero THALAIVAR re vera level 🔥🔥🔥na villan vijay sethupathi eppadi irupparunu theriyalaye waiting 😍😍😍😍🔥🔥🔥
Thanks My brother	போதை ஆபாச வன்முறை காட்சிகளால் இளைஞர்களை சுரண்டி பிழைக்கும் பண வெறி பிடித்த நடிகர்களையும் சமூகவிரோதிகளையும் சினிமாவையும் தவிர்ப்போம் சிறப்புடன் வாழ்வோம்
Sakkarabani Sellamuthu	Well wish to superstar his fan petta film member from upcoming thalaivar makkal nayagan thalapathy vijay fan
Pavan Kumar	telugodi ki rajini yeppatiki punju ye
elamurugan murugan	Rajini the king
Doctor Strange	Semma Theme
dinesh dot	Vera level
Thalapathy Gokul k	Semma bgm Ani rockz
VIJAYAN K	Nice mass bgm
je gan	SUPER STAR PETTA
Vimal G	Semma mass thalaivaaaaaaaaaaaaaa
Raj Raj	wow nice
ramesh ram	Like only for a anirudh muscial
kesavan Kaccha mango adicha wingo	It is different from all motion picture
jasim mech	Nailed bgm
Prem Kumar	Sema Thalaivaaaa
Sudhish Rahul	Thalaivaa Who came here after watching 2 0 teaser❤❤
TERROR PRAVEEN	thalaivaaaaaaaaaaa
annika doll	ahhh omg seriously awesome come back after padayapa and shivaji
sakthi status	Anirudh Vera level bgm semma thalaivar ku bgm super
Shekar Dutta	Waiting for Vijay sethupathi
jack sparrow präbü	Intha bgm jack sparrow bgm thana
Santhosh Kumar Santhosh Kumar	😂😂
Rithik Kumar,R	superrrrrr
Manikandan Krishnan	BGM Vera Ievel
Ťhalapaţhý vìjaý	petta
Tamizhselvan A	Jack sparrow theam maari eruku lit ah
akil adithya	the theme music is copied from pirate of the carribean
suhail rahman	poi pera pullaikangala padika vaiyya
Suresh Sashi	poda sota
Clement Clement	Massssssssss thalaivaaa😘😘😘
Sai Sudhane	mass bgm
Sk Abi	Masses bgmmm 😍😍😍😍😍😍
thala Dhiva	Thalaivaaaa😍😍😍😍😍
surendra kanth	Guys I think this music is similar to private of the Caribbean
Aravind V	What a crap music
ಅರುಣ್ .ಆರ್ R	Mass Bgm Mass look of Super star love from Karnataka Prajakeeya Upendra Fans
prabhakaran b	0 25 thalaivar entry
Nitin Solanki	blockbuster
Sivakumar Sivakumar. R	Super
Venkat V	http youtu be f2FUZDp2MRY
Maayon - Creations	BGM Therikuthu 🔥🔥🔥😍💙
Sanjay Lovekid	Bgm vera level nu solravanlaam like podu 😍😍😍
Kar Nan	baasha2 maasna thalaivarda
Fx தமிழன்	Colourful 🎆
Khaleel Ahmed	I would see this movie only for anirudh s music😍😍😍😍😍😍😍❤❤❤❤
Karthi Karthi	Super Thalaiva
jawahar mahalingam	0 44 who all liked the chorus drop here 🔥❤🔥 signaturetune
Sanjay Kumar	Not too good but good for watch super star
