Mude Saiprasad Naik	Next cm
Madhavarao Bankala	Eee kojja.cinimalaku.tappa.cm.gaa.neenu.oppukonu.neenu.kaapune.
raj raj	Lubna super
Urs Surya	Video is not perfect for this lyrics.
jcharles wesley	Anthem le😀
Darling Vaasu	Super song shiva anna
vishnu vardhan	Superb Ra Shiva.. superb work.. ne kastaniki pratiphalam 1milion + ravali e week end lopu..
Chandu Aluri	Evadraaaaaa dislike kotindhi jai pawanism
Thodupunoori Lavanya	Hey thq all the celebraties . Thq for supporting  pk guys
Vamshi Jenasena	Jai jenasena
nagaraja kvpower star	Super jai jai jai jai jai jai jai jai jai power star pavan kalyan jai jai jai janasena
v.siva4305 vemula	Aaripoey deepaniki veligu akkuva haaa
Madalaneni Srihari	సాంగ్ సూపర్.షేర్ చెయ్యండి లింక్ ప్రతిఒక్కరూ
Kilari Venky	Super jai janasena
Rajesh Korra	Super....
rpjairam naik	Super anna
Pawankalyan Freaks	Nti appude ayyipoyindaa ani evarikaina anipinchindaa
ABDUL RAHMAN	super Anwer Hussain
NANI DEVA	Awesome Bro Superb song lyrics mathram oo level o unnai nijanga nv real fan anipinchukunav ❤
PavanKalyan Daida	Iraga deesaaru kadayya..
ramakrisshna kudaramakrisshna	xlent jai pawan sir
Srinivas Pogiri	Great
Prabhakar Jogula	Nice Jai Janasena
Srikanth Battula	Super  song jai  janasena
Rambabu Rambabu	love pavan
SAGAR PSPK DESIGN'S	Janasena For Better Society
Sammeta Sateesh	Power of common man
shiva y	Super
sekhar reddy	Superb
jayaram ram	Super song good working all members r good acting jai pawankalyan jai janasena jai hind.....
Sai kumar PS PK	super Anna.. Jai janasena 🔯 Jai Hind 🇮🇳
Lalitha Saraswathi	👌👌👌
Suribabu Dv	Superb
Virat jaii	Superb 👌👌 Jai Janasena 💪💪
Sriram Pulime	Demi God #Kalyan Annaya 🙏🙏  Good Work Team 👌👌
MN Creations	Superb.. #Shiva Ur Lyrics Awesome... Jai #PSPK...
Kannepogu Veerababu	Superb.....
Ashok Vinay	Demigod of Telugu people  Power of pavanism
Ram Raj	Baboyee. Chi. Chi...
Yolo Oloy	Dislikes kottinollu Jalaga and CBN moddagudavandi
vasanth kumar	👏👏👏👏👏👏👏👏👏👏👏👏
Upender Dharmarapu	Superb 😘
prasad Reddy	Wow super jai pawankalyan jai janasena
krishna chaitanya	Superb bro
Pagadala Mahesh	Excellent ...jai pawanisam
Pspk Niru	👌👌👌👌🙏🙏🙏
leela creations	Janasena song.. https://www.youtube.com/watch?v=pBfQHNbrJYM
Shivakumar chary	https://youtu.be/n0205CQo3dE PSPK Top 5 BGM Rocks JAI JANASENA 🏳️✡️🏳️
Vasanth Rao Yempally	Congratulations Shiva,
g mallesh	Superb song
Ashok Ramdeni	Superb lyrics Anna  Mana devudu e video chudali ani korukundddam Anna  E video chusi mimlani appreciate cheyali Anna  Jai Kalyan Babu
pruthvi naik	Jai Janasena
Latheef Sheke	Supper bro  jai  janasena
Darla Pavan Kumar	Super song bro's... Love you all.. Jai janasena Jai pavanisam
yadav hari	Super bros jai pawanism
raju teja	Super anna
salman janasinikudu	జయహో జనసైనిక్స్ జయహో✊✊✊💪💪🔥🔥🔥
Ravula Sivaji	Jai janasena✊✊ Simply superb
Vani Yarramsetti	spr chitti  master  raju  all of you  very  good  job
BVS NAYAK	మి బొందా రా హవ్లె ముసుకొరి వినలెక పొతున్నాం ఇంకొ సారి ఇలాంటివి పునరావృతం కాకుండా చుడండి లెకుంటె మికు మి చానల్ కు దండాలు ఇట్లు#BVSNAYAK 💜💙❤️💝💖💝
Shaik Hedayathullah	Superbb song ,you did wonderful job rocked it  jai powerstar pawan kalyan
Pavan Kalyan	Super bro
Lucky pawanisam	Super
sk abdul	jai powerstar
kkr kkr	Superb✊✊✊✊✊✊✊✊✊✊
kuraku srinivasulu	ఈ జబర్ధస్థ్ కామెడీ కి నేను 10 మార్కులు ఇస్తున్నాను
vijay mohan	WHR is Darling das
amma amma	Jai Jena sena
gadi manohar	So nice
shridhar Bolluwar	lyrics good Bt video does not perfect for That lyrics
rajitha raj	Congrats shiva. Song suuupppeerrrr
satya bhaskaruni	Good job.keep it up
Sai 111	Simply superb😘
Kavuri Venkatesh	Goosebumps pakka  TQ for making This video  Jai Pawan Kalyan Jai Janasena
Nune Prem	super song
Duddeda dhagad's	Nice song
Naveen Kumar N	Jai janacena
upendra pallela	Nice song.... pk fans
ch.divya divya	Jai janasena
sridhar y	Anna good.. Try to stop correcption etc... faluthu CM in Ap
STEPPING STONES	Nice making.....comgracts whole team...
Durga Rao	*ఇలాంటి అభిమానం పవన్ కి మాత్రమే సొంతం*
Abdul Kalam	Janam kosam pavan Pavan kosam janam Janam kosame jana sena
tik tok	Simply superb goosebumps 👏👏😍😍😘
Ram Ramangi	Very nice album friends. Jai janasena.
Singer Vivekananda	Chala bagundi bro...👏👏👏
tulasiarts007 Devaji	Medak meat tulasi
RAGHAV RANGUSETTI	Jai powerstar
Gopal Karneedi	Congo #Shiva_Vemulavada
Nagala Sateya	,Jai Pawanism
Sri Teja Yf	Jai Powerstar #Shiva you rocked with the Lyrics
sirisha Oduri	jai  pawan anna
venugopal reddy	Super brother fan of pspk
Charan Aennam	#PK fans like eskondi 👍💪
