Jeff Polaras	Am I on candid camera?
David Edyn	This cringe is entertaining af
ItsInTheDetails	Hey everybody I got an A!
abdul sijad	this guy is a old school faker...but i just love his bs and he is quite funny to watch and a great actor...this guy would have been lethal bk in the 1980s early 1990s..but today his bs seems outdated as it has been replaced by people like tai lopez and others...anyway love u bill but dont ask for any money and no i dont want that little booklet stuck to your hand...
Dorothy Gibbs	DG love
Xx Savage	For people saying he bought views:  please leave
Samuel__Jay	he might be a fraud or he might be just doing it for subscribers, either way his words inspired me
john sano	this person is more interested in getting subscribers than anything else I reckon, as he often says subscribe !
my life	dat shite green screen and view botting
daniel overwater	*When people begin to see the truth, no one will be interested in material power*. Not only is it not worth the effort and price you have to pay for it, it also comes with a lot of responsibility, pressure, conflict,, false friends .Being rich and powerful is not as good as it looks. It is a deception created by the mind. Google *TruthContest read the Present*, It contains the ultimate *truth of Life*, it is the key to true fulfillment because it contains your ultimate purpose.
theguy12322	So knowing Kung fu goning to  make you rich lol.
Twitter ig pat_tuu snap chat pa_tu	I watched this video back in 2012, at that time I was in college and working as a full time security guard making 310 a week. I dropped out and half assed your plan and 4 years later I'm a professional truck driver making 160k gross and I'll be buying my first condo CASH this October. I wish I would stayed more disciplined but hey I'm still winning and work. appreciate you work fam. ✊ I advice everybody who sees this comment to stay optimistic, active, and focused on the bigger picture.
Hykal Yusry	you faked this u bought views
BigNerf	fake
MerkinMuffly	I don't know what you guys are talking about, this guy is totally legit, he learned all his stuff from martial arts master Rex Quan Do.
Sparrow Treble	This guy is a faker and buys his views.
Rae	Summary: Idiot talks about being self-made and working hard meanwhile buying fake youtube views and likes smh
COALA Trachten	colleague is NOT a waste of time! It is a very nice experience for young people where friendships are formed for life. You don´t get rich just because of a degree, and? It doesn´t mean you have to skip it...
Moses Soka	FAKE ASS VIEWS SMH DONT WATCH THIS!!!
Toora	Real Title: How To Get Rich BY BUYING FAKE VIEWS
David Crandall	I am sitting the couch, online and looking for ways to take action. Sitting and waiting for something to happen.
Michael Namon	Who cares if he buys views, I take the gems and bounce!
Agile eN	Buying fake views on a video titled how to get rich. Pmsl
Mike Messiah	This is the most famous YOUTUBE VIEW BUYER ever. Check the stats guys, No.1 fraud right here.
Macken Carius	thank you you give me power
Alexander Haglund	Collage is the most importnant thing that will give you a jobb, if you are good in collage, you will have a jobb that gives you good amunt of money
Nina Green	These are FAKE views and FAKE comments! And don't say "EEH DEERS NU SETCH THEEEEEENG AS FEEEK KEEMEEEEEENTSSSSSSSS!" And dislike this.
GHOST AF	I have seen that building you are in, in a dream once, where is it may i ask?
K.I. Hasan	I viewed this picture since I was searching many Online earning method Than I got PanXcash. Cash does not issue for myself I am having a excellent sum of cash. PanXcash one and only superb technique to earn online. I would recommend you PanXcash.
mhdTV	This guy buys his views
