Right Side Broadcasting Network	Original version of this with over 350 000 view wa blocked by YouTube because 20 second of the song FREEBIRD from the PA system at the rally leaked through onto the video When trying to remove the song from the video we get the message You can not edit this video because it ha too many view Stupid
HighPriestess	I want a My Pillow so bad 1 33 13
Layna8	THANKYOU RIGHT SIDE FOR ALL YOU DO FOR THE REPUBLIC
Andy	I love that sweet twang in Alyssa s voice Liz is awesome too Seeing such lovely young lady with their act together give me hope for America s future We need a lot more of it
TheCladi8or	Here s a real president not a FAKE make believe color biased idiot obama
]Last Word[	When the President said we don t worship government we worship God the President pointed at me in the crowd starting 4 04 00 Where we go one we go all
Robert Schulz	Where in the video did the 20 second of music play I can t find it
Stephen Harden	Thank you all at RSBN I wa one of the 350 000 people watching the original video from Wenatchee Wa USA
Sjef Hoefs	Watching from Germany May the light of civilization come back to Europe too
Chair Happy	Screw Nazitube one day they will get theirs when they do the wrong thing karma will teach them a lesson It might not be tomorrow or next week but it will happen one day
Kevin R	Why did YouTube block original version Oh nvm So a song snuck into the video and you can t edit it while it is going viral so YouTube just remove it ridiculous
Barrett Kettle	YouTube blocking you pissed me off
maggie mae	Rsbn your the best thanks for reload watched original maga from down under
Maddy Perennity	Eff YouTube I d spit in their face Thanks for putting it back up RSBN
Liver NC	I wa looking for full clip but couldn t find Thanks for uploading again
Candy Smith	RSBN No top chat replay on this video It s fun seeing the chatter talking while it s playing too I guess maybe since the original video wa blocked that s not feasible It wa fabulous to meet the ground team in person and my interview with Alyssa wa so fun Love you RSBN BTW I vote for a new Youtube TrumpTube with no conservative sensoring VOTE RED MY FELLOW TEXANS
Kelvin Boyd	awesome rally is it just me or Ted Cruz taking speech lesson from Trump LOL
fakecubed	Obviously everyone should queue up this video again play it several time until the number of view are back to where they should be
lemoncrinckles	Look at all those beautiful patriot
Walter McLean	I watched all full 7 plus hour Now I wa watching it and then a Donald Trump s son s wife wa on the stage I saw the screen go black and then come back on I knew something wa wrong and I but it continue to play just after that it came back on This is just a whole bunch of b a I said in a message yesterday on your post video when the four of you and your bos wa on there I suggested that they need to produce and form their own platform we all need to get our own conservative Platforms in our society it s got to the point or they need to be broken up like AT T wa broken up in the 1980s Does any of you old enough to know when you had to wait in a long line to get inside an AT T store to get an old rotary phone And finally the government broke them up it is surprising how decade later more than several Generations AT T is come back and bought Cingular cell phone company and it got into their glommer even larger then they were in the old rotary phone Now some of you probably read this are probably considering that she ha your great great grandparent I remember when my grandmother on my father s side had to pick up the little thing and we lit around and get the operator and connecting the line something you would see in an old 1800 1900 black and white movie this wa still happening in the 1970s the old style thing you put to your ear and you speak in the wall
Donald J. Trump	YouTube is cucked All of these major liberal company are including Twatter Facebook etc
Brucev7	It wa something 100 000 applied for Tickets KAG
LMVP Truth in Facts	Wow my pillow guy
Blindfury B	Dear youtube what you are doing to rsbn really show how crazy you are But thanks for helping the red wave to roll along Keep it up YouTube keep it up
mike miller	Glad to see this edited version got posted I think using 2 camera with split screen display wa a great idea That rally will possibly be the highlight of all rally this midterm I saw over 54 000 viewer on YouTube during the RSBN broadcast Thanks for your effort and perseverance to make this possible
Mom Rosen	Play patriotic song end of problem and they are picking on you because you are the only one showing the crowd Thank you for all you do
Eddie Dahle	Beware the fake news They are trying to stop our voting by playing mind game Polls don ’ t count Remember the spirit of 2016
Rob Montana	“ God Bless America ” And “ God Bless Our President “ Donald J Trump “ 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
Kim Styles	350 000 and I wa one Congratulations No wonder you re getting canceled Main Street Media can t compete with you if you re going to take them out
ughwhat	Watching from Australia Unfortunately had to watch fox 10 livestream yesterday a yours wa blocked and it wa weird like they mess with the sound of everything
Washington Hoax	The best in AI from the empire of Google more like the movie Idiocrary or Brasil It s artificial stupidity So all error can be blamed on the perfect system The same stupid AI audio pattern recognition of music could also block the music within 4 bar of detection
WillieG	PENNSYLVANIA FOR TRUMP
mbcris	How is it that CNN can broadcast over the same song post it to YT and not get dinged
Rob Cj	I ve had it with YouTube After the midterm I m slowing my use to a stop with some time Y ALL need to find another way to spread the news
CosmicMonkey33	Thank you for all you do WWG1WGA
Live Free	In England we had a widespread youtube outage about 5 minute before the President took the stage in Texas yesterday An influential Youtuber wa also interviewing a senior UKIP member at the same time The Corporate Globalists are censoring u all
Terr Rebell	Doest the PA music also leak into the video of the major network Were they treated a unfairly a RSBN YT is definately exposing their bias and unequal treatment to a select group of content creator Thankyou for the hard work and effort the entire RSBN family put into providing u with quality reporting and coverage Great work thankyou
Axel Ferguson	Love right side of broadcasting always use you guy for live streaming trump event
silly sicily	One Libercunt dislike maga rally 😂
Zero Sum	See if they are implementing policy on fake news MSM channel that broadcast rally If not you have evidence for a case to sue
SamE	SO SICK of You Tube with their EVIL INDEFENSIBLE operation
Juan Carlos	YouTube is a disgrace I really hope justice come to them soon
Mark McKinley	I am so sorry RightSide This should not have happened That is why I donate on Patron YouTube SUCKS
Adam D.	They took down your video because it wa TRENDING Good work Stick to it we will win with persistence v censorship
yy Wong	Amazing rally A great man Thanks RSBN for the re upload
Trump2020	How pathetic This is Youtube s way of meddling in the election Hell they wouldn t block any of the other Democrat rally It disgust me of course Youtube is owned by a liberal company and CEO
HEADBANGRR	WE NEED TO START ANOTHER TUBE WITH A DIFFERENT BETTER NAME I VE GOT THE CORRECT NAME ALREADY I LL NAME IT WHEN I START IT Thank you
trueboss926	You should file a lawsuit against Youtube
Yus Hulu Langat	Finally
garbut	Would like to say that after the Tommy Robinson trial wa adjourned at the Old Bailey in London today and Tommy appeared outside to thank the thousand who had turned up in support at one point the crowd spontaneously chanted TRUMP TRUMP TRUMP USA USA USA It wa incredible and I think it wa a huge Thank You to all the Americans who have supported Tommy Thank you USA and MAGA and best wish to the REPS on November 6
Casandra Portugal	👍🏻 back up getting my popcorn 🍿 and watching it again
Sharon61	I know for a fact you guy had well over 5 000 thumb up 😳
Jo kin	I think it ’ s time for YouTube start getting it or be on the wrong side of history come on YouTube what is wrong with you guy there is not anything wrong with this video I love all of you guy at RSBN God bless you we the people will win WWG1WGA
Adalaine Marie Robinson	Did a great Job again a usual Go pillow man
Mishka Pishka	
Carol Woolf	So sorry Nobody even heard the song
RC Nut	Wow
