Blue Kaa	Im in love with the vibe in this editorial Kai capture the feeling of autumn so well and somehow transmits emotion 💛
عاشق القمر Exo	دبدوبي الطيف 😍😍🐻
pcy	KAI 💛
chanyeol's bubble tissue	What a beautiful man♥ This video is beautifully done too thank you
Derya_p	Autumn boy 🍂 💛
sophia yasmin	Hengggggg💚💚💙
mida alii	Kaiiiiiii ❤❤❤❤❤❤❤❤❤❤😘😘😘😘😘😘😘😘😘😍😍😍😍😍😍😍😍😍😍😍😍👌👌👌🔥🔥👌🔥👌👌👌👌👌👌👌👌
mandy mandy	love this man 💛 so beautiful
Suruchi Prabhakar	Hot sexy beautiful soft bold charming irresistible artistic stunning Gosh kai I am out of word 😂😂😁😁😁☺️☺️
Love Kai	my love for you is infinity Kai ❤❤❤
Ezza Adara	KAIIIIIIIII😍😍😍😍😍
maison kitsune	Breathtaking The very definition of male beauty
Cantabile Dian	Ooh it ’ s just too beautiful 😭😭😭
yunyuna0206	カイくん♥♥♥🐻
rawabi	KAI💙💙
이하은	카이는 신이다
sheep 02	❤️❤️❤️❤️❤️👑👑👑 Aweeeee
mimi miiz	୧ʕ•̀ᴥ•́ ʔو✧
kim	Perfection
Sara 1892	so beautiful ♥️
alhierd	KIM KING KAI SUPERMODEL OF THE CENTURY
EXO Kai is my Michael Jackson	يا ربي ما هذا الجمال😭💘
mumi	He is so beautiful 😭😭😭😭 I love him
쫑카	아름다운 종인이
ProudEXOL 4everandever	Kim Art in he is really the Masterpiece
KIM JONGIN IN MY HEAD	I love this guy❤❤❤❤❤❤
*Pariel *	😍😍kim kai😍😍💙
Misaki Kahoko	EXO Kai Jongin the king WE ARE ONE FOREVER ❤👑
View Jongin	Angel 😭❤❤❤
Avina a	❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😘😘😘😘😘😘😘🐻🐻🐻🐻🐻🐻
hr j	ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
nell sea	He s perfect for this concept 🍂🍁🌾
하잇9	와 화보천재 김종인
Saliha Kndz00	Amazing ❤ He is piece of art Our precious Gucci Prince Autumn boy 😍
소정	카이는 신이다
Popi Sopmawati	Autumn Boy💙 zkdlin so handsome
니 니	화보 천재 김종인
Baekhyunnie 365	Omg our gucci boy look ethereal😍
Sare Rad	Awesome 😍♥️♥️♥️
jennie	Art
Eldy leigue guanuba	ARTE en toda su expresión
MA HA	😍😍😍😍
zee	종인아 너무 잘생겼다 💛
exol mari	Kai 😍😍model boy💕💕
JO M	Our sunkissed boy We re all so proud of you We love you jonginnie To w korea Thank you for sharing these photo with u
Zkdlin exo	M Y E V E R Y T H I N G 💓
Octa Mala	Kim Jongin legend 😊
Léa Derue	Breathtaking amazing perfect 💛
D U	Human gucci is back🔥🔥 why is he so perfect in everything
Dust	Omg kai
Diana Arellano	Breathtaking Thank you for this ✨
Stephanie Mora	A god among human 😍 I never stop being amazed by Kai s beauty
Fakhrinnisa Sepyan	KIM JONGINNNNN💛💛💛💛
X O	Wow he really make me feel different
Sana Yakii	😍😍😍😍😍
eka july	Kaiiii 😍😍😍
Fitri Avrianita	Kai😍❤😍❤
Mahsa Eshghi	Exo Kai ❤❤❤
shant R	My boy💛💛💛💛💛💛💛
drama952	종인이가 너무 좋다 김종인
Jass The Kai ʕ •ᴥ•ʔ	hai nini 💛
Vanesa Vera	Kai So cute 😍❤💕
U-knnmj	Perfect man👉😍😍😍😍😍
Nurul Fajriyah	Kim Jongin jjang😍😍😍
챙영	종인 최고다 진짜루
Rinkai9394 - Anki	😍🤩🤩🤩🤩
Dwi nurfitriana	❤️❤️❤️❤️❤️❤️
rinaczan	autumn boyyy 🧡❤️💛
weareone exosaranghaja	how did he managed to look so beautiful while running
Hilâl Sırakaya	This is just my type Fall boy 😍 😍 😍 😍 😍 😍 😍
Nada Nafisah	Ma autumn boy 🐻❤
Marian Jongininie	This photoshoot is perfect Jongin look handsome sexy warm etc He is the definition of gucci s style
xiumin sw	YOURE DOING GREAT SWEETIE
Mariam Chan	EXO Kai ❤ ❤ ❤ ❤
manga gril	Kai mukemmel❤
린넨	카이는 신이다 종인이는 신이다
baera MIN LEE	엑소 카이 잘생겼다
Vela Lara	Is beautiful kai
Raquel	🐻🍯
Reyhan Ph	우리 카이야 정말 멌있어요
DeerLulu	UWAH OUR KAI IS SO COOL
Cuz We Young	Baby kai😍😍💓💓
scorpio sixseven	God took His time creating Kim Jongin Thank you W Korea for creating this piece of Art featuring our golden boy 🔥🔥🔥
aicelpa	who disliked my bear I ll sue you
Flor Alexandra Perez	¡Siempre bello Nini 💛
maria matta	😙❤KAI is beautiful 😍😍❤❤💕💕😙
moon _94	So beautiful Jongin ahhh😍❤
vortex88	KING OF GUCCI
Dulce Colman	My precious Jongin ♡
Allery	Kai 👍👍👍💖💖💖
For EXO	Amazing video So sad that this story not at cover story🤧 Kai is so amazing 🍂🐻
mary grace	Beautiful boy
Pretty Girl	كااااااااايو
Mei Mei	Kai 😍😍😍😍
gülbahar elik	Beautiful
Ashley A.	Beautiful
limelym	I ve never loved one like him
Mary Bell	kai 3
김마르	욘나찰떡 ㅠ
Hr J	넘 멋있다 ㅠㅠㅠ
jjanse j	W 잡지 팔지말고 각막 공유해주세요 공유 서비스 천만원이여도 삽니다악
devie drew	🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🐻KAI🐻💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛
M A	Everything about this is just so beautiful 💛💛 Jongin is so perfect 💛 Autumn Boy 🍂
serine serine	Dead
Kai Kim	카이 종인 exo kai 카이는 신이다ㅠㅠㅠㅠㅠㅠㅠ
Kitty xiu0326	Everything about this man scream perfection ❤️❤️❤️❤️
We Young	Woooooooowwwww
We Exo	Exo kai 😭❤️❤️❤️❤️
mochi mochi	He ’ s breathtaking
L Zen	카이 너무 멋이다 정말 좋아해요 ♥😍😘so hot🔥🔥
Don't mess up my eri BBH_2018	KING 🔥🔥
Kai Kimmy	He is so breathtaking 😭💛
Nini Kim	KAI is too handsome and sexy 😍
깅또니	카이 아름답다💛
MiluLanzilotta1	Es un ser tan precioso😍
nini's	Breathtaking
Nurul Izzati	Omg our gucci boy look so hot 🔥🔥🔥
amanda9488	What do y ’ all know about being the most beautiful human being ever created
K.J	he is so handsome
Bear PP.	God😇
Pwint kkhaing	Angel of art Kai
Ivy Miss	Autumn boy
Aee Dee	Absolutely Beautiful ❤
Raven Agtarap	jongin ah you re so beautiful and so perfect in every angle of that video aaaaaahh
Byun Baekhyun	Kaiiiiiii 😍😍😍😍😍
Santi Batista	Visualidad en todo su esplendor😍👌
yrufp	I don ’ t know how many time I said this but he ’ s so beautiful
sena sehun	Is this legal 😭
