Pawanrat Buakam	งื้ออน่าร้ากก
Anfal EXO-L	هلو انا جيت من تيمبو كل شوي ابدل المقاطع عشان تنحسب المشاهدات يلا خلصت الحين برجع لتيمبو
yunchans	Sheep that taste like wasabi Interesting
xing xing lover	I can t resist😍😍😍
zuly zulaikha	Wow
。 。	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhhhh
Leoy Park	Streaming Namanana while streaming tempo 😚😚😚😚
Calle Cambiado	Don t stop the music get louder LAY NAMANANA
Kawaii Lalizaira	Laaaay 😍😍😍😍
iu	❤
澄pi	it s really a great song
xiaoxian	哥哥太牛掰了 namanana超级好听 MV太棒了啊 每一帧都好美啊 😘😘哥哥 我要一直狗你啊 陪你一起走花路 爱你❤💜💜💜namanana呀
Stephanie AzumiShizuka	http youtu be 8Kv2uty4JqI
Sosn Owca	Thus is perfect song to listen at morning bcz it make good mood for the rest of the day Thank you Lay for this bop 💗
world last	Wow the shot is in Australia Perth and Perth island which ha pink lake
tDk 123	When lay is making music and when he is dancing you can really see how genuinely happy he is
seul kim	lay la coreografía esta hermosa los pasos de nuestro yixing
Fransheska Rosario Perdomo	Lay na ma na na song is almost 8 M stream in spotify please stream the song album still shoock about the mv production so amazing
Vina Ruhas	LAYYYYYYYYYYY😍😍
Chihayasefuru	SO PROUD OF OUR ZHANG YIXING
Gab Ordanza	Who the heck disliked this awesome song
Kyungsoo's Hair	The chorus is so addictive ughshdhjedjdj
cici osh	😘😎😍❤💙💞💕
Anei ._.	At least he know he is hot like wasabi
namanana na	2098783
agit diyanita	this song is cool i come here like everyday three time a day to support my 💟🐏 keep streamiingg either you exo l or not for Lay the China King🎶🎶🎆 give 👍 to this MV guy
EXO Comeback	كلمة ابداع قليلة بحقك يا عرب والله اذا ما علقتوا تجيكم شباشب على اديكم مو اي شبشب ،شبشب ماما المحترم بين قوسين 😎😎😎 غيبوبة 12 سنة على عدد ذئاب اكسو
Nally Heart	This is amazing OMG I really love the melody and Yixing dancing skill is on fire he even danced beside a sea💛 All in All Yixing you did a good job your really never failed u to love you so much I LOVE YOU YIXING 💛
Mona Esmaeili	Namanana😄😍
BIGBANG and K-pop are my lifeu	When your a fake fan and 9 hour late Sorry Lay I wa asleep 😢
Aiu Eia	Hi Lay I love you somuch
Heba Khan	Ya boy you hot like wasabi
Alex is kpop trash	Lay ha officially become my 2nd bias in EXO now my bias are Chen and Lay He s been biaswrecking me for a while now EXO s healing unicorn 💕🦄
Ivanete Queiros dos santos	I love you
Lívia Jesus	THIS IS ART MAN
Jazel Issa Mae Madrigal	Yeah nothing can stop Lay from slaying 🔥 not even the hater nor SM ent 😁😂
Erin	1 12 有点好看地😄
Simone Martins	Lay Follow me baby Eu Opa tô indo
Hokulani	Saw this a an ad y all this shit slap 👏🏻👏🏻
Fransheska AnotherOne	Wow Yixing fan meeting the man sing a lot of song even peach mv
Mila Sunshine Kim	Why doe this reminds me of Howl s moving castle so much But a expected Lay never disspoints This just make me wan na dance all day wohoo I ll be needing some extra pack of coffee then
Looove Tae	it give me bollywood feeling Xd love it
PCY21	I keep coming here between TEMPO
Viktoryia Park	❤Лэй❤
사랑해요세훈 오빠	يمة فديت شهل فخامة هااااي وجمال هااااذ وصوت الجميل ماشاالله
haneen abukaraki	لااااااااااااي الجمااااااااال ❤❤❤❤❤❤❤
Jaquehh Oliveira	Apaixonada 😍❤
chansoo kaisoo	There is nothing separating u 💪
thepower	Love u xing ge EXOLs are waiting u
prpv xo	Always great great lay 💞
Mira Yukki	💕💕💕💕💕
Patricia Alastre	Epic
Sehon Exo	وين العرب شو صارت التعليقات💗 كلها أجانب من شوي كنت أفتخرفي العرب خيبتو آمالي😢😢💔💔
Аня Ким	I love you ❤❤❤❤❤❤❤❤❤
Eman Negm	My new jaaaaaaaaaaam 🔥🔥🔥❤❤❤
LISTEN TO EXO TEMPO	We re in 2nd place for few day since the voting started it 100 based on voting and voting wil end at 20 Nov If you want EXO to WIN AWARDS PLEASE VOTE EVERYDAY FROM NOW ON We did not get 1st for 5 6 day already 1 VOTE FOR EXO IN AAA Download STARPLE app you can gain vote by going to vote recharging area and watch 10 video ad gain FREE 10 vote 2 VOTE FOR EXO IN KPOP STAR Download KPOP STAR At the ranking place click on the round EXO and click to view picture and you ll see a with heart ♥ Click it it will gv you free heart to vote I REPEAT Its 100 based on vote and we re in 2nd place now DO YOU WANT OUR BOYS TO LOSE OR WIN
exo chen	😍😍😍😍😍😍
KPOP WORLD	yixinggggg oppa I LOVE YOU ♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡
Diah Widiarini	Im so in love with this song ❤
zain Pcy	😍😍😍😍😍😍😍
bahar candan fan	justin bieber cooperation
Airam Eineeuq Zaid-Oh	Here after Tempo Please support our China Sheep He deserves all the love and support Our hardworking Yixing
Jay Hope	My sister kept bugging me to listen to this to the point where I wanted to throw her off of a cliff I listened And I have no regret
ksk	i honestly want Yixing to make music for Exo this song is awesome it catchy and simply daebak haha
keyla wendy	This mv is one of my playlist for streaming everyday
Zaalayka D	I wa doing my thing when I gOt ThIs As An Ad OtHeRs WoUlD bE dEaD
exo exo-l	الاغنيه رووووعه و مو بس روووعه اتجنن
Muhamad Iman	Let s samba
Elle Worth	YIXING
Dan Exol	I m in love with this song ❤
Tess Gella	Wow Lay s career have gone too far I remember him being a backup dancer for Shinee When I wa following EXO and found out he wa indeed a dancer I ve always like him since then Seeing him again with EXO for Tempo made me so happy Congratulations Lay You re doing a good job
쇼 쇼	레이야ㅠㅠㅠㅠ❤❤❤❤
pipi cola	张艺兴小可爱
xo xo	NAMANANA bang ♥
Алина ким	Любимый Син Син Ты хорошо потрудился Прекрасная работа 👑✌🏼
lam 31	انا الف وواحد
mah dis	NA MA NA NA OOOH YEAH
Sora Ahmed	EXOL love and support oppa lay ♡♡♡
Oh Sehun	ARTEEE
Hell Yeah	These hater keep hating but i keep on climbing LAY ZHANG 2018
EXO_ CHANYEOL	NAMANA
Myuni	Yiiixxiing 😱😱😱😱😱
诺 许	You are so great that i am ao ambasseded to say i am your fan
princess complex	Hit me with the theory guy Is that his power orb at 3 02
ورده البنفسج	خروفي احبك
Farhan Fadli	never stop streaming EXO TEMPO and LAY NAMANANA Dear exols we can do it Our king deverse it fighting we are one ω
chunyan Wu	You can do it
Kimzo Carrión	LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY LAY
Exol Hadis	4 257 432
college girl 007	Lay supporting your solo but miss you with Exo wanted to see you dance Ko Ko bop Eve and Power
Luhan Shai	IM SO INLOVE WITH HIS DANCE MOVES NAMANANA
indah noviana	daebbak lay
Jeongwon Kim	이번 곡은 좀 좋다
joemelyn labong	IMMM SHOKKK
NAM	hmmm
Adibah Alia	I like this song very much this song make me falling in love
Juliana Echeverria Jimenez	4 193 072
dhamchoe dolma	Lay Xaiho
xiu mints	I m hot like wasabi
Cinder Yixing	Oml wa I the only one that flipped when he said I ’ m hot like wasabi 😂😂❤️❤️❤️❤️❤️I love lay omg😂
Crystal Vibes	4 184 267
luis martinez	like si te encanta mucho exo exo por siempre V EXO ES GENIAL ¡SIIIIIII ¡WOOW
Cuz We Young	I AM SO HAPPY 😂 YAY NAMANANA 🙌🙌🙌🙈🙈💕 Thanks for this😍😍❤😘🙌
Glelena Chmgiral	😊😀☺
Brittany Adelayda Hudgens	Ya decía OMG 🎼💘😶😎💣💥 ESTA INCREÍBLE FANTÁSTICO I LOVE YOU OPPA 😘💖
Carolan Vanesa	I can not stop moving my hip every time the song start
Zin Sehun	Don t stop the music get louder
mandalayna ba	5737
Miriam Palomino	His carefree Child is beyond my expectation The more I listen to this the more I enjoy it
MiC DrOp BAM!	Forgot how good his music wa
Ayu Rista	Wowww thats littt🔥
hytnnisa xx	OMG😍😍😍
Apri Novita	Like lah jangan ditonton doang
XiuRhex Kim	when did they release this
Madeline Doctor	B A L A N C E
franklin nothing	帅的一匹
_lysa	one day i want to be able to hear this on the radio when im driving
xingieverse	KING OF CHINA KING OF THE WORLD 💖💖💖💖
Exo Tempo	اوميقاد فخامة😭😭😭لانها من لاي خروفنا😭😭😭❤❤❤ لف يو
Vivi Chi	Don ‘ t mess up with namanana
lala	I m addicted to this song
Yaso Exo-L	I just can t believe تاثير تيمبو
Jelan Remon	💚💚💚💚💚💚💚💚💚
Daniela Liberato	Lay é demais pro meu coração
ساره النور	الذي عربي يعلق بلغه العربيه مافيش داعي نكتب بلغه الانجليزيه تمام
Twinkle Fernando	He say he s hot like wasabi 👅
dontmessupmy namanana	Our biggest pride 😭💜 You are the best
좋아요.raghad	كيف البيبي يتكلم؟ لاي نامنانا نامانانانا،،
prasanthi bikkavolu	OMG They sure never disappoint me Proud to be an exo l They got unbelievable talent OMG They can conquer the world if SM promotes them overseas like other agency r doing now
Baekhyun Byun	Arab exo l ❤❤❤❤
Ninw CYVirus	I thinking to change my bias
Chanyeol Wifue	Namana namana mana namana namana mana 🎶🎶🎶
Exo_ Bts	Na ma na na ma😂🎀🌸
MR. EXO-L	😍😍😍😍
Laiza Ballester	♥♥♥
Apple Joy Corbi	I love Lay he s really an amazing man that deserves all the support and love in the world
XO XO	It annoys me that there s this music video that wa set a an advertisement so before you could watch Namanana you ll be obliged to watch that music video ad first
Cris Watchtower	why doe the video are so good and the song are so bad
Su Thandar	The more I listen the more I like this song T T Yixing ge is the best
Amool Sabah	Lay ❤️❤️❤️❤️😭😭😭
아미shiVani	Live this
Ayu Utami	such a high quality mv and bop
Andi nur rezky arumpawa	Terimakasih banyak oppa
Lay Zhang_Hunan	Best MV of this year Hot stunning gorgeous i see a lot of work and Lay s amazing imagination I love this man
exo-l and army forever	Wan na stan talent stan our king Lay😍😍😍😍😍😘😘😘😘👑👑👑👑👑💝💞💟❣❣💗💖💕💕💝
mariam hegab	the chinese version played in a KTV in china it s rare to find in china playing a song for an international singer they also played BBibb idk the right name for IU
Mrs Oh	Wheres my streaming squad at
Azhril Fahri	illuminati😱😟
Noor Sarhan	Lay amazing
MyKYUNGSOO E.X.O	❤❤❤Oh my god 😍😍😍😍😍😍
Kesheen Marie Martizano	WTF 4M in 2weeks What the heck where all the exo stans Smfam stans Keep streaming guy And don t forget the tempo to stream also
Sapphire Lisa Park	Wow Laaayyy😍😍 army support this handsome boi😍😊
ابو طه العلياوي	وين العرب متخفين
sekai yol	فدوه 😭😭😭❤❤❤يجنننن لايييي
T.M	Best Mv ever
Shyriel Anduyan	Layxing We EXO Ls miss u 24 7 365 day a year💕 We Are always here for you💕 WE LOVE YOUU
Manu	i love i m hot like wasabi xD
Emily KS	I know what I ll be listening to on repeat today
exotic Say	Don t stop the music
Don't Mess Up My Tempo !	زقسوالز من حطيتوا لايكات لتيمبو م حطيتوا لنامانانا بدربكم ؟
Arab love exo	يبووووووووووووووو جلطه يربي
