Cultaholic	ThankYouRoman
Dushyant Chauhan	Att
Eliyas And at it	roman regs
ranejith rangaraj	Roman is will pack tha hero spashal super hero spear
Simon Gaikwad	do not time pas please
Rimsha Asghar	King miss u😢😢😢😢😢
rinku khanoura	Roman is a real life hero
Prince Jai	Roman sir aap WWE chod kar mat jao
Kailash Biswal	Nice
Chandu Poojitha	Joe ur super man punch to leukemia 🤛
IMRAN GORWAAL	Rahul
Irfan Raja	So nice roman reign guod bless you
Mark Marvan	First of all get well soon Roman Reigns I wish you the best Second I knew Dean Ambrose would turn heel soon but I didnt expect it happen on this night It wa a really intense and shocking moment Definitely the most intense RAW episode since a long long time
eden	I honestly needed a recap of what happened I wa cry and couldn t process anything much le what wa happening on Raw after the opening
Barot Veer	Misss u king
The ROMAN REIGNS Lovers	He is best wrestler in the world
Stevie Steve	Dean didn t have remorse I got from it that he couldn t believe Seth keep calling him a lunatic
Marion Gunga	idiot
Khushi Shaikh	aaj ke bad main wwe nahi dekhungi good bye wwe miss u roman reign
Craig Lovelace	The Ambrose turn is well timed Reigns ’ departure change the dynamic Without his moderating presence the tension between Dean and Seth exploded
Liam Puzon	You failed to mention that the five way woman s match wa a match to throw all the woman in that s only purpose wa to build a match to throw all the woman in
Moin Qureshi	Boht afsos hu rha h
Tj Williams	Big dog come back house
Sagar Sagar	Boss plz come back get well soon boss😢😢ur my favorite plzzzzzzz
Pradeep Sankhua	Nice
সাইকো পোলাপাইন	We missed roman rainges very much prayer for him may Allah help him
Vasanthipadur14 Vasanthi	I hate wwe because Roman illa
Hawkesey11	Is it just me but is Triple H s ego out of control His promo s are cringe He love biggin himself up Someone should show him clip of dx in 1997 They mock and make fun of the older wrestle at that time who are passed there best Yet here we are 2018 watching an old dx
नेपालको छोरो	Get well soon
altaf patel	Chutiya hai kya
Jahrah Begum	I am vary vary sed
K-Time Now	Get back soon Roman From laukemia we are waiting for you
Rajesh porel	I miss you BOSS ROMAN Come back
Naughty Aleena	I farta fart farted farting FArt
Narasimha Roman	Miss you bos
pawan kumar	Back roman reign bro
Deepshikha Bhartendu	Get well soon I am waiting for you n u come back I believe that
Ibad Siddique	EAST AND WEST SHELD IS THE BEST
KTrick Musik	Get well soon Joe fuckcancer
Ahmad Jadoon	😭😭😭 Roman Miss u
Andy Hackett	This is perfect timing for Ambrose to turn heel It creates further intrigue for one of the top 2 headlining story on RAW Maybe the reasoning can be linked to Roman leaving and Dean losing his mind over it
umar naik	i pray roman become healthy
Jeeva V. Jeeva	i miss u roman
Rooty Rootyson	Can we stop harping on about Bayley and Sasha being low on the card Those two are established star and they are getting good visibility week in week out You can t possibly grow a woman s division by having a couple of performer monopolise the title scene for year With the limited match slot afforded them this is the only sensible way to broaden the talent pool to a point the WWE might actually feel it s proftiable to put more woman s wrestling content out there
Megan Lambert	Mr The jobber Really
rockthahouse1	I think Ambrose turning heel wa perfect timing Made it really go over a a complete jerk type of heel I think most week Dean still get cheered but last night it really pushed it through a an asshole move
للعشق جنون شيفاي انيكا	ليش ي رومان رينز المصارعه بدونك وعع 😭😭😭💔💔
World is topper	Roman ne agar WWE chori to Kia hoa Kun ke WWE is faie
Reece Bender	imo it the best time for dean to turn fully in kayfaybe he distrought and emotionally unstable because of his friend being struck down by an illness he doesnt know what to do and it could be said he upset by it and doesnt want to be around seth reminding him of roman pain and also that roman cancer could be a i need to take my chance because life can go at any time thing he came back from his surgury buff a a fuck and looking strong before he left he took brock to the limit now he back i hope they let him go a step further and have a serious title run and some time at the top v braun seth drew and brock he the perfect guy to allow the scene to step away from monster without them being beaten in gimmicky way by smaller guy seth beating brock or braun would look weird seth beating dean or drew after they take out brock braun would be a good way to transition it though i think seth need to be on smackdown no matter what happens he too good to be ragdolled by Big Sweaty Men™
epickithri	I would give the Dean heel turn an F The Shield won the Tag title for Roman Reigns who now down for another bout with Leukaemia The remaining shield brother would have been huge face that could have been pushed hard and would have really won over the crowd and sold a ton of merch a a dominant Tag team champ They look now like instead someone who could lose the belt to a pair of jobber It s just way too soon to break the shield up
Bacon Tomato	I went to a live event on Sunday night and they had lio rush push finn off the rope when he wa going for the coup de grace I much preferred the Dq win to what he had monday
Satvant Sonu	Sale jab tujhe pta nhi he fir kyu apni maa chudva raha he tu
Nathan Wright	Has an A ever been given
Mohan Gujalwad	Roman reign is my favorite hi ero
anushiya shankar	Get well soon we miss u roman 😨 😨 😨
ValdoVlogger96	The timing wa perfect
combatinfantry008	First and foremost cancer can get the F out Joe Roman Reigns is a great man ambassador for the WWE Not a fan of the character but a fan if the man same a Cena However though done amazingly shouldn t the turn of Dean waited until oh I don t know at least a week after they won the tag title What do they even mean now Are Seth and Dean going to team up and defend them Couldn t they have had them get wrecked by AOP next week and then had Dean turn The emotion wa great for the wrong reason the portrayal wa amazing the story is just rushed in a way that make no sense Why would Dean turn when they needed to lean on each other Why after they just won the belt which they promised to do Where wa the logic Once again screw cancer See you in the ring before too long Roman
HeelNattans	The fan have pretty much everything they ve been doing cannon now Owens is face Braun is face Elias is face Lashley is heel Roman is gone the character not the person Now all we need is a Sasha heel turn
Anju Kumari	get well soon roman
puropinchemikey	Roman reign fan hit like
The Memer	Was it an Elias babyface turn though
Auritra Dey	Roman will be back to rock soon
Kristian179	I mean it make sense a now people can really hate and have a reason to hate Dean Ambrose a a heel
Ryan Pollock	So they are the champ but will be feuding interesting
Kaden L	5 18
John Marston	If WWE think I m taking a break from RDR2 for Evolution then they are sorely mistaken
Abrax 23	No one is talking about the way HHH ran over the last remnant of kayfabe with a monster truck during his promo making direct reference to Kane being the mayor of Knox County So all that history of the Kane character from his first appearance a Taker s mysterious brother to all the background story that wa played out over the course of many feud Fuck all that say HHH let s just toss it all away and totally break the 4th wall destroying the credibility of a beloved character in the process Yay Oh and let s mock the Brothers of Destruction s choice of venue for their promo too made by the very company that HHH is the COO of So what is this feud now Four guy that have been around so long that the very integrity of the nature wrestling is at stake That s going to be the added stipulation just before the match start at Crown Jewel Vince Russo will come out and declare This match is now for the very concept of kayfabe If the Brothers of Destruction lose then it will no longer be possible for the entire WWE roster to use their in ring name
Dark Hawk	I try to keep these comment clean but F k Cancer I don t know the man and likely will never meet him but any time I ve seen him out of character like on UpUpDownDown or doing the charity work He just seems like a great chill guy The fact he s been living with this for 11 year apparently Explains why he s always there when they do the Connor s Cure promotion That promo messed me up and seeing Seth cry when he came out messed me up more Take care of yourself Joe we ll see you when you beat this thing
issac lopez	thankyouromea
William Iron	I hate Roman Reigns and I hate the way WWE is now It s like a fucking cartoon show
urianthefatmansgreat	Was it too soon No First off that crowd reaction wa perfect We ve all speculated for month that he wa going to turn and he did it when nobody saw it coming Combine that with his and Seth s performance during the beat down and it wa perfect Second I d rather have them do something that will showcase both of them than have them do some odd 2 3 shield run that devalues the intercontinental title
Nick Baker	Alexa retweeted a promotional tweet for her fight so I don ’ t think she ’ s injured
Deuce Treyz	2 3 year for average treatment
Ernest Wert	I have a theory about the recent 50 50 booking It s all your fault Not your a in Jack s fault I mean everyone who think they re smart and who think they know everything about wrestling WE prof to you each and every time you stand there scratching your head and wondering why the fuck did they book it so stupidly that they are unpredictable and that they are exciting Also another theory ROMAN REIGNS IS FUCKING WORKING YOU LIKE LITTLE CHILDREN Can t you see it it s the ultimate grasp of WE for making Roman likeable let s give him a fucking cancer and hope people will feel sad and clap for him repackage him a the GOD in 2 week when he come back with Leukemia s Heavyweight Title and make him win the entire Wrestlemania Fucking mark
Foxgames 539	thankyouroman
Flying Toaster	Dean still hold a grudge against Seth Rollins for what he did when he betrayed The Shield But he wa loyal to Roman and fought alongside Rollins for his sake With Roman gone there wa nothing left to attach him to Seth and so he turned on him
Jose Theragood	With Roman gone expect the WWE to burn through all the internet fan theory and fantasy booking all the wrestler that need a push will get a little faux push and all the dream match will happen but they will just be shite so they can be gotten out of the way
Louis Campbell	This wa the best raw in age I wa really losing interest these last few week but this wa a great episode
Bearded Nerd SheDanigans	I personally think that wa the smartest and possibly the only way to turn Dean and get the fan to actually boo him Everyone know if they turn him any other time it ’ d be a Becky situation
Der Punkrockpazifist	Guys it´s time to change the Becky Picture with an angry Becky picture
Dz Drak Media	Hope roman reign will come back 💗♥💗 Love from Kerala
Noel Halyard	Elias turn face drama turn heel This wa the best RAW in year
Peter Fleming	It ’ s an amazing heel turn and I ’ m sure Roman would have given them the thumb up to go for it and have a tremendous feud until he get back
Shaik Ayaz	I miss you roman
Mr.Otaku2399	the BIG DAWG is gon na beat cancer and comeback a the true super hero vince always wanted him to be ThankYouRoman
Fuck Wizkhalifa	I deadass had to fast forward through the ending cause it wa so hard to watch
Milan Suvajac	Only RAW this year to deserve an A
Jesus Munoz	If I know Roman reign he kick out at 1
MH Creed	I mean it s kinda the best time for dean to get heat right
