__BlinkxARMY__ forever	SM Give Taeil the Damn Screentime he deserves Y all just wasting his visuals I mean look at him😍😭
camilla borja	this deserves more view dope
רותם קופיטקו	I DEFINITELY CAN SAY THAT THIS IS THE BEST KPOP SONG THAT CAME OUT RECENTLY NCT 127 U R AMAZING 😭😭❤️❤️❤️
Daniela Ajur	QUESO 🧀
Yesika Pramesti	Mark😍😍😍
Black Blink Pink Blink	Jung jaehyun that wa r0od
n3v3r more	BANG JON NIKAH KUY
Miss Golden Garden	HAECHAN CALM DOWN SWEET ♡♡
May Channel	Taeyong ❤❤❤ HANDSOME
Nouf Mohammed	Doyoung 💚💚💚
Maria HL	No me acostumbro a la versión coreana😂 pero lo haré a la fuerza v
BTS OT7 STAN	I love themmmmmm but not a huge fan of mark ’ s rap tho just my opinion
Tamaeva Ravel	Here we go NCTZENS Lets stream this MV💚💚💚💚
shayal Narayan	Best song I ve heard so far in 2018x
Shanti Rahayu Rohmayanti	Makin suka 💗
Katrina Imad	Taeyong why you re so beautiful 😍
ruben romitares	Gosh so cool
no m	ウィンウィン😭❤️❤️らぶい
aznangeLLe	6 145 071
che che.4	English ver better
Nikhila Nikhila	Nct I am you re biggest fan
اوتاكو forever	woow that s cool I love nct so much♥♥♥
Joyonghi Ijeneun	YouTubedown and that YouTube is how powerful NCTzens can get D D D
spiffy.	It s hard to get used to this when you ve been listening to the English version for a little bit Love both 😍
Сверх Разум	Пойду посру
Kim Taehyung	I miss I be walking with the cheese that s the queso and dinero peso Yen bit I still love this version 💚💚💚💚💚
Ninisw33t	still not satisfied
Mina	found another group to stan
Is it me or you Yes you	I m still here hyping them
leonard•doloiras army•multifandom	iam new NCTZEN new NCTZEN here o 💚 💚
Risya Nabila	Cant take my eye of off jwoo ❤
barbara vega	A reproducir con ganas que esta e la versión que cuenta a la hora de la votaciones
andrea parrales	Nctzens really suck at streaming O
Lizzie Rod	WOAH Im new to kpop and ive been watching others band and I really like this guy and Stray kid so I guess Im joining the fandom haha Nice
Nomad 1709	Only 6 1m view
aihtnas lino	ME ENCANTAN
BLΛƆKis_the_newPIИK	lol this trap beat is FIRE AFFFF bruh im a stan
Жанбота Искакова	Where is a Lucas
Cristina	Regular HUH
Aneshrii Pillay	LET S KEEP STREAMING BOTH VERSIONS 🙌
Justine Louise Baricar	GOOSEBUMPS EVERYWHERE
Thien Trang Nguyen Hoang	they are so amazing LOVE u NCT 127 fighting
ipurple_u ikonic_agase사랑해	I m new to NCT 127 and I m loving them so frikin much 💜
suga filled kookies	This is a little too underrated
빌리	1 18 who dat boy
*inser witty username*	They can like get it u know
Shishi S.	1 37 this part
Jelan Remon	Taeyong s voice 😻
Analicia Garcia	THIS NEEDS MORE VIEWS
Lee Min Hwa	I always like Taeyong s attitude in MVs 🔥
Lujeng Herawati	Jaehyun Winwin and Jungwoo really so handsome and cool Oh damn i like them ♥♥♥♥
BARBA ROSSA ❶	Ofcurse freeze no fix I think
shay Alj	The view wtf Is it decreasing right im sureeee
hyu na	The sound and rhytm look like Cardi b I like that sorry for my eng
Blue Stars	okay my friend suggested this a few moment later REGULAR IS RIDICULOUSLY GOOD
The trophy that was put on top of Jin's head uwu	THATS IT I M STANNING NCTZENS GET READY TO ACCEPT A MULTI FANDOM ARMY ❤
Fera Njing	I m here all day
kpopislifeu	Is it weird that after I heard the english ver i thought this wa Chinese
Lara agustina Sáliz	😍😍😍😍😍
jenni	The best song ever
박 박	H잘생긴남자들크 좋네 매번허세 난세 하는컨셉안하고 성차별고정관념없이 다양하게하면좋겠음정말 정상으로 그리고의류도매시장ㅋㅋㅋㅋㅋㅋㅅㅂ
GiorgiA Z	Winwin
taevInes	NEW FAVORITE NCT127 SONG
Restia Tia	did youtube just freezing the view for this video
Gape Kgosi	glad i discovered this k pop group am hooked
