Berly Mariano	hahaha vivoree hindi n kc c marco yan n brutal. iba c ck eh sweet at ang bait alaga k mia tlga yeheyyy
KierVi LoVeR	KierVi!!!!
jogiel vea aricaya	Kiervi yey!
reanna	Excited for.KierVi
Deminesh 88	KierVi 💜💜💜 Charles Kieron l💜ve Vivoree Esclito #PushAwardsKierViFamcakes I love you both nakaka good vibes tlga kayong dalawa. All smile lagi ang peg ko sa twing nkikita ko kayong mgksma. Alam niyo bang kayo ang happy pill namin at stress reliever abroad. Kapag nkikita nmin kayong happy together nwawala ang homesick nmin sa aming family. Thank you sa iniyong dalawa at keep going nandito lang kmi nka support sa iniyo all the way. Thank you din ABS CBN sa pgbbgay ng mga projects sa kanilang dalawa. Sana maasahan pa po nming mgkksma pa sila ng mtgal at mbbgyn niyo pa sila ng mga projects. Godbless 💜
Dolly Acut	Ang saya xctd much❤❤
keirvi USA	Itong matandang ito pinakilig ninyo ng husto...iba pag sila ang iniinterview...parang close friend lang sila pero nakakakilig...love them KEIRVI
Kayapa Oonaman	💜💜💜 kilig feels
falalalablab	Hays, my KV babies! 😍 You always make me proud. Love you both!
Max and Daisy	Daisy: AAAAAAAAAHHHH!!!!
