jack squarepants	the link is full bro
Angelina Jolie	Great movie i must watch full
Shay Mitchell	Liked this movie
DerHalbeEuro	The Raid 1 5
RIRI Fave	FINALLY AAAARRGGGGHHKKKK FEEL LIKE I D BEEN WAITING FOR AGES 😭😭😭😭😆😆😆🙏🙏🙏🔥🔥🔥🔥🔥💞💞💞💞 I LOVE IT
joaomlo2	The Operator need her own movie series
Ansari A	Bobby and fatih fight very natural in this movie
Joey Merk	The Night Came for 286 people R I P ☠️
MadAnili	Okay this is epic
mr fian	ni kalo diputar di bioskop trans tv or layar emas nya RCTI bisa2 durasi 2 jam film bisa cuma 20 menit or tetep 2 jam tp layar nya blur semua wkwkw
night owl	this movie I watched it today my god it so fucking good and brutal if you love blood gut and martial art you will love this
IrwansS Sseptiawan	baru kemarin saya nonton 2 film besutan XYZ film pertama Mandy Nicolas Cage dan yg kedua ini Xyz film dari dulu memang terkenal dengan film action berdarah darah seperri killer dll mandy darah nya banyak tapi tak sefrontal film ini mandy menyuguhkan kekejaman yg tak dinampakan adegannya difilm ini kita disuguhkan perkelahian ala The Raid hingga banyak yg bilang ini Film The Raid yg ke 3 padahal bukan catat ya bukan film ini sama hal nya dengan Headshoot antagonisnya pun sama yg membuat saya Terperangah justru bukan perkelahian antara Iko dan Joe melainkan Pemain nya Seperti Dian sastro Dimas Anggara Abimana bahkan Morgan Oey mereka terkenal dengan Drama namun kali ini bermain di Genre yg baru bagi pengalamannya So Cool keren 7 7 Fresh Movie
fikri ardonugroho	clasicc crime stroy but good
Dunia Jenaka	Ada blooper yang sangat mengganggu di awal Waktu Joe Taslim di kamar mandi dan diperban sama cewek Ada yg gak berurutan Pertama sicewek masang perban ke perutnya Pas Joe menghadap cewek perbannya ilang Lalu scene selanjutnya perbannya ada Hahahha kelihatan banget miss nya Trus pa iko naik mobil di tol Suasananya malam saat mobil disuruh minggir udah pagi aja Bener bener banyak gak sequence gambarnya
Sukoco iGede	the fight so real terrific but cool
Emily Weirdnez	Love it You guy did it again
Sadd Block	Overated af but it still fun movie tho
Rumah Pojok	Keren tp ko sya liat joe taslim berlebihan ya actionnya
Joni Kasdud	Not complete without Chelsea islan
