Angelo Alexandre	I see a lot of the comment never seen a Vlad interview or Kno who Vlad is lol 😂😂😂 I m dying at these comment
Neeka Taki	Akdjkddnd the amount of shade being thrown at the reporter lowkey make me feel sorry for him but then I remember what he said in the interview and join in throwing shade
salma nazwa	THIS INTERVIEW IS SUCKS
SELO oo	6 10
Nabina Gurung	Awkward interview like seriously 😑 what kinda question is that 😤😒
Wynn J	unfortunately this wa 1 disrespectful 2 did you even do any proper background research
donnydanko	this is so awkward yikes
Elise Ting	geez i dont know if id wan na give this video a thumb up to show love for kris or a thumb down for the interviewer
Jackson Brown	I love Chinese movie Names a Hong Kong movie Honest mistake I guess
H	Stfu cunt insensitive prick Just cause you get to interview a celeb doesn ’ t mean you juice the fuck out of it
Fannie Wu	damn i hate u 💩💩💩
Doyoung/cute Bunny	Kris went from “ Chicken is not my style ” to this SO PROUD OF HIM 💗💗💗
Angel Angel	This wa so uncomfortable to watch like why is he emphasizing so much on his dad
Lina El Biar	Wow Just wow I m feeling so embarrassed for this interview It wa so tact le and unprofessional My baby Kris 😭😭😭😭😭😭😭😭😭❤️❤️❤️❤️❤️❤️❤️❤️❤️
长长城	Fuck you china china people disgusting😛
ann	what kind of an interview is this who asks about the other parent if they arent mentioned this is so rude
fernweh0wanderlust	Na just too busy lmaaaoooo
German Army	Y all be mad about the interviewer but did anyone actually think about that he maybe didn t write the question Like he is probably just doing his job ¿ But i agree that he could be like more Kind or le disrespectful lol
Jasmin B	Can ’ t he see that Kris is uncomfortable about his father being the topic Like seriously Is he insensitive or what 🙄
Bianca Nava	One thing that I really loved in this interview is that kris corrected the interviewer saying that there wa 12 member in EXO 😭❤️
文溪溪	心疼凡凡 笑着回答主持人他最不愿提及的事
midgetBBY	Ok people These are question that alot of crazy fan wanted to know so he asked them because if kris doe not be up front with these question some crazy as fan is going to find out like how they stalked him and found his momma his friend and ect
jjsunqs	the interviewer wa so fucked up like i get asking him about his parent but don ’ t fucking push the topic when he ’ s clearly uncomfortable
3C10  LIM MING HOI 林明愷	kris wu is so handsome
Mary Pie	kris wu looked so awks and uncomfortable those are personal question you shouldn t ask this wa so dumb poor boy
Carina Luvz	It ’ s such a personal question prop to kris I wouldn ’ t be able to answer It since I my dad wasn ’ t around either I find it so disrespectful that he wa asking so many question that were personal But that ’ s just me 🤷🏻‍♀️
Lulu Yan	these question are so wired
Harlow	SUPPORT TALENT SUPPORT KRIS STREAM ANTARES
Jongin's Black Hair	I m so mad the interviewer keep asking him about his dad again and again He already say that they never meet What kind of stupid question He keep asking about Kris s dad Can t you see Kris s face Can t you see his eye although he wa wearing shade Omg he looked so sad I feel I want to cry but at same time I wa so mad at the interviewer
kumaminyoongi //	LeAvE bAbY KriS aLoNe ALSO BITCH NOT ALL OF US ASIANS ARE SHORT
Hannah Lee	this interviewer is so insensitive wtf i ve never felt so uncomfortable watching an interview before he sound more like a therapist than an interviewer asjdksf did he really feel the need to ask sm personal question he ha no respect or common sense
Evelyn Santos	okay
Jannat Day	These are horrible and inconsiderate question how disappointing no one should have to go through such a terrible interview
