jaun ajram	3 idiot
Ijaz Butt	U R gr8 man s
Ashraf Zaman	ذرا مولانا صاب کا اس سیناریو میں کردار ملا حظہ کریں۔ چوروں کے درمیان گٹھ جوڑ کرنے کی ڈیوٹی کررہاھے۔ اسکو اتنی شرم نہی آتی کہ خود کومولانا کہنے والے کو ایسی ذلیل حرکت کیا زیب دیتی ھے؟ پاکستانی عوام ذرا ھوش میں رھیں ۔ ریشہ دوانیاں شروع ھونے لگی ھے۔
Tanveer Ahmed	Hmari awam KI ankhe kholne K liye kafi he jab pakre Jane ka waqat Ata he ye rona dona shro kr dete he
Maria Khan	yha hukumat gerana itna Asan h b voting Dalo or gerao Mgr chor ko pakr k saza Dena itna mushkal h AK chor ko thora torchar kro to wo sach boldeta h Mgr yha to sabot hi pory nh hoty
MsSahil92	وہ ناسور اب ان کے لیے موٹا تازہ سور بن چکا ہے اور سور زرداری کی پسندیدہ ڈش ہے
suhail akbar	Brghairti ka doosra naam ZARDARI BILAWAL S HAREEFS
Dr Samina Yasin Shaikh	True spirit BC Sabir Shakir well done others
ali imran	Salay kuttay zardari ne pee hui hai Is pe medium kyun nahi bolta
Ashly Chauhan	Rizwan rightly said people please whoever you are regardless of the faith and religion please wake up before we all are reduced to invisible particle on the geographical map please dont listen to these nibbler they both are look at these what they have done and what their qualification were whatever IK is can a single person stand like him at the time extreme dilemma can one person no doubt the team is there to assist him yet there needed one man lead them all and IK is here who wa called by bloody that he is this and that and play boy He wa a boy therefore he could play and it need gut to play the one who dont even have ball s to play
Arshad Hamid	PPP PMLN is a group of choors and money laundrers and killer and gaddars All must hang
taswar iqbal	نون لیگ پیپلزپارٹی اور ڈیزل پارٹی یہ سب ملک کے غدار اور چور ہیں اپنی چوریاں چھپانے کے لئے گٹھے ہو رہے ہیں اللہ ان کی نسلوں کو تباہ کرے آمین پاکستان زندہ باد عمران خان زندہ باد ❤❤❤
m. akram	Allah pak Pakistan k dusmenu ko tabah kary Ameen
