Abi Abishek	1st day 1st show poravanga like potuttu ponga
ARUL RANJAN	Hi
its Max	See my youtube channel That s last Sean wa made from me first then this teaser came my favorite hero wa copy my scan from me I feel proud thanks all for reading this
Arul vikash Vikash	super
G L	Mokka
ganeshkumar t.kaliyamoorthy	Marana waiting 😂😂😂
No surrender	Santhanam look like AAA
Ranjith Vettayan	Vera level comedy
sam sampath	super sir i respect you
Selvi Balachandar	Kiss me close your eye super
Ragavan King	super teaser
Vaishu Vaishnavi	I am waiting 😎
Parkavi Kavi	Mass waiting 😎
Karan Saran	great escape na😂
Kabeer Kabeer	Yaaar yaarkku kiss me scene poticchuthu like pannunga
Ronaldo Paul	super varalevel
Ameesha Sherin	Alago alagu alagukelam alagu namma thala santhanam
vignesh s	Welcome this movie
Purusoth Pandiyan	😃😃😃😃😅😅
priya devendran	VA thala 😍😎
Babu Babu	semma
Shivam Vishwakarma	डेरी मिल्क के विज्ञापन ने मूवी देखने का मन घटा दिया अब वो डरावनी कम मजाकिया ज्यादा लगेगी😀😁😂
Rakesh Singh	Horror le comedy movie
Keerthik Nath	Climax semmah😍😍😍😍
jijui tkurian	This will become awzome
ungal nanban Babu	Semma And kiss me wow 😘😘😘
Entertainment தமிழ்	Thalaivar mass
arun ragul	Padam mokka flop mokka comedy
Kavitha kaleshan	Hhaaaaaaa 🤣🤣🤣🤣🤣
Hemanth P R	Happy to see santhanam in a lead role👌👌
Navi Kumar	Super
Alaipayuthe Arun	Comedy super star santhanam 👍👍👌👌👌
Jothi Ramalingam	Kiss me Close ur eye Kiss me 😂😂😂💖💖💖
Thiyagarajan mohan	Peya kuda vete vekulya
Visakh Sundar	Wow policha daa muthew Malayalies like adi
jo indhumathi	Sema
ED Mentalist Magician	this is Power full
Sekar Subramaniam	Vinna vamba valaivankatha ya nee enna offer la vaithara poriya enna
Semma Entertainment Studio	I am Waiting Thalaiva
MEENA A	Perfect 😍😍cmdy horror 😂😂
An Ny	semma ya irukku bro
zahara Preena	we love u santa
SANTHOSH B	semma movie
Presi Prabha	Sema
Naatheer Hajireen	ad
Raj Mohan	Finishing part Vera level
Siva Kumar	😜😉
Ronaldo Vicky	Santhanam 😎Sir onga Comedy alluthu sir 😂😂
Sriram Sriram	Finishi😂😂😂
Shaik Safiyudeen	Wow nice 👍 Iam waiting the movie
whats app status video 30's sec in love and friend	teaser semma
sathiesh via	Santhanam Anna pakka maass than sema comedy my favorite acter eppavumae
ashik rahman	super
Raj vel	Vera Level Ma
ajay patrick	This Beard style doesn t suit him
Amulya Arulmozhi	Padam eppa relise
Dinesh Kumar	Finishing yeppa samy 😁😁😁😁😁😁😁😁😁😁
amar nath	Santhanam na mass hero
muthuguhan Murphy subramaniam	Spr
Raki Key	Super
peer mohamed umar mukthar	Sarvar sundram eppo release
Sanjay Mondal	Awesome
SANGEETH PRASANTH	mass
Shanmugam M	Kiss me 😀😀
Sam Prabhu	Santhanam brother continues ah film pannunga we are missing running commentary and joke
Abhishek Mahalaxmi	0 21
Suresh t	0 37 chiyan style laugh
CasualUpload	Final kiss me semma 😂😂😍😁
victor sritharan	santhanam I missed ur comedy after u upgrading itself a a hero Bc ur movie a hero coming very few
Kama Raj	Peyavae kalaikiradhu sandhanathala mattum dhan mudiyum
NAME NAME	santhanam sir u r always great
P L	Santhanam should return to comedy
mano pudur	வா தலைவா வா தலைவா 😍
Vibin Vinu	howdy howdy fuckin partner
nadeep romeo	Mass look
Mani Kantan	Over acting Santhanam
Suba Saro	santhanam😍waiting😄
C Anandan	Takkara
