Samyog Khatiwada	Plzzz put nepal flag
Rosemberg murcia caceres	Eliminaron los barriles de esqueletos
Tommy Neu	Ich hab nichts verstanden 👀❓❔❓❔❓
9imches deep	Witches are officially useless guy
رجل حطمه الخجل	خوش تحديث
LAZAR BLADE	Coc will never pin me there ’ s just no way
Steven Holz	Please reduce the cost for the hero PLEASE PLEASE PLEASE 👏👏👏 Greetings from Germany✌ TH9
Hamid Ijaz	Pakistan flag please
Warrior 01	We want attack time longer
Mr Kariball	Нифига не понимаю
Jess K Tom	My hero s are not boosted correctly in training portion time have anybody else ha same issue
Ayaan Verma	This update suck Th12 didn t need the 3rd inferno tower and even Eagle artillery is buffed Do you want u to quit playing clash
RAPID WIEN ein Leben lang RAPID WIEN ein Leben lang	How much cost the clocktower drink
LORD ALPHA	Please remove the 24 time delay on clan challenge and add resource collection
it's Gaming Time	Lol war matching Fix it like if u agree
sandhya awasthi	badai ho megahi km ho gyi
anime protector	Is the skeleton barrel and giant skeleton in the game permeantly or just temporary
Andrew Harness	UM EXCUSE ME WHY IS THE TRAINING TIME SO MUCH LONGER FOR BARBS AND ARCHERS IT USED TO BE 6 SECONDS NOW 20 24 THAT IS THE WORST THING THAT HAS HAPPENED TO THE GAME
Irfan Momin	Plz supercell builder base war update
Wellington santos	Nao tinha necessidade de nerfar a bruxa
MAX GHOST	Administration of CoC please add an Ukrainian flag and Ukrainian language
Rakesh Jindal	My coc is not downloading😭😭
Владислав Соколов	набор бойцов в клан 5 уровня для лиги кланов в клане есть девушки UUP9VLJC UUP9VLJC UUP9VLJC
nathan BR	Supercell vcs poderiam equilibra o tempo de regeneração do heróis também
CouchHobbit -	This is a good update Finally the air bomb have reduced activation
Farid Gabriel Elemantal Lol 2	Ántrax esta bobo
7_ H E R O	انا مش فاهمه حاجة 😥
هشام العراقي	ما ففتهمت شي
حـفيدهۣۗہ صــدام	مافتهمت شي
99 ft.	Need BH fair opponent balancing
SPECTRUM zx	The witch became weaker
Alex Lambrechts	Yo it s a good Vid you no
มด สายแข็ง	คื่ออะไร
Sammy Su	1 18 What doe that even mean
kity kitkat	Wut y y wifi
Gaurav Patel	YE BELAR HAI JISKE GAAD ME DUM HAI PUBG KHELO YE PIDDI GAME HAI
Beerus sama	best update ever 🔥🔥🔥💪
harish metha	Do not update the coc why
Ebaad Azam	Bhai mere game update nhi ho rha hai batoe kya karo
Ranju Sharma	I am not happy with balance decrease all training troop elixir and decrease gem
Dalin Hall	You should make the wall cost le Level 1 100 to 200 Level 2 500 Level 3 1000 Level 4 1200 to 1500 Level 5 2000 to 2200 Level 4
Sunil Sharma	Coc is the best
ثامر ممدوح	سوا كذا👎🏻
POTATO POTATO POTATO POTATO POTATO POTATO POTATO	Quiet
Omar R Sosa	Hola Porque le bajaron daño y vida a la bruja
War king videos	Nice balance update
HEMANT SAHU	❤
Nishikant kumar	Always maintanace break
Bahaedin Baha	شنو هذا ولافهمت شي يرفع وينزل صاعد نازل 🤣🤣🤣🤣🤣
RANDOMIZE FOR YOU	Who want to see muskeeter in coc Hit like
princysoni 8888	We want howallon updated version
Md Galib	Hlo nice video
Soilen Marak Dipankar	HMM GOOD
imran ansari	http youtu be WrpLa DdU8w CLASH OF CLAN IN HINDI
Tiệp Hoàng	No like
Syahrul Clasheer	Supercell sometimes halloween update
brothercraft ID	COC Mania indonesia mana
Endrii Slank	Update bad
BEDOT 3rd	Join ajajajajajajja
Kiran Rai	Hi it is true that new troop will come that mega or golden dragon ☺☺☺☺☺☺
Gopi Amarnath Reddy	I am not able to install COC through shareit after this update
Aidil Guel 305	Taiiikk jirrrr Sekrng mau masuk lama bngt Kpn kita main klo gini Coc
Gian _	Let s pray for th9 😂
Atul Singh	My COC game wa not started
truant reja	where is the seige machine update in th game cost remais same and time also where the balancing go lol xD
Maria Arias	Cool
Nick486	Why u gon na nerf the x bow but buff the eagle artillery 🤔🤔🤔 Edit I m top comment
Vivek chandravanshi	Nice coc
ONLINE GAMEING TIP	Ma tumare channel pa kam karna chatahu toom loge ke na bolo
samad 2016	New update is COOL
Sarnam Grg	EAST AND WEST CLASH OF CLAN IS THE BEST
عصام شبيلي	احلا تحديث 😚
JEPOnatics 2004	WoW all hero using gem decreased but why giant
Cosmic Blox	Super cell you just made the witch super useless now that you made a lot of bad decrease on it and it wa a bad idea
PastaPlays	Who care about this Give u Clash A Rama We want it
Gita Devi	Only one thing that I hated about this update is that you have changed music and desgine of shop
Ismail Khan	Witch wasted
Rebeca Rodrigues	Tem algum brasileiro ai Rsrs
Shane Finkelstein	What do y all hate the witch y all keep decreasing her damaged and her health
Fool Proof Gaming	I love clash of clan but this video look like it wa made in Goolge slide
King of the world	تم تثبيت التحديث الجديد 1 44
حسين البصراوي	😘😘
RayRayJordan	I am very very disappointed on this update I ve been saving my limited troop since they first came out I update the game just so you guy can delete all of my special possession I am not happy There go the year I wasted on taking care of them R I P to my limited troop and spell 2013 2018
jesus hernandez	Cool
Nazrawi Zena	Horrible update
Рыба Fyga	Нормальное обновление серьезно
Arun Kumar	At leasrt i can upgrade pump
Hia	Omg this wa released on my birthday
Universe Girl	Erm mine wasn ’ t updating so I undownloaded it is that the word and tried again It ’ s not working and it ’ s not my data a I still have 5g left HELP
Renz Beragsang	Its still not fair
Con Lynch	Can you guy add when you want to collect your treasure form the clan castle you can chose how much you want to take oit
Emilianoprogamer 007	Genial
Shex Ahmed	👍👍👍👍
Helen Bannerman	I m trying to get the update but it s to slow so are you doing it or is App Store doing it
Eren Karahan	My Favorite game
First class Jackass	I hate the new shop look
Bhushan N	In new update today update I can t play clash of clan when I started to update can t update app then I uninstalled and give the game from my friend but they always say this file is not correct my mobile is very much space an ram and I checked where problem please fix this🙏🙏🙏🙏🙏
Md Anowar Hossen Shahin	Please give bangladeshi flag in coc game shop please
Smart Hemant	Sir Please help me after 23rd October s update clash of clan wasn t running in my android mobile please do something 😭😭😭
Ali Shabada	http youtu be eRrqJJyVsEA
