Rusty Shackelford	I wa there Great energy great people great president gave a great speech
n2bbuilding	I wouldn t call that crowd massive why didn t they fill the middle seat
Rachel Monees	we love you our presendentGod bless youall Amen
Jensen Beach Florida	Red hat Tsunami army
Orlando Santa	Wow would you look at that lack of enthusiasm among Republicans say CNN lol while Obama speaks to the mass in a high school gym and feed the hungry and walk on water headline So obvious the Democracts are in total panic that the medium is in bed with Democracts
Dill Dough	No other politician can fill a place up like him
ounce oflogic	Kudos to RSBN The Fake News network avoid showing Trump crowd
PHILIP WATSON 5	HES THE MOST POPULAR PERSON IN THE WORLD 🌍 RIGHT NOW 👏🏼👏🏼🇺🇸🇬🇧
World War 2 Veteran	Thank you for this They never show the overwhelming crowd
Antonio Hernandez	BUILD THE WALL 👷👷👷👷👷
DUNEYXZ	WE LOVE YOU PRESIDENT TRUMP
G Gaia	Thank you Right Side Broadcasting Network for showing the YUGE crowd size ☺ President Trump is the best President the US ha ever had There ha never been a President that ha ever held a many rally ha he ha He truly love America and Americans God Bless the USA and our President
Misty Buttercup	WHERE IS THE ENTIRE RALLY VIDEO 😡😡😡😡😡😡😡😡😡😡😡😡
nemonucliosis	Thanks to RSBN for showing the crowd CNN would say the stadium wa empty
Gerald West	lol Yes sir
Emiel Vanderwel	Trump against new world order
Blindfury B	Z❤️🇺🇸♥️
brian stuart	of course you ll feel the stadium in Texas Texas life off our government and ha been all the time especially military contract they re all Republican seems strange when we have a stock market crash they don t hurt at all
mobile star	Everything is bigger in texas
Anne Garcia	Pres Donald Trump God Bless your hard work and dedication to We The People Sir Thank you
Fredc Killian	MAGA
Helen Sue	God bless America TRUMP
Tony	Thank you RSBN for turning your camera
hamy72	And they try to label him a a fool He s a absolute genius He play the medium like a fiddle and they have no clue what more they can do Must hurt real bad
Our Email	I wa there what they are NOT showing is the top seating NEVER seen it so packed it over spilled to the outside thousand where sent away
Pilar Agrelo Art	I love my president Donald Trump 😀🇺🇸🇺🇸🇺🇸😀🙏
Keep Public Servants Accountable	I want the crowd to do a wave like at a baseball game Red tsunami
Rafy Colon Hernadez	GOD bless America 🇺🇸 and God bless Donald Trump 🙏
Sharon Stone	Thanks for the great coverage of our great President
Shirley Smiles	if you havent voted already make sure to check if you vote straight ticket it s not checking ted cruz s name on straight ticket meaning many have voted who left the texas senator blank more vote for beto SPREAD THE WORD FILE COMPLAINTS IF THIS HAPPENS TO YOU
Joe  Lavigne	I m speculating that Donald Trump growing up on construction site learned their how to relate to the Common Man it s not something you can fake
Mike Tyson II	Vote red for sovereignty vote blue for venezuela Honduras
John Kaszanek	Mainstream medium is our 1 enemy Lies distortion of truth mind control It ha had 200 year to perfect it evil practice of distorting reality and leading the peasant down any path it chooses That path is communism Wake up America
Steven Huizz	😘😘😘
B-Man 123	Wow 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 In the meantime Obama is holding a rally in a the meeting room at the local YMCA😂😂😂 SERIOUSLY folk get out and vote Red
A L	Why can t you also post just the POTUS speech like this
Barbara Richards	Joel Osteen ain t got nuthin on Trump 😂😂
r Br	The dems could not fill a elevator POTUS45
god emperor almighty forefather TRUMP	MAGA
Lisa C	💖💟❤ President Trump
King James VI Scotland	Massive
Angela	SOOO proud to be a Deplorable
Kiran KC	God bless you and protect you president Donald J Trump May Great God The Most High put powerful hedge around president Donald J Trump and his family member Thank you president Donald J Trump for draining the swamp of evil democrat evil globalists and of traitor fake liberal
halojump123	The arena can seat 18 500 for a basketball game 17 800 for ice hockey game and 19 300 for concert 48 The price for courtside seat to a Rockets game in the new arena were raised by a much a 50 compared to price in the team s old home while upper deck seat price were lowered
Summer Raines	WOW WOW WOW 🇺🇸❤💙
Shaun Gordon	He is the people s President
myohmy451	I ve heard conflicting report a to how many people can be seated inside that arena and how many were estimated to be outside I heard they d received 100 000 ticket request prior to getting this venue though or maybe after
Gcal1956	The people of Texas are tired of the b immigration invasion in America by the Mexicans This prof it
Tippytop	Best quote ever Of course I m unpopular with other nation cause i m not letting them rip u off any more folk
Des Nai	Great job RSBN Keep it up 👏
John Noonan	So sorry to see the bloody minded got you God is a very present help in time of trouble Keep the flag flying Appreciate your work and effort here in Europe
zelda torna	Got ta hear it again
STEEL ROCKS	so i take it president Trump draw more of crowd than nfl game
crossclaim1	TRUMP ROCKS 👊👊👊👊✊✊✊✊✊👍👍👍👍👍
trueboss926	I love Trump I wish he could be president forever
jan somerville	just when is he gon na tell the truth ever
Xpansion Theory	Red wave
DC CHANNEL VLOGS	AWESOME TRUMP
SAOrules	Dear God Is there an arena that the God Emperor himself can ’ t fill
Santos R	Hispanics for Trump USA God protect our President and keep giving him wisdom to lead this great nation of ours
Dl M	It looked like the crowd wa scattered about to make it look like a hugh massive crowd Noting but empty seat Kinda like how his inauguration wa
Julie AgcaoilI	bjarkeFox You tube may have taken it down because they show the crowd size this one could be next
TreeTopFlier	Guys you cut the feed before the end
Bjarke Fox	why did yall take down the full Houston Rally
I love The USA	Our man Trump
Luciferrin 7	Word
Xavier Mireles	I wa really there in spirit with you guy No regret
Alloflightx2 x9	President Chem Trail and Ted the Canadian Cruz √ Soros still free √ Hillary still free √ Chemtrails continue √ Still in Afghanistan √ DOJ and FBI still withholding document from Chairman Nunes √ VA hospital still a mess √ Businesses still closing all over the US √ Internet still in the hand of the UN √ Silicon Valley tech company deleting all Conservatives from the internet √ Chinese still conducting massive espionage operation within the US Government √ US still protecting ISIS in Syria and blocking Russia from killing ISIS I m staying home on election day Sorry I ever voted for this professional liar in the white house
T McGe	I already voted RED All the WAY
hI hi	youtube reset the upvotes lol wa at almost 10k when i wa watching live
TheyCallmeSpider-man	Holy sheep shit batman It s a damn red tsunami 💥💥👊👊👌
Stoli x	Don t forget to include Patriots Soapbox viewer in your count Usually three thousand or more per rally MAGA
Pushyhog	Hope ted win
