Chaze Rivera	NCT cheering for NCTZens is the most precious thing ever 💚💚💚 Grasses we so luckyyyy 🍀
ReRe EXO	اطفالي 😭💚💚💚💚💚💚
pearlpower17	the look on their face really say it all
Riee Chan	Before Dreamies v BTS and finally dreamies got 2nd place but they are still happy Congratulations boy 💕💕💕💕💕💕💕💕💕
Vanessa Alba	I didn ’ t understand anything but I could just tell that wa a good explanation
Pinkrevenge101	The first thing they sing for the encore “ I ’ VE BEEN BANGIN WITH MY TEAM ” Jaehyun did THAT Iconic win on yutas bday never forget
RoseSmith11	This make me so emotional
Quyen Pham	0 33 0 40 Junguwu really wanted to cry Some one give him his shoulder so he can cry They must be tall like Lucas LOL cause Uwu is 1m80 😂😂😂😂😂
Vaisravana Prajnadhira Ahimsa	boa looking enormously proud her baby brother are having their moment
Multi-fandom Enthusiast	Boa wa hyping them so much omg Sm baby
clara lanica	They are so cute hot and handsome in same time😍😶
Sevin Kurniasari	I Love them NCT 💚💚💚💚💚😍😍😗😗😗
Sora K12	💚👍
YT 127	NCT127💕FIGHTNG✊
Ayu Agustini Uzerli	Taeyong best leader 👏🏻
Lzen유재재	Yuta s Braaah❤
Xing Xing	💚🏆🎉💚
uwunim	My baby 😭😭😭
Indira Sari	Uwuuuuuuu
Farin Rahman	They really love u so much 😭💚
farihah eha	K nctzen are so lucky😭😭
Pichaya Srisuwan	congrats you guy really deserve it Seeing you happy and smile is one of my fav moment keep practicing trying showing talent and you have my word i will keep loving you NCT
indira parcial	is this thier 3rd or 4th win
I am super ultra mega alpha bored rn	My man Sicheng barely doing anything because of the lack of his line I think I m boutta bust a nut—
Andrea Garcia	Me dieron unas ganas horribles de llorar c
Irene's Tunes	WinWin is really out here SNATCHING THUMBNAILS ❤️❤️❤️
yunoh's girl	i love how they re not cry or at least tried not to but you can feel how thankful and happy they are it s so fulfilling
nabilahsalman	When you guy happy I ’ m happy too
Victoria Angeline Yépez Proaño	So proud💚💚💚👏👏👏😢😢😢😭😭😭🤧🤧🤧🤧💚💚💚💚🌱🌱🌱
Young Nguyen	추가해 ❤️❤️
A J	jungwoo look so uwu
Ayu Putri	😍😍😍😍😍
미 미	ジョンウ💝💝💝💝
Beautiful Maknae Chou Tzuyu	WHy iS nOboDy taLKiNg abOut WinWIn The thumbnail is SHINING✨🤩😍
Mae B	1 05 a happy BBRRRAAA lol
Chimieee Park	1 14 that wink tho dy YUTAAAA
kimkey1991	Taeyong and Boa hug twice
Dara Nadine	The thumbnail is my life 💜
NCT nians	2 35 they were chanting NCTzen NCTzen I m about to cry I m so happy that I m part of this fandom😭💚🌱
iHearteu BTS	The way taeyong hug jaehyun ah so soft UwU 0 24
Hani x	jungwoo bby ❤
Kiplen	Yuta is so handsome bruh wtf 😍😍😩😩😩😩❤️❤️❤️
Prdsdef.taeil	Our sensitive Taeyong ❤️
1026悠	悠太のお誕生日と１位のお祝い最高過ぎます💕おめでとう🎉これからも応援していきます
Anne ELF	Kings
karla seasonie orbit	Congrats to our baby
It's Personal	Yuta stop 😍
Iman Ahmed	YAAAS THEY DESERVE EVERYTHING❤️❤️😭
Kate Córdova	Thanks for uploading this video 😍😍😍💚😭
Ethar Alwattar	PERFECT THUMBNAIL BTW
Adoring Kookie97	2 01 the love of my life ❤️❤️
Venus Ofiana	i m so happy for my boy
H. B.	THE BEST THING I SAW TODAY
Hesti Utami	Really congratulation NCT127💞😍
Maria Fernanda	Johnny is so sweet he went to Jungwoo to pull him closer
Liberated Rapunzel	BoA representing NCTZens reaction V at least mine Little big dude you deserve the world and you will have it D
Yarely Rojas	YASSS MY BOYS ARE THE BIGGEST HIT
AB Shii	I love how genuinely happy they re 💚💚
Xuxi King	You guy deserve it 😍💚
Marion Elise Brillantes	So happy to see them happy 💚💚💚💚
• exoluar •	수고했어요💚😭 i proud of you so much 💚💚💚💚
xuan haha	They all looked so overwhelmed and their eye are all watery These boy really deserve the world
WINCTAE	0 32 0 39 Baby Junguwu 😭😭
Vân Anh Nguyễn	OMG Taeyong
ELF *NCTZEN	JAEYONG 💚
darl ing	Thank you for uploading this precious moment for u who didnt got the chance to see their encore stage Congrats NCT127 You deserved it You ve been working hard Were so happy for you guys💚💚💚
Breen	😭😭I love them so much💚💚💚
Tannya Aditya	THAT LOOK OF DISBELIEF IN JUNGWOOS FACE 0 55 YES BABY YOU WON 😭
Vie Vie	I love them all
park SLAYoung aka JOYsus	Mama BoA is proud ✨
Saniscara Yasmin Izdihar S	Taeyong uljima You guy deserved it Uljimaa 😭😭😭😭
Shimx Zap	💚💚💚
Itsyuri yow	wow thank uuuu
Elli	i m so happy😭😭😭🙏🙏🙏
jie anis	boa being hyper at the back is the best thing ever
Teddy Allfiss	Precious moment 💘💘
Rh. Official	💝💝💝💝💝💝
Febrina AB	I ve been stanning this group for these passed 4 month and a a kpop fan I can say it s one of the best decision I made after being an Eris for 6 year lol So proud of my baby boy Keep going higher you guy 💚
Shou Ryn	Haechan sing live perfect ❤❤
Nitzan Anavi	Look at how proud BoA looked IM SOFT
Polen Bides	Congrats mahh boy im sooo proud of them
Alessia xx	THEY ARE SO CLOSE TO CRYING OMG
Hando Pangestu	MARKHYUCK WITH 2 BUCKET FLOWERS💙
Paloma	1 15 i saw that wink Yuta
heol daebakk	Thank u
dragonamu	that s great moment they win in music show in yuta s birthday
PEACH TEA	Haechan shirt remind me of Malaysian Batik traditional Malaysian attire haha Any Malaysian NCTzen here🇲🇾 ❤️
HANA NURHAYATI	0 25 OMG JAEYONG
Being multi is GREAT #ComebacksAreNoJoke	If they cry I cry Simple
L. Hasna	winwin a thumbnail bless
Hera Kharisma Suandi	💚💚💚💚💚💚💚💚💚💚💚💚💚
Nur Aisha	Taeil look taller for once with the party hat 💚💚💚
cisly myr	I love you congratulation NCT 127
cinderellaboy	that jungwoo s cute little high pitch voice
Ana hoho	2 34 did nct just do a fanchant for nctzens 😭 we dont deserve them 😭😭😭😭💚
ᴅᴀʟɪᴀᴠ ʟɪ	JOHNNY YOU ARE SO PRESIOUS ❤️❤️❤️❤️
Alicja Lis	So proud 💚💚💚😭
cik Kinnik	I love they are not the cry type Except for JungWoo I can t imagine the other 127 member cry in public
NCT NCTzen Channel	Why did they just upload this video by now Well better late than never
xxFlor Solxx	Amo verlos tan felices 💚💚💚💚💚
Shara Sema	They look so hottt
선백	엔씨티 1위 축하해🎉🎉🎉🎉🎉🎉🎉
TY Track Nctzen	💚💚💚💚💚
monday blues	they deserve this and so much more my talented hard working baby 💚
Cherry Peach	Congratulations ma boy
Buffaylo	wig
Husnul Hotimah	Yessssss Finally I Love So Much NCT 127 NCT 127 the best always and forever 😍😘
blossom 252	Jaehyun why u so handsome 😂😂
A. tiny girl87	congrats 🎉🎉🎉🎉👏🏻💚 well deserved win 💚👑💚👑💚👑💚👑💚👑💚👑💚👑
be quiet don't cry	Congratulations nct and nctzens
Alluring Scene	Brrraaah
baekkie is mine	Mark looking double good in those clothes
N NN	Perfect moment in a perfect time 😭 Congratulation boy you really deserved it Dont mind what hater said bout ur achievement finally all of your hard work paid off 4th win We been knew that ur journey since the beginning wa never easy lot of hate bad rumour Just like Mark said let walk together dont run just enjoy every moment that we made To hater I like shining you be lyin I be grindin you waste time Know you wan na roll with me Cause you know I put it down When I show up I m the one and only No no no No no Yeah pull up in the Jag Haters gon be mad NCT127 2018
ametrine	1 40 zeus 😅😅🤗
talented visual group? it's NCT	Seeing them won in a major music show is really happy Like so happy That s why their reaction wa so surprised They didn t expect it but yet you guy really deserve it
Nanami	ボアさんめちゃくちゃ嬉しそう💗 そしておめでとう🎊
Gaia Montero	1 15 YUTA S WINK IM NOT FINE DUDE
Jima Ayekpam	Congrates boys👏🏆🏆🏆🏆🎉🎉🎉💚💚💚💚💚💚💚
Rezmalia AerisTzenie	😭😭😭💚💚💚
娜安	I m not cry y all
BANGTAN & ARMY WILL STAY FOREVER	proud of my boy 😭👏
usernamemaybe	3 well deserved
farexofan loveexo	Double winwin
jungcook's timberland	Jaehyun s yay in the beginning omg
el safir	really really thanks for upload this video ❤❤❤
Ramsha A.	💚💚💚💚💚💚💚💚💚💚💚💚💚
-Stay With Taeyong-	TAEYONG LOVE YOU SO MUCH YOU ARE THE BEST 💪💪💪💪
Aira Dela Cruz	0 33 doyouuung ♡
evakingstumblade	they deserved this and much much more so proud of you boy
veryverylucky	so proud of NCT 127
atinkerfairy	Well deserved my precious son
Articles Faith	great you boy deserve to be winner every time
Hello~Johnnyyyy	THANK YOU FOR UPLOADING THIS 💚💚💚💚
Moon Taeil's Other Half	I thought we get the clip wherr Taeil kissed Mark on cheeks😔
Azi Shagnal	What wa it filmed with😰 Anyway thanks for uploading and congratulation NCT 🎉 181026 is the best day ever
엑소 x혜림	1 54 that BRRRRAA😂😍😍 Mr Nakamoto OMG💖
Vocal Legend Moon Taeil	Taeil and his tongue 👅
Lovie Soul	1 48 taetae being rude
No need to know	CONGRATULATIONS AGAIN 💚💚💚💚💚
Rizkii av	Proud 💚💚
you could be my only star	I ve been thinking about this Thank you
jeon kysoo12	waaaa
Joy Cha	Taeyong s tongue action boi I felt that
Helene T.	Boa and Taeyong hug Boa best sunbae ever
Mitsuyuki-Hime	NCT WON CONGRATS MY BOIS 👏
mark tuan can't relate	Jungwoo s 4th win with 127 Regular s 4th win 💚💚💚💚💚💚
Nurman Winasi	Taeyong cry 😭
kyxngin	THANK YOU SO MUCH 3
ましまろまくりぃ	The quality of the video is awful but I still like it
Mss m	jaeyong hug 💚💚💚
NCTzen child	Babies
jeon FIys	💚💚
