Demonic Queen	I Don t Think Team Neo Plasma Are Suppose To Be Pirates Though They Look Like Some Kind Of Black Ops
Brisingr Phoenix	3 53 plasma ha more visual relation to a crusader which would actually make a lot of sense since their ideology seems more in line with fulfilling some sort of holy quest
Fluffel	Isn t 4 12 she from the other Pokemon manga
pokemon gamer	No it csnt be dawn is good
Justin Roxx	Blue uh I mean Dickass wa rumored to be in Team Rocket
Cookie__XD	The last one is a little far fetched Still very nice Video
YaBoiCYT!!	Bonus fact Giratina is Gas ghost type Palkia is liquid water type and dialga is solid steel type and team plasma is the fourth state of matter plasma D
Jeffrey Howard	Just realized you uploaded this on my birthday This is Jeff from IG 😌
Real_SuperPig	I once read a comment that said mar hair style resembles a roman helmet and mar is also the roman god of war
TKnHappyNess	The only Team Galactic Commander that wa wasn t named after a planet is Charon He s named Pluto in Japan and in some other country
Ghost Blade	Archie I ’ ll end this now Maxie AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH hair turn good pod and grows out Tabitha MAXIE what doe the scouter say about his Poke level Maxie It ’ s OVER 9000 Courtney What 9000 Can ’ t be true that ’ s impossible Archie people of Earth LEND ME YOUR OCEANS
Angelberg Chua	Maybe team galactic is former team magma
VyrusHost Cat	Hi I m named after chocolate Mars
Lanette Lassiter	Wow very interesting video
theurbanshark	Fri Gate it s not pronounced like that
Tony Tang	Did you know that the Team Flare Scientist s name actually have a clever origin Their initial are A B C M and X which are actually the level of solar flare A being the weakest and X being the strongest The order you fight them in is also from the weakest to the strongest
Erasmus1712	Great video I love how you connect all the dot because this seems to make sense
Nerdtendo	I think Mars s skirt look more like a UFO rather than the ring of a planet
Travis letchford	I just started my first diamond play though after playing platinum several time
Jean Paul Martin	Fun fact Mars in Spanish is “ Marte ” this is the Spanish name for the planet The day of the week Tuesday is called in Spanish “ Martes ”
Slater Racz	LetsGoN
Sharpedeo's Minecraft	Plz odd fact on team galactic Plz
