Mariz Mansueto	😍😍😍😍
Marie Rose Dalo	Galing mo bb nandito Lang kami support sayo 😍😍
Kring Falogme	😍😍
kanalen balaguer	go mama meh ang galing mo tlaga
Rhose Docot	Ang ganda ng lyric tugma sa ngyayari sa amin ng bf q Madaming question but alam namin susugal kami sa pagmamahalan nmin Gaanu man kadaming humadlang Ang hirap nakakatakot yung feeling n baka ma failed ka sa laban Pero ma masakit kc ung susuko kna agad ung wala kang ginawa ung iiwan mu siya sa ire Para sayo Mahal Susugal aq Dahil Mahal na Mahal kita😍💪🙏
M	Hahahahahahahahahahaha
Baile Antony Escabillas	parang anime ost silent voice ba yun ewan
ghel villareiz	Mamameh slayed it😍
Charles Agudo	I hope makaka place ang kantang ito Maganda siya at very catchy Lalo na ang MV
ajieching u choo	Im mayward fan But i love mari Naka LSs ung mga kanta niya Keep it up girl More blessing
Some 1	
Lhetskie Magbanua Oquiño	💙💙💙 sweeet
charlz Miralles	mgnda to gawing sayaw ang knta ni mari ma bet q y0ng Mas Mabuti pa ni Janine
Sally Soriano	Hi mari a silent fan here goodluck and God Bless
wisdom fontanilla	mari
jemimah Grace galera	No need for auto tune Hindi fan pero wala lang ewan ko ang appeal nung kaba nya eh bagay sa song Parang isang dalaga na kinakabahan sa pagkanta kasi nasa harap nya yung crush nya Hahaha Super bagay ha galingan mo Maris I like you more na more na
Mae Depilo	Congrats mar 💕😍😘
Cathlyn Benal	mari congrats
Michelle Pabiles	Galing mo Maris ❤️ isa Dalawa Tatlo susugal ako ❤️❤️
maricel lucero	New Gen OPM Acoustic princess Mabuhay ang OPM
Glazie Agustin	😍😍😍ganda ganda Maris
Brich Maglangit	maganda bos niya
PJ Arca	Mahirap ako paiyakin pero bakit napaiyak ako sa song nato 😭😭😭
Aj Nillasca	RELATE MISS SONG WRITER I SALUTE YOU SO PRETTY VOICE MARIS FIT IN TOO MUCH PERFECT SONG
charyl guiawan	Ganda mari Galing sa puso ang pag awit
Drew Vlogs	Maris💜
Rakista Ako	Ika 10 kong binabalik balik pero may tama talaga ang kanta para sa kin Sana itong song ni Bebe Maris ang manalo
Angeles Velasco	Sugarol by mari racal
Mon Hannah	😍😍😍
ayen delacerna	ang GANDA galing mo mamamehh
You Tube	Panalo na to
Mhonou Rocco	congrats mari ang ganda ng song
Maymay28	Don t forget po to vote si Maris last year nanalo si Inigo papanalunin din natin si Maris ngayong taon Let s vo l te in For the love for Maris the half of Marnigo 💙💙💙
Edna Carlos	Congrats mari lab ko un song mo
Janen Talon	Maris❣
Junivel Wenceslao	Halatang kabado
Goblin's Bride	So lambing ng bos ang sarap matulog pag pinapakinggan to 💗
Rizalyn Cantal	Big girl kana talaga bata 😭 proud kaau me nmu dzai congrats 🎉
laura canto	ang galaing mo naman mama meh proud nof you
imelda inogacio	Goosebumps bata Susugal din kami para sayo Maris Love you bata
Levin Galceran	nakakahilo ung camera man
Joy Ceno	She deserve to get a million view
im wawa	my super duper fave this year himig handog ❤️
Mylene Famulagan	hala halatng kabado di hit ibang note pero ok lng yan more prcticr at singing lesson para pak na pak anyways buti kasali ka na sa himig handog matagal na tlga naming inaabangn to for you God bless
Analyn Medrano	bagay yung voice nya sa kanta
Syra Colipano	Talagang Susugal na ako 🔥
lheenzkie A.S	Sarap naman sa tainga Boses mo mari panalo kana LAHAT NG MMAHAL SUSUGAL talgaa Kaya sugal kuna talgaa kanta mo panalo sa himig handog
jazz dleon	Kinakabahan siya or wala sa tono
Sharry Socao	Paano ang pag boto Ask ko lang thank you
Taiba Salani	Galing mo Maris ganda ng voice galing din ng pgkainterpret so proud of you
Fil Jasper Calizar	she look like selina gomez here
marco romero	sakto lang naman pero ma magiging maganda sana kung si moira nag interpret nitong kanta parang ma bagay sa kanya
YOWYoona	I m not sure ah pero parang ung song is made for a guy s voice pero Maris really did a great job interpreting this ❤ not perfect but I m loving it It suit her 💕 I m not really a fan but I listen to her current song 😉
Grace D.	love you MARIS
Joven Dr Ausen	Ganda ni mariz
pretty dumb	i thought it wa an ugly performance since some of the comment said so but after watching the video I realized that it wa the bashers who were finding the flaw
Elene Ogahayon	Shaky voice
Russel Pereyra	parang titibo tibo♡♡♡♡
C C	Parang sintunado
Itsme Sofie	yoko na mag tell hahahahahahaha
Candie Libradilla	Ang pangit ng mga kanta ngaun D tulad dati
Catherine Cruz	kayo na po ang panalo
Jerome M.S.	PROUD NA PROUD AKO AS A FAN MARIS ACTUALLY INISIP OO NOON NA SANA MAKASALI KA SA HIMIG HANDOG NAPANAGINIPAN KO PA YUN EH TAS NUNG PINAKITA SA TV YUNG MGA INTERPRETERS ND NANDUN GRABE DEJA VU FEELING YUN SAKIN 😊😘
Shy Etabaz	goosebump
Emily Salise	Good luck MAMAMEH 😇❤
Simsimi Amore	Susugal sya Iñigo Susugal kadin ba Haha chosss😂 Love you Marñigo💙😊😘
Blessie Galapon	CONGRATS MARISSS NGAYON PALANG SUPER PROUD NA KAMI SAYO 😍
goldwin818	Realtalk lang tayo ah Bakit pinakanta sa kanya to Ang shaky nitong live Tsaka hindi swak yung emotion Even the recorded version wa not that good The song ha potential pa naman
66587409 iglesias	Good luck Maris ganda ng mensahe ng kanta lamig ng bos
Rahma Rossana	Love u Maris ang sarap sa tainga lalo nat naka pikit ang iyong mata try nyo
Mary Grace Nueva	Ang ganda mo Maris Mas magaling kayo God gift to you and more blessing to you always 😊😇😍〽🎵🎶🎤
rasty columno	Galingg ❤️
Benjamina Victorioso	go Maris for the win ganda ng lyric at napakalamig ng bos mo love love l
LOISAANDALIO RONNIEALONTE	Ang ganda ng bos ni maris😍❤miss ko na LoiRis
Mansing Berro Amen	Congrats mari racal galing ng voice mo
David Ornedo	God is always with you You interpret that song with angelic voice Hindi man siya birit Pero ang sarap pakinggan tagos sa puso ang mala anghel na tinig mo Itong kantang ito ay pang masa puede sa kantang pang bayan pang ofw isang hakbang patungo kahit di sigurado isa dalawa tatlo susugal ako sasagot salahat ng tanong maghihintay ako I love it Superb word for hope and encouragement
Deminesh 88	Ang ganda ng meaning ng song And to Maris nabigyan mo tlga ng hinihingi ng song na emotion Galing mo maliban lang sa ramdam yung pagka shakey ng voice mo Sana baby girl sa final be confident na tanggalin mo ang kaba mo SUGAROL
Jonalyn Panalon	Go Mamameh ❤
Olive Millares	20× ko nang pinanuod ang ganda ng song at ang soft sweet ng voice ni maris😍😍😍 Loveyou mari Go for the win👍👍☝️👏👏
Valerie Joyce Prado	Ang galing ni mamamehh👏👏👏
Yman Paguntalan	Kung may dala syang guitar on stage maybe her nervousness ay mawawala
Joan Del	😍😍😍😍😍
Aila Kathleen Maco	Go bebeh ❤️ Bagay na bagay sa bos mo yung song
evelyn marcellana	Ang ganda ng bos n mari sobrang proud me pray ko manalo
Lilibelle Gonzales	Gustong gusto ko yung kanta mo mari halo lahat ng kanta mo ang sarap sa tenga pag pinapa kinggan
Reiji —	Kng meron mang sasalo isa dalawa tatlo susugal ako loveyou panggamaris
EJ EVAN Medina	Baliw na ako sa kantang to si mari pa kumanta 😊😍😍😍 galing galing 🙌🏻🙌🏻🙌🏻
thefirst one	my sweetest mari
Mk Abellana	go Maris and next finale huwag ng kakabahan ha😊 good luck and God bless
aileen jornales	Maris😍😘 Bagay na bagay sa bos nya Di kailangan bumirit pero perfect yung voice nya sa song 👏👏👏😍😘 Laban mamameh😍😘💞💕
Jj David	Trying not to be so emotional This song is my HH fave this year ANTHEM SONG PARA SA LAHAT NG GUSTO MAGMAHAL ULIT😭
bhong green	I suggest sa music video nito If lang naman She is wearing beautiful white dress while walking in d forest tapos sa bwat daang natatahak may mga memory ahead Basta ganun Hehehehhe
Ruel Ferer	Maris bat ganun napakalamig ng bos napakaganda ng song nato huhuhu 😭😍
ELLEN TUAZON	Please let s help to make her win She deserves it
itchy normz	sinong ma sikat mari o loisa wla lang natanong ko lang naman pero pareho ko silang gusto since pbb pa pero ma nangingibabaw si mari sa puso ko waaah may ganun
Cubao Farmer	I like how Maris interpreted the song The arrangement is superb Pwede ko pakinggan to maghapon magdamag ng mga dalawang buwan Alternate ko yung Wakasan ng Agsunta Solb na buhay ko 😇
Charmaine Lopez	Itataya at isusugal ko ang kantang ito Maris Ganda ng pagkainterpret ng song 😍😍😍🎤🎧
Cremia Quimbo	Go Maris😍
thisisme 08	sugarol for the win
Yhang Minguito	Am proud of you my stella
Ramelyn Vigonte	Ang ganda
OSCAR EDIG	Sasamahan natin si Maris susugal din tayo sa kanya panalo God bless everyone
Rosalia Rellon	Sarap ang bos mo sa tinga mari bata ❤👏👏👏👏
Ann 43	for a first timer to join a contest like this bravo to you mariskie alam kong kinabhan ka sana sa final mwala n lhat ng kba mo just enjoy the moment win or loss pnalo ka pa rin sa amin ❤️
Sandab Asliya	Galing mo mamameh
chess addiktos	galing Maris for the win 🏆👏👏👏
Jang Kyungsoo	I watched the four remaining himig handog contender yesterday and sobrang gagaling nila Goodluck MARIS
Jesel Cañete	magaling pa c loisa
Jean Empinado	Galing mo mari panalo kana
Edwin Rosite	Khit nman kinabahan xa na interpret pa rin nia ng maayos Ung kanta nia lng ung kakaiba chill lng very catchy at madaling makarelate sarap pakinggan
Sky medina	Lol Bat ang layo sa live shaky eh Opinion lng naman 😉
Kenneth Ajero	Ang galing mo ganda talaga ng bos mo maris❤️❤️❤️
Ann Ibasan	Ang galing 😍
We We	Msrp pkingn sa tenga ung kanta ni mameme congrats
Roberto Tubilan	parang kinakabhan c mari ung bos nya iba pero maganda parin👏👏👏👏
merieniza hisola	Yes Go bebeh Maris🙏🙏🙏 For the Win🤩🤩
Rose Pantoja	No matter what Maris we will support you Ang galing mo grabe 😘😘😘
Ernie Edar	😍😍😍 I m speechless kasi ang Ganda talaga ng bos mo Maris
Marjelyn Mabanding	Galing mo Maris Congrats
loi munar	No doubt basta c mamameh lahat kmi MS LT MN VFs Bisdarock khit ano png grupo magkakaisa pra s NAGIISA NAMING TALA MARIS RACAL wala ng iba
Raziv Maito	👏👏👏
Cherry Rose Inguillo	love the song and the singer LSS
BlackTwice Fan Forever	sana maging millenials choice to go ate Maris
Stellar	👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
Mae Disu	Lamig ng bos nya
chandria olivia gemillan	Ang ganda ng quality ng voice niya
Earl Gomez	first time ni mari sumali ng ganitong contest good job mari 👏🏻
Jonaida Pedazo	laban kong laban Sugal kong Sugal ganda na ang nag fan s nya susugal kami ParA sa kanya
Dont Me	eto lang talaga yung inaantay ko sana manalo ka mamameh sugarol marisracal
MCM O	This song ha the same vibe a your L I E Very catchy It get stuck in your head very dreamy wistful like what everybody else is saying you just need to shake off the nerve and you ll be good to go
Jeremy Arellano	Ang galing 👏
Chella Bete	mari u did it i like ur song so pretty soft pakinggan
raquel onez	i want to vote this song how to vote please help how to vote no ending of LOVING this is the reason na patuloy pa rin tayong lumalaban para mabuhay
Andrew Gonzaga	She deserves to win ❤
WATCHTODAY NOW	Kasi c mari pagkakanta yung tipong galing sa loob so sa mga listener s ma feel no talaga lalot yung kanta ang ganda ng mensahe
Gladys Guiao	Better pa rin kahit kinabahan
jennilyn dalubajan	kinabahan c mari ok lang yan galingan mo nlng sa final but i love her voice
Jhanine Borromeo	Bakit kaya ako naiyak😭😭😭go BHEM
Miracle Fuentes	Lodi 😘
Gogel Meal	ang ganda ng kanta bakit marami ang nag dislike gising yata ang mga bashers ni mari
Mariel De Guzman	Kaba ngiti proud Yan nararamdaman ko while watching her nakakaproud tong batang to
rhia marasigan	The best talaga
Dom Pascual	Wow Stella ginalingan mo masyado love you always my RockStar Keep shining Tala were here always to support you and Papapeh❤❤❤
gina gavinp	Very supportive tlg c inigo ung nerbyos n mari add flavor sa renditon nya ng kanta manalo sana
Jeff Ballera	Titibo 2017 Sugarol 2018 💁🏻‍♂️
genalyn valenzuela	Congrats mari
Nheng Casingal	Inulit ulit ulit ko😍👏👏👏
MarNigo Lang Sapat Na	Congrats Mamameh Sobrang galing mo 😭👏 Goodluck sa final 🙏
Rojan Dale	Definitely one of the best song and interpreter this year Sure win na to susugal ako
jerah pinca	nice song Beautiful interpretation
Vaneza Dalumangcad	Maris 👏👏👏👏
Babylyn Manalo	Wow mama meh lodi na talaga kita kahit kabado ka ganda pa rin ng bos mo proud kmi mga fan mo 💙💙💙💙💙💙👏👏👏👏👏👏👏 SUGAROL 4 THE WIN
Zelle Quin	Sa lahat ng entry ng himig handog ito yung nakakaLSS
Maricris Macariola	Matanggal lang ung kaba niya ok na ok ito pero may final pa naman pwedeng pwede ka pa bumawi
Tess Fortaliza	ang galing galing mo Maris
rod Dela Cruz	Halatang kinakabahan sya pero ok naman performance nya Maganda ang melody ng kanta
Sheina lyka Dalumpines	Ang galing netong si Maris
Vivian Porras	Congrats mamameh
sebab Reyes	Not just in love pero yung lyric applicable sa buong pagkatao Bagay sa tunog ng pag awit ni Maris Go Pinays sugal sa hamon ng buhay Gogogo Maris galing Support ako dito HH2018
Premier Boys	I m a BoybandPH fan but I have to commend Maris for her interpretation of this song This wa meant for her Di naman talaga kailangang bumirit to make a song great Mabuhay ang OPM Mabuhay ang Pinoy Pop
Marjorie dizon	Di naman kailangan bumirit para manalo kay moira song last year swabe lang din pero nanalo Magdadala pa rin message ng kanta and how deliver na song para sakin panalo toh
Noriel Albia	I heard this girl sang before and i loved it But i got ta say this is the weakest live performance for himig handog entry so far
Ros Sacluti	Huhuhu kaproud ka Maris
ginia alejandre	grabe ung lyric sinabayan pa ng bos ni mamameh kasakit sa heart oy hahaha
Bella Fritz	Go Maris
Lamalan Saguira	gandan ng song mo baby girl ilove you lagi baby mari
Lorrie Buncaras	Congrats Mamameh So proud of you 💙😊💙
random account	Kilig ako sa comment ni Inigo 😂 this song is my least favorite tho kung di si Maris kumanta wont even listen to it 😅 Just want to commend Maris kahit shaky siya maganda pa din ☺️
Matet Lim	Habang pinapanuod q 2 ako y kinakabahan hahaha kc ang galing galing mo Mars 😘😘proud of u
Jo Cancy	I like the song and Maris is the perfect choice to sing the song Hindi kailangan ng birit sa kanta bagay na bagay yung bos ni Maris sa song She ha a beautiful relaxing voice soothing to the ear Sure winner ang kanta
Sarah Pasia	One of the best Himig Handog Song Entry for 2018 and Interpretation husay mo Maris lalo na live singing Suenatics will continue to Suepport you 🙌🏼💛 God bless sa kantang ito 😄 SueRis 🙏🏼
Mitch Khomaya	Galing ni bata ui proud of u
Cristina Madriaga	mananalo ka mari susugal ako
marie MarLex	mejo kabado si bata ah hehe pero ang ganda tlga netong kanta eto bet ko manalo
Jonah Calijan	Mamameh graveeeh parang ang hapdi NG puso ko Go go go mamameh C papapeh number one fun talaga
Leslie Anne Pernites	Ang galing I love her Ilove the song a well
Jhazel joy suarez	Wow ang gling ni mamameh idol ko cya since pbb di nkkaswa bos niya proud fan here
