Shivani Maskara	Hey sherry i really like your monthly favourite video🙈 and anti haul video ’ s too hope that you do that soon I ’ m hoping to win the BENEFIT BROW PENCIL ✏️✨i really love it but it ’ s out of budget to get one for myself so hoping to win it😍😍 congratulation on your 250k subscribers🍻 Insta handle shivani maskara
Nikita Shisode	Hi Sherry I have recently become a subscriber of your channel and I love it I would love to win the archetype diary
smriti gurung	Hi Sherry I hope the giveaway is not closed😂I want to win any of the benefit product Bobbi brown and Mac coz can t afford to buy one😁
vaishnavi D	Congratulations you beautiful lady 💕 Followed all the step I participated in the last giveaway but wa not so fortunate This time I would love to have the ARTCHETYPE cause Omg they are so so beautiful and I am such a huge stationary junkie too 😊 feel so good that we have this strange thing in common 😭 and also cause my Chartered accountancy exam s coming those would reaaallyyyy help me be in track So pleaseeee xD I really hope you see this Incase this isn t possible then the ESTER LAUDER HAMPER cause I have such kharaab hair🙊
renuka yakkundi	I want the Netflix because guy we are people like you we like chill on weekend with snack and movie
Roselina Matthew	Hii sherry love all your video and i would love to participate in this giveaway i would love to have those diary and to do list To be very honest i got this habit of preparing a to do list from you only you inspire me in so good way i never had this habit of jotting down my thing but after watching your new year resolution video and the diary which you keep inspired me also to have one so i would love to have one like that 😁 and ya i have liked subscribed 2 year ago and shared in facebook with two of my frnds a you said 😄
Mystic_review	I am a makeup junkie and can not live without makeup I live eat and sleep makeup So I want fell the luxury of the luxury beauty hamper which consists of glamglow mac bobbi brown smashbox Following you on fb instagram I have shared it on instagram Congratulations and celeberations Following since 2015
dimple mulani	Hey Sherry such a huge giveaway🎉🎉 loved the video❤ would love to get DOHRA DROP EARINGS🤔🤔 wan na look stylish like u😎💌
Hajera Sana	Hi Sherry many congratulation on 250k subscriber 😃 I would like to win the stationary thing One more thing do I have toh keep the shared post public
sanjay madhwani	I would like to win the benefit brow pencil
Yamini Kala	Neck pillow Stationary Makeup and beauty hamper
Navyata Kumar	Ive been following your video since probably I started watching Youtube And you re one among the very few sensible content creator out there Congratulations on this feat wish to see more of you in the coming year okay so i would love love love to use the estee lauder night repair serum since I ve been eyeing on it for quite sometime now And there is a horrific scar I d love to get rid of and give some sort of pampering to my skin with the crazy schedule I have going on Other than that the Muji diffuser would be amazing since i live in a hostel room and I m always trying to liven up the environment so that i can get myself do some work Or the Netflix for my break time who doesn t love makeup oh the lipstick the mudmasks and the lightening up of my mood and stationery in dire need of note and to do list PS Have always looked forward to your monthly favorite totally voted a yes last year when asked on insta whether or not to continue doing monthly favourite an pls do so in 2019 a well and I thanks for the thoughtfullness in involving u in your success 3 I ’ m afraid I tried posting this comment from my other channel Navya Kumar Since it didn ’ t happen doing it through this🙆🏻‍♀️
SUKHADA KHEDKAR	Hiiii Sherryyyyyy I started watching your video recently and I am addicted now I have my exam on and I still watch them to take a break in between while having food in the loo and wherever I can I started doing basic makeup only after i watched your makeup for beginner video I also before buying any product I check your review so thank you so much Sherry you are doing such an amazing job💜 I wouldd love love loooooveeee the beauty hamper
Preeti Deshmukh	Hey Sherry Congrats to u will not say you deserve We are so lucky to have such a cool person like you I would like to get diffuser or the last beauty hamper Iam not able to share your video any of the platform which you inform But i do share your whats app
sehaj chawla	Heyyy sherryyy congratulation 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 Sooooo happpyyyy I would want to win anything in skincare and makeup because that is what I loveee lovee loveee
dhinaharan jeyabalan	Hi i m mr dhina i love your video i like the prodect makeup beauty
Simran Naidu	I definitely want to win either the diffuser or the makeup hamper Ahhh that smashbox red lipstick It really nice to see that you always give back to your subscriber ❤️ I ve shared and tagged two friend on Instagram
Anaita Shetty	♥️♥️♥️♥️♥️♥️ I would like to win the benefit hamper because when I go to clg I prefer to look simple and be minimalistic which the benefit tint will really help hope to see you soon lottaaasss of loveeee ♥️♥️♥️♥️
Vidhi Setia	Hey Sherry ❤️💖 First of all Congratulations on crossing 250k 🎊🎉 You truly deserve this and even more 😘💐 You re probably the only YouTuber with whom I can connect to a whole new level 🤗💕 You re one of the most genuine and real personality on social medium who strives to steer clear from any negativity 💖And this is the only reason I am participating in this giveaway Receiving something from such a pure soul would really mean a lot 🙈🤗 Also I am searching for some good skin care solution and makeup product thus this will prove to be highly beneficial for me in finding some effective product 🌸😊💖❤️
Likhitha Gaddi	Heyya sherry I would like to have the stationary cauz I m a girl who would like to plan my day like you and I really like the concept they were designer with Okay I know it s more like demanding but yah it s not a I admire you a lot when I first saw ur video in gottado India at aurroville even I imagined myself getting that sound massage don t know what it is called from there the journey of following you start in all the three channel you appear in got ta do india gottaeat india and this All the best
Tapi rbi	hi love to win estee lauder hamper i love makeup or anything which you want to give many thanks
Simran Gill	Hey Sherry I love your video very much and your dressing styling and personality is very unique I want to win Benetint firstly because there is no Sephora near me and secondly it is not the thing that I can afford lease make me win
Palak Chaudhary	Congo for 250k I will be very happy whatever i will get P s u r really cute 💕💕
Prutha Rajeshirke	OMG I would love love love the benefit hamper especially the gogo tint I ve been a fan of it since for ever but could never buy one for myself This would be my Diwali gift 😍
Carabelle Carvalho	Hi Scherezade congratulation I love your channel totally relate to your content I d love either of the beauty product Estée Lauder Clinique or Benefit a they are my dream brand wouldn t be able to spend so much on it and even if I did guilt would make me sparingly use it till it wa close to expiry Lol Well worth the try ain t it All the best Cheers
Apurva Tandon	Hiii Sherry Congratulations on 250K I ve been following you for a few year now and it such a treat to watch your video Absolutely love your content Congratulations on your latest award It wa much deserved I am always so excited to participate in these giveaway but never end up winning anything but since this is a HUGE giveaway I m hoping I have some chance of winning FINGERS CROSSED I would love to win either Estee Lauder Hamper or the Benefit Hamper or the Makeup and Beauty Hamper All these product are really expensive and honestly can t think of buying them a they would leave a massive hole in my pocket and since you also have a sensitive acne prone skin and you use these product I m sure they would not cause any reaction on my face also hence I wanted to try these product Hoping I win one of these goody Thank you Lots of love
Riaz Ahammad	Congratulations on the milestone of 250k You always have been amazing Came to know about your channel from my bestie and we would love to have the Estee Lauder hamper for her It will be a memorable gift for u We have followed all the rule of the giveaway Thank you Keep up the good work 3
