Julian Stockton	sam wilkes boi wtfs up
Bruno Carnovale	i love how LC point away like a fucking bos after his keyboard at the beggining
I Munoz	This made my day
Nathan Reffell	Luis 1 please come to Houston 2 why can t I find this track anywhere
Z	This is insane I can t
Hippy Da Her	I love it This is amazing
Iain T	I m loving the sort of percussive switch to falsetto on the a BOUT you
Ramiro SOFIA AGUIRRE	¡CÓMO LOS QUIERO EXTRATERRESTRES HERMOSOS
faris marami	think about you sometimes a little
Morgan Wallace	The turkeeyyyy 2 45
StevenM801	ooo
titsofbrass	that eagle
Lavinia Benedic	Dude I ve just discovered you I m obsessed
6xSnake6x	Loved this tune before but you guy took it to another level with this setup and man That sax solo is absolutely disgusting in the best possible way
braylon randle	That bass player look familiar
Nathan Pruitt	Seeing Sam play the bass doesn t make it a walking bass line it make it a damn breakdancing capoeira bass line
Adek Faryj	Nie wiem co napisać
TheJoelNewell	At 3 58 look at the roof
Kenyon Mills	I wa watchin this whilst eating pringles the chip wern t nearly a good a this song
Gavin Wood	The greatest part of these funksplosions is always the searing sax solo I miss the saxophone a a weapon in popular music Please come to Australia again either a Knower or a a Solo performer with a few of your CSU buddy
patty	i v e b e e n w a i t i n g f o r t h i s
TheBat149	1 49 Sam 3 also Ben Wendel on the sax
Shell Alexandre	The most weird place to have a band like but omg you guy are awesome I am so happy that I saw on facebook time line you guy are crazy amazing I love it it on repeat 100
Mark Tyler	Holy shit that bass player is amazing I ll listen to the sax solo next and I m a sax player but do pocket get any deeper than this
ProLoco Noale	Geniale E grande musica Unici
Wezly	1 48 O
George Wells	The cat is the best musician
Alexandre Simon	Jacob really is the Mann
Powder Skier	Well that wa cool
GB Gonzague	Please release this version on Spotify I am listening this in a loop on YT
bdboo223	I LOVE IT I want you to release this version of Thinking ♪ ー b
Simon Hölldorfer	that sax solo gave me some James Carter vibe brutally good really articulative D
Stout Lager	Thank you youtube recommendation for putting this in my feed Jam
Liszt figuera	that fake Bach at 3 56 tho
사람123	plzzzzzzzzz kill me TT
singularsymmetry	Is that Amber Navran on flute Love her
Eric TheRed	I now wan na see the video of the party 🎉 that ensues after the live sesh And no bra FTW
Camila Ferrufino	I wish this recording wa on Spotify holy jesus
Tejuino Holbox!	Wow man you are a sick monster so dope and the personnel AMAZING
Jeroen Haan	I am not really listening just watching the lady in red
Saif Abbas	Louis Cole s music is a bassist musical arrangement wet dream come true Proof Sam
Joseph Hagerty	Your drummer look like Vladimir Putin
Sam Griffiths	Gen at around 1 40 is there any way I could marry her
jpearl87	Thanks Guitar World for loaning out Genevieve Artadi for the day
Omgdonut297	Goddamn these live session just do it for me
Mike Piligrim	9 of 10 time I watch it I watch it for Sam
Tyler Hanson	It s my dream to drum in a band with Sam Wilkes playing bass The bassline took this song to another level
김석용	Best of best Music video the year
beatz04	Live a with most of his video that s only half the truth hint background vocal But who care it s 2018 where truth doesn t matter a long a it s entertaining Sigh
Raging Mages	Sonic vibe in the beginning
Bloody Romero	shit i like this keystand
Japunis Japunis	Ben Wendel and Sam Gendel D Two different saxophonist playing with Louis Cole from time to time how am I supposed to distinguish those name
Andy Bailey	man dig the cat at 1 20
Piotr U.	dude it a trap this keyboard stand D
Raffaello	Does anybody know why this guy s music isn t popular a fuck
Brenan Wayland	NATE WOOD IS FUCKING AMAZING listen to kneebody and his solo stuff
Musical Stranger	Killin it
simplyJG	Y all are BEASTS
hgxnorton	whats going on with that cat at 1 20
iamMANOLIS	I ve been following Louis Cole from 2010 and every time he release something I think this is his best work he can t top that And he doe it EVERY single time
Ben Jamin	Sam Wilkes is a g Has anyone transcribed that bass part
CDJWmusic	oooo
skate323k137	His album is on NINJA TUNE VINYL Y ALL THIS IS NOT A DRILL
Jude	These need to be put on spotify
Yann Tekadiozaya	Is it in a quintuplet 5 swing or some shiit can t get the notation right
notdarrell	Louis Cole is who JT want to be when he grows up
trujew88	It ’ s nice of you to give all those beekeeper side work filming your video
Nicolas De Giosa	Alright YouTube I ll watch it
Onionlover69	Ben Wendel is the new Sam Gendel
Christoph Buhse	Inspiring You are fantastic
backdoortheodore	When I start thinking about taco ill play this song till I get some taco taco are cool and I think about them sometimes
The professional Positive viber	The horn and wind sounded awful
MattMonago	Bass player is discount Joe Dart
BeatSmyth	Beyond dope
Mettamoose	Scuba drumming 3 50
dcba acba	Wow I didn t know Putin play drum so well
David Johnston	THIS IS SO GOOD
ThrdEy3Blind	This is banana
MrHitthdanceflo Flo	4 26
Alexander Girgis	Is there anywhere we can get mp3s of these live session specifically
Derek Dauchan	Sam s kinda like Pino
Craig Neilson	Truly remarkable We got ta get this guy a bigger house
LazyMachineHead	That bassist is a killer Saxophone player is a monster
Rafael Pernil	3 56 That s Mozart right
chandra gupta	Nerdcore is so cringey Get a real job
Joshua Collins	The cat is epic
ANDREW HUANG	oooo
Mossez	Cant stop looking at Kat Shuman O
Marco Zagha	After seeing the turkey at 2 44 I m wondering is the bird at 1 00 real
Matt Silver	I realize it s probably to keep focus on the performer but the glimpse of beekeeper camerapeople are great
Alex Heflin	Ben Wendel What a guy Damn
byblgoyta	Those little detail like digitally added sunglases 2 35 are so funny
Mathijs Burgh	Just leaving this here
RayDay	I fucking love this so much I hope you guy recorded more of these style session because they re so damn rad Also I know it s been said but no one on this planet love playing bass more than Sam Wilkes and it s THE BEST
Stephen Cress	So fucking good oh my god
RayfieldA	I Actually love this Better than the Original version Bad Ass
Massimo dalla tor	With this one you definitely killed me Truly awesome I need an album like this Wonderful
guitarsrme13	Vladmir Putin on drum 3 27
pigeonface	featuring fan favorite sam wilkes
Artary	YEEEES Been waiting for this one
Eric  Barrett	That zoom in to her guitar center shirt cracked me up 👍🏽
Shishkahn	Hah the Turkey
daniel santana	Este e un verdadero monstruo casi al nivel de Jacob Collier
Федор Ларин	Очень хорошая музыка
Ben Oringer	3 55 Ben Wendel rocking it with a small reference to Bach s Badinerie
Joshua Cagle	31 people missed the thumb up button somehow shrug
CoinWasher	A full cover of Tinking I ve lived to completion
Noah LW	Vulfpeck 2
Brayden Marshall	Sponsored by Guitar Center
Muwe	OH YEAAA
