Danny G	Is there someone drilling your wall
TW Dylza	I respect your content because you are not like the others and dont have editor etc
Uros Grbic	what camera setting doe sklillz play on
Lewis King	Respect bro❤️💯
Twan van der Leest	Buy prime Gullit i have him to 90 and he is beast a you buy prime Gullit you are Gonny end 1st in the weekend league
In Gaming	Which camera doe he use
Siege	Uhh something weird just happens me and my friend just subbed to AA9skillz and I got 93 Eusebio and he packed Suarez I ’ m legit cry LIKE ON THIS COMMENT AND YOU WILL PACK A WALK OUT
George Harsini	Just a question but do you have to time the button press for header in this Fifa
JacksTV	Skillz are u doing finesse shot when u are shooting from out of the box or are u just using the normal one
H -playz	Jeez he is committed
Yousif 100	Buy Nedvd
Jonathan Guzman	do what make your happy bro at the end of the day thats why we ’ re all living
j.R.o Reyes	Woo u suck
Alex Nebrig	Audio not work for anyone else
Michael Wilson	Hi Skillz i see your point with not wanting to play at the pro level but i feel like your missing the point i don t think it be about playing at a pro level just for the money or feeling of winning for that matter in your case id think it be about growing you a a brand getting yourself more out there
Irri Ales	Be real bro it is all about the youtube money you dont give a shit about fifa it is that you are a pro player and nothing more than that be real
Idontgiveafuckdoctor ?	Guys who should i buy manzikic informe hugain or immobile I really need help
alfa dog	skillz could you please do a timed finishing tutorial video plz plzzzz
Killian Courtney	Is xbox better than playstation
Renzo Renteria	I love your content brother Subscribed
JAMES Ogilvie	Much respect 🙏👏
sam sony	This man need money He still didn ’ t pay off his house that ’ s why he doesn ’ t want to miss a upload No hate
thevikingkris	Why don t you stream the pro tournament
Finley Edwards	Get neymar if
F4TE	Great vid
Diego 7 Lamont	U made it 30 0
raheim you know me	AA9 I rate your grind and your quality at fifa keep it up for ya bros
Arul Uma	It wa a good choice picking up mattews but next time pick up pele
Tom Wales	do u ever rage on fifa
Infantino	What camera setting is he using
Truelsen	Legit you said 1 or 2 video ago that you didnt play FUT Champs because of the reward you play it because you think it fun to play And now you are saying you play FUT Champs for reward You are changing what you say every video
Simon S	Great vid but why ronaldos number 4 😂
Daniel Walker	Get Stevie g back Please
Tim Steinhauer	you should do that potm reus for super sub he amazing but around 400k i think
Osmanlispor06	You guy know how the ultimate scream promo work Is busquetts going to lose his 90 pace soon Thanks guy
Sander Blaauw	Buy Cruijf
Koendh _	Ajax Feyenoord is this weekend and there Will be a marque matchup for it so u need to buy Ajax player bc they also Will be in the champion league sbc ’ s rare gold player are the best
Fran Huzjan	Can you at least make an effort and change your shirt in the thumbnail
.	Why ha he got Fifa point on a rtg
Marcus Iversen	Please try the new Busquest he look so good
Ben Hopkins	Love his enthusiasm
Dennis Martinez	Damn you ’ re annoying
yesKemik	You should get Seedorf he ’ s the perfect CM
Josh Sharples	Just make multiple video and stagger the release of them whilst you play tournament
Archie Cloutter	Scammer
xLeBLADEx	who want 50k coin I have 5 million and still not enough lol
Omar77HD	I uploaded my reward please check it out
Arshan Lotfinia	road to glory skillz Come on man
Adam Bennett	whats his camera angle
Reid Labutte-Seddon	What camera angle is that
Viggo Kaliff	Try Emilio Butragueno
Ahmad Ismaiel	Great 30 0 this week bro SIIIIIIIIII
Tracy Lattimer	Dood skillz save up for eusebio
Joshua Josh	Skilllllz we want to see you play pro
Walter Maturana	Hi Skillz i want to know what tactic do you use I need a little help to get out of silver 1 u u love ur video man Cheers from Argentina
Deniz Sanli	whats the problem with Prime Gerrard buy him
James Weatherborn	Hey chat and Double A I am eventually going to buy Mbappe when I get more coin but should I sell my Yedder L Hernandez Meunier all IF to have him now I run basically an all france team
Bob Marley	Skillz I like your video a lot but there are alot of ad
Charlie Greenhalgh	Look at that Eusebio card like if u want skill to take a look at it and see if he can make it fit
SFGONEPOSTAL	Been watching for year I finally got in to FUT Champs This year is the first time playing online and I got Silver 1 Thanks for motivating and teaching me a lot about FIFA
Mitch Trewin	Just making excuse because he would get killed in the tournament lol at least admitt it and stop thinking of all these different excuse every single time
Randolph Morgan	No lie i started watching ur vids and thought you were loud an obnoxious but this vid wa a real turning point big up you bro I rate it
ThonieAjax	you re shit scared of flying just admit it dude
Erik Hernandez	horror night
Arsenal fan	Skillz you should put coin boost on it in the catolauge and you can get up to 1000 coin a game Like so skillz can see and earn more coin
iTz Sam l94l	Spoiler alert 29 1
Hamza Assyad	Vieira CF and Ronalfo CM Whadafuck
Axronnn18_	We want to see 30 0 boiiii
Christian Ramirez	Is 12 win in your first FUT Champs ever decent Keep in mind this is my first time since FIFA 15 playing a current FIFA
Sanjay Khan	Hey skill I am playing FIFA in ps3 But it s really difficult to defend in legendary Can u give me any suggestion
Jorge Salomon	You are just scared of getting smacked So stop the excuse
Alfardy Ali	Compete for u at least once this year please
Alexander Seyde	Skillz thank you man for doing what you do
Zaid Abo Al Haija	He doesn ’ t wan na go because he fake his gameplay and would get exposed like fifa 17
Kasper Wandel	Yessss your new icon Mattheüs is a beaaassstt
Kayden Brown	Keep up the great content
Bobby Cooper	The way you title this is so deceiving man thought you packed an icon
Oliver Snaer	Skillz poor man to glory
Hlynur 787	Can you stream on youtube or twitch
Gianni ter Braak	This amazing team need a way better kit
K2 Clan	Love ur vids been watching am for 3 year now
Craig Stevenson	U better be a pro
xLaksa	What kit is skillz using
kieran HD	What camera angle is this
minihitch 11	U need to try dybala
ThoseCanadianGuys	GET EUSEBIO
TuffPlaya	Should ’ ve got gullit
Crazyborn Soccerdude	Skillz u should ’ ve put a chemistry style that would ’ ve made Steven gerrard faster put a chemistry style mathuis
Wade Ragsdale	I won 8 game in a row with my cheap prem team till I came across some guy with this blue Ronaldo card I lost 5 3
Nuno Marques	I would like to see you play in Europe bro maybe it would improve your game alot
Louis Moss	Bring back the vlogs
FDC- FORTNITE	squad batles are so boring pls go to pro tournament you are so good youtuber so don t post video but play it
Alexander Grimsbo	Has aa9 zoomed in his camera angle on fifa look different
rain_577	When is the RTG coming please
Alfie Baker	The amount of edge of the box finesse shot
Hector Rivadeneyra	NExt episode We Bought the GOAT This get so annoying
MauroMD Costa	Really like the video bro keep up the good work I would recommend you getting eusebio he really good Really fast and never miss one on one chance
Benjamin Marsden	Lotta respect bro
tavor giat	what kit is that you using
Tom Wolstenholme	I ve got 700k What icon should I buy
Aiden Smith	Skillz we all wan na see you go kill it at the pro event Yeah we d miss some uploads but we d all understand Also if you were really worried about missing uploads you could maybe vlog the event to make up for it
Adam Johnson	You bottled the qualifier bro just be honest
King Karl	Do what you want to do it dont matter what others want If you not going to go to the event let someone else who want it more to have the chance Don t ever let people pressure you into stuff you don t want to do
Bentekersaurus FC	In fut champ I always get 13 win and choke gold 3
Ethan Hollis	from this I ve leary skill is one of the realest guy out there
iiTz Retro	If it ain t broke don t fix it AA9Skillz
Marcus Ekenberg	Is Blanc working at cdm position
In Valid	This vid wa amazing keep it up 👌
hector cuevas	Skillz when are you going to marry this girl You guy been together for like 4 year or so that s good time to make it serious Just being together without marriage is kind of waste of time because if you guy break up at any time and it just wasted support Don t be scared man she make you happy and she s always there for you Make her yours forever man don t be stupid
Jooa Vuorisalo	My team Gk lloris Rb walker Cb sanches Cb varane Lb alba Cm alli Cdm casemiro Cm dembele Cam potm hazard St mane St jesus Start 4 3 2 1 In game 4 1 2 1 2 2
FIFA SMITH 7	Skilz can you please read this comment Most people who are playing fifa 19 now are have a lot of mega team with a lot of good player and not everyone can afford fifa 19 a yet I still enjoy playing fifa 18 ultimate team but the problem is the transfer market is dry because most of the player are sitting in some club and not using them if you guy could tell them to atleast list some of the player on the market so who ever is playing 18 can still afford enjoy the game thumb up if u agree
FifaFam 987	Do what make you happy mate🤘🏻
Anthony Achar	Stop being lame just play
Mr Donkey58	In ur next video try alexis sanchez he is realy giod
Blvck Iverson	Best cm no cap
d0oN	What camera doe him use
Olly Rudge	Get prime rijkard
jaime arciniegas	Follow what make you proud and what make you happy skillz watching you is not only entertaining but i personally learn from watching you play Keep it up bro Much love from the NA 3 keep getting those rage quits lol
Alfredo Pérez	Skills I think you shouldn ’ t worry about the reward a much we want to see all the cool player and new player like Eusebio Socrates ballack This is what this series started for to display all cool player not to get the best reward
ZachAttackk	my man went to KD
sebi_ vb	Yo skillz did you go to Fields of Fear
J B	No wonder you don ’ t pick up Messi so concerned over height in Fifa lol
Aslan B	No F pro just do what u enjoy to do don t do anything that some subscriber want u to do
SEon Mamba	Show u your custom tactic bro pleaseeeeee I also play 4 1 2 1 2 and it don t help a much
Jamie Burstow	Keep doing you skillz and we will keep supporting
haximan mascarado	I wa realy hoping you buy Socrates he is such a huge legend to brazil
Nasser Als	I swear you ’ re the best bro
Meko Hasani	Can you please show what camera setting you are using in the next video I like it Love your content keep up❤️
