bebop hunter	It s the 9th album please
Joshua Moffitt	It ’ s a good thing tomorrow is Nov 9th Preparing
Headless Metal Archives	New architect song http www youtube com watch v DTTnHfGxMm4
Stephen Foote	God damn this fuckin album is gon na be sick can ’ t wait we use to run with the wolf
ZeroSpace	HOLY HELL TOMORROW
Alex	What s crazy is that even though Tom s passed away the writing style hasn t changed It s almost like he never left
TheMainManUSA713	1 more day guy
jon thoms	With so many people listening to rap the hard hitting screamer are the reason that music is still good
Greyson S	AOTY then WSS next year ⚰️❤️🌹🇬🇧 keep trading boy
Josh King	Architects release new heavy and brutal song While She Sleeps Hold my beer Slipknot You ’ re both so cute Rammstein Pathetic mortal
osvaldo Q	Epica me gusto me gustan toda de ellos 3
Seth Lacatan	All these goosebump geez
Twinbro2	Never listened to Architects before but Im hooked for sure now
JOHN TORRES	Not feeling this
Shane Starrette	I took an arrow to the knee
Joseph Dunner	First song i have heard from this band Holy sh t so amazing
Mathias Manser	Good one
Met Sal	Architects and amity affliction make my hole weak
Emanuele Pertile	Architects and WSS on the same day MASTERPIECES OVERLOAD \
Ayoub khoutcho	Architects are better than bring me the horizon now
Jackson	stupid scream
A.R. T.	3 clip architect what is it
Genrywhat	И незачем так орать
Jake McGuire	It s funny how everyone keep mentioning While she sleep new single Anti Social I don t think the two could even be compared Anti social seems so mediocre and lacking in musical complexity to me I don t even find any section of it catchy at all Just go to show how subjective music is Got ta appreciate it all though Because there s no such thing a good or bad music It s all in the ear of the beholder
103peanut	Pre ordered this album just now A copy for me and a copy for my girlfriend who also enjoys this type of music D
ScootertunerEvolutio	can´t wait to hear the whole album great song
James Blazer	I m fuckin HYPED BOIS
Scott Welch	This song give me goosebump
Supertr3mp	we used to run with the wolf Love to hear your thought about this
Hans ist traurig	3 Days left
Pablo Rochera	I wish to have friend who listen to this unfortunately I don t have
Ms_EmilyLyn	I dont even know what to say I just love them and everything they stand for
Kyle Larivee	01 Death Is Not Defeat
Beast Incarnate23	Architects get better with every song and listen I fucking love them 🤘🏻
John Mooradian	Holy Damn I m a 47 year old old school metalhead and I ve been listening to a lot of Parkway Drive and Architects lately and I m officially addicted Our local rock station in Atlanta play the same shit over and over and never anything new Glad I checked out these awesome band
Malcolm mloclaM	I have to admit when I first heard this I thought it wa the weaker song of the 3 single released before the album But since listening to them several time since this is hand down the strongest one I mean they re all excellent don t get me wrong But the melody the intensity the lyric
just one more retarded	Tem Br que curte architect
Jackson Plays	Why is this group so good to me
Krombopulos Micheal	Wow 326 people accidentally disliked this someone should let then know so they can fix it
Alexander Sidachev	good job
Lottys Boggiano	
Arthur Ray	How many these guy would not try These Colours Don t Run and Devil s Island would not surpass them
H[]M[] SAPIENT SHALL GATHER FOR MY PRESENCE	Not brutal music
DINGO KIS	Replay button current status smashed till it broke
Olegrovaa Ya	фром раша виз лав епти
meh user	no bleh this time
Jeremy Karwoski	1 out of maybe 5 band that never disappoint Raw a fuck and they better keep it that way
Matt Shadows	1 45 this holy fucking scream of hell
Liam Baker	Architects keep doing what your doing Dont ever change your style
Max Meinzer	so far every song is a masterpiece this band is out of this world
Gerald Iwan	So many wrong band getting recognition 😂
Øli Macabre	I would give anything to not have chronic bronchitis and be able to scream like Sam FUCK
Bull Frog	Why doe every band use the word misery out the ass😂 fire song tho
Marlon Adonis	I love this song
Key Teyro	saveyourinternet
Ethan Brewer	Fuck this song is beautiful
Paul Rangitutia	Holy or market
Mehbobo Torp	This song it energy it intensity it emotion and those fucking lyric sparking a light in my heart I won ’ t go to the grave with the song still in me ❤️✌️
Zach Forster	Am I the only one that can hear the bass line from the end of Momento Mori in the chorus
PendejoLmao	Rip head phone user
numia	Djentelman you deserve the fame and glory
Ryan Smyly	3 03 Centipede and hungry goat
Сергей Печурин	😱😱😱💣💣
Akshay Dalal	Man I really wish my friend listen to this kind of music
I Drink Milk	Another fucking banger by these cunt At this point they re effortless In that I mean every track is a fucking masterpiece in it own way While I don t quite think this is a good a royal beggar I fucking love it I love all that they do 10 10 Again Again and again and again Shit Aoty
adthinzad	Sam OK I ll do it for you font size 7 BLEGH font
Gottba	BLEGH
C Y	AOTY calling it
Ride MTB	Damn I forgot to stretch before listening to this
pjtruesdale16	MUDDD ANNDD MISERAYYYYY
Exs Ohs	architect is getting better and better while bmth straying so hard to appease poppy child
Dup Dupix	The emperor wear no clothes http en wikipedia org wiki The Emperor 27 New Clothes Fucking love Architects for such reference
Kevin Janssen	Respect for that awesome Voice❤
Richard Swor	Dude this song slap
Kram Nedeets	1 44 faint
Marcell	What i love about architect is the anger the emotion the message and the overall brutality they put in the song Hands down they are my favorite band to listen to 🤘🏻
David Tuggle	US tour date
L e m o o n	The lyric 👌
Bloody Killer	Guys you are FUCKING AWESOME 👍👍👍👍👍
StickToYourGonz	I wa a little scared about what would happen to the band after Tom s passing cause he wa the principal composer and lyricist in the band but they are keeping that good level from the last two album and Josh Middleton wa the best option to follow Tom s legacy Tom would be proud of them they re such an amazing band Forever Tom forever Architects
Lorena Frazão	Always producing the best lyric One of my favorite band
Jesus Mary	You have exactly 4 12 to live choose wisely
wenderson braz	que som do caramba vei
Justin Bayles	A little disappointed on the breakdown they were kind of anticlimactic
Jim Bob	Fucking stop comparing music I swear no one appreciates music anymore You all just pick everything in song Every artist I listen to now on YouTube I read through the comment and everyone expects so much from artist these day It ’ s ridiculous Just learn to appreciate music at the end of the day the artist ha still put time into making these song Pick up some instrument and try to make your own song and then you will understand the art in it
Motionless Min	This album is going to be the highlight of this year
Preston Loeb	Would ve sounded dope if the instrumentals cut off at 0 32 for like 2 second and came back in Anyone else
Federico Kasjan	No hace falta cambiar para innovar uno puede innovar aunque haga el mismo genero hace 10 años se nota cuanto le gusta lo que hacen ojala nunca vendan su culo como bmth
LAST CLASHER	Architects made me a stronger person today I will love this band till end
paradigm shift	They wrote a song of exactly what I ve been thinking for year Infuckingcredible
Carl P	My friend directed this video and it is so awesome The song is super cool too with everything just on point
ApachE	How doe it keep getting better How
John Deare	An unhealthy amount of the view are from me
Lilitu	I remember seeing them at a show and a tiny scene kid stomping a big as dude leg straight back through skin if I remember correctly at the kneecap Dude went down shit wa wild Anyway I wish more band created that energy haha
They call Me RAIN	I m grateful
Jk Rj	His clean are amazing And why no blegh
Jared Gailey	I can t turn my speaker up loud enough
G S	Best Band
Matt Scarisbrick	Sams vocal at 1 45 made me pee a little Holy Hell I hope he start including more of that
Muhammad Ihsan	hell yeahh
ChemicalWaylien	I can ’ t un hear “ 7 billion hungry ghost just a parasite giving them toast ”
J. Osvaldo Hurtado	Fav band It s amazing that they keep getting better and better Love you guy your music is one of the best thing i ve ever heard Thank you
Patrick Damacet	my neighbour called cop cuz I wa playing Architects loud
iwasgarrett	No blehs
The Knight Patriot	The white cube reminds me of Evile s Infected Nations Totally different subgenres and the song aren t remotely similar but visually that s what this video look like I wonder if they re fan
9rmetal	This song is so Daybreaker
Federico Fernandez	Se nota mucho la influencia de Josh Middleton y no veo que lo haya resaltado nadie
Josh Shylan	Man this new album is going to be massive These guy are at the peak of their game Epic tune
I AM THE PILOT	Chug chug chug weee weeee chug chug
Marc Ferreras	Architects you re not human to create such masterpiece that s not possible 😭
Kyle Kruse	I ve have recently discovered this band and I m a lil obsessed I just love the raw emotion you can hear in Sam s voice along with the badass music being played This is now one of my favorite band of all time
Sanda Aung	THIS SHIT IS SO HECKIN GOOD
Селиванов Александр	Русские тут
Андрей Петров	Its fucking awasome😱 see you 3 december in saint petersburg
the Bananeschaschlik	1 45 1 49 MORE OF THESE VOCALS
Ricardo Siqueira	Venha logo Holy Hell
Kevin Michael	As always architect is on point with masterful lyric and a catchy instrumental to follow Love this band
Александра Коробейникова	I really like business Adam
julia gasai	Tom would be proud Guys you are amazing ❤
John Gormley	Josh Middleton wa so much better in Sylosis he is wasting his Talents
xradical89x	1 37 cause there s no human in u left you know what I mean
Eric Cartman	🤘😈🤘
Nicolás Leguizamón	Buenísimo Falta una semana y un día para saber cómo será el nuevo álbum Estoy re ansioso lpm
Kira Nazgül	really It just keep going better and better with every s1ngle Holy hell is going to be bought on the very first day of releazzze
jacob rhoads	There ’ s a reason why this band is having incredible success ‘ cause they deserve it You don ’ t just hear it you FEEL it
joan afanador villamil	Wefere cantando WOW
Fraza	Album come out the same day a Lil Peep Come over when your sober pt 2
Ryan Mclin	To be one of the people who have grown up with them since the album ruin it ’ s just awesome to get the goosebump every time a new album come out TOM it ’ s been a great ride thank you so much for all you ’ ve done to move my heart I love seeing the band progress every album Keep it guy R I P Tom Searle 3
lacerta aeneus	Let s face it lady and gentleman we will love almost everything these guy are going to release For some reason I feel myself on the similar mental wave with them I m sure they are uncapable to write the song that I won t like it s a obvious a tomorrow s sunrise
Voice Of Ruin	I can already say that the new record will burn everything
Abid Aziz	Wtf did i just heard
Zack	it got element from Daybreaker
Metalmachine409	I had a real BLEH craving that wasn t satisfied there
Simon	I feel bad because I can not stop laughing about the face Ali make while taking a snap of dead Dan haha
Shane Turnboo	That voice tho 1 44 👌👌
T	One of the most talented metal band Vocal range off the hook Ready for this CD release
Mateus Costa	Another episode from Black Mirror
omnmh 9	Who would love the accoustic version of this album
I Set Matt On Fire	Thank you staying heavy 🥰
Brad Mills	You guy are an absolute gift this album is already amazing so far 🤘🏼🖤
Donte DiVincenzo	the lyric remind me of Gojira
Chuck Smith	If the single are this badass I can t wait for the rest of the album
Fadilla Rizdaffa	maturity of the architect
yoboichris! m	This hit harder than my abuela with her chancla
Bob Penney	This shit awesome
Daniel Guevara	Fuck ❤️
Foch Bailey	Architects have always always ALWays held it down Keep this shit up guy Tom is proud
LazySillyDonkey	Unpopular opinion I think Josh s skill are wasted in this band Band with his friend and putting money in the bank aside Listen to Sylosis and then come back to this This is coming from a fan of both band
InterJani95	3 36 Holy shit how beutiful is that
Kevin Aviles	Put the speed at 0 75x 😈
Kristian Curkovic	Daaaaaamn Super impressed Deep Poetic Perfect
themis k	They are something else man
xIAMDAVEx	Its official Sam ha the greatest voice in metalcore
Dylan Davis	No BLEGHHHH
メメメ.乃尺ノ乙ム.メ	Agr sim tá bom😎❤👏
VaultMoses85	This album will be f cking epic
Moisés Odoríssio	This song is all about what happened in Brazil As a Brazilian I mean our country ha reached it worst political moment I know Sam know what s going on We have just elected a fascist president who hide behind a religious mask This man propagates hatred death torture He is homophobic xenophobic racist I have many friend and acquaintance who are afraid who walk in fear on the street The voter of this president are feeling the right to offend to hurt and even to kill It is sad to know that many people in this country that I live in have taken off their mask and are revealing their truth Because of the horrible speech of this new president bad people are cropping up their evil deed to hurt those who just want to live peacefully and just be what they are World if you are following or reading what I say know that here the gay the woman the foreigner the black and all those who represent the minority are suffering and are afraid of dying All of u human being are equal we all have the same right and we should be just what we are without fear Architects is an incredible band and help many people here lose their blindness This band help u to see that we need the union of the weak and above all to live to spread and to believe in love Thank you Architects for every song important to our humanity
Champayne Records	Being a fan now for 11 year and they just can t write a bad song it s incredible
mano mathiao	I wa expecting a blegh 3 18
Nehemiah Hughes	Bringin back that Lost Forever 2014 sound I see Ahhhsummmm
Tremonti 34	Their sound and word are really touching to the heart Rip Tom✊🙏
Swampdonkey69 YT	In the Bible it say that the world will be overrun by evil even in the Church False believer
Morris Heilman	I feel like hundred wa supposed to be fucking Makes more sense imo
xXx_Pokemaster Cyro_xXx	I like song that are actually saying something significant
Роман Панасюк	хорош
astro .hollow	This is more than a band
Diego Martinez	Has anyone realized that the melody behind while Sam is singing the chorus is the same of Memento Mori OMG im cry ❤️❤️ thank U guy cheer from Chile
Felix Myrick	This band is undefeated 🤘🤘🤘🤘
K0alavath	This song is actually so freaking good So ready for the new album
Harley Quinn	Oh pétard 🤩🤩🤩
Mik Music - Covers & Originals	Anyone else noticing the clear Momento Mori chord progression through the chorus
Justin Stanbery	My heart go to this band
Tanner Miller	Those low at 1 40 though Sam spicin it up out here
Gracen Soultaire	This is architect
Алексей Разумовский	Awesome Welcome to Russoa
Victor Hajjar	Check out this cover way better than anything this band ha ever put out bos http youtu be jbOZfKaKAXc
R Dzhuga	‘ We used to run with the wolf ’
THE SLOW DEATH HOOKS	heavy
Matt Lampo	1 45 SAM YOU ARE A MONSTER
linkinpark555666	With all respect But Tom may be really really proud of you Architects is the most sentimental and emotive band that i Know
Haziq Jack	3 33 the moment of smooth headbang and teary eye
Mili	What a masterpiece The video s message is so powerful it gave me goosebump The lack of empathy shown made me sick Hats off to Architects It is a beautiful value to teach that we must respect human dignity above all
Rocky	NEVER DISSAPOINTSSSSSSSSSSSSSSSSSS
Wrathchild1995	This sound fucking epic D Seriously can not wait to hear the full album every song released so far is solid
Jimmy Schwietert	I am a huge fan of Josh Middleton I keep coming back to Architects and keep leaving with the same impression disappointment I am thinking it is the screaming rather than clean Josh s vocal he did with Sylosis had a deep growl and it worked The music is decent but not outstanding Vocals are rough I might give it one more try but it would be tough
Matthew Willis	Can ’ t wait for this damn album
Wildfire788	Uh hey There s an arrow in your yeah in your chest You might wan na get that checked out
Alexander Lyapin	Masterpiece
Ars Goetia	Bleghcore at it best Damn bruh
Sacredgeometry	They tuned up And they brought back Daybreaker like riff Fuckkkkkkk I am in LOVE again
Nexus Martyr	Such a banger This album is gon na be so fucking amazing
Xcali	epitaph Records The lyric to the last part arent correct I d love if you could correct them 3 Great song kind of similar to what tom wa saying Humanity cant keep going like it ha been the last decade
thedietandtraining tester	Fucking hell this is mint 👌 I m fussy with my metalcore A lot of clone band out there but architect are definitely original and at the top for me
Brandon Lam	Favorite so far so hype for November 9th
Denise Thomas	Damn this wa amazing I can t wait for the album
Henrique Rodrigues	Zikaaaaaaaaaaaa Esses menó são top demais 😎 Brasiiiil
jason zicari	2nd song heard by this band and i want more
Aaron Belesky	almost every single these guy release I break down in tear I feel I can relate so much the shit cut me deep man
Kai McBeth 2	Am I the only one who think Josh Middleton is hot a fuck
Silas Braun	Brett
Imię Nazwisko	Na chuj drzesz tego ryja
sirundying	this is the best of the 3 song so far
Roger Rabbit	No blegh I am disappointed
Adam_98 !	I can relate to this song 😭
Cuncikácska Cuncikácska	Brutal Thx
Federico Rinaldi	Architects Notification I click Simple
Justin van Zuilekom	Personally I don t really like it It s not a catchy a I m used to and it s sound pretty light to me But I m just a Pedobear wandering the comment
Danijel Markov	This sound like Hard Core D
Mathew Georgetti	Holy fuck
Максим Жиганов	I ve been listening Architects since I wa 15 Now I m 21 I relistened all their album many time and tried to find inspiration and power in all of their track I don t want to accuse anybody but this is step down The melody the lyric the emotional message are so weak that it is more a pop song than Architects are usually suppposed to be Everything s is changing As for me that s the end of the epoch
Thorn Rose	Fucking bbbbbbbbbbbanger
Benjamin Gertz	Love it
Irwandi Septiady	Enaaaaaaaa parah
Xavier Guy	So many feel every time he sings “ we used to run with the wolf ” amazing song
Elpalomaepiléptica	WOOOOW Wich is Architects s tuning
Iza S.	FUCK
Karen Weirdgirl2.0	It s so great to see British metal at the top again Ozzy is proud of all his child of darkness 😂
porag buragohain	The more I listen to Architects the more they grow on me bumped into A match made in heaven two year ago and figured there ’ s no turn back anymore
loveburningaway	holy fuck
shwydkistj 200	Takoe posony
Alex wewew	чот дохуя пиздит орёт и не по теме
T-NOX Gaming	3 35 I got goosebump all over my body Damn
Wight sorrow	click to start the video click like start to listening to the A R C H I T E C T S
Jamel Banner	4 for 4 like a motherfucker
Abdullah Kılıç	Their Songs are good but they need guitar solo
PoisonLSD23	Serius no art Thats all from me He wanted to show a bmth to see she but Idiot
