Fran	Se hizo justicia
David Correcher	Jajajajajajajajajajajajajajaja😂😂😂😂
Aimar 110503	Una pena esas últimas q tuviste al final de la primera parte de la prórroga ánimo
Grobert95	29 0 yo no lo he visto
jl gmr	David v Gravesen like si quieren verlo
Diego Eduardo	Vaya robo 5 27 29
qosmovicion	Aaaaaaa
Estefanía Saez	hola
Bryan Hernandez	Un partido Davidsp v Kolderiu 🤭
RogueBoss	0 2 3 2 3 4 5 4 5 5 La falla de Cristiano todo falso te mato
ByLaserB	Se los tiraba todos al medio y nunca se quedo en el medio
Santiago Barrios	a mamar calvo
Pablo Ramada	A sido un gran partido el ultimo que perdiste fue mala suerte en penaltis pero a la próxima se consigue
Juan Manuel Escanez	Donde va con 6 iconos dice¡¡¡ Y el con 4 y CR la gente está malita tio
gustavo vender	Fuck EA
Nacho Pardo Pérez	Aprende a hablar por listo
Sol Periko	lo siento pero si eres un puto crack y encima ese saber perder cuando el 99 del resto de jugadores estaria inundando el suelo con todos los lloros y toda la excusas chapeau
Giovannni Brizueña	Kolderiu v David
viscarrondo :v	Minuto en el cual enseña sus tácticas por favor
Javier Rocamora Romero	MUCHISIMO ANIMO NO TARDARAS EN CONSEGUIRLO SIGUE ASI CRACK
Youns Azzarouali	Y en el 5 5 hiciste mal el timefinishing Muy bien David
Kriller	Buaaa que cerca del 30 0 sigue asi crack
José Sestelo	Nuevo sub eres un espectáculo jugando y tu calma me recuerda mucho a mi estilo que juego solo que tu te cascas 29 1 😂
Moha TF	Muy sad men sigue intentandolo crack
Carlos	animo tio la siguiente seguro que si a seguir dandole caña
Daniel Ausocua	Usas la 442 o la 4231
Hugo Gea Ovejero	eres un cabron
Elvis Sebastia	Te mamaste
Peter Mc Allister	la verdad que no e lo mismo perder 1 y ganar 29 que ganar 29 y perder 1 juegas de escandalo david y estoy seguro que lo conseguirás seguro mucho animo
Luca Garzeli - Trading Deportivo	Vaya exhibición de Vieira en el partido del 28 0 y del 29 0 Y luego dicen que el trípode era Makelele Gran vídeo
Miguel Román	Ahora mismo ere dioh
thebryn xd	Pelao animo
FIFCOD	De igual manera siempre lo hiciste bien Ánimos Merecias ganar
mateo vanegas	Asco de juego un partido controlado para asegurar el 30 0 y el juego ayuda a tu rival sin manos
iiMaaGiiKHD	odio tu voz tio lo siento
Ismael Lopez	Te ha ganado un suscriptor ma muy grande
SANTAMARIA	El mejor partido que he visto
Adrián Rodríguez Delgado	David en mi opinión tiraste los penalty muy rápidos sin pensar y el te tiró todos por el mismo lado te lo digo porque lo reflexiones q igual estoy equivocado te fallaron un pelo los nervios aun assi muy buena crack 1 saludo
minitapia crs	David cabeza arriba cada vez mejor GUERREROS
Jorge 51	Muchisimo animo tio eres un grande pronto lo conseguiras seguro crack
Lorena González Ortega	te come la droga manue
Alberto García	pon el micro bien q no se escuchen los putos botones q rabia
