Marilyn Pechuls	Once weapon were manufacturered for war now war are manufactured to make weapon Excellent observation
Michael Martin	Trumps style reminds me of Russell Hantz from survivor
Kelso Sunshine	I just wish I heard Tulsi speak up about the effect of military intervention on civilian I think her defense of US troop and the prioritization of domestic policy is admirable and appreciated But there are so many other reason why the US military industrial complex is harmful
Dan Jones	Everyone know the world condemns it and we keep doing it We ’ re no different than Hitler
heil hilt	Tyt with the corporation mida to there Jimmy brown buffalo got 25mill from dem man you need to split from them they are falling and loseing lot off respect from the ppl because off the lie man
C L	We are all just munkies with math and weapon
Blueman Chicago	But wait I thought we were told that the Saudis did 911 What a load of BS
Wynn Wagner	There are people waking up to the truth from both side Thank you
Rael Sackey	They like to say our relationship with Saudi Arabia is complicated BS American s interest are financial Let s stop fooling ourselves and it didn t start with Trump Why did we overthrow democratically elected government in the Middle East Central and South America and Africa Because we wanted to make sure their resource remained in the hand of the oligarch via local puppet who oppress their own people or be eliminated
MACK D	I don t understand what Don is trying to say First of all they DID steal the oil and they still are He say that the US ha spent 7trillion in the middle east but on what and why do the mid east country that have been invaded occupied robbed of their resource and destroyed by the US have to pay Pay for what Did the US build hospital and school bridge or road or did the US give money to the million upon million of innocent civilian that they have displaced maimed humiliated raped and murdered for food and medicine and to help them re build their home that the US destroyed What about all the innocent child that they ve already murdered I think they re called collateral damage it a risk that the US is willing to take because liberating the people is why the US is there AHAHAHA HAHA It ha nothing to do with the sale of arm and the petro dollar that s a good one someone should tell that to million of dead civilian
John Allen	The US had been doining the neasty dde for year Stop it now
Justin Friedman	Jimmy you look super sick get better 🙁🤒
lookllx	CNN Corporate News Network never shock me Tulsi ha been calling for a end to funding Saudi terrorist saga during the Obama administration but they never had her on then
numbersix100	It ’ s worse than you think Saudi Arabia are bribing the US to sit on their hand with a 100bn arm order It look like we ’ re preparing to attack Iran the UK ha moved heavy land force to Oman😳😳 Supposedly for an “ exercise ” Main battle tank etc etc etc
Bryan Dov Bergman	Oh boohoo My wife s family is from Yemen My kid are half Yemenite They kicked them all out of Yemen at the point of a sword in 1948 because they are Jewish Yemen still ha slavery black slave from Africa Funny how you leftist alway cherry pick who to level your broadside of priggishness at If you re a brown Muslim black slave A Okay What hypocrite Everyone in Yemen carry a sword around they are such a peaceful pp and the rich one of endured rhino ivory on the handle Boohoo Yemen got bombed
Alaric11	I m a conservative but it is LONG overdue that we disentangle ourselves from that terrible saudi regime
EVZYL	Follow the money Just follow the money It s SO simple and obvious
Jules Elbeshausen	BRAVO Jimmy Take a Bow
Empress Empress	Poor innocent woman child animal and civilian in general that live in Yemen 😢 Disgusting evil satanic govt we have in Washington DC 😡 How would you like Pompeo if your family is murdered and bombed into piece Then America wonder why we ’ re hated by the world
Tick Tock	In le than 8 year all these clown will be swallowing fire in the lake that they re swimming in for eternity
Pat Hacker	Profit motive is very powerful Money talk
Gurvinder Parmar	Trump is America s wake up call instead of seeing the truth because he s making it astoundingly easy people are continuing to live in their delusion about what the government really represents
doeme80	Thinking is to exhausting Jimmy Let s keep it easy and blame Trump
M L	Jimmy Dore forgot to mention that Sanders Introduces Bill to End Catastrophic US War in Yemen
philbio66	Does this surprise anyone Even if they dropped bomb on our troop we would still sell them weapon
