Jainul Ansari	Chupana bhi Nahi ataa Jatana bhi Nahi ataa
Suraj Barman	Beautiful song
Zainab Wadood	Anu malik 😕
Irfan Ali	i love this song
Kitty a	Super song kitty
vs love	lovely
Aashir Md	So beautiful song
Pankaj Nayak	Aise gaane pyar ki ghaharai ka ehsaas karate hai
Khaizer Wasi	Shahrukh ha so beautiful song and movie good too see all song Great singer like this wow Aaj Kaal ka singer shame 9n them rap and all stuoid
Jahid Khan	top
mohammad rayyan	This song remembers me my childhood day really those were golden day no tension there in life I am lucky that I grew up in 90 that s why I like it very much in those day one side love story empty pocket real friend there
dinesh rana	Very lovely song
Vishnu Raman	Superb song 🤗
KRUSHI BHARATHA Online	Kya gaana hai suuuprr 90 s genaration
nice sona.	very
Partha Pratim	Ye song kumar sanu gata to aur bhi acha Hota
Gaurav Roy	One of the evergreen song
Jorjaman Khan	This song help me live
Sanjay Kumar	In 90 s it wa very common to most of the boy in small town even boy knew girl are also interested Feelings were awesome
Sultan Sk	Nice
pramod baloni baloni	Love u song Baazigar
bapan baul das	nice song
fais khan	This song belongs to every person who due to some unfavourable circumstance could not express his love at right time
Max Dean	Anu Malik in top form He hit the jackpot with Baazigar Damn what an iconic movie music soundtrack and direction this masterpiece had
nur Aalam	my choish song my mo 9752969577
Waris khan	Md waris khan
Pankaj Murchitte	These song are never died because of these are soul of every person
Siraj Siraj	kysahojanu
Raja Ahirwar	My faburate song
Aar God	Though that guy wasn t handsome than Shahrukh But while seeing in a 90 kid I felt Ladki oos bande ko mil jaye
hemuchauhan hemuchauhan	nice song
ईशवर चौहन ईशवर चोहन	Nice song
Sikander Dadhwal	Rathor Rocks
md kuddus ali	Iove song
Rajdeep Singh	Nice
Saurav Kumar	Ever green song
PadviGorkh Gorkh	Superhit vinod rathod
Jitendra Bada	One of my fav song
Satish Upadhyay	Vinod rathod one of the favorite singer
Satish Namdeo	n k k
Muskan Khan	Awsm song I just love it old song r always awsm
ASHISH TRIPATHI	This song deserves more than 100 million view
Abhi mishra	Still I love this song because of Vinod sir
Mudassar Tahseen	nice song
