atube4view	HILLARY CRASHED HER BROOM THERE
Viktor Kulasenkov	Believers go to Revelacionesmarianas com and click English You ll find a lot of answer on your question
Martin Mulherin	The funny thing about this I live 30 min away from this facility and there ha been little to no mention locally about the incident
Running from Chaos	So this and Hanford in WA stare just after DJT announced end to nuclear treaty with the Ruskies Hmmm Just a thought
Thomas Shook	Hey dahboo77 Where do you get your information I live 60 mile south of Amarillo and we have heard nothing of this year in tax so stop being a fear monger
peter Eat-her	I live in Amarillo Texas we had an earthquake about a week ago I missed it now this I miss this too I need to lay off the weed just a little lol
Damien Lusk	I ve been subbed for a long time and I stopped getting notification until the notification I got for this video I thought Dahboo77 took a break until clicked on the home page and realized there are video almost daily Wonder why I stopped getting notification
Harrybigballz1 2suckitbitch	Is it a leak they need to warn people or they can be and should be criminally charged if indeed that s the case hope not though
summerlamkin truthseeker	Many thanks shared👍⏩🌠
Brent Key	Not a big deal Have family who work there and all is good
Amber Rose	Amarillo is where Obama dumped off a whole lot of Muslims just saying
SwirlsDancing	Have you got an update on this please
Nanci Stark	drudge reported resident smelling gas
Jesse Guerra	Just a day before we had a 4 0 earthquake very weird
D J	The will of the god is at hand Their will is our extinction
TimedPiecesTN	Looks like they re screwing around with u pretty bad Soros had a bomb found at his house yesterday Apparenlty Obama Clintons white house today They re gon na do something HORRIBLE and we ALL know it ll be the Trump following deplorables to get the blame
hidden4est	This is the place nuclear tipped Davie Crockett s were going out the back door a few yr ago One may have in West Texas fertilizer plant
nan mae	Who tried to steal a Nuke
Wandering Warrior	Totally saw this coming from the Simpsons
sheep dog	may be setting up for anougther land grab
Jf WHataHWHat	IF you clicked ok on that O TH agreement on yahoo then they can legally read all incoming outgoing E Mails and record who and where and when and sell any and all information contained within those email I read the agreement ALL of IT because the name wa so strange I have shifted all but one or two thing away from yahoo and click I ll do it later until I close the account DAHBOO change your E Mail
mary s	Oh man not good
Jord Flor	An unverified Twitter account appearing to belong to the Pantex Plant in Amarillo Texas—a nuclear weapon facility—tweeted that a security event on Tuesday ha ended without incident newsweek
Misty Moss	I live in Amarillo and have heard nothing on this incident
Adam Burnett	Jesus Christ is the only way to get to heaven
UltraMonkeySapien	There wa a 4 0 earthquake in the same are just a few day ago I wonder if they are related
Joan Ramsey	Off topic MIMIC anomoly
Texas Warrior	i wa called up for active duty in south Texas something is going down
Brownie Wiseman	They wa searching a suspicious car which wa cleared Nothing found Emgency over
TimothyJames Malseed	block cc com u or cccc com u
William	What s new 🕶 👅
Don Francisco	Amarillo is an ugly nasty city I guess all city are like that
LegaliseIntellect LegaliseIntellect	FUKUSHIMA Its on and can t be stopped
April D.	In Amarillo now Havent seen a peep about this until someone tagged me in this video and posted it to my Facebook wall
billy the dead	Yay fallout
ms furball	yours is the only channel I rely on anymore you cover so many occurrence that we would never have heard of if not for you thank you for all your reporting
803 Mastiff	This is another strange facility Whenever you get inthe area of a facility like this you get the creep even when your not aware a place a such
atanacio villegas	suspicion were raised about a vehicle in the parking lot of the administration building The security event at Pantex ha ended without incident the agency said in a tweet which thanked law enforcement for their assistance
Larry Doss	Pantex came under heavy criticism in 1985 in a Documentary movie called The Plutonium Express Good luck finding that movie now It wa full of interview of Pantex employee who were fearful of a terror attack and theft of plutonium trigger PITS that were stored there in Amarillo
Debbie S.	Apparently no big deal Plant is always under upmost security Go here http www newschannel10 com 2018 10 23 pantex declares unexpected security event end without incident
Erika Gehm	Can t afford to start a panic now can we or gosh darn it our elustrious Deep State 🐎hole overlord massive red flag event massive sacrifice ritual just got stopped I can t choose
chase folis	Must be zombie
Sherri Hillstead	Thank U Dahboo 77 for bringing this too all of our attention nuclear component hmmm There is never a coincidence praying for God protection n safety God bless too everyone n Ur family s ♡
Sherrie Abril	What is the signal group and who can join the group Thank you God bless you
B Brunson	Past inspection of this plant ha been dismal The past inspector have stated that they don ’ t know why the plant ha not exploded yet Please move this plant to a lonely Pacific island Right
Lone Villain	new vid check it http www youtube com watch v Mux2ZgWhx3M
sj sharksfan	Thanks for the report Dahboo eye open
Android Orangutan	I hope all nuclear site have those emergency procedure in place an ready at moment notice especially with the earthquake going on now
jacob Schock	DAHBOO77 can you find out anything on the fair fax shooting that took place this tuesday evening I have no other way to get ahold of tou
Cuttingthruthefog	Pantex ha a great ERO the town and the plant are very well coordinated because Pantex decomissions nuclear bomb An operational emergency is one of 3 level and they aren t required to notify the public unless there is a threat outside of the plant boundary So they DID notify the public but since they are a major terrorist target zone they probably have to lock it all down in order to know if it s accidental or intentional The best guess A theft of high level nuclear material salvaged from the bomb or the trigger
dexterdave54	I live in Amarillo Dahboo and I hadn t heard a thing Can t imagine what s going on
donald duck	Had that quake there 4 pointer other day
Bad Dog	Texas ha had several fertilizer plant explode of the last few year
Devonne Clinton Amos	wa there an earth quake
Janet Wilham	DAHBOO PLEASE PLEASE CHECK THIS OUT USA NET4TRUTH CALL FOR BOOTS TO US BORDER OH WOW ITS BEGUN
Cheeto Bandido	👀 open
Suzanne	Maybe Caravan related
Tom Tapp	Amarillo by morning up from San Antone It ’ s not the same now
Jeff Klein	It s always Texas lately
Ed Cronin	Thank you for news I can not get
jmsep84	Oh they re operating it alright
masterjdogg6	mob of 12k heading to tx
Bill Lowe	One thing s for sure the government won t tell you the truth Or anything at all for that matter unless you re trying to mislead you
Carbon Lux	They practicing for when the Russians come
bob burl	On it
Anne Bradley	10 23 2018 10 23 2018 Planned iCann purge which may cause the internet to go down in the next 48 hr See JonXArmy YouTube channel http youtu be 2CNBkUY
Adventure Diva	Martial law is coming to America And that s exactly what they want Don t fear immigrant Fear your government They are Satanists
Revtune	Could be a simple accident like a forklift or some other nonnuclear issue
Aleene Simpson	THANKS DAHBOO77 FOR THE INFO PRAYERS UP MAY GOD BLESS YOU
El Sea	Trucking through Waco Texas today seeing very heavy chemtrails over that city
Tim Bourque	What s funny is that they will wait till it blow s or leak before a evacuation they have to do that instead of scarying the crap out of people Nuclear power plant are WEAPONS
chuck c	What stock or digital stock wa in the chart at the end of the Video that wa way up
Out About	This came to mind http youtu be Ajhoq8RFuGw
mike schoolcraft	Security measure due to Mexico border and mass flow of who know
Mike Kensington	Wow
kuzunkinuts	Nothing to see here move along the suit running this place are alyways deceitful Like the USGS smoke mirror and no statement until national guard rip people from their home to inappropriate mysterious camp depends what the truth is we find recently that 3 reactor blown at Fukushima Truth is the 1st casualty silence is planned while theynempty their desk
Andy M	Democrats using their inside knowledge to possibly destabilize the country and create problem they know how to bring this country down they been planning for year 20 at least if not more if thing don t go their way they will burn the house down civility will be restore only if the Democrats win anybody remembers who said that be ready thing are about to get ugly after election day GOD BLESS
Byron Maltimore	Dahboo I m wondering if you could do a video and breakdown Revelation 6 8 So I looked and behold a pale horse Could this be Comet 46P Wirtanen that is coming this December And the name of him who sat on it wa Death and Hades followed with him And power wa given to them over a fourth of the earth NATO ally to kill with sword with hunger with death and by the beast of the earth Thanks
Diane Whitlock	Thanks for this important update
dantuy ghte	Whaaaaaaaaaaaaaaaaaat Are you serious Whaaaaaaaaaaaaaaaaaaaaaaaaat Are you seriously serious Oh my fucking shity God
Ben Ferraiuolo	Amarillo I just recently talked about the 4 0 quake that hit near there People said they heard a boom first and then the quake happened which is quite odd Now this What the hell is going on
Bob Lewicki	This isn t good but I think it s another false flag but you have to consider the people we are up against Peace stay visual May God keep u safe
J.e Woodard	Do you think it s wise to name the location of our facility with so many TERRORIST on this country
covenant58	News doe not even report these situation Shame
Jackie Welsh	My daughter life there
Dallas Kennedy	I feel so bad for homeless people and a they continue to destroy this planet Earth our home I began to understand more that homelessness is an issue that affect u all This is our home and we need to protect it and stop acting like guest
Kathleen Sisco	I would consider this in the same catagory a the astronomy telescope situation a I believe we are experiencing more cosmic ray and UV with perhaps increasing the radioactivity of existing earth gas
Truth seeker	What s really going on
Paul M	just reported here in the uk
Mark and Pam Angelo	Trump probably borrowed a bomb to stop the caravan
Macrov Endure	Maybe we shouldn ’ t publish about this location to the world
Andrew Gohring	Response to invader caravan
deathmarch5	Trump declared an emergency on migrant headed for the border Texas is a border state Nothing sinister here persay
Ripley LB426	WTF
Sam Drake	There s no safe way to harness nuclear power let alone store the radioactive waste
Sam Wilson	Funnily enough I m going to Pant ex next week to nerd over the latest development in trouser technology
Edmund Paul Charnley	Reported now by a British Newspaper The Daily Express http www express co uk news world 1035462 pantex plant nuclear weapon emergency texas
∵§ain†♣∀₦₲ξℜ∴	They had an earthquake 3 day ago http youtu be XpE5 89XWj4
lue lunsford	Hell is comming
Mmbohn1	What We have a NUCLEAR weapon making facility What the heck 😳
Roxanne AskMeWillYOU	Hum dear Lord Jesus Who didn t do their job
Lex Green	It ’ s Cool Rick Perry is in Charge🤣
Corpus Christi	Jesus
Cynthia Perras	At first I thought it be concern from the big Mexican storm Willa bearing down but that ’ s Pacific west side not Texas Gulf side unless anyone know whether it wind and rain and potential flooding could reach that far
leewisowaty	Oh well what s a little more radioactive juice
Moon River	Star Telegram is reporting that “ 900 worker picketed the plant after hundred became sick or died to exposure to toxic or radioactive material ” Yamil Berard
Urban Van del	I bet there will be a complete news black out on this thank you Dahboo much love from London England be safe you lovely people x
Peyote Pete	Crazy stuff
Ang dlwil	I cant get anything on Facebook about dahboo7
sky watch socal	No on prop 11 they are not above the law
Bill P	I just wonder if this could be one of the false Flags the Democrats are staging
513 hook	82nd airborne being deployed to the border
Rick Simpson	Basically every Nuclear Power Plant is a nuclear arm manufacturer A nuclear power plant doe over half the work of making a nuclear warhead or bomb And they generally make over 1 million dollar a day worth of electric too So when you flip that switch you re making them rich and giving them the capability to end all life on Earth by the way all four of those nuclear reactor in Japan ha melted deep deep down into the Earth there s no recovering those fuel rod And the government ha secretly raised the amount of radiation that can be in the food the water and in your body in the majority of all the radiation detector in every state is not working for ha been turned off
Angela Hite	Any correlation with the earthquake recently
wolvenwood	to all who live nearby get your iodine tablet it will help greatly to reduce effect of any radiation you might be absorbing My guess is Deep State attack of the plant and Patriots are fighting it off
Doll Empire Club	Getting ready for the caravan attack
White Stone	lay all the nuclear waste at the border between US And mexico
Estebahn G	Operational
Kathy Carver	I m not on Twitter But I watch all of your video Please post updated info about this on your YouTube page TU
A Team	thats got to be a huge underground base if it wa really bad they would have made it a evacuation so this must be a radiation leak of some kind in pipe or container
Gretchen Joy Hackett	Are they going to bomb the caravan
Just for Fun	Is there going to be a terrorist attack at that place
StephenT	Local news reported that the incident ha ended and the all clear ha been given They still haven t said what happened though
Chris Kiehart	Evil Devil all his Minions always up to No Good Always We In Times Of Revelation End Times Evil Demons Trumps more then one Obama is The Anti Christ The Devil It Itself Needed a Body 👼💙☝️
cassanoa	could be anything probably a deep state effort to compromise some weapon now that their access to the military is being denied they went for the source i dont know how many men guard this location but it over whelming with reserve on call not to worry
Danny Cashmore	😂😂😂😂 how can you thumb down this vid
Waterlily 2017	It s actually by Panhandle TX a very small town between Amarillo and Pampa Years ago I noticed just how many people in that town got sick and died of cancer and I think it ha to do with that plant Way too many people for such a small town
Faith Everylasting	Wait is this a nuclear power plant or a nuclear weapon facility They are two diiferent thing And I really don t think they be telling you anything if it wa a nuclear weapon facility That would be top secret to the public By the way it would take more 2 people I believe your talking about a nuclear power plant Someone probably forget to do lock out and tag procedure
Awakened	Same plant that Israel stole w 54 Davy Crockett Nuclear pit from which were possibly used on 9 11 Read the WHOLE article http www veteranstoday com 2015 04 05 israel nuked america on 9 11 01 shout it from the rooftop part ii
Sam Jones	I live in Floydada about 2hrs away maybe 3hrs and this ha me concerned
EzeAz Ω	Someone spilled the ooze Do you want ninja Turtles Because that s how you get Ninja Turtles
barf245	http en wikipedia org wiki Pantex Plant
tracyovercomer	There wa a magnitude 4 Earthquake there either yesterday or two day ago
Jeff Cornwell	I saw some kind of cloud on radar Not a typical cloud
Juan Hidalgo	Any news on the bomb that wa delivered to George soros house
Ardie Bee	Could this be connected with the earthquake there yesterday
Marine 3531	This could be the start of something huge http maoistrebelnews com 2017 09 11 venezuela announces currency reform away from u dollar
Merv Schetter	Sounds like an EVENT coming to our southern boarder because of the emigration problem
Killjoy Prepper	Twatter is for twat
Anthony Harrison	Good timing with America abandoning the treaty
BlessedandHighly Favored	I have not gotten an alert about this Pantex is armed with a lot of security and you got to have a special clearance I ’ m apart of the DECON Team 🤔🤔🤔
Stennie Watts	Precautions are being taken due to a security event Access to FM2373 ha decreased north of Hwy 60 Other precaution include assistance from Carson County Sheriff and Amarillo Police Department From Pantex Plant FB Page
Jason 333	It s about to rain
Avis Swope	MANY THANKS DAHBOO777
Becky Masotti	Just read NASA upped it s space defense today no coincidence
Billy Whyte	🙉 💣💥🙈
oak 1971	http www youtube com watch v IZBf16B5vhs
Lee Smith	My neck of the wood
Tracy Brand	Wow not good Prayers
greg ghaney	Carolyn love your video DAHBOO Thank you for your hard work and your thought and your research Good stuff a always
Steveo Smith	I live right here near Pantex havent heard anything
Terry Lofton	They just had an earthquake there Hmm
Joel Miller	Operational emergency hmmm
tai palomino	http www facebook com 127998897210320 post 2133697716640418
Johnny Kat	the B61 12 is in the qualification stage at pantex
