Oof Sharlize	“ Sexy pic of Shane Dawson ” had me ded lmao This is the real Jake I wan na see
Hailey Garcia-Moog	At 13 34 they called Erika a guy
Christopher Garcia	Did he just edit alissa s pic out
Gwen Waldron	My dog name is karma
Hilato	“ Erika Costello a himself ” 😂😂😂
Paige Rogers	Lol there ha to be some pretty funny blooper
Link	Team 10 reunion More like Come the fuck here I have you signed for an extra 4 year
Midnite Rose	I ’ m still disappointed of what you did too the Martinez twin
Dugong Chan San	Sexy picture of Shane Dawson Erika Costell a himself Dayum boi I actually really liked this vid hahahhahahahha
God And Butterflies	Why when I go to your channel it doesn t give a list of your video except for from a year ago Why for example isn t this video listed there
owl lover	low key I would like to see how that gose
Cesilia Lopez	Low key thought he wa gon na say NOTHING is the MOVIE
nelson chen	clickbait
SonicYT !	Bizzardvark poster at 4 03
Ryan Macsharry	your dead
•lana•	erika costell a himself
Emma	Justin is a terrible actor im sorrryyyyy
Zoe Gladwin	Jake Pauler for life
Ami.	Dude this is so funny if you continue to post thing like this I ’ m gon na watch you every day but for now i don ’ t want to subscribe based on this video This is what you ’ re supposed to do Like where have you been Think about it kid won ’ t buy your merch adult will
C_Smile	Sooooo fake
Da Hispanic	So mature and bad so sexy 😭😂
Brian Kelty	Why ’ s
Rob Allen	wheres APOLLO
Shao shao Stengel	Love you guy
Default Zone	You said Erika Costel playing a himself lmao
joel gamer boy Sosa	I like the movie
Olivia Wright	I ’ m actually liking this because he seems more mature and I like this side of him we ’ re seeing
Samantha crazy dabinggirl	suppp
Isabella Tackett	Are you ok from shane talking to you plz respond Jake Paul
Edvis Ծ_Ծ	Oh my god i subscribed i cant believe i need to go to church
Hammy Is My Baby	Erika is such a bad actress
Cody Nelson	Anyone else notice how it said Erika costell a himself
DAB MASTER	erika costell a HIMSELF
RCS 727	First is jake Paul then medium jake Paul then mini jake paul
Yasser Ibrahim	It cool it later it s a very day bro
Braylon Rice	It s everyday bro for life
I Woke Up This Morning	Jake Shane is right you can save the world
Brayden Michelson	i would actually like this movie to happen
Eleya Jackson	H Hi Hi J Hi Ja Hi Jak Hi Jake Hi Jake p Hi Jake pa Hi Jake pau Hi Jake paul Hi Jake pau Hi Jake pa Hi Jake p Hi Jake Hi Jak Hi Ja Hi J Hi H
jwiteby	i love you jake paul i wach you everyday
