FaZe Censor	LEAVE A LIKE ON THE VIDEO FOR 10 CUT
ACgaming	So ha Jessica asked for a of your video yet 😂😂
abc	Yanet ha a sweeeeeet as pussy i need that as rn
20 subs with no vids	You guy have yachty tho
Jarel17-	Jessica looking good 😂😂
YCSMELA - Compilations	“ Imma deflate yo as ” 😂
jacob T	I hope ur not trying Doug it might be rough this year 😂😂
902 biking	Nadeshot is the firt OG of esports he s like the babe ruth Jordan or gretzkey of eports soooo many people question and spoke down on him not streaming anymore well nade wa just at a different time in his life if u wan na be rich and be really successful u gotte be a bos a good a content creaters do in money there someone behind the scene calling the shot and making a pieace s of the pie
Don Killuminati	Wow 😂🍉 Jessica Now that wa funny
jsinai67	Damn Censor you suck at COD how the hell are you even a pro gamer There ’ s people that play cod for fun and are actually really good unlike you
Orlando Cabrera	Drakes a fucking dumbass lol
Dawit_K	stop clout chasing
Definx Leynlite	ILoveYou and all that jazz right but i thought FaZe wa all about getting gameplay like Pamajs 24 7 No Cap 100 Montage Level Wharris BRUH
l Thane Krios l	Censor you cool but you kinda trash lol
Meek Zilla	Doug is dick riding Nade so hard straight up offered a percentage of the revenue from the video to Nadeshot But wouldn ’ t give Yanet a penny for the million video they made together 😂 🤣
p3rsp3ctive	Hay where is my 10 cut
Wily Peralta	Ayoooo at this point you have no idea what to upload You re washed
12M Views	Less viewer every time
F.B.I	Yes sir wa it this post right here
LoveLags	What wa with that ricegum intro
Abel Parra	What s wrong with going to college and getting a degree
Anthony Picariello	Honestly Doug this is ridiculous You wouldn ’ t have a many subscriber if it wasn ’ t for all of u fan On behalf of the fan and subscriber I ’ m demanding a cut of your YouTube income I ’ m so sick of you taking the money we made you I will see you in court 😂
Anthony Romero	Dam he suck
Chiva	Nadeshot is LITERALLY THE GOAT
George Kenny	Video start at 2 49
Dest	Censor you can be better than pamaj at sniping i can tell
gumbie7	No fortnite man Can ’ t stand that game anymore
TheBigPalooka	👍
tortillawing tv	offer drake and nade 50 of the revenue but yanet got 0
Kicked Modz	Makes a 11 min video and talk about the title for like 30 second
Team Temper	This guy a fucking rider just cu drake joined 100T lmao tryna get a spot on 100T now guy forgot his root in FaZe
Angel Ronquillo	imma deflate your as 😂😂
Rhys Attenborough	“ Imma deflate your as ”
Conceptz S z n	Keep grinding bro
Pyrex TV	100 bullshit drake didnt join nades team it wa just for view
Reckless	I will deflate your as
Abdulaziz CoZMo	That fuck yard Fousey been lying about meeting Drake and shit our boy nade the nerd is partnering with Drake been co owner of the same huge successful team
BlueRoshes LC3	What s the song in the intro
Smozhyy	Give me the scuf pls
Enigma	kd joining next
Hillary Branch	He d rather have a doll instead of a real woman i feel bad for you but your just a weird guy
Wii Fit	This just go to show that money is all you need to get anywhere no matter how much you suck at shit
Rob Antico	Fouseytube is cry in a corner somewhere
OG Franchize	Faze need eminem asap
Jacob Meyer	What re you ricegum now with that background music
David Cash	W
Chuck	Yo dude it ’ s called the Elgato Cam Link It ’ s specifically made for using a camera like that a a webcam
Sasuke Uchiha	Yo bird crashing into ur house HAVE YOU SEEN THE CONJURINGGGG
Abraham Lozano	Yanet did some brujeria on your as for leaving her lmao Witchcraft She cursed you
Cqlten	I miss optic nadeshot
WildOnes - Stun	Your sen is to low
Willow Death_	Why doe he still have gaze in his name
SLL	100t lol worst team
Dj Smith	Look FouseyTube Drake doe actual know youtubers Just not you
Sergio Aguilar	STOP WITH THE FRONTLINE
imBlahh	Nigga didn ’ t even brush his teeth oof
Mohammed Surur	I actually hate when he doe cod commentary
Anthony Diaz	Came from the stream
Infantry Cola	To all who are cry that he should be with her again It doe not matter what he doe because he determines what he doe with him
Panditch _ZA	Now everybody want to be friend with him😂With Nadeshot
Robert Miller	Dough I wa just watching some more video Dude I ’ m so glad you left her She ’ s definitely a snake
Sabotage Habitz	Wish I could drop out of college Well making money doing something I love
x213ERx	You re worse than a female getting all wet for Drake
Brendan Buckley	Whats more boring a censor vid or an apex vid
Honests	So recently my PlayStation account wa banned I swear on my life if anyone can lend me some money I ll be the happiest person ever I really want to start youtube but now i cant My Twitter is WeLokoDepos I can show you proof Thanks to whoever read this have a great day
Itz Joker	Nadeshot met drake when fousy couldnt lol
Killertip731	Yeet
- Gusmanbro -	You ll need a capture card in your PC to use your camera Doug
