UV Creations	Saaho on a complete record breaking spree ShadesOfSaahoC1 cross a historic 10M view in 24 hour of it release Thank you all for your immense love
Vijay Prasana	0 50 my favourite arun Vijay
Sagar Yadav	🙏OMG😍
Arun Rising junks	Allu Arjun in Billa audio launch maa family lo kakunda naa favourite hero Prabhas Tip nunchi top daaka aaru adugula bangaram
Challari Sudheer Kumar	First like
Shaik Jameer	Robot 2 super cinema and 2 million like
Saranya Samuel	2 o u did not like trailer live it u didnt compare with any other trailer movie
prudhvi nani	shit actor
sai upssa	Zindabad Rebalstar
varma vuyyuri	Superb
Adil Bhatkar	When it is going to release
Naveen kumar	Super po
CHAKRAVARTHI T	watch prabhas in shape of you Version Thank You http youtu be 5AiWgpgWJgs
Ravi Vulla	Idhi kadhaa ra kaavalasindi
Thor -	superbb
Mahesh Shinde	Happy birthday 🎂🎁🎉👑 prabhas of i l u
RisingStar Aavez	Prabhas entry with that dome music is just on another level this movie will break all the record and BEST WISHES from me
chandra shekhar	Keka
Prabhas Raj	Super
Prabhas veeru	Nuvu Tollywood hero darling 😘 Prabhas darling 😘 fan s like
Sarukh Khan	Bollywood God is back
Saikrishna Soora	👌👌👌awesome anna
lukhaa babu	happy birthday bahubali
Shashi Kiran	Annaya stylish look 🙏🙏😘😘
Gasiya Karshn	A raha hai sbki band bja ne bahubali
Elvina Mani	Can Prabhas just marry me already 😊😘😘😘😌😌😌😌
Lavanya concepts	nice trailor waiting for the movie lavanyaconcepts
Ravi Teja	Super
Dilip Kumar	Oka cinema bagunda anta ohhh Ani antaru kani inka bagundi ani anthey adi sahoo jai prabhas
Suhasreddy Kunreddy	Awesome
Sachin Nayak Tik tok	http youtu be K3TJRLwETts
raju raj	This film is going to set new trend guy goosebump OMG Felt seeing fast Nd furious part 2020 bos wit big hot hit back 🔝🔛
Chinthamreddy Ramakrishnareddy	jst mind blowing darling
Nikhil Prabhas	Superrr Sir
charan chary	all the best pradhas from mahesh babu fan
Uddaraju Murali datta varma	😘 😘
Naresh Bk	Prabhas lookes wowo And many many happy riturns of the day
Varre Vashok	Sahoo
Lucky Shaiksha	🙏🙏
Bikram Sarkar	South movie batter than Bollywood
Kushal Kush	Box office break cheyadaniki mali ostunadu all the best darling record definitely break avuthai
Gani Rebal	Prabhas is King
Chandu Rebel	super Saaho😘prabhas Bhai Saaho 1000 cr paka👈😘🐯🐯🐯🐯💪👈💪💪💪💪💪💪🙏
Rajesh Gadhvi	💖💖💖 Prabhash 😘😘😘
Anilnayak Beastanilnayak	Who have prabhas fan hit like here
Alien BOY	prabhas the real tiger is back where north is still depends on chutiya bollywood south ha already won the space love from bd thgis time real dhoom will begin real race will take place
mali srinivas	Indan recads brek ann vstunadu all time recads brek
Aslam Rp	I only came here for sk 😘😘😘nd also love prabhas waiting
Venkata Sai	Superb
Kalikrishna Kalikrishna	BGM wa ultimate
Vivek Solanki	happy birthday prabhas I like you
Sumanth Appu	HBD ANNA PRABHAS teaser kekaaaaa 🔥🔥🔥🔥🔥🔥 Big fan from karnataka 😱😱
Angelin jeba	finishing prabhas style mass
Prasda Prasda	😀😀👌👌
veerender G	OMG Telugu cinema or Hollywood cinema🤔🤔🤔🤔🤔
Ramaraju G	Happy birthday Prabhas ❤️ Darling Love u so much
Rish Rishabh	Super excited to watch this nd 2 0 movie
lokanath behera	Most he
Prateek ken	Prabhas look and entry Woww
Raju Burlya	LET S MAKE 500K LIKES 💕💕💕
Sattibabu Pudi	Wow prabhas Anna video super
Ganesha Machha	Keep it up bro
filmy adda	మిత్రులార నేను TEKA అనే యాప్ ద్వారా డబ్బు సంపాదిస్తున్నాను దయచేసి ఫెక్ అనుకొకండి నా reffer code 73628
truefrndhere	Plz watch share http youtu be MJBOGO5XG4
Unlimited Loot Tricks	Hero Prabas Fans WhatsApp Group Links list http www whatsappgroupjoinlink com 2018 11 prabhas fan whatsapp group link html
pradeep mandala	S thaman💝💝killing bgm
Meghajit Singh	Prabhash Shraddha both are my fev I m a big fan of ur
ajay thoomula	Main pillar of tollywood Bharath Ka badhshaaa
Sanjay Chinnu	PRABHAS BELIEF AND SUJEETH TALENT JUSTIFIED IN THIS CHAPTER 1
Unknown World	Chapter 2 when coming 😢 I am very excited for it next part ☺️☺️🙂🙂🙂🙂🙂🙂🙂🙂
Nur Nahar	Awesome Prabhas😘😘😘😘😘
NEXEL R	A proper south indian action movie with actual action and physic Way to go ahead prabhas way to go ahead 😘💜💜💜
Vetti Revanth	That s the rebel star
gomu gomu no luffy	Hardwork take time So don t worry Sahoo is on the way Anyway Happy birthday darling
Pradeep Salve	fast n furious indian virgin
phulsingh rao crazy	happy birthday prabhas sir
vinay kumar	Happy birthday Anna 🤗
Anirvesh Palley	It s just like an Hollywood film
k Praveen kumar	We are waiting for that movie
DREAM REAL Food	Guys plz subscribe T series because word war is running TSeries v cuediepie
Ashutosh mishra	Salmaan khan is zero infront of PRABHASH
Shri Netra Pandey	Prabhas amir sharukh salmaan
ganesh cheepurupalli	Prabhas kummasavu Super
naveen deva	Jai prabhas Anna
THIRUPATHI PENDRAM	happy birthday prabha
Akhil S Nair	Polichhh
Harish Mandla	Prabhas entry is excellent with bik race
Jae Ha mix	What happend to Bollywood everytime love story kahin bhi kisi bhi movie item song daaldenge Change bollywood name to pornwood love telgu cinema I hate bollywood
Kesava R	SUPERB
Shivakumar Shankoju	I ll watch this film not for story Just for SHRADDHA PRABHAS AND ACTION SCENES
Aj dhanush	ek nambar
Iam Barath	Shit
KInjrapu. Varun	beautiful
Vasanthi vasanthi	Prabhas fan hit like 😉😉😉
movies valley	I guess sraddha kapoor wa a perfect choice for this film And the perfect for action role
sudhindra tigulla	mind blowing hatsoff prabhas
Arif Cool	wo din dur nahi jab south wale bollywood ko overtake kr jayenge 😁
Moraboina Nagendra	E sari kuda pagilipovali
Mohd Haider	Happy birthday pabhas
subarno Biswas	jitna dekho utna hi dekh ne ka man karte he sahoo India ka next blgbstr movie hogi
Yash Bajpai	HEYSAA RUDRASAA
