Tomo at	MIS BEBEEEEEEES 😍
Itzel Yocelin	0:04 me dio un paro  <3
Chaze Rivera	Jaehyun in black and gold: fckin regal. 🖤
Lee Min Hwa	Lit 🔥🔥🔥🔥🔥
bad taco	um excuse me JOhnnYy
yoongismybitch	No one cheered for my boy johnny :(
김Daniellè	My irregular boys
175 cm	Teail, Doyoung, Yuta, Johnny my gods🤧😲🙏🙏🙏🙏🙏🙏🙏🙏
Cherry Kpop	Haechan is the most talented maknae out there
Delight	Oh my.. the thumbnail of this video is so funny BAHAHAHA
GRACIAN	Gosh Johnny! <3
耘子	LOVE MARK AND TAEYOUNG
Fransheska Rosario	This the only NCT  song the i find the Mark & Taeyeon have inecesary parts like ice ice or Mark in the bigenning
ariana gomez	is better than bts
Rae	Johnny outfit: When you got a track meet at 11 a.m but a rodeo show at 6
Anshita Sharma	Why lucas is not in this song??
unnie noona	Johnny looks comfortable 🙃🙃😐😐
Catgirl gamer	Why was this in my recommendations? I don't even like kpop.
G. Love 64	Have to say, the boys are slaying the stage .... again ....
Jaehyun Jung	😍
Aleah Kaonohi	is it just me or do some of them not look comfortable
Julie Ann	*JOHNNY* 💚😍 Even tho they made him wear those pajama again
Phuong Huynh	OMG JAEHYUN STOP
Nhu Le Thi	lip and teeth :)
NCTzen 127	Mark snapped!
Don't waste your Life	Taeyong's dance moves so sharp and elegant! HIS DANCE SO ON POINT MAKES ME ENJOY HIS PERFORMANCE MORE
M24 Stilinski	Finally a nice stage and good camerawork, thank you !!
amor Ty	The black suit on TAEYONG is killing me.ohmy!
aguus	TAEIL
EXO L	mark very handsome😍😍
mingloveta	I like Yuta's part from 3:20 - 3:23
Jenna Vergauwen	Is it so hard to just let me breathe?
Kim-Yi Phung	HAECHAN AND TAEIL A DUO I NEVER KNEW I NEEDED
anju sailor	how is it possible than yuta is hotter than usual !?
taehyungs pearlearrings	WHO ALSO JUST CLICKED ON THIS VIDEO BECAUSE OF WINWIN
