平江道生	最初しゃちほこ見た時。何で咲良をセンターにしないのか不思議だったけど秋本が今一番輝いている‼️頑張って
太陽の月。	エールを送ります‼️
ポロコントニー	今日Zeppで見ました！ とても応援したくなりました！！
山紫水明	改名聞いたときは名古屋に向かう車の中で運転しながらコーラ吹きました笑ダウンロードもしたけど映像込みのこれもめっちゃ見ちゃう😆 TEAM SHACHI ROCKS🤘🤘🤘🤘
夢のパスポート	ロックテイストな菜緒ちゃんの声が活きてるね！
さつまいもピザ	ついていく。
TEAM SHACHI777	iTunesで曲買いました！かっこ良くて とても良い曲です！ リピートしてずっと聴いてます。
堂々ももたまい宣言!!	逆境こそがチャンスだぜ🤜🤜
大好きっ子エビ中	かっこいい 気持ち新たに、頑張れ 応援してます
A I	これからも頑張ってね！ずっとずっと応援します！
Haruna Otonashi	手編み 社地ーーーーー、私は。。。。。えええええええええええええええええ？？！！
ももたまい	ノフ歴六年なるけどシャチも好きだぞ！
モ	前までははるちゃんの歌声を聴いてると苦しそうな感じが伝わってきてたんだけど、今は歌声も成長してはるちゃんの力強い歌声が曲を保ってる部分があるよね。
兎黒	ノフだからしゃちのことあんまり詳しくないんだけど。この曲好き。これからのしゃちと、ちゆのこれからを応援してます。
でぐっちゃん	かっこいい！すき！
Hachidori Murasaki	💐💐💐💐💐💐💐💐💐💐💐💐
m a	これからも応援し続けます！
na !	ついてきてよかったっても思えた
irwanov permanovic	i like what i hear
tamagosando92	I ’ m with you Team Shachi I wish you a lot of success 🙌💝
ドラゴンさざなみ	今日から私もタフ民です！ 応援するしかないでしょうよ！！新しい夜明けだ！
Miyo34812	名前をかえることのいみふかくかんがえてほしい。かわらないでいてほしかった。
ももももか	しゃちらしい再スタート ちゆの存在はすごく大きいし チームしゃちほこじゃなくなるのは 寂しいけど これが一番いい形だと思う
ヘリテイジ	ドキドキが止まらない ワクワクが始まる
なかやまりこ	ずっとだいすき
さらる さらる	付いていきます、、
衣笠祥雄	なんかまだ菜緒ちゃんこわい
ひさ助	頑張ってね👍
17/STD	TEAM SHACHIを全力で応援して行こうと決めたし、 そんな私みたいなたくさんのタフ民さんも応援します。 全速前進。新たな幕開け。頑張れ！！
まりっか'17	頑張って欲しい
Tetsuya Blue_M	カッコいい！今夜のLive楽しみにしてるよ。後ろの方からしっかり見届けるよ。
ハル_チャンネル	よくぞ。名前変えてくれた。今まで見ててよかった。これからも見続ける。5年後絶対輝ける事を願う。
しゃちほこ不動産	ここでチーム名変えんのはさすがスタプラって感じ笑 一生応援するので頑張ってください！！
しおりんヒロンソ	菜緒ちゃんのちゆをしっかり送り出したい想いに感動した。 4人になっても応援し続けます。
Victor Nakata Rayadickto Ishida	I LOVE YOU HARU CHAN 3
Daniel Mejia	Sigan adelante no paren de cautivar a sus fan
三時半江頭	１０年後２０年後にビジョンを持って頑張って続けて欲しい。 三英傑のごとく天下統一を！ カッコ良くなることを 美しくなることを 誇りに思って欲しい。 スタプラアイドルは 「アイドル僅か50年、下天のうちにくらぶれば夢幻のごとくなり」だ！
visualx1989	前に進むしかないな。前に進んで行こう！
Erzy Werzy	Did they change their name I liked the old one better lol
TAKA HIRO	いい曲だな
Bippity Boppity	💛🍃🍃🍃
Madton C	タフ民です
古川泰司	「アイドル5年。」ピークが過ぎた感じに成ってましたが、4人でのシャチをとにかく応援しよう。 ももいろクローバーがももいろクローバーZに変わった時のように、しゃちほこにも次のステージを成功させるために応援しよう。
aitube12	TEAM SHACHI feat Lily s Blowというコラボレーションで新曲を作って欲しい
GMV's Sënpàí	wow wow wow wow I love ittt soo much
チャンネル井上	とりあえず聴きまくる、聴きまくってライブで感じれば良さが分かるかもしれないから。 今のところは微妙だと思ってる。 普通に出る曲ならまだしも、なーんか再出発への特別感を感じないというか…。 どこのアイドルでも歌ってそうな感じで、うーん…。 あくまで楽曲に関する話。
ひなたま	👍
みちもこ	すごい。このシフトチェンジ、メンバーもスタッフも相当勇気のある決断だと思う。2018年いろんなアイドルが解散やら卒業が相次いでどんよりした雰囲気があるなかで、この決断が見れて本当に感動した。いままで応援してきて良かった。逆境をチャンスに変えていくスタイル。 とにかく、明日のライブが楽しみ。
kkat	ちゆ推しだったし、今もそうだけど、これからはSHACHI推しになるわ
みおxmm_1150	泣ける
ガンヂ	やっぱ、 やっぱSHACHIだな～～
AryWang 719	Wait why are there only 4 member What happened to the yellow
John Smith	😭
コアラの王子様	行こうぜ次の舞台に
らぶあ	チャンネル名はチームしゃちほこなんですね
れのんすかっしゅ。	めっちゃ格好良い！付いていきます！
エリザベスきゃめい	めっちゃいい曲。 スタダの試練の後ってなんか応援したくなるよな〜笑 ほーちゃんの表情切ないしももか辞めた時の夏菜子にそっくり リーダーならではの想いがあるんかな 実際問題ももクロと同じで5→4の人数変更且つ歌唱面抜けるのはかなりの痛手。。 ももクロですら苦戦というかもう厳しいのに… でもみんなには頑張ってほしいし応援はする 頑張れ！！
0802しゃび	改名まじ？？
さかまる	咲良菜緒ちゃんイケメン
Naruto8208	今日からモノノフ兼タフ民になりました！カッコいいじゃん！
Sailor Chibi Moon	😍💪
らいおんちゃん	かっこいい！これからが楽しみ！
Saki Lien	かっこいいなあ✨
うる	TEAM SHACHI頑張れ！！！！DREAMERいい曲！目指せナゴヤドーム！
も も	ずっと菜緒ちゃん推し。
ホッピーキンタロウ	早くフルで観たい聴きたいよお🤗一緒に6人の気持ちをファンと共にナゴド行っちゃおう❗️ナゴド出来たら次は新国立かな笑笑
おくだ	これからだね！いい波に乗って、いい風に吹かれよう！タフ民ついていきます
河野弥奈子	しゃちを知ったのは最近だけど大好きです！応援してます！！
カラテカ矢部	海の虎シャチに進化したってわけか。そのイカツさに適うような「タフ民」になれと。望むところだ。
きあら	えええええええええええ
なまえ。	再出発にふさわしいすごくいい曲ですね！ これからも頑張ってください！
0714 namnam	色んなアイドル見てもやっぱしゃちだと思います。 4人になっても、名前が変わっても、彼女たちがステージに立ってくれる限りその輝きを見ていたい。 そう思わせてくれるグループはしゃちだけです。
ぶるべり	こんなんついてかないといけねーよなぁ！ 奈緒ちゃんあんな前でマサイする厄介はほっとけ！行くぞ！
jin	これがこれからのしゃちの基本曲になるか まだわからないけど、楽しみなことがいっぱいだ
かりんちゃん神推し	しゃち〜！！ かっこいい！なおちゃんかわいい！ ロゴ変わったの？？
鯱・乃木坂・欅坂SI-YU-	タフ民としてまた一緒に夢を追いかけます！
Thomas Nguyen	Wecome to new era
エトウマル	付いて行きますよ！！
The NTM	カッコイイ系になったね
ぼぶちゆ推し	what a great mv この曲エモ過ぎ全国ネットのドラマで起用すべき
ﾗﾑﾈｵﾚﾝｼﾞ	明日も行きます、楽しみにしてますね❤️💙💜💚
きゅうり	TEAM SHACHIも応援します！！
かずかずや	この疾走感！！！
。おさむちゃん	TEAM SHACHIに全力でついていきますっ！！
Kawaī neko	It ’ s official Team Syachihoko is now Team Shachi I wonder is this a new album announcement or new single Can ’ t wait love it 💚💙❤️💜
!ウィズ	みんなかっこいいよ😭
かりひ	並々ならぬ情熱が伝わってきた😭🙏🙏💞💞
明樹ヨシペン	溢れ出す疾走感よ
まめぞう	すんばらしい！
呂采瑄	影片開頭的虎魚怎麼變成了虎鯨😲
まみ	しゃちはしゃち！寂しいけど応援します！
日 日	チョロいオタクだから泣きました がんばって！
koketto-こけっと	これからもずっとファンです！
手折正弦	頑張って
千手観音三上ンゴ	新たな船出！応援します！
茶色い生き物	3コメ！ これからも大好きだよ。 何があってもついて行くよ🏃‍♀️
ふっくーの部屋	おおー かっこいい笑
愛里	楽しみです😊✨
さいとうしゅんた	これからもついていきます！
