Pradeep Kumar	Super bro jai janasena 👌👌💖💖
Sridhar Palle	Nice
keerthana printers	edi ma village frnds
rao43533	Great inspired song
miriyala ashok	Superb song
durga prasad	Superba jai janasena
saisiddartha saisiddartha	Sprr voice and lyric great♥️
Siva Jakkampudi	excellent song super
Mahesh Macharla	Super
gantala balu	mind bloving
mahesh palabindela	Jai Telangana
Sivaiah Y	song is nice Pawan Kalyan is best
bonela eswararao	Mn msdj
dj songs 2018	Jai pavan kalyan
Akshith goud	Nice Song Lacation
sai krishna	fiastval ku kudda rajacehama
Kurakula Suresh	Jai Jena sena
Anil Anil	Anna super jai janasena jai pawan Anna 💖💖💖
Yashow TV	నేను సంగీతం సమకూర్చి గానం చేసిన జనసేన బతుకమ్మ పాటకు స్పందించి పవర్ స్టార్ జనసేనాధి నేత పవన్ కళ్యాణ్ గారి నుండి అభినందనలు రావడం నిజంగా నా అదృష్టంగా భావిస్తున్నాను ఇంత మంచి పాట చేసే అవకాశ మిచ్చిన మా ప్రొడ్యూసర్ పవనిజం సతీష్ రెడ్డి గారికి దర్శకుడు రామ్ నారాయణ్ గారికి రచయిత వెన్నెల శ్రీనాథ్ గారికి జనసేన ఫాన్స్ ప్రతి ఒక్కరికి నా కృతజ్ఞతలు తెలియజేస్తూ మీ యశో కృష్ణ
Parkash Dhotare	prakash dhotre
Ch Venkatesh	Jai janasena
Masapogu Eranna	supper
Ram Narayan	Thank you all for the lovely response reached one million view and counting JAI JANASENA
Shaik Meera	jai Janasena
Inala Someshwar	👏👏👏👌👌
Ixifxifxigx Ufxitxoy	Superb
E Surendra	nice song
power thimmy 4443	Supur Janasena Bathukamma Song
Uady Bhanu	Super
Venkateswarlu Parri	op
Pavanyadav Pavanyadav	Love you power star annaya
Srineevas bodasingi	Jai batukamma Jai Telangana jai janasena Jai Hindh
Anil Pasupulate	Super super super
Krish Murali	Nice bro
Kasi Chiru	Super song
Johnunocompromise Vanaparla	Super osm jai jana sena
kasipeta swamy	Chaala bagundi
Devasoth pavan rathod chinna prc thanda 7995651875	bathukama super song
Nuto Mondal	Jai janasena p pk Suresh janasena p pk Suresh janasena p pk Suresh 💪💪💪💪💪💪✊✊✊
Vikram nayak	I am watching after my god tweet and jai powerstar jai telangana
Killaka Mahesh	Annayya super song excellent jai janasena
Chandu Adepu	Nice job brother
Giri Babu	super nna
meera Nagul Meera	jai janasena pk
udp pawanisam	Osm song jai janasena
veeresham Mahankali	Nice
Dattatreya Naik	Pawan Kalyan Anna chusaava nimeeda Prema
Telangana janasena party	Jai janasena happy dasara
Prasad lovely	Sprr Anna song
Satiah Sama	jai Janasena
Siva Narla	super
Usman Md	Superb Anna Dis usman from hyd Dancer
jeebley driver53	బతుకమ్మ పండుగ శుభాకాంక్షలు పాట చాలా బాగుంది
Srinivas K. Srinivas	Srinivas Super song
Munavath Raju	Super rrrrrr
Ashokgude Mhbd	పవనూకల్యానూ తేలంగాణ పట్లా విశ్వాసంగా ఉంటాడనుకోవడం మూర్ఖత్వం మా తేలంగాణకు తేలంగాణ పార్టీలు తేలంగాణ బిడ్డలే నాయకత్వం వహించాలి
SSK Raju	Bokka la undi
Syed Imran	Superb anna
Shankar Ravulakola	0
Surender Kumaar	jai telangana song super
Yanjaneyulu Yamala	jai Jana sena 2019 cm pspk pakka
Raju Ammulu	Very nice sogu
Narsimhasambana Sambana	Jai janasena
santhamkumar 143	Super song anna love uou
Mohan Nayak	super ana p
Damodar Dasari	Super song jai janasena
k venkata sivaiah	Nice Song
Chiranjeevi dasari	Chiranjeevi my
Rameshbabu Babu	సూపర్ పాట
Nani Anusuri	Andaru bagundali andhilo pk undali
Shaik Abdhulla	super song jai janasena
Nokine Rakesh	Jai Pawan anna
Jyothi J	Super song jai Janasena ✊✊✊
Aravind Model	Jai pavan kalyan super song think s pavan kalyan anna
G Prathap	Super song
శ్రీధర్ గోరెంట్ల	Hatsoff to you sathish reddy ఒక సినిమా చూసినట్టుంది మా వెలుగుపల్లి ని ప్రపంచానికి ఇంత అందంగా చూపించిన దర్శకునికి వందనాలు ఒక వెలుగుపల్లి వాసి గా నేను గర్వపడుతున్నాను మా వెలుగుపల్లి ఇంత బాగుంది అని నేను కూడా అనుకోలేదు మంచి నిర్మాత నుండి మరికొన్ని వీడియోపాటలను కోరుకుంటున్నాం అది కూడా వెలుగుపల్లి లొనే షూటింగ్ చేయాలని డాన్సర్స్ లిరిక్స్ ఎడిటింగ్ సింగింగ్ అన్నీ విభాగాలు సూపర్ మన వెలుగుపల్లి గురించి పాట చేస్తే బాగుంటుందని నా అభిప్రాయం
Ranjith Pidugu	Jai Janasena jai Telangana
chandramouli karanam	👌👌👌👌
Dasari Dhananjaneyulu	Super song
Sambaraju Manchala	Super song
Galinki Prakash	👌👌👌👌👌👌👌👌👌
vijay pspk	Jai janasena vijay pspk
Jitesh pawanism	Jai jansena
Shekar Shekar	Anna Super ga Undi Anna song inka MA power star Pawan Kalyan Annayya dhi Oka padu anna
raki N.R.P	jai p s pk jai T G
MARMAM NAGESH	👌👌👌
Prem Bupelli	jai telangana jai pspk
shiva shankar	super song 👌👌👌 super mucic 👌👌👌👌👌👌 super lyric 👌👌👌👌👌
VIKAS	Wow
Nalamada Suresh	Super song anna
Srikanth M	సూపర్ సాంగ్
Madhireddy Reddy	Song is touched Anna voice is too good and location nice
Subbu Subbu	Super song
Ramya Kumari	e year vachina bathukamma song edi top1 lo untadi bagundi song nenu oka 100 time vinnanu
Saikumar Mangali	Super జనసెన
Gopi Naidu	Jai janasena
Kola Prasad	Jai janasena
Kishore C	Super song
Rathod Ramesh Kumar Rathod Ramesh Kumar	ఒక సినిమా చూసినట్టుంది మా వెలుగుపల్లి ని ప్రపంచానికి ఇంత అందంగా చూపించిన దర్శకునికి వందనాలు ఒక వెలుగుపల్లి వాసి గా నేను గర్వపడుతున్నాను మా వెలుగుపల్లి ఇంత బాగుంది అని నేను కూడా అనుకోలేదు మంచి నిర్మాత నుండి మరికొన్ని వీడియోపాటలను కోరుకుంటున్నాం అది కూడా వెలుగుపల్లి లొనే షూటింగ్ చేయాలని డాన్సర్స్ లిరిక్స్ ఎడిటింగ్ సింగింగ్ అన్నీ విభాగాలు సూపర్ మన వెలుగుపల్లి గురించి పాట చేస్తే బాగుంటుందని నా అభిప్రాయం
Durgaprasad entertainment	Super song meaningful lyric beautifull place excellent music finally mind blowing song finally 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌
mahendra chilkala	ni
Mukunda Nayak	Excellent
Gulipalli Eswara rao Ewara rao	jai janasena ✊
Vamshi krishna Kappala	Jai Janasena❤️
