sapo hippit hoppit	Esse jogo foi mt troll
Caetano16	Vamo liquid
antoniojuniorxx. PC	Cadê os jogos de domingo????
Theus17xD	Esse S3xy, slc... joga dimar e fora o que não rotaciona de agente; PSK de Ash, fznd clutch Bullet1 sem palavras Silence tá dnd muita balinha e fznd a comunicação funcionar Nesk, o que "falar" dele? kkk
Gustavo Del Belo	O Zig foi pra que time?
joaozinho oi	Jogo da pain é só rmk
MVPArley	Agr sim Go liquid
Pablo Rayllan	Sexycake acabou com o joguinho
Vinicius Freitas	Anote oq estou dizendo, S3xyCake que vai salvar a liquid
Grégory Souza	SOU TORCEDOR DA FAZE, MAS É NÍTIDO QUE MESMO A LIQUID GANHANDO DA T1, É EVIDENTE QUE ESSE TIME TÁ UMA MOLÉSTIA! ESPERO QUE MELHOREM MAS O BULLET N ESTÁ JOGANDO MAIS NADA! E O PAI É FRACO PARA UM SUPORTE DE UM "CAMPEÃO MUNDIAL"!
Victor Fernandes	quem mandou tomar no cu ai ??? NO JOGO QUE TEVE
FAINHABØY	Sem Zig gg
Fabiano Santos	o ziqueira saiu da liquid ?
[SrK] W R K	Calma Q o monstro da acordando ainda Quero ver quando ele acorda quem vai segurar a liquid
eriquekakabolamar	O Zig saiu pra valer da liquid
Emerson M	Caraca, torço pra faZe mas sempre acompanhava a liquid, e por um comentário minusculo que fiz no tt o zigueira me bloqueou, kkkkkkkkk tá na hora de se aposentar já filhao
Gabriela soares	sou nova no r6 alguem pode me ajudar ?
João Rodrigues	Kd o Zig?
ViniGamer30	O que houve com o zig???
Upando coisas aleatórias	Acho que nunca mais vou ver o PSK1 de ash, ainda plantando kkkkkkkk
Tominhas Br	Man qual o nome da apresentadora???? velho muito linda
DeadMan	minuto 17:55 olha a cara do japa de  safado !!!
Lucas Pistola	puta que o pariu todo video do br6 fica bugado
Ryan Lopes	Liquid ta cavalo mulheke
Junior Souza	N consigo Assistir esse capeta q raivaaaaa
Alan Carfoso	A liquid ganhou?
yPedro_22	Eis que o PSK vaí de Nesk kk
Henrique alves	A liquid tá acordando..
Ried novaes	Let's go team Liquid
