hello stuP I D	She slayssss
JØÄØ Ŗ9	MINHA ROLA TEM 18CM E VAI FUDER TEU CÚ ATÉ O TALO SE NÃO PARAR COM ESSA VIADAGEM E IR LUTAR CARATE SDDS BRUCE LII
꧁༺Roronoa Zoro༻꧂	0 48 like
em giyen	IU 💛
Sky Ler	soo æsthetiiiic 😻❤
꿀잼TV에스노스[S-NOS]	옆에서 보던 우리집 고양이도 넋을 놓고 보네
Brobdingnagian Tallywhacker	역시 섹시한 우리 아이유 누님
Ale Park	Jungkook is screaming
Anago Trash	qt
promita das	Queen went off i love this
Trianna Ulfa Saragih	Why she s so cuteee
Vitamin See	IU 3 You and I wa the best song on the MMORPG Aion ever
Lena Kim	이 노래는 호불호가 많이 갈리는데 저는 좋습니다
i stan legends	this mv is the definition of aesthetic
Liz Bastias	Me encanta 😉
AN Rachmawati	Hi my queen👑♥
Rivan Vhyung	جايين مْــטּ طرف جونغكوك 🌚♥️
ッ하링낭자	Smile😁
제니Jennie•Gacha	I thought she wa 18 or 19 this queen doe NOT age
Ronald Lase	HELLO STUP ID
K-popalicious	Cute girl IU
Amalya Asalchik	IU IS BACK YASS QUEEN SLAYYY IT
Candace Lee	hello stu P I D
Diana Salto	Best song so good like if you agree
Makayla Greene	Basically she doesn ’ t care what you STU P I D ’ s have to say about her 😘
Slim RapMonster	Jungkook must be dancing his as off
Oh It's just me	QUEEN ALWAYS AND FOREVER
Sayumi Nakamura	😍😍😍😍😍😍😍😍😍😍
Aabb B	M40 soon😍
Jean Margareth Rodil	Saranghae my Queen 💕😍💙
Jungshook ARMYs	I bet Jungkook wa so early when it came out 😂😂 He wa the first veiw
luz adriana luna arango	SO GOOD
Ana Beatriz Silva Martins	Cute
Maite Contrera	ilover iuuuuu♡♡♡
Jin _elhermoso	The beginning kind of reminds me of J Hope ’ s “ Daydream ” MV 🐠
boi boi olha o mini boi olha o mini boi	Cadê o br brasileiros
BAEK LAM	نعومه
j a n g m i a h	Cutest singer I ve ever seen
후쁑ლ	아 진짜 아이유님 뭘입으셔도 다 이쁘세욘 ♡
Park Jimin	IU is my fav soloist I just love her😍
ava lt	yellow c a r d
_maaca_ 1	Admito q cantas muy bien pero te odio demasiado porque jungkook e mio
Kpop en español	como cuando Jungkook se crea 951 mil cuentas de youtube para darle like al video v
Sincerely, Miss Universe	Her voice is so soothing
J M	my favorite artist is baaack slaying a always ♡ ◜ω◝ ♡
Madeline Delcid	Diablos eres hermosa • •
INTERNATIONAL ARMY	ha alot of meaning loving it
Yo, nice paprika!	오 이런 나는이 노래를 사랑한다
Kennia Carolina Mora Valenzuela	Amo esta canción 3
Johana Chavez	I didn ’ t like this song it sounded so annoying but I just read the lyric they are hilarious 😂
Bangtan Shook	Love it 😍
smiles all around	Oml😂 I sat down and read the lyric to this song and all I have to say is that iu is the real savage 💜💜😂
Victoria Kpop-ARMY	😭😭😭 I LOVE YOU
stuart robles	I Love U IU There s our Queen
theproplayer 2016ender	She give me ariana grande vibe
Savionne Terry	she commin for hater throat i love it
kira andreea	2 55 and pause uwu
Sabrina El.	
Madelane Foxall	This such a cute dis track😂😂😂😂
TheArcane93	Where s the live version
윤 슬	i like it bbibbi♡
Bianca EXO-L	I m gay for IU
Yağmur Elif Eren	hello stuP I D
Marko Perkovic	omg i love ittttttttttt
QUEEN LJ	Omg I just love this song 😭 IU in Hijab 😍😍😍
Mimi 09	IU Hello stupid ID Me Hi
Lana Durut	Wtf is this
Oh man, Holy	When we all know that jungkook is one of the likes😂
Ting Ting	드디어 컴백 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
Oluwasayo Opaleye	I loved IU a an actress and now I love her a a singer
raisa nono	OMG IU WHY U SO CUTE
Hoseok Cheol c:	Antes la odiaba sin razón pero ahora la amooo tanto ❤ Perdoname Diosito
Tamia Indah Imanika	Hi there insahae hodeulgap eopsi sijakhaeyo seoron eopsi seukinsibeun sayanghalgeyo back off back off idaero johayo balance balance It ’ s me nayeyo dareul geo eopsi yojeumen mwongayo nae gasip tamsaekhaneun bulbich scanner scanner oneureun myeot jeomingayo jealous jealous jyaeneun daeche wae jeoreon oseul johahandam gibuneul al su eopsneun jeo pyojeongeun mworam taega dallajin geon ama seuteureseu ttaemuninga geokjeongiya jyaedo cham Yellow C A R D i seon neomeumyeon chimbeomiya beep maeneoneun yeogikkaji it ’ s ma ma ma mine Please keep the la la la line Hello stuP I D geu seon neomeumyeon jeongsaegiya beep Stop it geori yujihae cause we don ’ t know know know know Comma we don ’ t owe owe owe owe anything I don ’ t care dangsinui bimiri mwonji jeomadaui sajeong yeoksi jeongjunghi sayanghalgeyo not my business idaero johayo talk talkless Still me ttoyeyo nollal geo eopsi I ’ m sure you ’ re gon na say my gosh bappajineun nunbich checki cheking maeil teullin geurim chajgi hash tagging kkoskkoshage geotdaga ppikkeut neomeojilla dadeul sugundaeneun geol jagin ana molla yosae mari manheun gyaerang eoullindana munjeya jyaedo cham Yellow C A R D i seon neomeumyeon chimbeomiya beep maeneoneun yeogikkaji it ’ s ma ma ma mine Please keep the la la la line Hello stuP I D geu seon neomeumyeon jeongsaegiya beep Stop it geori yujihae cause we don ’ t know know know know Comma we don ’ t owe owe owe owe anything pyeonhage haji mwo eo geogi neo nae mal ara deureo eo I don ’ t believe it ei ajik moreul geol nae mal teullyeo tto naman nappeo eo I don ’ t believe it kkamppagi kyeo gyoyangi eopseo neo knock knock knock Enough deo sangdae an hae block block block block block jal moreugesseumyeon ijen jom oewo babe Repeat repeat cham swipji right Yellow C A R D i seon neomeumyeon chimbeomiya beep maeneoneun yeogikkaji it ’ s ma ma ma mine Please keep the la la la line Hello stuP I D geu seon neomeumyeon jeongsaegiya beep Stop it geori yujihae cause we don ’ t know know know know Comma we don ’ t owe owe owe owe anything
이씨정	와 우
Priscilla Yang	Yellow CARD
규원유튜브	Hi there 인사해 호들갑 없이
葉落歸根偶遇青春	😘😘😘😘😘😘
trusha rahate	Plz follow the lyric guy
Gloria Barrientos	Me gustó la canción osea que me gustó la letra pero no me gustó tu música v
Christine Harris	Are you fucking serious After all the year I banned myself from watching Korean video a a black woman upon realizing what these idol truly are culture vulture And this is what thing have come to Black people if you are watching this shit you are really playing yourself Go support a real black woman instead of these people cosplaying in black hairstyle This is vile I m going back
Cherry Mongchan	IU love u❤❤❤❤
