Sylvia Ramos	Fav LoveTeam JuanBie Fav Teleserye Araw Gabi
Jennifer Diamante	JUANBIE Breakthrough Loveteam of the Year JUANBIE FansClub of the year ARAWGABI serye of the Year
Drury Reign Diamante	JUANBIE Breakthrough Loveteam of the Year JUANBIE FansClub of the year ARAWGABI serye of the Year
Aisah Lavina	LOVE TEAM OF THE YEAR JUANBIE FANSCLUB THE YEAR JUANBIE
Drew Reign	ArawGabi Serye of the Year JuanBie Loveteam of the Year
Cherry Joy Bayoneta	Jm de guzman and Barbie Imperial Juanbie
m. juanbie lake	Araw gabi
Jovanie Isla	Loveteam of the Year KIERVI 💜
Meay Dizon	Love team of the year KierVi 💜💜💜
mary letran	I nominate kiervi for loveteam of the year
Mitzi Kho	KierVi💜 CK VIVOREE LOVETEAM OF THE YEAR
JoMerz Bongato	LoveTeam of the year KIERVI CHARLES KIERON AND VIVOREE ESCLITO PushAwardsKierViFamcakes
CarlaMayeh Cruz	Kiervi
Trisha Jane	Love team of the year Charles Kieron CK and Vivoree KIERVI
Mary Jean Cuison	Love team of the year kiervi
JehenmarPagasimbahonccogtamburine Daniel	RTfor KIERVI
McLisse Solid	McLisse MovieSoon
Nenita Cerdena	ck and vivoree
reizel vista	MOST FAVORITE SERYE ARAW GABI
ySabeLLe Loyola	Love Team of the Year JuanBie
Marife Bilual	Loveteam of the year JuanBie
Alday Elvira	Love team of the year Mayward
Imelda Membrot	Love team of the Year Marnigo
Shiela Marie	Loveteam of the Year Ck and Vivoree Kiervi
mh weng	Loveteam of the year Donkiss
razznee Ligan	Kiervi 💜💜for the love team of the year
Rosan Barsobia	Love team of the year Mayward
Aileen Almonte	DonKiss all the way
Kristine Leslie Ejercio	Donkiss
belinda bernales	loveteam of the year mayward
Merly Tejome	Love Team of the year Keirvi Hashtag Ck and Vivoree 😘😘
Annabelle Cordero	LOVE TEAM OF THE YEAR MAYWARD
Aivan jade chavez	Love team of the year LoiNie
Lhadyhanna Maruhom	Vivoree and Ck KierVi
norma fernandez	Love team of the year DonKiss Donny Kisses
Haryl Manaay	Juanbie loveteam of the year Araw gabi teleserye of the year ❤️
Redlove Mortera	Love team of the year DONKISS DONNY AND KISSES
Jenifer Equipado	LOVE TEAM OF THE YEAR JUANBIE
Rosalinda Mertens	MayWard Loveteam of the Year
laica Salamat	kiervi
Camille orduna	Best loveteam of the year KIERVI😍❤
salah amer	Mayward 💜 💜
arlene aragon	Loveteam of the year Ck and Vivoree KIERVI
Maricel Satera	Love team of the year mayward 😍
Dea Armodia	Mayward 😊
Shayema Hasshem	Mayward
Faith G	Loveteam of the Year KierVi Charles Kieron and Vivoree Esclito
Caren Uy	My first and last loveteam to support Team Talent KierVi Charles Kieron 💜 Vivoree Esclito
Sarah Saguindel	Love team of the year KIERVI
Mariafe Capagalan	LOVETeam2018 Mayward
Corazon Ramos	love team of the year mayward
Rowena Ignacio	Loveteam of the year Juanbie
Marjeline Mondana	Maymay and Edward MAYWARD Love team of the year
Prassil Arola	Love team of the year JUANBIE
Marylyn Loquero	Love team of the year Juanbie
Jonalyn Estopacia	Love Team of the Year kierVi💜💜💜
Rated KJ TEAM	ALDUB
Marilyn Calzado	Love team of the year Mayward
maricel palatulon	Love team of the year JM and barbie JUANBIE
Arlene Martinez	Kiervi
roche elle	MCLISSE
Aunice Sebastian	donkiss
Kerwin Oyeman	LOVETEAM OF THE YEAR MAYWARD
cerma selibio	Love Team of the year MayWard
Rainelda Camino	Loveteam of the year mayward
Jennyvi Madredio	Love Team of the year Mayward
arlene baquero	Love team of the year KierVi
Clarhize Rebarter	Kiervi💝
Sarya Bulonay	My only one the best love time of the year kiervi
jhoy bawa	Loveteam of the Year KIERVI 💜 KierVi CK and Vivoree Charles Kieron and Vivoree Esclito
Ashley Relampagos	kiervi
Apple Nathalee Villegas	Love Team of the Year CK and V KierVi
Erika Shane Castor	Love Team of the Year kiervi
Issha Stars	Kiervi vivoree and ck
Trea Asi	Loveteam of the year kiervi
merlyjane acilo	KierVi
Robylyn Maboles	Loveteam of the year KierVi
Erlinda Eliang	Mayward loveteam of the year
mira arado	mclisse
Winnie Gandeza	MayWard
Raida Abpet	theopinionistawards2018 love team of the year mayward maymay entrata and edward barber
Maria Liza Geroy	LoiNie 💜💜💜💜
Adorskie Francisco	Love team of the year Juanbie
rahc eniam	Love Team of the Year MarNigo
Ursula Ilao	Mclisse Loveteam of the year
joyee mj Valiente	Love team of the year MayWard
Virgo Girl	Love Team of the Year MayWard
nyl rano	JuanBie love team of the year ArawGabi
Melanie Kang	Love team of the year mayward
hanna Pamela vicente	JuanBie Love team of the year
Dayen Labastilla	Ck and Vivoree KierVi for LOVETEAM OF THE YEAR
Irene Senora	most loveteam of the year kiervi
Zahara Ramos	JUANBIE
Glyn Kempis	Juanbie ❤️❤️❤️
Maylen Ambalgan	JUANBIE
Maryam Piang	LOVE TEAM OF THE YEAR KierVi CK and VIVOREE Best Loveteam Ever💜💜💜
KierVi Fanatics	Love Team Of The Year CK V KierVi
Janice Linas	JUANBIE loveteam and araw gabi
Shella Rachman	Juanbie sapat nah
Jholan Parais	Loveteam of the year Mayward
Rhoma Joy Pablo	Charles Kieron and Vivoree KierVi PushAwardsKierviFamcakes
Cheryl Asebuque	Juanbie Love Team of the Year 😍😍😍
mabel's_k //kv	kiervi
gem portugal	Loveteam of the year kiervi kiervi
Angeles Velasco	Love team of the year Marñigo
Huawei Abdulla	Kiervi 💝
aileen malabo	Loveteam of the year Juanbie
Lylen Vargas	Donkiss favorite love tram of the year
Jennifer Dulay	kiervi
Aaron John Aquino	Kiervi😍
Anne Placid	Love team of the year donkiss
EY D	DonKiss
PamelaRossan Calimlim	Marnigo
Maritess Bernardez	Donkiss love team of the year
Meriam Acad	Love team of the year DONKISS Kisses delavin and Donny pangilinan
Quennie Pacaldo	KierVi
hera montemayor	Loveteam of the year DonKiss Donny and Kisses
Kat Velonza	Loveteam of the year JuanBie
Aila Dominique Gordula	DonKiss
THE OPINIONIST PH TV	PLEASE BE REMINDED THAT YOU HAVE TO 1 FINISH WATCHING THE VIDEO 2 SUBSCRIBE CLICK THE NOTIFICATION BELL 3 COMMENT YOUR VOTE WITH THE CORRESPONDING CATEGORY SO YOUR VOTES WILL BE COUNTED SHARE THIS TO YOUR FB TWITTER ACCOUNTS
Louida Saavedra	Love team of the year DONKISS Donny Pangilinan and kiss Delavin
Reya De Guzman	Donkiss
hampas lupa ako ikaw ganda ka!	donkiss
Lucia Discion	Bianca and miguel BiGuel
Tamara Nawaham	Love team of the year DONKISS DONNY PANGILINAN KISSES DELAVIN
Gab Villacarlos	LOVE TEAM OF THE YEAR DONKISS
Lhyn Bolilan	Donkiss
Mary Anne Mortega	DONKISS KISSES AND DONNY
Cherrie Mae Bernante	KierVi love team of the year
Regine //KV	kiervi
vicvic mission	manigo
Olivia Pacaldo	Love Team Of The Year JuanBie
MLDJB	DONKISS
Jan D	love team of the year DonKiss
Gieana Erlina	Love Team of the year Juanbie
Elvie Cadiente	Loveteam of the year juanbie
Janet Merdano	Love team of the year juanbie
Yna Marie Cu Roche	CK Kieron and Vivoree Esclito KierVi
09107048199 Beng	love team of the year MarNigo Maris Inigo
Marz Lumicay	Vivoree and CK kiervie💜
lee songworld	KierVi Love Team of the year
wynd	KierVi
Steph Chen	CK and Vivoree 💜 KierVi
Laica Honey	MAYWARD ♥️♥️♥️
Nhessa02 Nhessa	kiervi ck and vivoreee is real😍💜💜💜💜💜
Sohra Macabanding	MAYWARD
Elvie Langcauon	JUANBIE Loveteam of the Year
Janine Mercader	KierVi CK and Vi Charles Kieron and Vivoree Esclito fansclub of the year
bell daniel	Juanbie loveteam of the year
Rhealou Naelga	LOVE TEAM OF THE YEAR JUANBIE
yami aquino	love team of the year juanbie💛
Jurame Luchavez	kiervi hashtag cm and vivorie
Zabrina Juan	Lovr team of the year juanbie
Jeny De Leon	Love team of the year JuanBie Teleserye Araw Gabi
Ma Teresa Olleres	Juanbir
Soane Dumasing	LoveTeam of the Year no other than JuanBie the best they have the undeniable chemistry
Armie Jimenez	Juanbie love team of the year
#Jocelyn Verdida125	MARNIGO Maris Racal And Inigo Pascu PushAwardsMarNigos
Fin Eight	Love Team of the Year KierVi Vivoree Esclito en Charle Kieron PushAwardsKierViFamcakes
Joy Duran	Juanbie fan club of the year Juanbie fan club of the year Juanbie fan club of the year Juanbie fan club of the year
Lorna Dela Cruz	ck and vivoree kierVi
Jessilyn Margate	Juanbie loveteam of the year Araw Gabi teleserye of the year
leah humiding	JuanBie
Raynier Avecilla	Juanbie for real JM de Guzman and Barbie Imperial a Loveteam of the year
Alex Aradillos	JuanBie JM and Barbie
Adventours PH	JuanBie for the win
Marie Pilar	Juanbie
Serenity Vandelbelde	Maymay and Edward MayWard Love Team OF The year
Maria fe Viloria	Loveteam of the year juanbie
Ging-ging Geagonia	JuanBie love team of the Year
Juliana Saldicaya	Love Team of the year JM AND BARBIE JUANBIE
Franzkie Sumio	loveteam of the year kiervi💜💜💜
Yvi Morante	Love team of the year juanbie
Na ning Bata ller	Love team of the year Juanbie
Lullaby Twelve	Loveteam of the year JuanBie
Recheal Quilang	LoveTeamOfTheYear KIERVI💜💜💜
Talah Siago	KierVi best love team of the year Vivoree and ck 💜💜💜
mel onia	juanbie the best love team of the year
Norberto Noblejas	juanbie forever
Modevie Balinton	Love team of the year JuanBie
Ie Malawan	kiervi 💜💜💜✌✌✌
Bernadette Piad	Love Team Of The Year Mayward
Nalyn Casumpang	Marnigo
Kesha Pulia	Juanbie love team of the year
nash Bacungan	Love team of the year juanbie
Erma Leung	Love team of the year JUANBIE
Cristy Loreto	kierve vivoree and ck
Unnamed Girl	Love Team of the Year KierVi Charles Kieron and Vivoree Esclito
cherryl grace funa	JuanBie for the loveteam becauae deserved nila yon JUANBIES for the fan club of the year ARAW GABI for best teleserye
Mohammad Marm	Love Team of the year Juanbie
lorena untalan	kiervi ck and vivoree
Maricel Cabayao	loveteam of the year Kiervi
Asher G.Tua	love team of the year JuanBie
Joanlyn Amancio	Love team of the year KierVi
Melissa Restificar	Kiervi my love 💜💜💜
Ezekiel Santos	Ck and V sapat na
Victor Labor	Loveteam of the year KIERVI 💜
Jonalyn Portos	Love team of the year JuanBie
KierVi heart	KIERVI love team of the year
Bhabes Montives	Love team of the year Juanbie
Freshie Sugar	LoveTeam of the year CK and Vivoree KierVi 💜
Thel A.	Loveteam of the year Juanbie Teleserye of the year Araw Gabi
Lenny Agnir	kiervi lng sapat na
Hazel Cristoria	CK and Vivoree KierVi For Love team of the year
Aileen Sumagka	love team of the year kiervi
Jesi Kiervi	Kiervi
princess oling	Love Team of the Year JuanBie 💛
cherilyn blancia	kiervi vivoree hashtag CK
Kristine Unajan	Love team of the year KIERVI Vivoree Esclito and Charles Kieron
Joyce ann macapia	kiervie
Therese Angelic Talledo	kiervi
Rhea Musico	KierVi Love Team Of The Year CK and Vivoree Charles Kieron and Vivoree Esclito
brown e	JuanBie
Janice DANAO	Love team of the year Kiervi
Yulli Kim	DONKISS
Nona Hawani	Marnigo
Oninac Jowwnn	KierVi Vivoree and CK
Ariel Taroy	CK and Vivoree KierVi for the Win
Glecello Marzo Policianos	KIERVI
jane romero	Loveteam of the year CK and Vivoree KierVi
Shyne J	Vivoree and CK KierVi 💜
Becbec Bonilla	LOVETEAM OF THE YEAR KIERVI
Jaylawphrill Hiangan	LOVETEAM OF THE YEAR MAYWARD
gressah demesa	Juanbie love team of the year
Sherryl Doroya	Kiervi
Cristy Dionsay	Love team of the year mayward
Efren Solivio	Love team of the year KIERVI
JB Mb	Most Fave Serye Araw Gabi Loveteam of the Year JUANBIE
bea mae10	loveteam of the year mayward
dalia Rose	Love Team for Juanbie
Flo 128	Juanbie love team of the year
Brently G Hills	Voting for JuanBie because I love my dear cousin who adored these people Not a fan though but trying to learn about them
ayang nhur	Love team of the year KierVi CK and Vivoree
Jax Biebs	Kiervi
Jennifer Buhayan	Maris Racal and Inigo Pascual Marnigo
Joyjie Delight Gumapac	Juanbie po
Alleya Nishi Piano	Loveteam Of The Year MAYWARD Maymay Entrata and Edward Barber
Janice Ko	Love team of the year Juanbie
frietzel orbeta	KIERVI vivoree and hashtag ck
Excel Rubio	Love team of the year kiervi Charles Kieron and Vivoree Esclito
Jessielyn Jerusalem	Loveteam of the year Juanbie Serye of the year Araw Gabi
ElNellas Best F7	ElNella Loveteam of the Year
Mhalen Lictaoa	KIERVI Loveteam of the Year Vivoree Esclito Charles Kieron
rosaly halim	Juanbie ❤️
athena sogocio	Donkiss
IanJoy27 Basangal	Love team of the year KIERVI😚😙
jean d	KIERVI
Michelle Abella	Juanbie
Arianne Roa	juanbiefans here🙌🏻🙌🏻
Lovely Amil	Kiervi Charles kieron vivoree Esclito
Hamz Cereño	Charles kieron and vivoree esclito kiervie
Mharie Elayda	TheOpionistAward2018 ARAW GABI for Most Favorite Serye 🙏🙏🙏
Sofiamayo Sofia	Kiervi
Charlotte Jamilah Danna Buran	Juanbie
