OVODavid M	Dvsn🙏🏼➗🐐
edgar kijo	Lit
kennedy alexis	Ugh so proud 💛
Freedom Reigns	1 16 harmony wa sweeeeet 🍬
Shooc	3
Austin Gleason	it crazy how talented of a vocalist he is You don t see that in most signed artist nowadays Hoping he come to Tampa
Sydni Williams	My fav group Period I ’ m ready for more music
Reezy El OG	Dvsn is unique ♥️ for real guy OvOFamAllTheWay
armani mojo	I hope dvsn never change Both cd touched my soul There are very few cd i can listen to all they way thru 💖💖💖💖💖
Fuhk Shet	I just wish they got more credit
Landon Ray	💛💛💛
Eric Y	Dissapointing that Drake opened up for them but on the other hand it s nice to see Usher coming through I hope they continue to have success Their album are addicting
Elijah Pantoja	At first I always thought it sucked for nineteen to never get love a the other half and producer of dvsn but after seeing them live and meeting him this past year it almost feel like he d prefer it that way so now I m just confused but hoping he get the recognition he deserves but also want shout to the producer in the game
Dorian Medina	Yes
FAN OF EVERYBODY	DVSN making it where these r b cat got ta sang Lol no more sound effect lol
Jesse Fezia	My city HTown
Sara Righetti	love you DVSN keep going the exccellent job
Jose Benjamin	More Life To DVSN BTW waiting for that 3 third album 🔥🔥👌4
Garrett Reynolds	So when they gon na stop playing with me and tell me that they doing these because some new music coming
Ashley Johnson	DVSN is awesome They need to come to Alabama montgomery to be specific
Darcy Knows	Ovo💯
Silili Jr	Mad love from Angola Keep on
love family101	The first time I heard Daniels voice I wa blown away DVSN is the best RnB group out GOAT
shady from the block	Their next album can be trash and i wouldnt be mad These guy are that legendary to me
parijuana1	3ROOOOOOOOOOOOOOOOOOOOOOOOO OERYYYYYYYYYYYYYYYYYYYDIER555555555555555555DROGGGGGGGGGGGGGG
Quotemywords	it s time for some new music
CoilyLesa	You guy are the BEST😍🙌🏾
Shakira Nae	creative direction visuals ovo dvsn smuch to love about this
Amber Bell	I been a fan for so long The song the line i will be playing at my wedding Come to brooklyn plz cuz i will be there to see yall Dvsn
Elton Ali	Just straight talent can t wait for new music from them
Edmundo De Villena	From Peru keep up the great music More Life
Nikki Mahua	dvsn is such a vibe you can t find anywhere ❤
Júlia Pereira	I m so proud of you guy
bester waleng	❤all the way from South Africa🇿🇦
MARTINEZ MAFIA	Finalllyyyyyyyyyy
Sethabile Hlengwa	I love you guy 😭😭😭❤❤❤ Please come to South Africa 🇿🇦
Amanda Mnyandu	I like before I even press play ❤❤
Compton	name of the song he wa singing at 1 22
TreniseSpeaks	Yeees DVSN yall are getting the love you deserve I went from Memphis to Dallas this year to see you guy with Miguel and yall didn t disappoint Please keep making music 😙
OV O	Keep being yourself destined for big thing More life
Kagiso Online	Too talented too genius
Aimee Karanja	Yass Kevin Hart I feel the same ❤😍 I loved u guy in Seattle ascensiontour
Idi	LOVEEEEE
JustFeedMe TV	Love Dvsn Hate Drake
immanuel williams	Best R B artist PERIOD
JP 10	I love everyone in OVO God damn You guy run this industry with the RIGHT music
Estella star	OVO is a sweatshop for writer hahaa
boipelo zondo	PLEASE COME TO SOUTH AFRICA
Isaiah Watson	So we not gettin a video for Nuh Time
Jamie zhuang	love you all i am so glad i found you guy
Mobolaji Azeez	iconic
Catherina Raymond	Great footage
Tawanda Baka	If u by any chance come thru my comment please release another album I need a yearly dose of that rare mixture of magic and chemistry
Samantha Robbins	Please come to Denver And let s do a duet
Jenny Lalruatsangi	Waiting so long for a new song that i m in lowkey depression
Tholi	Shout out to Drake for showing love
Zandile Mjandana	My stupid as thought it wa a new song 😕😑 I m hurt 😒😢
Prod. J Patterns	Soon 👊🏽
MsBellyMonster	I love you DVSN Come to Cali please you got love here too Keep it up baby
Drea James	BEAUTIFUL
bigwalt3898	They only know how to make banger DVSN is like my goto for that real r b music with that old yet new flavor I think people think I m a fanatic because I only play one album on the way to work everyday for month lol only changed it when that next album dropped lmao
Dana Vo	incredible ❤️
Fergus Van Den Heever	Ovo fam all the way from South Africa 🇿🇦
Kristal  Martin	❤❤💚💚
Shelley B	Please come to Maryland
Sheila AM SheiShei	Love it ♡ from Spain ☆☆☆☆☆
YOHANNA TORIBIO	I love you guy You guy are doing amazing work
ariferrarie	A rare glimpse into yalls world will always make my day ❤️
Evi	Division I think you should connect more with the fan I honestly love you ❤️
Dahlia Hunter	loved this 💜
Angel Matshiane	❤❤❤❤❤❤❤❤
Elise Thomas	➗💜
