멤룬	단지 자기 이름을 소개했을뿐이지만 역대급 티져다
chully	Loves it already
Lani mackay	To all the people who disliked the video fight me
Crystal Blue	S O L O F O R J E N N I E
uma Girl louca por avakin	gente o que e solo
iswear toanswer	THE BEST 23 SECONDS I VE EVER FOUND AT YOUTUBE SO FAR
estudiosa señora park	Jennie 😍😍😍😍😍
Gonzalo Barrera	I Want A Rose Solo First Not Jennie They Choose Jennie Because she is more famous And make more money with her
min iella	كالعاده وايجي يميز جيني عن باقي العضوات دائما ملابس جيني تكون فاتحه اذا باقي العضوات دارك جيني مره لبست فرو والباقيات لا جيني جيني جيني
Pegasus Galactik	What is her name
Julos Tv	Membunuh 💖
Sook' twix	J E N N I E ❤
Yenny Palacios	my name is Jennie 😮😊
Filha de Namjin	Jennie Jennie J e n n i e Jennie Jennie Ahahahaaha minutos de vida acabados Blinks BRs 6 tão aondee
Jennie Kim	first
Tamira Laron	What the fuck YG is so unfair why doe jennie ha a solo album instead of focusing on BLACKPINK WHAT IS THIS FAVORITISM if jennie ha a solo you should give the others a solo album too
Caty Ramos	QUEEN
Elaine's Random stuff	This reminds me of “ I ’ m poppy ”
tati. chan	I m jennie v
Ilovethings 24	Already in the million and it only a teaser
Nikitta N.	watch out poppy here come jennie
허채원	제니언니 솔로 기대 ♥♥♥♥
ϙᴜᴇɪᴘᴏᴘᴇʀ	asmr
ANGIE VALENTINA	TE AMO JENNIE UN CORAZÓN PARA BLACK PINK 3
Matheus Oliveira	What s her name
Caitlin Johnson	Whats her name again
bae Charry	sOLo JeNnIe Don t touch me
Andressa Yoongi Stylinson	Love
Leandro Murguiondo	JENNIE
Athanasia Brauss	I CAN T WAIT TO SEE IT 😍😍😍
лиза доминик	Not Jennie but Jendukie😹😹💖
Fátima Mahamud	Poppy poppy I am poppy
Xadija Rasulova	😘😘😘😘
silvia N	I am poppy v
Ceren Karasu	Okey Jennie
Thomas Manoppo	I KNOW THE MUSIC NAME JENNIE SOLO IS TEDDY TEDDY I GUESS BUT IDK
ᄌᄋ	so cringy
Mu Izz	This is my drug I love it I m so excited
Andrea Lemon	me acordé inmediatamente de that poppy
