Roszita Razali	good dean ambrose I hate seth rollins
Nathan Guzman	No this give me memory when Kane won the tag team championship and the ic title
элэс Rag	дин Ты плохо поступил
Кадо Михаэлис	What did he tell him
Rollins Kiran	Rollins and finn balor want to become team to beat THE BAR at survival series
Anthony Lofaso	Very Fine All for Roman
Its Ali64xX	Lmao why doe this have more view than the attack after I suppose people didn t know which video had the attack part
Heavenly Morton	I don t think it wa on purpose I just think he wa left out of the championship and he didn t know how to explain his self
MŘ status	Su karn thi aavu thayu
Amri Ridwan	They moment when you just have temporary happiness
SHOWer-oke	I see Braun getting UC and then maybe starting something with either Brock or Drew
J R	Let ’ s put the record straight It ’ s not cena you didn ’ t qualify going to Saudi It ’ s John Cena refusing to there
L.G. Enterprises	Nice
Sauce up	Tune in tomorrow
jeffrey tejeresas	Dean ambrose is so mad
S I J VIDS	suck dean ambrose
Comet67	How is it a heel turn if Seth did it to him first He want Seth to feel how Dean felt when he got betrayed
Fight Facts	Subscribe
khan Bhai sajed don	府読む府駑にふむふぬつぬるめへね
Ashish Singh	Q Kiya deamorose shield q toti
bijeb basumatary	thanks a lot don t forget him the roman rienge
Antonio Spach	1 like pray for roman reign 🙏
Neesan, Roman Reigns_Fan	Hell All this scripted 😡😤😕
DaD Alden	Duck a MB rose he turned heel and almost killed seth
SupremoDon	The hound of injustice
Akash Supekar	Akash Supekar
Asidul hossain	khub khub miss korbo Romen
Shashank Yadav	WWE storyline are getting worst day by day Roman is suffering from lukemia so wwe should regret about it and what they did again broke shield in his absence atleast two member should be there to represnt shield but in every two yr wwe ha to break and make shield what is this and that to without reason they won the title they are a brotherhood and brotherhood is not be broken for just mere storyline and that too again and again and this storyline is so bad that i do not even feel like watching wwe after roman revealing about his disease i didn t watch raw and i also don t feel like watching wwe since i got to know about dean turning heel and shield breaking
اح مد	الافضل في التاك تيم
x_7PrO197	They did it for roman
Kelly Fearless	Maybe it ’ s time to rewatch raw BROOOO that betrayalll Maybe Seth deserved it but not this night
mohammed alqedra	rip shield
alok kumar	Dean ha gone crazy But he is not overcome himself She ha danged from friend like his brother is the whole crazy
LeAnna White	He will be okay
poliniuytvde bolaji	this is damn good
TheOfficialNaee K	Why Dean
Saad aldhalami	1 21 Braun Strowman have a seat Mclyntre nah I ’ m good Braun strowman I SAID HAVE A SEAT
MooGoesTheUnicorn	Oh my god the thumbnail exposed everything
Serebrum Sound	They getting compensation for Reigns loss 😐
CAM_Aducki	I wa at this event live and I have to give this match 5 star A lot of action so many near fall new champion and an attack I really enjoyed it
Md Robel	WWE
Sree Sree	The brotherhood match but after that it s enemyhood match
xxxtentacion RIP	Why doe the wwe have to share the shield again
kail 0.9	Like for seth rolling
Shawn Michaels tshepo	the shield is the new raw tag team champion
rinki aadarsh	Yes
darren balgobin	Dean turn heel because seth had 2 title and dean had 1
doge	Yeet
Tom and jarry Channel	shame of you Dean Ambrose
ausaja hassan	Well they broke up after this
HamedUAE WWE2k18	HamedWWE2k18 UK Klein
Pat Mike	Roman is the best Roman number 1
Alejandrox 3000Pro	I DONT Like That
gopal sukhwal	I love you Roman Reigns
suvrat dwivedi	What s up with this many cringy Indians in the comment I m an indian too but definitely not a cringy a these people in the comment
Michael Parent	Get thes hand
Indar Giri	I miss u Roman Love u
Tassilo Tv Tassi	why Why WHY
Sahira Q	i pray to good roman regins forget from disease
Azmat Ali	I Miss you Roman Reigns Love you
Pallvi kumari	Nice look
Alexander Perez	dean brose espero de que se fuera roman rein para traicionar a seth rolliins
VH Santos	BR
ayush bisht	The game is roman only
santiago villacres	This victory is for Roman 💪👊
Nick Sampson-burns	For there brother
Mayra Libreros	tranposos
i  s  s  a      a  l  o  n  n  a	We all knew Dean wa gon na turn heel anyway 😂
TSM_ CADEN	This is all your fault Rollins why did u STAB YOUR BROTHERS IN THE BACK
michael berhe	😤😈😢
swag yolo	Dolph ziggler could sell a playboy magazine s to a feminist
BOSS OF KINGS	NOOOOOOOOOO DEAN
محمد المشجري	مين عربي يحط لايك
PyuthanI suresh Nepal	Qqw
Jonathan Mendez	For Roman
jamal Geez	Yoh guy I don t believe what Dean did it ain t cool
Mukesh Vasava	saala dean ambrose bhai ko dhokha diya ab shield kese tik paayegi roman reingns ko bhi dhokha diya saale maaro usko brown strowman chhodega nhi usko bdla lega roman aur seth bhai ka god bless you cheetar dean ambrose
Md Rashedul Islam Rony Prodhan	Bro you are two joss
Hello Hello	Lol I knew who wa going to win and I have my dad wwe crew shirt on rn random
Daniel Banda	I m not filling well Roman reign is not around
20190 jda	Wow
Blobshrub 123	Dean ambrose is my favourite wrestler
Judah Hughes	Y Dean
Hafiz Faheem	Best Roman ranz
miya butthurt	Next week dean should come out in street clothes an say my real name is john and for 11 year i ve been living with irritable bowel syndrome MAJOR HEAT
Haider Pk gamer	But why ambrose beated seth again
Merline Rozier	Omg that s so cool
Mauricio Queiroz	Roman reign Deus esteja com você na suas luta
Md Mdkhalid	Sorewwenoromanrings Meenakshi
himam pasha	Shild kalavaka pothe nenu chachipotha
Samina Naz	so funny braun beating mcintyre ahahahha scotish terminator lol
콩유린	쉴드의 배신은 2번인데 매번 충격이네
Yogesh Thakor	l miss you
Pokemon boy	I can t forget this 😨😨😨
eugene Kovacs	Good Dean is a born heel
Shivam Choukade	rollins is awesome
Jr Hamal	Lol I love this play out they did it for their brother I love this I love this I love this I love this I love this I love this I love this I love this
AverageDan	This would be awkward since they re both still a tag team champion
Sameer Yadav	Roman I hope you will be healthy a soon a possible
Walmart HHH	Not a good night for the shield
Vjay Kumar	Change the wwe universal title
khalwazizitk78 benabdelkader	Roman reignes 😭😭😭😭
Shaheen Hussain	wow again two title champion
Christopher Williams	When did seth tell him ok I mean either way dean didn t want to do it
Irfan Amjad	All the fan shield
Andro guy	The crowd wa nut
Laraib Anwar	Haha Fake WWE😂 2 min silence for those who watch wwe and think it real Grow up kid and watch UFC
WOLFxKILLSHOT	Strowman will win the title then it will be Strowman v macintyre
Tarun Kanti Nath	Just one Why dean
Chris F	McIntyre is the Chosen One
Shemarlos Scott	Drew mcintyre v brawn strowman
Rahul Tripathi	Good
MJmadhanaraj	Play in 0 25 speed Fake Proved
Enrique Perez	Cara de ambrose e de locuras
Sohail Gul	miss you roman
Nithya Nantam	A
Bandu Hoke	Roman reign fan mayur
Nicole Meadows	stupid person WHY DEAN WHY dean because the script said so
Kamran Jaffery	Supet dean and setrolin but mi roman and plz dean seth always together i mean both
Samuel Johnson	They won the title and Dean ambrose turned heel wtf wwe
Maldives to BD	We miss Roman Reigns
Maria _beautiful	What a spoiler In the thumbnail😔
xXshieldxX gaming	Let ’ s face it the shield held all raw championship in one night
MacBurnin' Man	that wa a turn of event
Maria Jose Munera Jimenez	Hello tenkiu vauvai pirob ambroce y set Rolles
Chavonne Taylor	Once again Rollins got 2 title
Babu Babu	haaaa thats ok
Dead Scorpion	Roman will be proud of you b oth
Joe J Herrington	The tag title will just probably be vacated now
Alan your prince	Falta roman reings
LUG	Curb Stomp Cole it s freakin curb stomp
Schleimer HD	The reason wwe is better than the Bundesliga no VAR
Chad	Finally Ambrose heel turn
Oscar Salinas	Hopefully Roman get well
aisha camara	you can see in dean face that he didn ’ t want to turn on seth😢
DENNIS PIMENTINHA	WWE SO FAIS MERDA
Gabriel Nunes Souza de Oliveira	Ou parei Sério Friends
Ermenejildo ***	Ahora seht camepon en pareja e intercontinental eso e mucho ya
Zack _vannoy	Would of been cool after they won Roman came down and hugged them
Mandyali Style	love u Roman reign
Louistubegaming NL	The Shield won for Roman Joe I hope you get better soon Joe God Bless you
Thierson Abapor	Wtf
Christian REYES	Why is it so hard just to keep the shield together like tf
Vladimir Obarrio	Román Reigns Dios de bendiga
Shrikant Shirsat	after this match Dean ambrose beat the hell on seth rollens well done ambrose
Bhola Chirag	Roman ko kaho jaldi ajaye ring me nakar Dean Ambrose ane Rollins ladte rahege
Riya Whatsapp Status	saddest raw ever i seen😢😢😢😢😢 why why
Darbilal Greate Wwe Roman	Congratulation to you guy Seth Rollins Roman Rains and Dean Ambrose
Abid Chowdhury	plz reonion the sheild
Joshua Alewis Ramos Ozuna	vamo the thields con los titulos bien
Dekellson Thompson	Subscriber to me
net wortk	Suscríbete ami canal por favor
