Cheat Activated	Best podcast
Devn	You should do one of these with spratt the Britishman leading optic content bc everyone else is lacking if you really look at how often the team is uploading or streaming individually
Chris Yancey	Hector and his random as fact he spout every high school athlete take a downgrade when they go to college in facility good lord do some research about D1 sport or anything before you spout randomness with nothing to back it up
KevTBx	That ’ s crazyyyyy I didn ’ t know he wa born in Lufkin Texas That ’ s crazyyy let goo Lufkin
Req_NadeFrame	Still love how optic podcast ha had nothing but audio issue since it wa created hecz scream in my ear and hitch sound like he s in the next room Then Hector start his own podcast and it s been flawless😂😂😂😂😂
Mahck Media	I don keep up a much to the COD community a I once did so it wa cool hearing all the throwback story Big ups
itsTitle	3 kid here wife went all natural with all of them Loved this section of the podcast eventhough it didn t cover 90 of the audience But wise word my dude
Thomas 1MD	Who remembers the red and blue backdrop for fwiz and hastro back in mw2 I wa 11 year old and i remember looking at that nV roster just dreaming of one day putting nV in my name Never happened tho lol
nGageD	River
Wizard	Get some random fan on the podcast
Abram Morales	Holy shat Hastro is from Lufkin I live near lufkin That is insane
Strawhat Pervy	I never heard of Hastro but this wa one hell of a Podcast
