J Rob	I guess Sessions proved me right He s a fraud and wa protecting the criminal Q wa wrong and no one is getting prosecuted
Raymond Hanson	And who is the enemy Muslims and immigrant kill how many in comparison to hiv aid spreading homosexual fact are fact Americans hate immigrant and Muslims yet accept the most filthy vile disgusting human on planet earth the lgbt
BoomerGirl 001	Who is the bigger fool the one that follows this would not happen if we all stopped living on auto pilot and started using our brain thinking
Gwen Rocha	Democrats all they want is trump No matter what they don t care About anything nor Eve the American people l mean Imagration caravam nobody It these people are blinded By them do you still believ In Jesus crist they don t to them There TRYING tp say there is NO SUCH PERSON THE WORSHIP LISOFER SATIN THE DEVIL BABY KILLERS SLIT THERE DRAIN THEM OF there blood AND EAT THEM I DID NOT BELIEVE IT EITHER THAT SHE COULD BE SO EVIL IT MADE SICK THERE USEING PRESIDENT TRUMPS AGENDA TELL YOU WHAT YOU EANT TO HEAR LIES YOU PEOPLE DON T KNOW WHAT YOU HAVE DONE
Andy Gascon	They ’ ve been dividing u since the sliver war Well it ’ s not working
Abstrkkt	Why didnt they send pipe bomb to the Podestas Maybe they know that the Podestas are already in arrested and or in protection
phatbastard100	http youtu be g8SiNeUL 1U sickening video sickening comment
Thomas Spanne	Subscribe to Caravan to Midnight John ha the premier truth show anywhere on the net He ha established a platform that expose his listener to the greatest guest and is absent of PC Censors and Trolls
g t	Watch the Documentary I Voted produced in 2016 Katie Curic is the Executive Producer but aside from that it s very informative about the vulnerability of the digital voting machine After you watch you ll wonder about yesterday election Nov 2018 and the Dem win in area where Trump won I d implore you to dedicate not just a show or two to the serious concern the doc brings up but perhaps a new section for your website dedicated to Voter Fraud Thanks for all you do in providing real news
Librada Murillo	My Prayer for y ’ all Jesus Christ Bless and Protect every single Man and Woman who make the difference and our Human kind Families our Mother Earth and our Celestial Universe Wisdom Knowledge Pace Light and Love NAMASTE 🙏🏼🙏🏼❤️🌎🌏🌍❤️🙏🏼🙏🏼
charlie fisher	I m always a day late and a dollar short
Robin Coh	midnight com doesn t work
jeffrey pierce	owned by the chinese lmao who are owned by the JEWS
Holyspirit14:6	So true ❤️ Godbless you and fear no evil
joshua mullaney	you need to look into anderson cooper s family
louis castaldo	john is right the left ha a lot to loose that s why they are fighting like rabid dog some have
Stephen Edgar	love your show I feel like I am at earth end in Scotland what the deepstate done to genral flin is disgusting I don t have much but would love to donate to genral flins cause can u inform me how to donate deepstate inbedded in british poliytics hope poyus can lend u a handWWG1WGA
WeAreTheResistance	I m a pantheist that converted from nihilism I love the video I feel Gods presence and it s soothing
Laura Godin	May the light of truth shine so far up their butt that they can t hide anything any longer 422
dfgsdfg84	VOTE RED Tell your hole family to do too
tinker bell	Liar liar pant on fire
Rosalind Eads	I think they sent those pipe bomb to themselves to cover for the false flag they had planned the murder at the synagogue Making them also look like a victim THAT show u they did it or like your wife said the bomb would have gone off They show no mercy for the people certainly not the Jewish wow and to compare Soros to the murdered Jews making Trump responsible because he attacked Soros Ridiculous Soros helped march the Jews to the death camp Sickening
Mike fortrump	Research FunVax anti god vaccine Sad but true Time for your flu shot
Cindy M.	TRUMP IS A GENIUS HE KNOWS ALL EVIL DOINGS AND HAS GOD WITH HIM AND GOD HAS ANOINTED HIM SO HE WILL BE PROTECTED AND HE WILL LET THE TRUTH OF EVERYTHING COME OUT PRAISE GOD
brandon jarvis	Time for Trump to send socom to pick up georgie boy Enough of the b s cut the head off the snake
addi margirs	First robe them blind then bomb the shit out of them and then get the blame striker firmly planted on the victim STOP WAR
Wojciech Milewski	Dorwać skur ysynow popieram wa I support you all
Devi Mata	John Wells ha a Robotic God like voice
Algo Rhythm	Nice interview but did you ever get over the Q thing Business a usual going on in Amerika Drumpt is part of the machine wake up people
Gary Foutch	Yes they need to have a class action law suit served on them and we all need to be aware of the purpose of that action by anyone who ha had their public platform pulled out from under them on all kind of outlet Fb Yt Twitter plus others all of their butz Thank you Mike and John B Wells
Julie Roop	Almost 66 000 sealed indictment ready
Awakened Heyoka Seedz	Do you have the link of the interview with Bill please
Linda Courson	Please send the website again lindacourson66 gmail com
4thekids	SGT John B Wells Bill Mejcher thanks Sean
LUPIN III	gitmo gitmo gitmo
jessyka power	Matthew 10 34 Do not assume that I have come to bring peace to the http biblehub com matthew 10 34 htm Do not think that I came to bring peace on the earth I did not come to bring peace but It appears plainly that all who will live godly in Christ Jesus must suffer ‎Matthew 10 34 Commentaries · ‎Matthew 10 34 KJV · ‎Matthew 10 34 NASB You visited this page on 29 09 18
Jackie Meintjes	WWG1WGA Go vote Red God bless Shalom
R L	Massachusetts Listening
Jamie Rueffer	Trump must kill the Fed albeit easier said than done
JOHNNYRAY KENT	Well done Sean informative Thank you Thanks to J B Wells for his contribution
Kitty Watson	The truth is our ONLY choice If we deviate from the truth we separate ourselves from God He will never back a liar but will expose the liar to the world It s been wonderful to watch
Edward Verda	ULTIMATE TRUTH MY ASS MR WELLS YOUR A MASTER MEDIA SPINSTER YOUR NOT TELLING THE TRUTH SO HOWS YOUR BUDDY MARK TAYLOR
TheNomadDon	The same thing ha been happening in Europe We are all in danger from these globalist http youtu be 2 21bdGe4
Brad Calhoun	Red Wave
David Osborne	Lucifers Believes He is a God now His time is up Bet He s wishing he had Bowed to the King of Kings
Third Eye	Go John B
Charlie Gambino	Excellent video
Sturds Sturds	china owns u how many standing ovation doe Xi Jingping get when he speaks to congress would it be more then 26 lol
Andrew Wyndham	Love your show SGT good stuff John is an awesome dude he ha a presence of truthfulness about him and that voice made for radio wow You guy are the leadership that I follow because of the truth that you bring THE WAY THE TRUTH AND THE LIFE that s my motto thanks for such a great program
KARIN CARL	Thankyou Sean and Thankyou John B Wells I did my vote RED all the way President Trump is a Breath of Fresh Air Love him I will be going to your Caravan at midnight for to subscribe and order Operation Classified God Bless
Andrew Abramoske	A clear message should be sent world wide Screw with America s security have an all expense paid trip to Gitmo ONE WAY
Fake Eye "D"	REALITY CHECK Because they are all ultimately funded via both direct and indirect theft tax and counterfeiting central bank monopoly all government are essentially at their very core 100 corrupt criminal scam which once formed can not be reformed improved nor limited in scope simply because of their innate criminal nature Coercive government simply do not will not have not and can not improve society http onebornfree mythbustersdotblogspotdotcom
Stan Snegg	Long live the red wave
Peter PumpkinEater	ASSOCIATION of PRIVATE NATIONAL AMERICAN CITIZENS URGING that POTUS Donald John Trump revoke PROCLAMATION 2040 of 9 March 1933 to return the REPUBLIC to We the People who are only those “ Pre 1933 ” Private National Citizens of the United States of America…Versus The EMPIRE of 12 USC 95a with 50 USC App 5 b CHAPTER 53 under the Executive Proclamation 2040 time of war or emergency using the SURETY INDENTURE SERF to pay the Debt for the Creditors Use the HOLMAN RULE to reduce the annual pay of each SENIOR EXECUTIVE SERVICE member of 10000 SES member to 1 per year to get rid of the so called DEEP STATE ORDER THE IMMEDIATE USE OF The Sherman Antitrust and Robinson Patman Acts to prohibit no bid Federal contract that support the CROWN S Monopoly SERCO INC running the Congressional Military Industrial Complex among other real suggestion AN EASY WAY TO PREVENT ELECTION FRAUD if he would listen Where do you stand on http www govtrack u congress bill 115 hr5404 http www youtube com watch v spqHZKWi18s http ddttruth net http associationforsovereignhomerulewithin org index html
Marie Monerville	Vote for freedom of rieligeous liberty and your right to choose to be safe at home without having feat of criminal invading your shore under the disguise of ammasty in order to create a disturbance during this very crucial time of the midterm voting election MAGA it is your civic duty to want the very best for yourself and your offspring Vote to MAGA and to have good governance at the entry post where no illiü Illigal entrant would be able to break the immigration rule and be encouraged to flout the constitution of your great great country and nation MAGA be wise and vote REPUBLICAN so you won t be sorry for not doing so Remember ypur future is in your hand and your child s future also is in your hand therefore mother and father who love your offspring and wish the very best for to see them not to be destroyed by drug and human traffickings and all sort of crime including rape of girl on their way to and from school and college even at home they can not be safe i urge you please consider these thing and Vote to keep your neighbourhood safe and keep your girl and boy safe from this criminal element be wise and support The President in his quest seeing that he is fighting hard for you to keep America safe and prosperous for your future and your offspring future Do not let this opportunity slip away from you now is the time to wise and MAGA by voting for the REPUBLICAN PARTY who care for you and your future Don t be fooled by thd democrat they have tried to keep you under their false spell with lie and deceit and hypocracy and bad governance with crime too numerous to mention and ha created law and act to satisfy their evil conduct and ha rejected the CONSTITUTION which wa ceated for the good governance of this great nation which the whole world is looking to for guidance Democrats ha destroyed the SACRED TRUST with lie and crime and ALL that is against the rule of LAW gal entrant will be abl
Michael O.	JBW never posted the video free but the MP3 can be downloaded Most of what he talk about and more may be found on a link I just found from a simple web search http www unitypublishing com Government Maurice 20Strong htm
Kelly Schlumberger	Interesting Anti globalist ringing the bell and paving the way for another possible colossal war NK faded Russia war failed China is a flag for the next target Looks like evil CIA to me Perfect Hide in plain site He dress like one of u but he is a tool for the war monger
poopman poopy	As a john McCain college ad play before Lol
LowBidEverybodyDown	exactly right JB and you know damn well there are cache of weapon stashed near the border awaiting the invader
Leonor Ferries	I agree with him get the power hose and tear gas if they come with gun and they used them shot them back this invasion ha to stop I am from Colombia and I came here legally and support that law of the land
Jolene Ryder	Finally intelligence and truth
