Oliver Fox	Most Underrated Player in NBA
José Pedro Fernandes da Fonseca	he is ENGLISH
The Ichiban	What wa the crowd chanting I can t understand what they saying
BadAssBullet12	Has anyone done this on 2k without using My Player
Mektek19	He s actually the most impactful player in the league according to PIE per NBA com Even more so than AD
Jastine Pacheco	Very humble jokic
Lincoln Chen	Ayton had his Welcome to the NBA moment It s ok though All of his mistake are easily fixable with experience
Suween Kannangara	Jokic s perfect triple double Westbrook s perfect triple double
Potato Head	Underrated deserve to be an all star
Dejan Mirjanić	Ovo se zove Srpska škola košarke Najljepša i najbolja za gledati Čista taktika i bez zabavljanja masa Samo da se diviš
Tam Niall de Guzman	Just another day at the office
Paradite	He shot 10 11 from the line
CiluhStyle1	Pure talent hall of fame if stay healthy
chuck00000100	Best center in the league Fuck Embiid
Sreten Filipovic	It wa Jokic time 😀🤗🤗🤗🏀🏀🏀🏀
TheBrandon425	What I appreciate about Jokic is his breathtaking athleticism When he get some skill to go with it he s gon na be something
Altered Tech	I wa expecting most of these shot to be layup dunk but damn hook shot and three pointer though lol Nuggets management are doing a pretty good job The West is like a Mortal Kombat tournament and the East is like Super Smash Bros
Mantis Tabogan	Why is nobody talking about this kid
abad don	He is even breaking guard s ankle i mean wtf did i just see Was it a joke No it is the JOKER
trey2325	he didnt even miss a fuckin and one
Namamasko Po	When ur Basketball IQ is higher than Ur Athleticism 🔥🔥
Dick Cheese McGee	Why doe it seem like he play with ZERO urgency
prayforjinx	this dude no joke
Doin yoBich	BEST CENTER IN THE LEAGUE BESIDES EMBID
Domi TFC	Imagine being a rookie getting a triple double dropped on you
Earnest Hamilton	Jokic it s Easy
Uros Stojkovic	Jokic car
Cool maker	Bravo Majstore samo dalje tek je pocetak sezone Ove godine u All Star Game u
Milk2Percent	Imagine him on the spur
henry venzon	most improve player and all star then nba 1st team 2nd round playoff v GSW then lossing 4 game to 2 not bad for this upcoming allstar
Bryan Burgos Amador	Why is everyone getting this kind of number Is like the NBA went to Rookie difficulty
M Suda	People say that Jokic is slow I say he is deliberate in his movement Slow is smooth smooth is fast
Terence Tan	This guy get better every year Indeed the face of the franchise
crx sent on6	Wow A point guard dishing out assist with zero turnover stealing the ball several time and shooting three without a miss Did I say point guard No it s a center
The Playback	Ben Simmons will win the 2018 2019 NBA MVP http www youtube com watch v AV4vLRHluJw
Laker Logic	Dudes got an unbelievable feel for the game
Aleksandar Zoric	Amazing He s still almost a boy
JCUTMoto	jokic is diaw
lakas ganda	For Mvp joker
F. Heights	Put Joker In Portland Wit Dame 3J Nd It s Chip Time 💪💪💪
Basil Kehoe	Underrated guy right there
dante black	Can the man please get some more Recognition 🤦🏽‍♂️
Shawn smith	Jokic KAT
J_ rop	He s a true big that ACTUALLY ha guard skill Most bigs are marketed that way but it s just gimmicky He s proven the last couple season that he doe this for real
Thomas	Better triple double than Westbrook s whole MVP season
neonpop80	“ Blah blah blah team effort blah blah ”
King 2K	That s Godlike performance
Wellness81	Holy shit
Rejoy Matilac	Oh my God
Zaylin Robinson	Can I meet Steph curry or lebron this Saturday
leyack619	Worst post game interview ever
Stephen Valentine	Joker KAT any day of the week
anthony lucero	He s so humble love his attitude skill he deserves to be a all star
Lolll Jdd	If only lebron joined Denver
Briggs Oakley	Get this man 2k rating up
Draymond Lean	Hopefully he ’ s a all star this season
Edward Kirchner	Boi is nippin
Wat	Why his arm look like noodle lmao Bet he can ’ t even do a push up
Brush 'n Roller	Sve je to normalno
Super McNasty	TRAINER ACTIVATED
Sun block Block	Wow
yo JM	A big man that can throw oops Now that is special
Tyler Rooklidge	GAMERS RISE UP
Will Smoove	Love this man becoming one of the best passing big men in the nba go get yo self on the all star team
Fei Li	Low key most skilled center ever second only to Hakeem Olajuwon
Klistirani Krupije	Jebala va statistika uživajte u košarci
Big C	ESPN won ’ t talk about this cause he is not Lebron those are dope number he put up
Gian Infante	Jokic is so elegant that he could play in formar clothes
James Gilbert	The season ha just begun anything can happen He can fell of his pedistal at any time
Matt	the most nonchalant post game interview ever
Joseph Matthews	That s a ludicrous damn statline Has that EVER happened Maybe Wilt back in the Jurassic era But the only stat people gon na be talking about is Rondos 8 11 7 rbds 11 assist and 1 tko
Eliot Pacella	He s a great NBA player but wildly inconsistent in term of stat line and his play on the court
Toxic Gd	But is he steph curry with a 40 inch vertical
Lazar Stojanovic	Dr Jokic
Qwerty	He slow af tho
SN	ZingGOD
TELETABIS	jokic carinaaaaa
Alfren Enriquez	this is comparable to a perfect game in baseball what a beast
Justin Zhang	Gosh he improves his game every single season and even his English
David Nuñez	Diamond card coming my friend
David S	Ayton no ROTY
Jugo Jugo	Humble man 💪🔥
sveukurac1389	bravo jokara
Other Alejandro	Against the so call new Shaq Media is so biased at time
Red Balboa	Humble
triodesrbetter	skill athleticism
Ned K	Jokic MVP
Nikola Marjanovic	MADE IN SERBIA
Александр Данилов	One of the greatest center
Gabriel Soto	The new mr fundamental Everything wa so clean A complete clinic
samuel.o	Best white player of all time
2Clutch Productions	He ’ s good but don ’ t u dare say he ’ s better than Embiid
Westbrooks Revenge	damn that boy just abused that rookie lol
