이은종	이거 그냥 데스파시토잖아 쪽팔리지도 않나진짜 돈에 자존심갖다팔아먹었나
Nutella Rose	So I’ve been knowing about this group for the longest but I have a hard time getting into groups soo who wants to help me officially get to know vav?? 😭😭♥️♥️
They call me PEPSAYYY	I got an ad on this while watching 1 million studio’s choreo. I don’t regret coming here at all!
💜ElemtalV🐸👑	ya los conocia desde antes ;-; pero no me se bien sus nombres :"v alguien me da info?
Ruth Juarez	*17 MILLONES!! MIS BEBES*
BTS Supremacist	I'm in love.
yuliana leiva	me encanta esta cancion y tiene una mezcla hermosa y la letra ni se diga mejor dicho para mi es perfecta muy linda chicos
Jeanette Orellana	Thank you eddy,now i get it <3
namjinie ewe	Suena bien owo
Jae Jung	I'm #Elf and stay here cz like this song, support young talent #VAV #fighting #SUPERJUNIOR
Jacqueline Phan	I discovered them from edward avila
Santiago Maldonado	Ame sus días en Instagram agradeciendo a las VAMPZ por los 10M de vistas pero ellos no saben que no vamos por 10 si no por 40M  NO SE DETENGAN VAMPZ!
jimssiitae5	Pardon me while I stan this group
akire hdz.	Vida loca ,sol candente,iglesias,grafitis,barrio,peluquerias, y asi amigos el mundo generaliza  a todo latino america .me pregunto por que sera?.
Monet Slabach	Why does Gyeumhyuck look like my fuckboi cousin in this?😂
Koko Bop Exo	they singing live so good...  i love it.
Fabi tt	This music is very delicious to hear,love this song ❤❤❤.
Magico84 Pain	Madre mia, se tienen que poner el culo fino
Luis miguel Moreno hurtado	eso es copia
Line ·	*I need the official position of each member. No need for duration / something which shows which they are, I know their names. I want to know the official position of each member of the agency, not the article whose contents are incorrect.*  _Can a VAV's fan tell me, their position in the group and the name of the fandom (if there is an official fandom)?_
Cass	Here because of Eddy
Yesenia Maqueda	why have i been sleeping on this song?!?!?! I've seriously been missing out, this song is definitely a bop!! As someone who is multifandom, I'll be sure to check them out more often!!
ani rex	los amooo
Yael Gutierrez	Hello💖💖💖
Viky Mas	Lobe
Andrea O'Pray	I haven't see the original but this one sounds so good.
Naomi Sweet	I really want to get to know them
Drica Kpop	MV with names of members to identify who is who <3  https://www.youtube.com/watch?v=V6X0RwTGG-Y
Karen taehyung	Deoss mueroooo señorita ...... Nanana me encAntooooo ctmm lo ameee aaaaa preciosos😍😍😍😍😍💞💞💞🔥🔥🌚🌚🌚🌚🌚♥♥♥♥sus voces 😍😍😍😍😍💞💞💞
Jamming Jackle	I got to see VAV live in concert in Atlanta on their US tour and they performed this song for the first time live before they released it here on YouTube. It amazed me then and now again!
Teffy Kastro	Es mi primera vez escuchándolos, pero me enamoré 😍😍😍
Ingrid Julieth Ramirez Pallares	Levis.  Yo.  Están muy bonito s💜💖💌
SrGonomeo	no saben hablar español para eso esta mejor escuchar drake
Supichaya YJ	❤❤❤❤
angel gutierrez	ME ENCANTAAAAA
Moshnie_ Moshnie	Anush_0004 Instagram
nrtd era	aaaaa los amo maldita sea
Ingrid Relativo	Hi---!!!
melanie castro	me traume ahora solo páso señoritaaaaa
MALI NI	Hello First of all, we thank everyone who has impressed us with our simple page  This page is for a five-member band This band is preparing to launch its first song soon and will not announce the name of the song will remain a surprise Before the song was released, they waited for us in a special video to learn more about the band members and their names and ages So please do not ask for your support for our page on Facebook and with this support you will be supportive of these young people for a better tomorrow and to realize their dreams Thank you again  Riddle
Veronica Rivera	20M🔒 soon 💪✨
Shirou Monster	Hay wer kommt auch alles aus Deutschland der liket^^(Hay who come from germany the liket <3 )
Jennykook	Me encantan  Ya era hora de que los coreanos tomen en cuenta a los latinos 💖💖💖💖
madeline L.	This gives me despacito and got7 (cause of the video) vibes
Kpop en español	Woow otra cancion con influencias latinas :)
Diana Karen Monges Colman	esta re!!!! buena la canción sigan haciendo canciones así de buenas
Biquel Messi	too gay
hector perez	Amo cundo cantan en español
Rita claire Quizon	I'm not a fan of them but wow and btw my name is rita
Moon Light	❤️❤️❤️❤️❤️❤️💃🏻💃🏻💃🏻💃🏻 I love it 😍 I
Cloe Corsola Mar	VAV!! ZIU!! *Los amo!!* me encanto! Tiene un estilo tan latino 💕💕
catita pardo	me encantaa!!  de Chile
Millennia18	Hahaha thanks to edward who makes me fell in love with these boys ... geez my bias List is ruined again lol
lola jeux	🔥🔥🔥🔥🔥
Saetbyeol	WoW...We're waitin' for you in there♡ SOOOO TALENTEEEEDD :)
vav enthusiast	masterpiece 😭😭😭
Lion fredes	DESPACITO 2
Nancy Ruiz Rengiro	Que bello
Heydi Gomez	Only 3 million are missing to reach 20 million❤️¡Let's keep going!
Evka Kollarova	I can't stop singing! 😍 (lyrics must have)  👒 Senorita 💄  manheun saramdeul sok Senorita yeogin neomaneul bichuna bichina  Mamacita nae mami taoreujanha naui maeumi deullimyeon dorabwa jullae  Senorita na neoreul jom deo algo sipda unmyeongeul mannan sungan bamsaewo jameul mot irul deushae  Viva la vida loca mamacita nan nuneul tteugo seoseo neoraneun kkumeul kkuge dwaesseo  majuchin sungan heureuneun jeonyul gakkawo jil ttae simjangi meojeul deushae nege hollin deushae ige museun iriya  maeumui ullim unmyeongjeok timing nado moreuge simjange neoreul saegyeo naneun neo hanaro imi jeonghaejin geoya  cheomi anin geot gata ko kkeuti jjinghae uri eodiseo bon jeok issji anhna jageop menteu anin fallin love uh machi cheossarangeul hwanbul badeun gibun hallelluya neodo nareul hilkkeum  hilkkeum hilkkeum gihoeman boda naega jigeum daga gaya hal geosman gateun geureon iyu jigeumkkeot chajawassdeon geogi senyoritta mildangeun geonneo ttwilkka seksi mamasita  Senorita na neoreul jom deo algo sipda unmyeongeul mannan sungan bamsaewo jameul mot irul deushae  Viva la vida loca mamacita nan nuneul tteugo seoseo neoraneun kkumeul kkuge dwaesseo  majuchin sungan heureuneun jeonyul gakkawo jil ttae simjangi meojeul deushae nege hollin deushae ige museun iriya  maeumui ullim unmyeongjeok timing nado moreuge simjange neoreul saegyeo naneun neo hanaro imi jeonghaejin geoya  Oh my Sexy mamacita nan nege jeogyeogigo jeogyeok danghae machi killer yeah You’re my only Senorita eodiseodo neoui maeryeogeul boijima yeah saranghandan mal geujjok mallo haeseok jeonhago sipeo nan Te quiero uri sai heureuneun jangreuneun baro mello noerireul kkojneun jeonryuneun bolteu 501vjjeum doelgeol  Senorita na neoreul jeonbu algo sipda du soni daheun sungan uriui bimireun sijakdoen geol  Viva la vida loca mamacita simjangi tteugeowojyeo sumswil teum hana eopsge dwaesseo  geojismalcheoreom nal hyanghan useum neoreul deo wonhae museun mari piryohae nege michin deushae ige museun iriya  myeonghwakhan neukkim unmyeongui Signal nege baneunghae nareul andal nage hae naneun neo hanaro imi jeonghaejin geoya  💗 💗 💗
Alicia Zimmermann	Omg i'm shocked... irgendwelche deutschen Fans die das grade feiern/lieben??♥️😍
alexander cribillero herrera	Que lindis coreanoooss
abada sharif	hello  soooooo good song we love you from arabic
Lamyeol 77	جعلني سنيوريتا🤤💗💗
Heleena Khalik	The song is so beautiful,love it so much.so talented,hope you guys go far.
Paris Avila	Me encanta esta canción!!!🔥💋 Amo que mis chicos estén dando a conocer su gran talento (' 3 ')😭😘
Bib Bib	أصواتكم 😩😩واااااو
Mica Espinoza	Ta piola eh ahre🇦🇷
Сакура чан	Way !!!
ArmysarejungSHOOK	gawd how can I not stan these perfect boys?
Xiomara Maldonado Andia	Me he dado cuenta que la canción se llama senorita y no señorita :v
Leiila_ Gomez_41._	son hermosos y cantan y bailan hermoso!! no entiendo porque solo tiene 16M de vistas(? :c
Karen Zacarias	❤👌
Joong Xd	👎
latematik Castillo Antigua	16, 675, 369
Alban Latifi moreno	Replay button were are you?? Oh crap i think i broke it
AuroraDazzling	I'm so happy that this MV has 16M views, VAV is an amazing group who deserve a lot of love!
Tatiane Barbosa	Tão Talentosos, merecem todo sucesso do mundo!!💕💕
PINKI THAKUR	Really guys very nice song 😇😇😇
Lithci MARTINEZ	I dont know them well well mostly nothing but im soo in with themmmm♡♡♡♡♡♡♡♡
Kookie_ Army	I am not a fan, but I'm in love with this song 😍 good job 👌
BTS Gamer	Is it just me or does this give me Spanish vibes??
Yuka Nishimiya	Recuerdo cuando estaba viendo un vídeo y de pronto a parece este anunció y aunque al principio lo ignore, luego lo volví a ver y decidí verlo y quien diría que ahora me gusta XD aunque no se quien es cada quien no se nada aún :'v
Ari Defis	Los conozco desde el año el año pasado y me encanta que con esta canción se hagan mas conocidos y que mas gente los conozca
니니젠	Just an english comment passing by. Came here 'coz of Eddie and i thought they were cute boiiiis but oh well, damn they're sexy
시공이다	윰댕님 방송에서 넘어왔다 손
spriya pathak	❤️❤️❤️❤️❤️❤️❤️❤️❤️
gemini angel	Any ARMY here??💜
iffat zaidi	i reallly like . and there is nothing bad . and all the guys are handsome . all the best for your future
Pascal Anelice	Me encantan, i love you!! espero sigan creciendo y que lleguen muy lejos son un exelente grupo me encantan, la canción esta genial espero sigan asi! Fuerza!!!
제흐라	fucking love this
