Pao lucis	No entendí ni madres de lo que dijieron pero están bien pinch hermosos 7v7
Kookie 97	Is the movie gon na have freaken Engrish caption cauuusseee hehe ya know Just saying XD
yaleysha cloe the gamer	J hope is always making me laugh
Apricot. tv	That puppy is blessed
Seal Cookiess	Beutifull
Chesly Lavariega Ruiz	I can ’ t stop watching this I feel like I ’ m going to cry when I see the movie in a week
Jin Updates	Just 1 week more guy
smoloodle	All ready bought my ticket 💗💗💗
Esmarelda Santos	Im not even joking I wa literly in tears😢
Gabby And Ady	BITCH DID YOU SEE MY BAG
Min Kyra K-POP, Noticias y Más.	AAaaaaaaaaa i love it 3💗💗💗💗💗
Isa Mar	¿QUIÉN YA TIENE SU ENTRADA 😫💜
sqftjimin people	um i ha a question my friend pre ordered ticket and im going to watch burn the stage with her have any of u seen the movie because if so can u tell me if there r caption during the movie like in the movie theatre thank you
Agust D	Ok estoy llorando 😢
Chantae rissetto	I can ’ t wait Bought my ticket already 6 more day 😁😁😁
soledad ewe	No podre verla 😭😭 soy pobre creo que nunca vere a mi bts 😭😢😢😢💔❤
stacey barrera:3	My friend and I will go this movie omg I loved it
NO JAMS	Is it gon na be about a concert of something because omg army ’ s there are so lucky
Mi Kong	Omg I send it to my friend I m gon na cry I can t wait to watch it😭😭😭
Kim Sophia	U Hope your sooo cute
Asa Ruth	Anyone know if it will have English subtitle
Meli :v	QUIERO IR A VERLA LA CONCHA DE LA LORA Y LA RE PUTISIMA MADRE QUE ME PARIO LOCO
Chim Wang	IM GON NA WATCH IT YSBAKCNSJNGODNW ❤️❤️❤️❤️❤️❤️❤️🧡😭😭😭😭😭😭
Antonio Maldonado	Army please help italian army Pleaseee http www change org p uci cinema burn the stage the movie in italia recruiter 891363155 utm source share petition utm medium copylink utm campaign psf combo share abi pacific abi select all contact select all pacific email copy en gb 4 v1 pacific email copy en u 3 control pacific post sap share gmail abi fake control pacific email copy en u 5 v1 lightning share by medium message control lightning 2primary share option more variant Italian army this is for u
bts gal the origional international army galll	0 55 the puppy at the end is ARMY
ARMY- BTS	0 56😂😂😂😂😂💚💚💚💚
Альсина Сахипова	What s the song on 0 35 please someone tell me
려슬	진지하게 보고있다가 마지막에 호비가 연타니랑 디쥬씨마백♫하는거 보고 뿜음ㅋㅋㅋㅋㅋㅋㅋㅋ
Alexandra Vassallo	I got so emotional and then Did you see my bag 😂😂 Hoseok always make me happy like👍 if you agree
Osh! BTS!	OOOHHHH MY GOOOOODD JUST 7 DAYS AAAAA
ChimChim	Haha the ending though JHOPEEEEE
judy	الارمي العرب رايحين؟؟
MeguMie ARMY untill the end	🎶Did U see my bag 🎶 🎶Did U see my bag 🎶😂😂 ang cute ni Hobi😂😍
Alejandra Banuelos	Does anyone know how much the ticket cost
VKOOK	XD THE END THO
armydawnie	i m gon na prepare tissue T T
Diamond Z	💖💖💖💖💖💖💖💖
Joey Rattata	Sorry J Hope I cant find your bag because i seem to have lost mine too LOVE YOU BTS including not actually pure Namjoom 😂😂😂😂
Dina :v	Yo pues soy pobre y no podre ir a verla por lo que esperare a que alguna alma bondadosa lo suba y yo verlo Maldita pobreza v
Sora Msp	OMG I m going with my besties in 16 day and I m sooo HYPED
evil bunny	My favorite part 00 55
CallMeh JL	Lol I dont know why But I m crying😭😭💖 But J hope oppa make me smile 😍💖
christie kang	I wa on the verge of cry while watching the trailer but then Yeontan and Hobie appeared in perfect timing 😂😂
KOOKIE MOCHIE	Did you see my wallett
Katherine Hermes	Cinemark la va a pasar en Ecuador Ya compre do entradas en preventa quiero que sea 2 de diciembre
Nurul Atikah	Can t wait to see Burn The Stage movie 😍
Heather Cutright	Just got my ticket I m driving 3 hour away to see it
kim k? i only know jibooty	0 56 when a dog dance better than you
Christine Isabel	This is so unfair there ’ s no Burn the stage In Calgary😭😭😭😭 Struggles Of International ARMY Sadlifeu I hope they release the Movie at Calgary
Naty Naty	Como cuando en tu pais a solo unas horas despues se acaban los boletas v Porque mundo cruel
Miranda_ Namjin	0 54 🤣😂🤣😂
Feather Lily	when this movie come out I m seeing it 5 million time
Abigail Moreno	😍😍😁😚😚😚😍😍
Salty Knives	Mmmm dis gunna be goooood moooviweee fam
Marylisis Flores	Una semana para el estrenooo aaaaa estoy emocionadaaa
becky Louise	1 week till i go see it in cinema
Laila Blox	Im too lazy to buy ticket
Dannaly S	Sorry I can ’ t watch the movie bts but I still love y ’ all ☹️☹️☹️😍😍😍
Marissa Brabitz	Why are there no English sub I can t understand a word there saying
Haseeb Hadi	Loved ur new song bts
amna	i can not wait to see this🥰🥰
Gaby Soempeno	I begged my mom for those ticket for 4 day and eventually bought it for me
Safoora Ahmed	when is it coming out
Just another BTS ARMY	This is the only ad I don ’ t bother skipping
SugaBB1993 Bts	Hobi at the end I m cry I got ticket for the movie I m so excited to watch the movie with my dad and my friend ❤️❤️❤️❤️💜💜💜💜💜💜💜🌎🌎🌎🌎🌎🌎🌎🎉🎉🎉🎉🎉💘💘💘💞💞💖💖💕💘💘🎀🎀😍😍❤️❤️🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪
Linah Garate	FALTA UNA SEMANAAAAAA AHHHHHHHHH
Chaitanya Erika Fajardo	Omg soo exciteeed 😍😍😍
yoongi wife	Yoongi my love don t cry😭
Imii 31	Song
Mia._.	8 day until I get to see this masterpiece I AM SO EXCITED 😍
Насиба Розахунова	Такое тёплое видео😺😻😻
Thanh Hải	Buồn Cuời cái ô jhop nghịch bé “ tan ” của v haha
kim seokjin	😭😭😭😭😭
Flakesxx _	Can t wait to watch the movie
mika cheah	AND NOW SINGAPOREAN ARMIES CRASHES THE SYSTEM I CANT GET THE TICKETS WHY
Amy Gacha BTS ARMY	DiD yOu SeE mY bAg
template geming	mantab
으링_%	홉아
Hoang Huy	I love the jungkook part❤❤❤❤💕💕
*kaekae* 97	I just saw this so doe tge movie have subtitle or no
일주 양	0 56
Notaname x	Who else is cry bc you cant go
Ohana ARMY	The movie will play in my country finaaaalllyyy hellla yeees ♡♡
AlyaaAqiilah Abu Ahamad	that sad moment when you can t go see it sksksks
thea autida	idk why i m cry
ARMY Ripeka	Will their be English translation cuz if their is not then I can ’ t watch the movie😔I ’ m sad😭😭😭
BTS_ARMY4LIFEU #cooky_BTS21	What did you do to YEONTAN hobi I m dying DiD yOu seE mA bAG
[ARMY]유니쀼니	0 56 jhope lololollolololol
Pierre Chan	When u know that you have 99 9 of not having the movie in your country sigh I M MOVING OUT
Salomay Mensah	my friend ha a ticket for herself to go see the movie SO FLIPPING LUCKY IM SO JEALOUS
LEOGAMER360 ARMY Z	Yo ya tengo mi boletos para verla LIKE si tu igual
Army Forever bts tus padrones	Es hermoso 3
Mirkalizbeth Sagreiros	Monterrey
Srinaya Vemula	AHAHAHAHA THE END😂😂
Soul Sisters	YAYAYAYAYAYAYAYAYAYAY I WAN NA WATCH IT SO BADDDDDDD
Emily The potato	IM SOOO GLAD I GET TO WATCH THIS WITH MY FRIEND AHHHHH
Hada Hernandez	No puedo esperar para ver la película
shea	i ’ m so excited to go see this iMCRYING
Nicole AF	Como cuando no sabes coreano y no entiendes cuando se estrena v
Saga Brewster	Se imginan el griterío que armariamos en el cine Dije se imaginan porque soy pobre y seguramente esperaré a que la pongan en el yutu v
Maggie Army	I m the only one who cried v
Bree And Friends	The sad thing is that I can ’ t go to the movie
Aaron Flores	That puppy dance better than me 😂😂😂😂😂😂😂😂 no joke
Devita Anjelika	Oh my god This is so amazing😭😭👏👏💜❤ Bangtan i m proud of you😘
Rebecca Devon	bought my ticket week ago and i cant wait 😭
Yesika Pramesti	ARMY s Out there🙈
Little Amigo	This video wa released over a week ago but I continue to watch it just bcuz I really wan na watch the movie and I m just jcjehxiwbfiebwfisbduanxious
Luna709 Ü	Díganme todo esto en motivo para llorar de felicidad por ellos porque han logrado sus metas sin importar los comentarios malos 3 yo creo que sí
J Miller	My mom said I could probably whach it ahhhhhhhh Jhope and v YALL ARE AMAZING jhope and the end LOL
chi chi	cant afford to see them in concert I atleast get to see them in theater see their pretty plface on the big screen especially V my bias 😁😍
caeuk	I COULDN ’ T GET TICKETS I AM DEVASTATED
