Ratheesh Kumar	Filmsil voice supr
karthiga karthiga	ஓவியா விமல் இரண்டுபேரும் செமயா இருக்கிங்க பாட்டும் சூப்பரா இருக்கு படமும் சூப்பரா இருக்கும்னு நம்புறோம் I AM WAITING
Bhuvanes Waran	Eppo trailer waiting ❤❤❤plz
Mathavan Yadav	semaa
Sandhosh Mohanan	Oviyaistha👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸
karthik chinna	I love this song semmaaaaaa😍😍😍😍
anutha rajaratnam	Nice lyric music heart touch song
Santhosh M	🙈😍😍😍
Jenifer Jeni	Song kum samaya erruku Voice um semaya erruku Fist tami kekkum pothiye marupadium kekkanum pola erruku 😍😍
Karan raj	Na vimal kaga papane
Mountain Cool	Oviyaaaa 😍
Kaja Kaja	Semmmaaaaaaa
Anbu Kannan	oviya😚😚😚😚😚
PSS PSS	supar
Deepan S	Super 💓💕💓❤️💕
divya divya	I love this song semaya iruka
Gajendran Gaja	Oviya alagi
suresh kumar	Nice song 💟💘💟
SURESH E	Oviya chella kutty like you
Nithya Shree	Super song
Ashok Bhai	Enna yaaa songa ethu thirumpa thiruvampuuvan keakkka thonnathu
Fm Kumar	பாடல் ரொம்ப சூப்பராக உள்ளது
skbaby sakthi	song super maaaaa I am waiting for movi
Rajkumar P	Nice song
Priyaprinting Priya	sema
Swamy Thamarai	Supera irukku I like uuuuuuuuuuu and oviya
Arjunan 9696	l love u oviya
justi prabu s	Nice feel to hear
Mubina S	Cute angel siripalahi oviya
Thilaga Vathi	My baby fev song i like this song i witing this move 😍😍😍😍
jayasri.thirumal Jayasri.thirumal	Girl voice super 😍😍😍😍
Sivachiyan Sivachiyan	love you oviya I am waiting for you movie
Tony Felix	பழைய நினைவுகளை தூண்டும் புதிய திரைப்பாடல் சபாஷ் இசையமைப்பாளர் பாடகி நமிதா பாபுவுக்கும் வாழ்த்துக்கள்
Murugan R	super tune just flying 👏👏👏
Jay Ram	Oviya oviya army s song Hit movie also Hit
Thangam Rethinam	Azhagana song Repeat mode
Prapa Karan varalaval	super veralevel song
Velmurugan Arasappan	I love oviya chellkuuti my chellakutti
mk gowrishankar	Semma tune and 💓 touch lyric Congratulations kalavani2 team
SARITHA AUDIO'S DINDIGUL	Sema vera level song
Ramya Ramya	Yea oviya and vimal Semmmmmmaaaaa pair
First First	அழகே ஆனா புலிய கண்ட மானா
Vijaykumar Vijay	Sema song super singer S sola pona avolo nalla iruku paatu
KARIM Karim	Happy because oviya return The queen of the world True love 😁😁😁💓💓💓
Hussain Hussain	good song varigal arumai
Vijaya Lakshmi	Unakkagave indha padam pakanum Big Boss queen 😍😍
Nafil	song very nice and so beautiful oviya
Komala Divya	Oviya mass always😍😍😍😘😘😘waiting for this movie
Swetha Selva Babu	Hi oviya
Rkc Rkc	மிகவும் அருமையாக இருக்கிறது இந்த பாடல் மிகவும் தெளிவாக உள்ளது பாடல்கள் வரிகள்
suganya Suganya	Song is very veryyyyyy nice
R SILAMBARASAN	Sema song 👍👍👍👍
velu raja	விமல் அண்ணா நான் உங்கள் ரசிகன் இந்த படம் கட்டாயம் mass hit ஆகும் உங்கள் நடிப்பு அப்படி very good character நீங்கள் வாழ்க பல்லாண்டு
Gowtham Manokaran	Indha music engayo keta maariye irukke Yen Kannaadi Thoppukulla kanna kanna from malabar police
Nubees Mohamed	Oviya chlm
Vignesh Vignesh	Semma
Be Human	அருமையான மெட்டு Matured oviya look gorgeous
Thanika Thanika	Nice song
Priya Cute	Girl voice sema
Gayu Prajee	Aiii oviya is back
Balasubramani Balasubramani	Semma
GANESAN PRAKASH	Lovely song 👨‍❤️‍💋‍👨💑
Dinesh Kumar	Oviya 😍😍😍
Gopi nath	Super
Akshayah Sothinathan	I like you Oviya
B S Arun	Rompa nalaiki aparam vimal anna oda pattam blockbuster akka poguthu intha patam mooliyama Nalla viruthu kathuruku vimal anna fan ku i m also vimal anna fan
Divya Raj	Oviya chellakutty luv uuuu😂😃😚💗
Priya Ramesh	Wow oviya darling
Muthu Pandi	ஒவியதனலவிவாழ்க
sudha sasikumar	Oviya always superb dont juge the book by it cover
sharmi Ammu	I love oviya clm 💟😘😘😘😘😘💟
Sudalai Muthu	only for oviyaaaaaaaaaaaa
selva priya	hiii
Manoj Kumar	Vimal un
Kavi Pritha	Nala Oru human being who agree
Shalu Shalma	Love you oviya
Ajith Tamil	i love this song
Priyanka Moorthy	👌👌👌👌👌👌
Ramu Ramu	Semma song kekka kekka love innum athigamaguthu
Deepan Deepanrajan	Semmaaa
Tamil Rock	Nice song I love
Apsana Parvin	I love you oviya 😊😊😊
